"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Al Berry And The Cimarons";"Tropical Wiseguy / Vol.3";"Morning sun (Hiphoppapotamus remix)";2018;"AUTOPRODUCTION";1712656800;1712657149;;;
"Alpha Blondy";"Elohim";"Les voleurs de la république";2000;"SONY";1712657143;1712657397;;;
"Althea And Donna";"Snatch Edits pt.2";"Uptown top ranking (DJ Snatch remix)";2015;"AUTOPRODUCTION";1712657393;1712657664;;;
"Barrington Levy";"Acousticalevy";"Vice versa love";2015;"HEARTBEAT";1712657663;1712657972;"https://music.apple.com/fr/album/vice-versa-love/982513974?i=982514695&uo=4";"https://www.deezer.com/track/102173146";"https://open.spotify.com/track/0zb9h2SIdMhBcFqp1ycbNe"
"Kim Harriott";"Derrick Harriott Reggae, Funk & Soul (1969-1975)";"Just want to be your joy";2016;"DUB STORE RECORDS";1712657967;1712658127;"https://music.apple.com/fr/album/just-want-to-be-your-joy/1118301272?i=1118301729&uo=4";;"https://open.spotify.com/track/79ioeNULHO0MJIs7dzte1U"
"Umberto Echo";"Dubtrain";"Sultana";2007;"ENJA";1712658122;1712658376;;;"https://open.spotify.com/track/6g55eEXzJA0gbytM6E40Xe"
"Patrice";"Ancient spirit";"Murderer";2000;"ZOMBA";1712658373;1712658562;"https://music.apple.com/fr/album/murderer/417419903?i=417419965&uo=4";"https://www.deezer.com/track/858985";
"Sons Of Negus";"A psalm of praises to the most high 1967-1972";"Volunteer ethiopians";1971;"DUB STORE RECORDS";1712658560;1712658715;;"https://www.deezer.com/track/126532935";
"Sons Of Light";"A place called Africa / Vol. 1";"Land of love";2002;"TROJAN RECORDS";1712658714;1712658928;;;
"Thievery Corporation";"The Temple of I & I";"Love as no heart (feat. Shana Halligan)";2017;;1712658922;1712659175;;;
"Mato";"Classical dub";"The swan lake dub (from opus 20 act 2)";2019;"MATO PRODUCTION";1712659167;1712659366;;;
"Johnny Osbourne";"Reggae Mandela";"Wipe out aparthied";2019;"VP RECORDS";1712659357;1712659769;"https://music.apple.com/fr/album/wipe-out-aparthied/1449609743?i=1449610168&uo=4";"https://www.deezer.com/track/628285112";"https://open.spotify.com/track/7x3g8s9wpUFUuJLv419ne2"
"Feldub";"Weapon";"Dark matters";2019;"BANZAI LAB";1712659759;1712659987;"https://music.apple.com/fr/album/dark-matters/1524454721?i=1524454740&uo=4";;"https://open.spotify.com/track/0pcdYA039CTLKBlyu6ERCq"
"Dillinger";"Marijuana in my brain";"Rasta vibration";2018;"RADIATION RECORDS";1712659983;1712660185;;;
"Chin Chillaz";"King size dub (dubvisionist special)";"Lion";2014;"ECHO BEACH";1712660184;1712660517;;;"https://open.spotify.com/track/4FNqxVeOQh6Pnztx9WpiHD"
"Cimarons";"On the rock";"Dim the light";;"SOUL POSTERS";1712660508;1712660802;"https://music.apple.com/fr/album/dim-the-light/150411971?i=150412889&uo=4";;
"Diverslove Grocer";"Various/A dubber's guide";"Waiting at the gate";2001;"DUBHEAD";1712660799;1712661083;;;
"Congos";"Congos /Revival";"Arron & Moses (dub)";1998;"VPR";1712661081;1712661332;;;
"Bost & Bim";"Bost & Bim feat.Brisa Roché & Winston McAnuff";"I won't be afraid (feat. Winston McAnuff)";2017;"THE BOMBIST";1712661331;1712661579;;;
"Larry Marshall";"Studio One story";"Nanny goat";2002;"SOUL JAZZ RECORDS";1712661574;1712661713;;;
"Pierpoljak";"A la campagne en Jamaica";"C'est une chance";1997;"BARCLAY";1712661711;1712662013;;"https://www.deezer.com/track/2528731";
"King Simeon";"Step4i / Vol 6";"Late night";2010;"ORIGINAL DUB GATHERING";1712662010;1712662239;;;
"Iration Steppas";"King size dub / Vol. 1";"High rise vibrations (remix - unreleased version)";1995;"ECHO BEACH";1712662237;1712662658;;;
"M Panada";"M'panada!";"Je t'ai aidé";2002;"SALUT";1712662648;1712662934;;;
"Quantic";"Magnetica (cd promo)";"Caruru";2014;"TRU THOUGHTS";1712662930;1712663138;;"https://www.deezer.com/track/75603260";
"Ken Boothe";"Inna de yard";"Black, gold and green";2017;"CHAPTER TWO RECORDS";1712663136;1712663340;"https://music.apple.com/fr/album/black-gold-and-green/1291337321?i=1291337768&uo=4";"https://www.deezer.com/track/131314360";"https://open.spotify.com/track/6wcIVxE7xgtyyO7haUHv4h"
"Eek A Mouse";"Eek-Ology";"Ganja smuggling";1981;"GREENSLEEVES RECORDS";1712663335;1712663563;;;
"Deemas J";"Wrongtom meets";"See boom bye (Wrongtom's oystah mix)";2019;"TRU THOUGHTS";1712663556;1712663740;;;
"Tippa Irie";"Rebel on the roots corner";"Rebel on the roots corner";1994;"ARIWA SOUNDS LTD";1712663735;1712663949;"https://music.apple.com/fr/album/rebel-on-the-roots-corner/286612256?i=286612448&uo=4";;"https://open.spotify.com/track/0U1P4ipyAf0heQQObMjYeV"
"Tnt Roots";"Step4i / Vol 6";"LionHeart stepper";2010;"ORIGINAL DUB GATHERING";1712663947;1712664201;;;
"Tommy Mac Cook";"Blazing horns / Tenor in roots";"Way down in south";2003;"BLOOD AND FIRE";1712664188;1712664343;;;
"Prince Fatty";"In the viper's shadow";"Deep Sleep";2019;"EVERGREEN RECORDINGS";1712664338;1712664579;;;"https://open.spotify.com/track/4zlor20CvFquNhX4djhF8d"
"Onejiru";"Higher than high";"No place to hide";2019;"Z-MUZIC";1712664576;1712664762;"https://music.apple.com/fr/album/no-place-to-hide/1603217121?i=1603217960&uo=4";"https://www.deezer.com/track/1609811892";"https://open.spotify.com/track/0VA3I12ay7uuFpF5elz5lZ"
"Jim Murple Memorial";"Put things right";"Humpty dumpty";2007;"PIAS";1712664760;1712664942;;;
"Gregory Isaacs";"Mr. Isaacs / Leggo dub";"Get ready";1982;"VP RECORDS";1712664940;1712665225;;;
"Mad Professor";"A feast of yellow dub";"One nasty ex-president";;"RAS OU RAS RECORDS";1712665219;1712665507;"https://music.apple.com/fr/album/one-nasty-ex-president/1702828916?i=1702828923&uo=4";"https://www.deezer.com/track/2427635045";"https://open.spotify.com/track/5CKfkeb1oUfkDaEnVvNQZc"
"Kastrierte Philosophen";"King size dub / Vol. 3";"Home (dub penalty)";1997;"ECHO BEACH";1712665504;1712665811;;;
"Johnny Clarke";"Rastafari : The dreads enter Babylon 1955-83";"None shall escape the judgement";1974;"SOUL JAZZ RECORDS";1712665806;1712666022;;;
"Linton Kwesi Johnson";"Forces of victory";"Fite dem back";1979;"ISLAND";1712666018;1712666280;"https://music.apple.com/fr/album/fite-dem-back/1444033261?i=1444033724&uo=4";;"https://open.spotify.com/track/5WSQjKdZB89Xd5k2FGmcdq"
"Limousine";"L'été suivant";"Les amis de Pointe Noire";2019;"EKLER O SHOCK";1712666269;1712666552;"https://music.apple.com/fr/album/les-amis-de-pointe-noire/1453165944?i=1453166014&uo=4";"https://www.deezer.com/track/633587032";"https://open.spotify.com/track/7EfdWNMwODv6xqgnZUdpLz"
"Looney Roots";"King size dub/ Reggae Germany downtown (Chapter 3)";"Liberator (Aldubb Remix)";2017;"ECHO BEACH";1712666551;1712666814;"https://music.apple.com/fr/album/liberator-aldubb-remix/1236095438?i=1236096141&uo=4";;
"Livin Soul";"Sweet lane";"Vampire";2003;"ACTIVE";1712666806;1712666966;;;
"Freddie Mac Gregor";"Across the border";"Freedom, justice & equality";1992;"RAS RECORD";1712666959;1712667135;;;
"Earl 16";"King Size Dub (Vol.5)";"Cyber town";1999;"ECHO BEACH";1712667132;1712667400;;"https://www.deezer.com/track/781079";
"TOYAN";"How the West Was Won";"Bully dread";2002;"GREENSLEEVES RECORDS";1712667398;1712667599;;"https://www.deezer.com/track/6699325";
"Al Campbell";"Dub landing / Vol. 1";"I need your loving";2018;"GREENSLEEVES / VP";1712667600;1712667810;"https://music.apple.com/fr/album/i-need-your-loving/1369191391?i=1369192238&uo=4";;"https://open.spotify.com/track/3u35aGFbOZerLtmpa4OUzR"
"Keith Hudson";"Playing it cool and playing it right";"By night dub";;"BASIC REPLAY";1712667805;1712667972;;;"https://open.spotify.com/track/61o8aanvXhCveuqowIC4fq"
"Nikko";"Roots de Guyane";"Civilisation";2003;"VIRGIN";1712667971;1712668162;;;
"Suga Roy & The Fireball Crew";"Honoring the kings of reggae";"Do you remember the days";2016;"FIRE BALL RECORDS";1712668155;1712668389;;"https://www.deezer.com/track/362816861";
"Talisman";"Nothing change : the best of Talisman 1977-2018";"Lick and run";2018;"SUGAR SHACK RECORDS";1712668385;1712668578;;;"https://open.spotify.com/track/6W7NE6jo0jAyyYjudp6idO"
"The Abyssinians";"Arise";"Let my days be long";1978;"VIRGIN";1712668568;1712668778;"https://music.apple.com/fr/album/let-my-days-be-long/724567227?i=724567643&uo=4";;"https://open.spotify.com/track/2aj2FwcVRN2Aw2w3IJm2Qx"
"Owen Silvera";"Treasure isle ska rarities";"Practice what you preach";2019;"TROJAN RECORDS";1712668770;1712668951;;"https://www.deezer.com/track/761971152";"https://open.spotify.com/track/4FjXZOsZy1DKHNUMH5W2LI"
"Talvin Singh";"Ha";"Dubla";2001;"ISLAND";1712668939;1712669244;"https://music.apple.com/fr/album/dubla/1446016991?i=1446017359&uo=4";;"https://open.spotify.com/track/2Gd5yurLItyepZDLc1EGlh"
"The Black Shadows";"Sound system : the story of jamaican music / CD3";"Brother Noah";2012;"ISLAND";1712669243;1712669566;;;
"Flox";"Coming out";"Coming out";2020;"UNDERDOG RECORDS";1712670786;1712670907;"https://music.apple.com/fr/album/coming-out/1509226772?i=1509227085&uo=4";"https://www.deezer.com/track/937063372";"https://open.spotify.com/track/5uTIlNwkcwuCdk6ITUXcnt"
"Clinton Fearon";"Give & take";"Movin' up";2004;"SANKOFA";1712670906;1712671165;"https://music.apple.com/fr/album/movin-up/925510533?i=925510569&uo=4";"https://www.deezer.com/track/87442105";"https://open.spotify.com/track/0KwmLUH2Nzu9HbIg0QuGUp"
"King Tubby";"Dub hits from Studio One";"Human rights dub";1997;"RHINO RECORDS";1712671162;1712671375;;;
"Mungo'S Hi-Fi";"Puffer's choice";"Raggamuffin Rock";2016;"SCOTCH BONNET RECORDS";1712671366;1712671672;;;
"King Stitt";"Reggae fire beat";"On the street";1996;"JAMAICAN GOLD";1712671670;1712671870;;"https://www.deezer.com/track/1780041117";
"Protoje";"In search of lost time";"Deliverance";2020;"RCA";1712671866;1712672072;"https://music.apple.com/fr/album/deliverance/1526149152?i=1526149155&uo=4";;"https://open.spotify.com/track/1sbckvZ5sP7vGy7AZ1Xl0n"
"Pupajim";"Our own way";"Belleville rap";2020;"STAND HIGH";1712672071;1712672280;;;
"Radio Byzance";"Positive wave";"Kanaka";2020;"OGD PROD";1712672274;1712672563;"https://music.apple.com/fr/album/kanaka/1530390084?i=1530390310&uo=4";"https://www.deezer.com/track/1069772062";"https://open.spotify.com/track/1rtriQSw41h3M24pDTMN0s"
"Teldem Com'Unity";"Absorption";"Agh";2013;"GREENINCH SOUND";1712672558;1712672834;;;
