"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Jah Shaka";"Imperial Dub - Commandments of Dub Chapter 8";"Roots of David Dub";1988;"JAH SHAKA MUSIC";1712570400;1712570645;"https://music.apple.com/fr/album/roots-of-david-dub/601650505?i=601651421&uo=4";"https://open.spotify.com/track/6nkmn7k15mdH882oDuYB95";
"Liam Bailey";"Zero grace";"Mercy tree";2024;"BIG CROWN RECORDS";1712570642;1712570867;;"https://open.spotify.com/track/4si8qnFgDfhJpI1PFVQmk2";
"Joe Yorke";"Hopeless";"Crazy love (feat. Solo Banton)";2023;"RHYTHM STEADY";1712570867;1712571055;;;
"Blundetto";"Mama genso (feat. Laurent Bardainne)";"Mama genso (feat. Laurent Bardainne)";2022;"LES RYTHMES RUBAN";1712571053;1712571238;;;
"Bernard Lavilliers";"Histoires";"Pigalle la blanche";1981;"BARCLAY";1712571237;1712571507;"https://music.apple.com/fr/album/pigalle-la-blanche/1440787052?i=1440787406&uo=4";;"https://www.deezer.com/track/568134282"
"Ernie Smith";"Yesterday";"You won´t see me";1996;"TROJAN RECORDS";1712571506;1712571740;;;
"Johnny Nash";"Johnny nash super hits";"Tears on my pillow";1976;"COLUMBIA";1712571737;1712571926;;;"https://www.deezer.com/track/549540"
"Horthens & Stranger";"If I Had a Pair of Wings : Jamaican Doo Wop, Vol. 1";"True love";2018;"DEATH IS NOT THE END";1712571925;1712572071;;;
"The Deltones";"Playtime reggae / Vol. 2";"20 I'll take you there";1972;"HI ET FLY RECORDS";1712572069;1712572235;;;
"Lidiop";"Real Step";"Wake up";2023;"BASSAJAM RECORDS";1712572234;1712572467;;"https://open.spotify.com/track/3rg4MnBZSBGBhyNPAX82sV";
"Bob Marley & The Wailers";"Babylon by bus";"Positive Vibration";1978;"ISLAND";1712572458;1712572808;"https://music.apple.com/fr/album/positive-vibration-live/1440814289?i=1440814428&uo=4";;"https://www.deezer.com/track/7278948"
"Malko";"Open ticket";"Escaping love (King)";2006;"BONSAI";1712572792;1712573054;;;
"Lily";"Tokyo riddim 1976-1985";"Tenkininaare";2024;"TIME CAPSULE";1712573050;1712573240;;;
"William Sheller";"Tu devrais chanter";"J'suis pas bien";1981;"MERCURY";1712573236;1712573427;"https://music.apple.com/fr/album/jsuis-pas-bien/1444025653?i=1444026702&uo=4";;"https://www.deezer.com/track/514432832"
"Tapper Zukie";"Escape from hell";"Population dub";2016;"JAMAICAN RECORDINGS";1712573426;1712573626;;;
"Tu Shung Peng";"Channel 5";"Please come back Home (feat. The Viceroys)";2020;"WISE STUDIO KHANTI RECORDS";1712573626;1712573863;;;
"Pat Kelly";"Better get ready";"Midnight hour";2016;"KINGSTON SOUNDS";1712573861;1712574053;;;
"Bost";"Warrior brass";"Je t'aime moi non plus";2021;"THE BOMBIST";1712574049;1712574252;;;
"Black Uhuru";"Red";"Puff she puff";1981;"ISLAND";1712574251;1712574557;"https://music.apple.com/fr/album/puff-she-puff/1443089159?i=1443089609&uo=4";"https://open.spotify.com/track/1mHgl10jDpjHPtM8auxWG2";
"Hollie Cook";"Twice";"Postman";2014;"MR BONGO";1712574548;1712574798;"https://music.apple.com/fr/album/postman/833532577?i=833532660&uo=4";"https://open.spotify.com/track/0T4AFQHEOzsnSovzEhRCXG";
"Bacao Rhythm & Steel Band";"BRSB";"Love$ick";2024;"BIG CROWN RECORDS";1712574797;1712574962;;"https://open.spotify.com/track/5FbgCaHW4BNEB1IRm8yDAX";"https://www.deezer.com/track/2540888971"
"Toots And The Maytals";"Got to be tough";"Freedom train";2020;"TROJAN JAMAICA";1712574958;1712575180;;;
"Stanley Beckford";"Plays mento";"Hold him Joe";2002;"BARCLAY";1712575178;1712575349;;;
"Roland Vincent";"Scandale dans la famille / Quand un bateau passe / Tu le regretteras / Aline";"Scandale dans la famille";1965;"TRIANON";1712575344;1712575517;;;
"Pinnacle Sound";"Still dread";"Thank you";2024;"BAT RECORDS";1712575510;1712575790;;"https://open.spotify.com/track/60sXFgmNntRWBOr0SMlXYY";"https://www.deezer.com/track/2668915772"
"Brain Damage & Big Youth";"Beyond the blue";"Play it again";2021;"JARRING EFFECTS";1712575789;1712575988;"https://music.apple.com/fr/album/play-it-again/1556274308?i=1556275272&uo=4";;
"Christian Sands";"Facing dragons";"Sunday mornings";2018;"MACK AVENUE";1712575987;1712576433;"https://music.apple.com/fr/album/sunday-mornings/1417343266?i=1417344110&uo=4";"https://open.spotify.com/track/530AZwoo6ZzpBvPmeGxcae";
"Norris Reid";"Jah shaka presents the positive message";"Protect them";;"GREENSLEEVES RECORDS";1712576428;1712576591;"https://music.apple.com/fr/album/protect-them/383537667?i=383537704&uo=4";"https://open.spotify.com/track/0cPcYE8yXizecx8NOv1Tnk";"https://www.deezer.com/track/132501306"
"Keith Hudson";"Down in the dub vaults";"Bloody eyes";1978;"VP RECORDS / GREENSLEEVES RECORDS";1712576588;1712576815;"https://music.apple.com/fr/album/bloody-eyes/519212090?i=519212362&uo=4";"https://open.spotify.com/track/4gNcrs38rpDkbpQPI3VwMQ";
"Ken Boothe";"Everything I own";"Can't see you";1997;"TROJAN RECORDS";1712576810;1712576982;;;
"Samory I";"Strength";"Jah Love";2023;"EASY STAR RECORDS";1712576980;1712577221;"https://music.apple.com/fr/album/jah-love/1709990247?i=1709991896&uo=4";"https://open.spotify.com/track/2gO2pcY3bK8IpIAKPvHDq5";
"Biga Ranx";"Nice thing";"Nice thing";2023;"WAGRAM MUSIC - W LAB";1712577219;1712577362;;;
"Horace Andy";"Midnight scorchers";"More bassy";2022;"ON-U SOUND";1712577361;1712577575;;"https://open.spotify.com/track/4jrd0KaZnmv4zYMiNaRD0S";
"Linda Mac Cartney";"Wide prairie";"Mister Sandman";1998;"PARLOPHONE";1712577575;1712577744;;;
"Matumbi";"Empire road - The best of Matumbi";"Guide us jah";1978;"EMI RECORDS";1712577742;1712577978;;;
"John Holt";"Essential artist collection";"I'd love you to want me";2023;"TROJAN RECORDS";1712577976;1712578168;;"https://open.spotify.com/track/2FpdjPZjRBIe39bZVL5RJ3";
"Pierpoljak";"Kingstonkarma";"Je sais pas jouer";1998;"BARCLAY";1712578166;1712578411;"https://music.apple.com/fr/album/je-sais-pas-jouer/1444050445?i=1444050449&uo=4";;
"Augustus Pablo";"Trojan dub massive chapter two";"Bedroom Mazurka Version";2005;"TROJAN";1712578408;1712578556;;;
"Lee Scratch Perry & The Upsetters";"This is trojan boss reggae";"What a botheration";1968;"TROJAN RECORDS";1712578554;1712578733;;;
"The Skatalites";"Foundation ska";"Simmer down";1964;"HEARTBEAT";1712578731;1712578898;;;
"The Merritonians";"The Merritonians";"Man next door";2023;"DOGHOUSE AND BONE RECORDS";1712578894;1712579136;;;
"Culture";"Reggae anthology : Natty dread taking over";"Two sevens clash";1977;"VP MUSIC";1712579133;1712579339;"https://music.apple.com/fr/album/two-sevens-clash/1231455433?i=1231455437&uo=4";"https://open.spotify.com/track/4ueq6n73MAh23KMabKrpI0";"https://www.deezer.com/track/8074898"
"Serge Gainsbourg";"Aux armes et caetera";"Lola rastaquouaere";1979;"PHILIPS";1712579337;1712579556;;;
"Johnny Clarke";"Creation rebel";"Move out of Babylon rastaman";1974;"VP RECORDS / 17 NORTH PARADE";1712579556;1712579767;;;
