"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Michael Rose";"Weed a bun vol. 1";"Ouncey boy";2005;"JET STAR";1712052000;1712052232;;;
"Alborosie";"Specialist presents Alborosie & friends";"Informa (feat. Lady Ann)";2014;"VP MUSIC";1712052227;1712052426;"https://music.apple.com/fr/album/informa-feat-lady-ann/1101934912?i=1101935234&uo=4";"https://www.deezer.com/track/122551884";"https://open.spotify.com/track/2tuIZ7xdoJ1EAO8h6W4zpd"
"Phyllis Dillon";"Dillon Phyllis/Love is all i had/A tribute to the queen of jamaican soul";"Tulips (and heather)";2004;"TROJAN";1712052418;1712052605;;;
"Pierpoljak";"Ma chanson d'enfance";"L'eau vive";2001;"ULM";1712052598;1712052778;"https://music.apple.com/fr/album/leau-vive/1442207617?i=1442208012&uo=4";;
"The Selecter";"Daylight";"The big badoof";2017;"DMF RECORDS";1712052776;1712053022;"https://music.apple.com/fr/album/the-big-badoof/1446576449?i=1446576455&uo=4";"https://www.deezer.com/track/604237712";"https://open.spotify.com/track/2bvJdBX2JVfOlM3KiK7nwB"
"Toots And The Maytals";"True love";"Reggae got soul";2004;"V2";1712053014;1712053186;;;
"Yami Bolo";"He who knows it feels it";"King's birthday";1991;"HEARTBEAT";1712053178;1712053400;"https://music.apple.com/fr/album/kings-birthday/1476614873?i=1476615148&uo=4";;"https://open.spotify.com/track/5jFh528EdwWAMXsmGBg8Bi"
"Stand High Patrol";"In the park";"In the park";2019;"STAND HIGH";1712053387;1712053574;"https://music.apple.com/fr/album/in-the-park/1481363908?i=1481363911&uo=4";;"https://open.spotify.com/track/7Lw46iJaoTYIcedDhfMMDa"
"The Hempolics";"Love to sing";"Love to sing";2015;"SCOTCH BONNET RECORDS";1712053572;1712053792;"https://music.apple.com/fr/album/love-to-sing/1016903342?i=1016903438&uo=4";;"https://open.spotify.com/track/71QLlghz2nGjsZ5ErZCYkC"
"Tommy Mc Cook & The Upsetters";"Dub-triptych";"Cloak & dagger : rude walking";2004;"TROJAN RECORDS";1712053788;1712053978;;;
"Morgan Heritage";"Don't haffi dread";"Ready to work";2000;"JAHMIM' RECORDS";1712053977;1712054224;;;"https://open.spotify.com/track/775aj2x18BGK41djyZ7xVE"
"Flick Wilson";"Blackbeard calling - Hulk's reggae archives / Vol. 1";"Jah Rules Forever";2020;"PATATE RECORDS";1712054214;1712054378;;;
"Alpha Steppa";"Raise the ark";"The living dub";2020;"STEPPAS RECORDS";1712054370;1712054593;"https://music.apple.com/fr/album/the-living-dub/1496646148?i=1496646371&uo=4";;"https://open.spotify.com/track/4lPgUnIJ2wwXWFtq3Diuyj"
"Easy Star All-Stars";"First Light";"Reggae pension";;"EASY STAR RECORDS";1712054587;1712054842;"https://music.apple.com/fr/album/reggae-pension/422500599?i=422500632&uo=4";"https://www.deezer.com/track/11481794";"https://open.spotify.com/track/75CUYHoKULmJs6sJmRzq55"
