"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Manjul Meets Fx And Yvo";"Sound therapy";"Long time no see";2021;"BACO MUSIC";1712483999;1712484263;;;
"Bob Marley & The Wailers";"Nice time";"Nice time";1967;"ESOLDUN";1712484262;1712484413;;;
"Pachyman";"Destroy the empire";"Destroy the empire";2021;"ATO RECORDS";1712484409;1712484609;"https://music.apple.com/fr/album/destroy-the-empire/1565171632?i=1565171777&uo=4";"https://www.deezer.com/track/1357529562";"https://open.spotify.com/track/6BvgJ5rz1awa1zL2ySnVfk"
"David Solid Gould";"Adonai in dub";"L'dor vador dub";2001;"TZADIK";1712484603;1712484859;;;
"Marcus Gad";"Rhythm of serenity";"Oh mama";2020;"LUSTRE KINGS";1712484856;1712485107;;"https://www.deezer.com/track/1030373812";"https://open.spotify.com/track/0yXVrq8lNY4xX4UwNReNwz"
"Aswad";"Aswad";"Ethiopian rhapsody";1976;"ISLAND";1712485096;1712485311;"https://music.apple.com/fr/album/ethiopian-rhapsody/1443724436?i=1443724671&uo=4";"https://www.deezer.com/track/2172272";"https://open.spotify.com/track/5hqfnK6bL52qUNnm2D0doZ"
"Alpha Blondy";"The best of Alpha Blondy";"Jerusalem";1987;"EMI";1712485301;1712485769;;;
"Horace Andy";"Mek it bun";"Satta massa gana";2002;"BMG";1712485768;1712485977;"https://music.apple.com/fr/album/satta-massa-gana/457323677?i=457323694&uo=4";;
"Blundetto";"Good good dub";"Barcelona dub";2021;"HEAVENLY SWEETNESS";1712485978;1712486131;"https://music.apple.com/fr/album/barcelona-dub/1598948770?i=1598948776&uo=4";;"https://open.spotify.com/track/4x0wjAdns0wfwcpmEYMPpn"
"The Clash";"Sandinista";"The crooked beat";1980;"CBS";1712486130;1712486458;"https://music.apple.com/fr/album/the-crooked-beat-remastered/688793621?i=688796168&uo=4";;
"Alborosie";"Specialist presents Alborosie & friends";"Celebration (feat. Gentleman)";2014;"VP MUSIC";1712486458;1712486683;"https://music.apple.com/fr/album/celebration-feat-gentleman/1101934912?i=1101934920&uo=4";;"https://open.spotify.com/track/7mY0Y7BnjfnyyTTNmnU7rH"
"Fat Freddy's Drop";"Special Edition Part 1";"Special edition";2019;"THE DROP";1712486682;1712487068;"https://music.apple.com/fr/album/special-edition/1484829827?i=1484830120&uo=4";"https://www.deezer.com/track/783704672";"https://open.spotify.com/track/7o25eVyL2nZTuYN3Rl900h"
"The Skatalites";"Foundation ska";"Ska la parisienne";1997;"HEARTBEAT";1712487068;1712487227;;;
"Susan Cadogan";"Trojan upsetter box set";"Fever";1976;;1712487224;1712487366;;;"https://open.spotify.com/track/67XbgsGVwZTNCxj8XeiLHQ"
"The Paragons";"Jamaica soul 2";"Feel alright";2008;"CULTURE PRESS";1712487362;1712487575;;;
"Junior Murvin";"Arkology / Succès de 1976 à 1997";"Bad weed";;;1712487574;1712487814;"https://music.apple.com/fr/album/bad-weed-disco-mix/1443778303?i=1443778553&uo=4";"https://www.deezer.com/track/905712";"https://open.spotify.com/track/1f0hWHjBRTd46tahyPjTky"
"Dub Spencer & Trance Hill";"The clashification of dub";"Police and thieves";;"ECHO BEACH";1712487814;1712488100;"https://music.apple.com/fr/album/police-and-thieves/419010885?i=419011010&uo=4";"https://www.deezer.com/track/488486182";"https://open.spotify.com/track/2Y7QcZ87hlah4pAVTkOf1N"
"Serge Gainsbourg";"De Gainsbourg a gainsbarre : Vol 8 : 1979-1980-1981";"Shush shush charlotte";1981;"PHONO";1712488098;1712488262;"https://music.apple.com/fr/album/shush-shush-charlotte/1443822658?i=1443825190&uo=4";"https://www.deezer.com/track/111347828";
