"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"The Viceroys";"Dub landing / Vol. 2";"I'm toiling on";2018;"GREENSLEEVES / VP";1711972904;1711973075;;"https://www.deezer.com/track/489563122";"https://open.spotify.com/track/0rsvnxFKlakVNI3j5U7zHN"
"Marcus Gad";"Rhythm of serenity";"Cane & cotton";2020;"LUSTRE KINGS";1711973068;1711973344;;;"https://open.spotify.com/track/3tkEb9qBOVjt9ApjLjnHiH"
"Nazamba";"Nazamba";"Politricks (feat. Soom T)";2019;"DUBQUAKE RECORDS";1711973330;1711973559;"https://music.apple.com/fr/album/politricks-feat-soom-t/1463769868?i=1463769877&uo=4";;"https://open.spotify.com/track/34EzgRgMka134RuWFqnpqv"
"O.B.F & Eek-A-Mouse & Charlie P & Killa P";"Signz Series #5";"Dub ah gwan master";2020;"DUBQUAKE RECORDS";1711973544;1711973762;;;
"Niney The Observer";"Sledgehammer dub in the streets of Jamaica";"Dub long rastafari";1977;"MOTION RECORDS";1711973758;1711973954;;"https://www.deezer.com/track/75069888";
"Observer Allstars";"Heavyweight rib ticklers";"Sir Niney's rock";2002;"UNFOLD";1711973948;1711974150;;;
"Gregory Isaacs";"Substance free";"Fit for soceity";;"VIZIONS SOUNDS RECORDS";1711974145;1711974389;;;
"Double Tiger";"The journey";"Situation critical";2020;"EASY STAR RECORDS";1711974385;1711974601;;"https://www.deezer.com/track/1102501962";
"Dennis Brown";"Jammys from the roots (1977-1985)";"They fight I";;"GREENSLEEVES RECORDS";1711974595;1711974792;"https://music.apple.com/fr/album/they-fight-i/362214236?i=362219732&uo=4";"https://www.deezer.com/track/5654928";"https://open.spotify.com/track/0vHxMKh65GomLrc4wQ94Tn"
"Bob Marley & The Wailers";"Natural mystic";"Pimpers paradise";1980;"ISLAND";1711974787;1711974992;;;
"Bongo Herman";"Riding the roots chariot";"We are praying";2013;"CRYSTAL RECORDS";1711974983;1711975137;;;
"Dillinger";"The roots of the rasta/Tale 1 Marcus, Negus, Exodus";"Addis Ababba Ethiopia";2008;"JAHSLAMS";1711975131;1711975370;;"https://www.deezer.com/track/580470492";
"Eek A Mouse";"Eek-Ology";"Georgie porgie";2013;"GREENSLEEVES RECORDS";1711975368;1711975563;;;
"Johnny Clarke";"Rare Grooves Reggae by Nova";"Crazy baldhead";2005;"NOVAREC";1711975557;1711975774;;"https://www.deezer.com/track/4261381";
"Knowledge";"Rare roots reggae";"Population (extended version)";2004;;1711975770;1711976142;;;
"PABLO MOSES";"The revolutionary years 1975 - 1983";"PROVERBS EXTRACTION";1981;"GROUNDED MUSIC";1711976139;1711976399;;;
"The Merritonians";"The Merritonians";"Coco boobs";2023;"DOGHOUSE AND BONE RECORDS";1711976399;1711976569;;;
"The Gladiators";"Fire Over Babylon (Dread, Peace and Conscious Sounds at Studio One)";"Serious thing";1984;"SOUL JAZZ RECORDS";1711976566;1711976744;;;"https://open.spotify.com/track/1Svrl2fy1KQHRKcaajN5yc"
"Joe Yorke & The Co-Operators";"A distant beat";"No good for me";2023;"WAGGLE DANCE RECORDS";1711976742;1711976928;"https://music.apple.com/fr/album/no-good-for-me/1681380793?i=1681380795&uo=4";;
"Hollie Cook";"Twice (CD Promo)";"Postman";2014;"MR BONGO";1711976926;1711977175;"https://music.apple.com/fr/album/postman/833532577?i=833532660&uo=4";"https://www.deezer.com/track/75768867";"https://open.spotify.com/track/0T4AFQHEOzsnSovzEhRCXG"
"Bob Marley";"Keep on skanking";"Send me that love";1998;"PENSE A MOI";1711977172;1711977377;;;
"King Tubby";"Explosive dub";"Send me dub";2001;"CLOCKTOWER PUBLISHING";1711977374;1711977598;;"https://www.deezer.com/track/79257179";"https://open.spotify.com/track/60vx0g9rNLL0Omqv44AmXW"
"Steel Pulse";"Sound system : the story of jamaican music / CD1";"Sound system";1985;"ISLAND";1711977594;1711977785;;;
"Soom T";"The louder the better";"Don't make me";2023;"RENEGADE MASTERS / X RAY PRODUCTIONS";1711977782;1711977987;"https://music.apple.com/fr/album/dont-make-me/1693793627?i=1693793628&uo=4";"https://www.deezer.com/track/2337723855";"https://open.spotify.com/track/3yRgcsVCe0Qai5Guw2quNp"
"Carroll Thompson";"Hopelessly in Love";"Your love (12' mix)";2021;"TROJAN RECORDS";1711977983;1711978204;;;
"Inna De Yard & Horace Andy";"FIP Reggae";"Skylarkling";2020;"WAGRAM";1711978204;1711978432;;;
"Monty Alexander";"Yard movement";"Strawberry hill";1996;"ISLAND";1711978431;1711978863;;"https://www.deezer.com/track/410523922";"https://open.spotify.com/track/3D6QqgIXIaxaVoENIWoM2s"
"Soothsayers";"Tradition";"Good vibrations";2018;"WAH WAH 45S";1711978862;1711979148;;;
"John Holt";"Soul Jazz records presents : Studio One rocksteady volume 2";"Strange things";1971;"SOUL JAZZ RECORDS";1711979146;1711979316;;"https://www.deezer.com/track/3566382";
"Les Fils De Teuhpu";"La schnek";"Awalpé";2000;"TRIPSICHORD";1711979315;1711979497;"https://music.apple.com/fr/album/awalp%C3%A9/283994132?i=283994143&uo=4";"https://www.deezer.com/track/890194";"https://open.spotify.com/track/4cHUyhoq1PxNub0EE75Hbl"
"Cornell Campbell";"Jamaica soul 2";"Didn't i";1969;"CULTURE PRESS";1711979496;1711979710;;"https://www.deezer.com/track/77870760";
"Quantic Presenta Flowering Inferno";"Dog with a hope (Quantic presenta Flowering inferno)";"Te pico el yaibi";2010;"TRU THOUGHTS";1711979708;1711980085;;;
"Aurita Castillo Y Su Conjunto";"Paradas continuas";"Chambacu";1960;"CONSECUENCIAS DISCOGRAFICAS";1711980085;1711980314;;"https://www.deezer.com/track/1268495292";
"Alborosie";"Destiny";"No good again";2023;"VP RECORDS";1711980313;1711980495;"https://music.apple.com/fr/album/no-good-again/1678831096?i=1678831664&uo=4";;"https://open.spotify.com/track/1FKvQHCUFpuUpHoXGpnD4m"
"Lyricson";"Maxi dub plate Usa";"Bad load";2002;"INDIGO BEAT - WESTINDIAN RECORDS";1711980492;1711980706;;"https://www.deezer.com/track/8980029";"https://open.spotify.com/track/7IvVruqIp06MA6sLs7ZGiT"
"The Skatalites";"Hi-bop ska";"Guns of Navarone";1994;"SHANACHIE";1711980705;1711981086;"https://music.apple.com/fr/album/guns-of-navarone/1566955552?i=1566955560&uo=4";"https://www.deezer.com/track/347175591";"https://open.spotify.com/track/2opejs2a1KzuIdeVpBKA0H"
"Toots And The Maytals";"True love";"Reggae got soul";2004;"V2 MUSIC";1711981085;1711981257;;;
"Inna De Yard";"Family affair";"Fire burn";2023;"CHAPTER TWO";1711981256;1711981516;;"https://www.deezer.com/track/2351925855";"https://open.spotify.com/track/6rbtu3IuB2O1WhmJuY0q2u"
"Manu Dibango";"À la Jamaïque";"Doctor bird";1980;"SOUL MAKOSSA";1711981512;1711981811;"https://music.apple.com/fr/album/doctor-bird/951315546?i=951315549&uo=4";;"https://open.spotify.com/track/2ovJSEoH7GwTAsj357QPfG"
"Half Pint";"Essential roots anthology";"Officer";1984;"HALF PINT MUSIC - EMG";1711981810;1711982037;"https://music.apple.com/fr/album/officer/291240948?i=291241109&uo=4";;
"Tapper Zukie";"Escape from hell";"Squatters dub";2016;"JAMAICAN RECORDINGS";1711982035;1711982228;;;
"Horace Ferguson";"Sensi addict";"Slave";1987;"333";1711982227;1711982426;;"https://www.deezer.com/track/1879462267";
