"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Admiral Bailey";"Planete raggamuffin 2";"X rated country";1996;"DCIC";1712397595;1712397795;;;
"Bongo Man Byfield";"This is reggae music : The golden era 1960 - 1975";"Bongo man";2005;"DECLIC";1712397790;1712397978;;;
"Culture";"Reggae anthology : Natty dread taking over";"Love shines brighter";2012;"VP MUSIC";1712397975;1712398206;"https://music.apple.com/fr/album/love-shines-brighter/543064123?i=543064172&uo=4";"https://open.spotify.com/track/7pMgDp7PRvAixDvcv68j5J";
"Derrick Morgan";"This is Derrick Morgan";"Keep on fooling me";2016;"KINGSTON SOUNDS";1712398199;1712398414;;;
"George Nooks";"We Sing Gregory";"Private secretary";2004;"NAIVE RECORDS";1712398409;1712398648;;;
"I Kong";"Pass it on";"Cool runnings";2019;"EVIDENCE MUSIC";1712398643;1712398880;;"https://open.spotify.com/track/0yeIR3SCVTw0nW9zHYK6lJ";
"Jolly Boys";"The roots of reggae";"Lindstead market";1977;"LYRICHORD";1712398878;1712399046;;;
"Josey Wales";"Chaka Demus & Pliers - Meet Shabba Ranks & Friend";"Send fi josey";;"RHINO RECORDS";1712399039;1712399255;;;
"Determine";"Morgan heritage family and friends";"Feel so good";2002;"HERITAGE MUSIC GROUP";1712399250;1712399475;;;
"Phyllis Dillon";"Dillon Phyllis/Love is all i had/A tribute to the queen of jamaican soul";"Living in love";2004;"TROJAN";1712399470;1712399620;;;
"Rocksteady";"BOF / Rocksteady : The roots of reggae";"Sounds & pressure";2009;"MOLL-SELEKTA";1712399615;1712399879;;;
"The Black Seeds";"On the sun";"So true";2012;"MUSIC HALL";1712399871;1712400101;;"https://open.spotify.com/track/3ASP6Fj83osAsLoxfvKqgC";"https://www.deezer.com/track/706109012"
"The Wailing Souls";"On the rocks";"Stop red eye";1983;"GREENSLEEVES RECORDS";1712400096;1712400289;;;
"Third World";"Conversation";"Getting on fire";1998;"TOTEM RECORDS";1712400281;1712400527;;;
"Lizzard";"A place called Africa / Vol. 1";"Ithiopians";2002;"TROJAN RECORDS";1712400519;1712400653;;;
"Sister Charmaine";"Chaka Demus & Pliers - Meet Shabba Ranks & Friend";"Matey fret";;"RHINO RECORDS";1712400645;1712400884;;;
"Dennis Brown";"The crown prince of reggae - Singles : 1972 - 1985";"Troubled world";2010;"VP MUSIC";1712400879;1712401253;;"https://open.spotify.com/track/55uO3HEGR5NFGamNrm8lmt";"https://www.deezer.com/track/7571167"
"Isaac Chambers & Dub Princess";"Isaac Chambers & Dub Princess";"Back to my roots";2015;"ISAAC CHAMBERS";1712401245;1712401561;"https://music.apple.com/fr/album/back-to-my-roots/1074371167?i=1074372641&uo=4";;
"International Observer";"King Size Dub (Chapter eight)";"Zoom lo fi";2002;"ECHO BEACH";1712401552;1712401861;;;
"Ini Kamoze";"Dancehall : the rise of Jamaican dancehall culture";"World a music";1984;"SOUL JAZZ RECORDS";1712401856;1712402191;"https://music.apple.com/fr/album/world-a-music/348775724?i=348775753&uo=4";"https://open.spotify.com/track/2SE11vmjbi7j5QKJ885ib6";"https://www.deezer.com/track/11622585"
"Roland Alphonso";"Treasure isle/Duke Reid's legacy/The true story of ska, rocksteady, dub and reggae";"The green door";2007;"JAHSLAMS";1712402185;1712402363;;;
"Morgan Heritage";"Don't haffi dread";"Reggae road block";2000;"JAHMIM' RECORDS";1712402360;1712402605;;;"https://www.deezer.com/track/12064154"
"Gregory Isaacs";"All I have is love : Anthology 1968-1995";"Be yourself (african woman)";;"TROJAN RECORDS";1712402604;1712402763;;;
"Delroy Wilson";"Tropical trips vol. 1";"Inner city blues";1982;"CREE RECORDS";1712402750;1712403000;"https://music.apple.com/fr/album/inner-city-blues/76970655?i=76970344&uo=4";;"https://www.deezer.com/track/74252484"
"Luciano";"Rub-a-dub market";"Feeling for love";2011;"IRIEVIBRATIONS RECORDS";1712402990;1712403253;"https://music.apple.com/fr/album/feeling-for-love/1675785197?i=1675785464&uo=4";"https://open.spotify.com/track/0JQVENW57OuwCFN0Bwe6oQ";"https://www.deezer.com/track/1894018637"
"The Souljazz Orchestra";"Under burning skies";"Tambour à deux peaux";2017;"STRUT RECORDS";1712403252;1712403518;"https://music.apple.com/fr/album/tambour-%C3%A0-deux-peaux/1253508521?i=1253508891&uo=4";"https://open.spotify.com/track/6BlLBH67HrKOsFyGTzI9Yi";"https://www.deezer.com/track/378123811"
"John Holt";"The tide is high/Anthology 1962 to 1979";"My best girl";2001;"TROJAN RECORDS";1712403515;1712403663;;;"https://www.deezer.com/track/143026054"
"Triston Palmer";"Compil./Birth of dancehall/Black solidarity 1976-1979";"Spliff tales";2012;"KINGSTON SOUNDS";1712403661;1712403841;;;
"Xiberoots";"Maule muffin";"Bonus track (Eüskal vibration)";2019;"AUROPRODUCTION/EGILEA EDITORE";1712403835;1712404043;;;
"Joe Batoury";"Gnaoua sound system (cd promo)";"Chaab";2011;"PADIDOU";1712404037;1712404325;;;
"Jimmy Cliff";"The best of Jimmy Cliff";"Rub a dub partner";1993;"VERSAILLES";1712404318;1712404493;;;
"Jaqee";"Land of the free";"Letter to Samson";2009;"MAKASOUND";1712404485;1712404764;"https://music.apple.com/fr/album/letter-to-samson/421665715?i=421666731&uo=4";"https://open.spotify.com/track/2q2oMeJIn0Y0OfmDyrCK7z";
"Don Drummond & Roland Alphonso";"Independence ska & the far east sound";"Heaven and earth";;"STUDIO ONE / SOUL JAZZ RECORDS";1712404759;1712404966;"https://music.apple.com/fr/album/heaven-and-earth/961640616?i=961640725&uo=4";;
"Frank Cosmo";"Treasure isle ska rarities";"I'm all alone";2019;"TROJAN RECORDS";1712404962;1712405116;;;
"David Hillyard & The Rocksteady 7";"Friends & enemies";"In A Mellow Tone";2012;"BRIXTON RECORDS";1712405107;1712405419;;;
"Slim Smith";"Mirror to the soul";"My conversation";1968;"SOUL JAZZ RECORDS";1712405417;1712405616;"https://music.apple.com/fr/album/my-conversation/504936006?i=504936008&uo=4";;
"Freddie Mac Kay";"Dub landing / Vol. 2";"A message";2018;"GREENSLEEVES / VP";1712405611;1712405773;;;
"Dubmatix";"Rebel massive";"Pull up selector";2013;"ECHO BEACH";1712405765;1712405979;;"https://open.spotify.com/track/0uMDsvUk6bi2E0ijdqkoMA";
"Dub Syndicate";"The royal variety show / Best of";"Mafia";;"ON-U SOUND";1712405972;1712406395;"https://music.apple.com/fr/album/mafia/1004600072?i=1004600203&uo=4";"https://open.spotify.com/track/6bVB9tTvajfviStfhcaF2d";"https://www.deezer.com/track/101615003"
"Beenie Man";"Concept of Life";"Do supmmm...";2007;"COSH";1712406388;1712406629;;;
"Moses I";"Morgan Heritage family and friends / Vol. 2";"Earth red";1999;"HEARTBEAT";1712406624;1712406862;;;
"Puddy Roots";"Compil./Birth of dancehall/Black solidarity 1976-1979";"Champion bubbler";2012;"KINGSTON SOUNDS";1712406850;1712407065;;;
"Mato";"Homework";"Indo silver club dub";2014;"FAVORITE RECORDINGS";1712407056;1712407188;;;
"Prince Far I";"Free from sin";"Go home on the morning train";1979;"TROJAN RECORDS";1712407185;1712407417;"https://music.apple.com/fr/album/go-home-on-the-morning-train/1523315962?i=1523315971&uo=4";"https://open.spotify.com/track/4lTpuWN4BszNdosghFuIeR";
"The Hot Shots";"This is Trojan reggae";"Snoopy vs the red baron";2018;"TROJAN RECORDS";1712407406;1712407593;;;
"Linval Thompson";"Dub landing / Vol. 1";"Galaxy";2018;"GREENSLEEVES / VP";1712407587;1712407756;;;
"Shinehead";"Reggae 100 % dynamite nyc";"Rough and rugged";;"SOUL JAZZ RECORDS";1712407749;1712407998;;;
"Singers & Players";"Trevor Jackson presents science fiction - Dancehall classics";"Kuntakinte dub";2015;"ON-U SOUND";1712407983;1712408285;;;
"JACKIE MITTOO";"Studio One rockers - The original";"Hot milk";;"SOUL JAZZ RE";1712408270;1712408394;"https://music.apple.com/fr/album/hot-milk/284280654?i=284281038&uo=4";"https://open.spotify.com/track/1Ehczq19bVKkchbAa41dxV";
"Luciano";"Rub-a-dub market";"Praise jah anytime";2011;"IRIEVIBRATIONS RECORDS";1712408395;1712408610;"https://music.apple.com/fr/album/praise-jah-anytime/1675785197?i=1675785732&uo=4";"https://open.spotify.com/track/5Dons6aeQZFHOA5ZR4Wcfo";
"Jah'Licious";"Delayed behaviour";"Panicked";2005;"SUGARLICKS";1712408609;1712408875;;;
"Ranking Toyan";"How the West Was Won";"Capital offence";;"GREENSLEEVES RECORDS";1712408872;1712409089;;;
"Ras Command";"King size dub / Vol. 3";"Love dub (drum-mix)";1997;"ECHO BEACH";1712409088;1712409497;;;
"Don Yute";"Hail Up The Taxi";"Freak out";1995;"ISLAND";1712409488;1712409741;;"https://open.spotify.com/track/45lfQmKOPronUdOlQAJv7A";
"Inner Circle Meets Maximillian At Channel One";"The Rough Guide to dub/Original dub masters:birthplace of modern dance music";"Down rhodesia";2005;"WORLD MUSIC NETWORK";1712409737;1712409948;;;
"Dub Syndicate";"Hard Food";"Love addis ababa";;"ECHO BEACH";1712409943;1712410261;"https://music.apple.com/fr/album/love-addis-ababa/948081560?i=948081569&uo=4";"https://open.spotify.com/track/4wBqbeLcpJaEk611aA4OIx";
"Culture";"Reggae anthology : Natty dread taking over";"Legalization";;"VP MUSIC";1712410254;1712410502;"https://music.apple.com/fr/album/legalization/543064123?i=543064197&uo=4";"https://open.spotify.com/track/0RvjyRjthwhlrTc6egaDNS";
