"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Otis Redding";"The Otis Redding story";"Security";1964;;1704038869;1704039020;"https://open.spotify.com/track/10nhpwBswpSd6YH9Lj9Jlj";"https://music.apple.com/fr/album/security/995810749?i=995810871&uo=4";
"Lutalo";"Again";"Push back baby";2023;"WINSPEAR";1704039013;1704039262;"https://open.spotify.com/track/6k8PqwqN0DSpr9WAuhLMZI";"https://music.apple.com/fr/album/push-back-baby/1687307501?i=1687308019&uo=4";
"Fred Pallem & Le Sacre Du Tympan";"Cartoons";"Super Mario Bros";2017;"TRAIN FANTOME";1704039111;1704039334;;;
"Ahmad Jamal (Piano)";"The awakening";"You're my everything";1997;"IMPULSE";1704039262;1704039541;;;"https://www.deezer.com/track/62347608"
"Air";"Moon safari";"Kelly, watch the stars !";1998;"SOURCE/VIRGN";1704039541;1704039764;;;
"Taj Mahal & Keb Mo";"TajMo";"She knows how to rock me";2017;"CONCORD MUSIC GROUP";1704039761;1704039921;;;
"Espen Horne";"The anatomy of serene eloquence";"Don't fall asleep (feat. Faye Houston)";2023;"WAH WAH 45S";1704039918;1704040181;;"https://music.apple.com/fr/album/dont-fall-asleep-feat-faye-houston/1713904018?i=1713904024&uo=4";
"Pachyman";"The return of Pachyman";"Dub fellowship";2021;"ATO RECORDS";1704040177;1704040409;"https://open.spotify.com/track/4n3e4L8sbh8gY4NKZ2MLe0";"https://music.apple.com/fr/album/dub-fellowship/1565171632?i=1565172342&uo=4";"https://www.deezer.com/track/1357529642"
"Karolina";"All rivers";"Self voodoo (feat. Rejoicer)";2022;"TRU THOUGHTS";1704040408;1704040571;;;
"Karla Lazo";"Cien años";"Cien Anos";2023;"AUTOPRODUCTION";1704040570;1704040856;;"https://music.apple.com/fr/album/cien-a%C3%B1os-con-banda/1702556357?i=1702556358&uo=4";
"The Modern Lovers";"The beserkley years";"Ice cream man";1977;"RHINO RECORDS";1704040736;1704040918;;;
"Messer Chups";"Taste the blood of guitaracula";"The world we knew";2018;"MUSICK RECORDINGS";1704040916;1704041068;"https://open.spotify.com/track/1m3P6ndr2oHgeiWlqzkgZJ";"https://music.apple.com/fr/album/the-world-we-knew/1331325397?i=1331325758&uo=4";
"Big Bill Broonzy";"The complete Vogue recordings";"Black, brown & white";1951;"SONY";1704041067;1704041251;;;
"Astrel K";"Flickering i";"You could if you can";2022;"DUOPHONIC SUPER 45S";1704041249;1704041474;"https://open.spotify.com/track/0oVYyQbA9My4r6H4JxushV";;
"Mano Solo";"Marmaille nue";"La lune";1993;"CARRERE MUSIC";1704041472;1704041677;"https://open.spotify.com/track/3NNaESUdwJHIwVlW6yonLI";"https://music.apple.com/fr/album/la-lune/79582314?i=79582308&uo=4";
"Quatuor Arioso";"Ignaz Von Beecke : 3 quatuors à cordes";"Quatuor à cordes en Sol Maj m 11 : Menuetto";1999;"CPO";1704041672;1704041901;;;
"Metronomy";"Love letters (radio edit)";"Love letters (radio edit)";2014;"BECAUSE";1704041899;1704042089;"https://open.spotify.com/track/35AFGHT29lDn6sz1l6ZTID";;"https://www.deezer.com/track/441818842"
"Todd Rundgren";"Faithful";"Strawberry fields forever";1976;"RHINO RECORDS";1704042087;1704042315;"https://open.spotify.com/track/521nB2t5eMnSe2X1QZbv1o";"https://music.apple.com/fr/album/strawberry-fields-forever/1084189642?i=1084189648&uo=4";
"Palatine";"Phantômaton";"La sentinelle amadouée";2023;"YOTANKA RECORDS";1704042313;1704042532;"https://open.spotify.com/track/5kmFyiH7mzN80mimlcbgT7";;"https://www.deezer.com/track/2028189927"
"David Russell";"The grandeur of the baroque / David Russell interprète des oeuvres pour guitare";"Suite en Ré Maj CH 14 ( Sonate en Ré Maj CH 14 ) : Courante - version pour guitare";2012;"TELARC";1704042529;1704042713;;;
"Steven Soles";"Country funk III 1975-1982";"Shake the duct";1980;"LIGHT IN THE ATTIC RECORDS";1704042712;1704042897;;;
"Adrian Younge";"The American negro";"Watch the children";2021;"JAZZ IS DEAD";1704042890;1704043005;"https://open.spotify.com/track/7vHSdiZUoLKQSEKRAURRl1";"https://music.apple.com/fr/album/watch-the-children/1545429374?i=1545429506&uo=4";
"Arthur H";"L'homme du monde";"Dancing with Madonna";2008;"POLYDOR";1704043004;1704043345;"https://open.spotify.com/track/6VkxOq2SBaP0dafapfmgJv";;"https://www.deezer.com/track/882725"
"Andrew Bird";"I want to see pulaski at night";"Lit from Underneath";2013;"WEGAWAM MUSIC CO.";1704043249;1704043516;"https://open.spotify.com/track/69Rf00gat6GCwJjfI0OhHW";"https://music.apple.com/fr/album/lit-from-underneath/738404866?i=738404963&uo=4";
"The Rolling Stones";"Flowers";"Out of time";1967;"ABKCO RECORD";1704043442;1704043663;;"https://music.apple.com/fr/album/out-of-time/1440795364?i=1440796028&uo=4";"https://www.deezer.com/track/9956033"
"Jen Cloher";"Mana takatapui";"Mana takatapui";2022;"MARATHON ARTISTS";1704043661;1704043924;"https://open.spotify.com/track/5BTrenZmWPzTyGjigrRYbz";;"https://www.deezer.com/track/2034619907"
