"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"S.Mos";"Hip hop and jazz mixed up / Vol.2 (cd promo)";"Christo redentor";"2011";"MUSICAST";1735264125;1735264332;;"https://open.spotify.com/track/5ITyMTVJUs5zwOESU2vyt8";"https://www.deezer.com/track/65367289"
"Chris Connor";"Jazz vocals / Voice of cool / Vol 2";"Senor blues";"1959";"RHINO";1735264332;1735264504;"https://music.apple.com/fr/album/se%C3%B1or-blues/68236342?i=68235082&uo=4";;"https://www.deezer.com/track/103372526"
"Eddy Mitchell";"Toujours un Coin qui me rappelle 1964-1965";"Johnny merci";"1964";"BARCLAY";1735264499;1735264647;"https://music.apple.com/fr/album/johnny-merci/1442423408?i=1442424350&uo=4";;
"Quatuor Mosaiques";"Wolfgang Amadeus Mozart : Quatuors K 499 / K 589";"Quatuor à cordes n°20 en Ré Maj K 499 : Menuetto";"2001";"ASTREE";1735264647;1735264864;;;
"Fairouz";"The very best of Fairouz";"Ya ana ya ana";"1987";"LA VOIX DE L'ORIENT";1735264870;1735265008;;;
"Hindi Zahra";"Handmade";"Ahiawa (unplugged session)";"2011";"BLUE NOTE";1735265004;1735265290;;;
"King Gizzard & The Lizard Wizard";"Butterfly 3001";"Shanghai (The Scientist Dub)";"2022";"KGLW";1735265292;1735265531;;;"https://www.deezer.com/track/1621267212"
"Bacao Rhythm & Steel Band";"Expansions";"My jamaican dub";"2021";"BIG CROWN RECORDS";1735265529;1735265688;;;
"Spill Tab";"Pink limonade";"Pink limonade";"2024";"BECAUSE";1735265683;1735265825;;;
"Vincent Taeger & Le Jazz Kamasutra";"Ok crooner";"Sax addict";"2024";"BORN BAD";1735265824;1735266055;"https://music.apple.com/fr/album/sax-addict/1774805003?i=1774805022&uo=4";;
"David Bowie";"Young Americans";"Fame";"1975";"EMI";1735266054;1735266301;"https://music.apple.com/fr/album/fame/1195107061?i=1195110202&uo=4";;"https://www.deezer.com/track/2562064432"
"The Meters";"Zony mash";"Zony mash";"1969";"SUNDAZED";1735266297;1735266474;;;
"Bruno Pernadas";"Those who throw objects at the crocodiles will be asked to retrieve them";"Problem number 6";"2016";"PATACA DISCOS";1735266470;1735266733;;"https://open.spotify.com/track/53b4ay3zz0DpRd3QVgzaqW";
"Vanishing Twin";"Dream by numbers (EP)";"It sends my heart into a spin";"2017";"SOUNDWAY RECORDS";1735266732;1735266946;;"https://open.spotify.com/track/1AKO3b9RtAcqGoWYxxeQ1J";
"Paul Piot";"Tele music / Vol.1";"Il était une plage";"1985";"BMG";1735266947;1735267117;;;
"Philamore Lincoln";"The north wind blew south";"Temma Harbour";"1969";"EPIC - LEGACY";1735267108;1735267285;;;"https://www.deezer.com/track/708937922"
"The Incredible String Band";"The 5000 Spirits or the Layers of the onion";"No sleep blues";"1967";"FLEDG'LING RECORDS";1735267279;1735267508;"https://music.apple.com/fr/album/no-sleep-blues/397029239?i=397029241&uo=4";;
"Yves Simon";"BOF / L'amour ouf";"Au pays des merveilles de Juliet";"1973";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1735267505;1735267648;"https://music.apple.com/fr/album/au-pays-des-merveilles-de-juliet/1614480451?i=1614480454&uo=4";"https://open.spotify.com/track/7D0New1vUrPYEwwWO7iKl5";"https://www.deezer.com/track/1687807917"
"Julien Daian";"Suppose it is Butter";"The real McBuck";"2024";"French Paradox";1735267649;1735267859;;;
"A Tribe Called Quest";"Peoples instinctive travels and the path of rhythm";"Can I kick it ?";"1990";"JIVE/LEGACY";1735267857;1735268110;;;
"Glass Beams";"Mirage";"Taurus";"2021";"RESEARCH RECORDS";1735268109;1735268380;"https://music.apple.com/fr/album/taurus/1566192585?i=1566192589&uo=4";;"https://www.deezer.com/track/1364971102"
"Jimi Tenor";"Joystone";"I Wanna hook up with you";"2007";"SAHKO RE";1735268379;1735268638;;;
