"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Alan Moorhouse";"Blow Up Presents Exclusive Blend Volume 2";"Soul skimmer";"1970";"BLOW UP RECORDS";1715075933;1715076059;"https://open.spotify.com/track/6HuymD6qkaSdMG57xvrQVi";;
"Toots And The Maytals";"Funky kingston";"Funky kingston";"1973";"ISLAND";1715076057;1715076348;;;
"Céu";"Novela";"Raiou (feat. Ladybug)";"2024";"URBAN JUNGLE / ONERPM";1715076346;1715076664;;;
"Sarah Abdala";"Pueblo";"Terra";"2020";"POMAR CULTURAL";1715076661;1715076761;"https://open.spotify.com/track/5KiPatAZIQs6nRJbuErQVn";"https://www.deezer.com/track/2205297177";
"Greg Houben";"Pourvu qu'elles soient douces";"Pourvu qu'elles soient douces";"2018";"ALLUME LA MECHE";1715076759;1715076974;"https://open.spotify.com/track/5sI9v2Kqp8rvie6aEFW8nG";"https://www.deezer.com/track/452836222";
"Arny Margret";"Waiting";"Waiting";"2023";"V2 RECORDS";1715076974;1715077213;"https://open.spotify.com/track/5RJ0y1evuKlh05OLkoGo2X";;
"Nancy Adams";"BOF / Fantastic Mr. Fox";"Love";"1973";"TWENTIETH CENTURY FOX";1715077210;1715077317;;"https://www.deezer.com/track/390563001";
"Orchestre Symphonique De Quebec";"Children's corner et autres oeuvres pour orchestre";"Petite suite, cortege";"2007";"ATMA CLASSIQUE";1715077317;1715077539;;;
"Alice Russell";"I am";"Gravity";"2024";"TRU THOUGHTS";1715077535;1715077752;"https://open.spotify.com/track/1iqReKJzih6mFlVD3PyKhW";;"https://music.apple.com/fr/album/gravity/1719321357?i=1719321362&uo=4"
"Bill Withers";"Still Bill";"Kissing My Love";"1972";"COLUMBIA";1715077748;1715077972;"https://open.spotify.com/track/262qk9k0LTyMXmjH9YT2xU";;
"Angelo Outlaw";"Axis of time";"Free my mind";"2024";"ERASERHOOD SOUND";1715077971;1715078217;"https://open.spotify.com/track/5vavSWyOy8uk7JF6ifZbr8";;"https://music.apple.com/fr/album/free-my-mind/1690659466?i=1690659471&uo=4"
"Damon Albarn";"Wonder.land";"Wonderland : Entre act";"2016";"PARLOPHONE";1715078214;1715078305;;;
"Les Parisiennes";"Il fait trop beau pour travailler";"Ah ce qu'on est bête";"1965";"";1715078305;1715078422;;;
"The Paul & Sheila Smith Trio";"Life's what you make it";"All you need is love";"2010";"PAUL H SMITH";1715078420;1715078633;"https://open.spotify.com/track/6zEanGHxW6ioa5hjOcXME4";;
"Calexico";"El Mirador";"El Mirador";"2022";"CITY SLANG";1715078632;1715078850;"https://open.spotify.com/track/00XbOmHdiiIPGegcLUHNrc";"https://www.deezer.com/track/2583069752";
