"Artist";"Album";"Song";"Label";"start";"end";"Year";"itunes";"deezer";"spotify"
"Paco Sery";;"Nasty Girl Live 2001";;1709318737;1709318975;;;;
"Kassiry";"N'ne ménika";"N'né ménika";"PACO RABANNE DESIGN";1709318974;1709319317;1984;;;
"Tidiani Kone & Orchestre Poly Rythmo";"African scream contest";"Djanfa Magni";"ANALOG AFRIC";1709319199;1709319789;1977;;;
"Raffaella Carra";"Cuando calienta el sol";"Cuando calienta el sol";"WM SPAIN";1709319865;1709320256;1984;"https://music.apple.com/fr/album/cuando-calienta-el-sol/690917822?i=690918488&uo=4";;"https://open.spotify.com/track/5zWATXFDfxAAmXxxhdWgjZ"
"Laurie Miller";"Love is a natural magical thing";"Love is a natural magical thing";"PAESAGGI RECORDS";1709320143;1709320474;1986;;;
"Tteo";"Samba";"Samba";"SONAR KOLLEKTIV / BMG";1709320472;1709320740;2023;;;"https://open.spotify.com/track/3GUbHVqPuiEhnZYUnRsZnV"
"The Hard Workers";"Pantsula ! - The rise of electronic dance music in South Africa, 1988-90";"Ayoba-yo";"RUSH HOUR MUSIC";1709320739;1709321026;1988;;;
"Condry Ziqubu";"Gorilla Man";"Gorilla man";"AFROSYNTH RECORDS";1709321027;1709321505;1990;;"https://www.deezer.com/track/944648152";
"Maureen";"Bad queen";"Pum fat";"BLACK STANE";1709321502;1709321643;2024;;;"https://open.spotify.com/track/08ckCoQXKD3GbSHGOoQG5J"
"Ragazza Xxi";"Canasta mexicana de rolas";"Sonho BB (feat. Marara Kelly)";"PROMESSES (ACQUISITION)";1709321641;1709321888;2023;"https://music.apple.com/fr/album/sonho-bb-feat-marara-kelly/1716070604?i=1716070606&uo=4";;
"La Poison";"Décadanse générale";"Décadanse générale";"H.Y.P.";1709321889;1709322105;2024;"https://music.apple.com/fr/album/decadanse-generale/1718610259?i=1718610867&uo=4";;"https://open.spotify.com/track/0lD7FTfOT1FTnrUbu7n1OO"
"Lio";"Le banana split (remix album)";"Le banana split (Long version)";"ZE RECORDS";1709322103;1709322489;1980;;;
"Keith Mansfield";"The sound gallery / Vol.1";"Young scene";"EMI";1709322488;1709322568;1968;"https://music.apple.com/fr/album/young-scene/1189708167?i=1189709738&uo=4";;"https://open.spotify.com/track/0pIzLuwkRshQUhpjvW3HiF"
"Roger & The Gypsies";"Saturday night fish fry - new orleans funk and soul";"Pass the hatchet";"SOUL JAZZ";1709322567;1709322746;1966;;"https://www.deezer.com/track/699082712";
