"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Gruff Rhys";"Sadness sets me free";"Cover up the cover up";2024;"ROUGH TRADE RECORDS";1710634769;1710635115;"https://open.spotify.com/track/3xc2Kw5pl4OpbPm7e5UaBH";;
"Donny Hathaway";"Everything is everything";"Misty";1970;"ATLANTIC";1710635107;1710635322;"https://open.spotify.com/track/2M7XwmvmozYhXNWzth2Uyl";;
"Nelson Freire";"Nelson Freire : Encores";"Prélude en sol dièse min op 32 n°12";2019;"DECCA";1710635324;1710635468;;;
"Anne Sylvestre";"Anne Sylvestre 40 ans de chansons / CD12 : Tant de choses à vous dire (1986-1989)";"Que vous êtes beaux";1986;"EPM RECORDS";1710635462;1710635582;;"https://www.deezer.com/track/229790";
"Belle And Sebastian";"Fold your hands child, you walk like a peasant";"Waiting for the moon to rise";2000;"PIAS";1710635580;1710635768;"https://open.spotify.com/track/7semgIC6w9dYTF5lxWSQYg";"https://www.deezer.com/track/2131161867";"https://music.apple.com/fr/album/waiting-for-the-moon-to-rise/1669033817?i=1669033833&uo=4"
"Samara Joy";"Someone like you";"Someone like you";2023;"VERVE";1710635767;1710636086;"https://open.spotify.com/track/38jT2jzsraUBcpvkSAdk5N";;
"Dan Deacon";"Spiderman of the rings";"Big milk";2007;"CARPARK RECORDS";1710636071;1710636327;"https://open.spotify.com/track/3PsMVkiqYUi3uECgRJGKay";;
"Killah Priest";"Horrah scope";"Vampire beet juice interlude";2022;"PROVERBS RECORDS";1710636326;1710636522;"https://open.spotify.com/track/39iAMlPsyNJLV6MoPRzgp0";;"https://music.apple.com/fr/album/vampire-beet-juice-interlude/1621468003?i=1621470065&uo=4"
"Dominique A";"La memoire neuve";"Le twenty-two bar";1995;"LITHIUM";1710636520;1710636739;;"https://www.deezer.com/track/15441921";"https://music.apple.com/fr/album/le-twenty-two-bar/693501302?i=693501590&uo=4"
"Meshell Ndegeocello";"The omnichord real book";"Hole in the bucket (feat. The Hawtplates)";2023;"BLUE NOTE RECORDS";1710636738;1710637066;"https://open.spotify.com/track/1lwByHcqhk5cyLivo86HGb";;"https://music.apple.com/fr/album/hole-in-the-bucket-feat-the-hawtplates/1677237163?i=1677237834&uo=4"
"Onra";"Nobody has to know";"Nothing to lose";2018;"ALLCITY MUSIC";1710637072;1710637207;"https://open.spotify.com/track/3XeugpimiRpJhjtOOFIBDT";;"https://music.apple.com/fr/album/nothing-to-lose/1332741829?i=1332743059&uo=4"
"Biga Ranx";"Nice thing";"Nice thing";2023;"WAGRAM MUSIC - W LAB";1710637206;1710637345;;;
"Junko Yagami";"Tokyo riddim 1976-1985";"Johannesburg";1985;"TIME CAPSULE";1710637345;1710637651;;;
"Cho Co Pa Co Cho Co Quin Quin";"Tradition";"Boogie woogie";2023;"TIME CAPSULE";1710637649;1710637832;;;
"Freddie King";"This is Charly R&B";"Hide away";1961;"COLLECTABLES";1710637833;1710637987;;;
"Elvis Presley";"The collection / Vol.2";"King creole";1958;"RCA";1710637985;1710638113;"https://open.spotify.com/track/5PK7WXObjGgZrtGOo5FBTW";"https://www.deezer.com/track/69070773";
"The Nat King Cole Trio";"Cherchez la femme";"Lulubelle";;"CRISTAL RECORDS";1710638112;1710638239;;;
"Gabi Hartmann";"Gabi Hartmann";"People Tell Me / Les gens me disent (Feat. Julian Lage)";2023;"MASTERWORKS / SONY MUSIC ENTERTAINMENT";1710638237;1710638391;"https://open.spotify.com/track/6VpSE1x8TpJ1uVyUbPDoeJ";;
"Ian Partridge";"Ralph Vaughan-Williams : Melodies";"On wenlock edge pour tenor piano et quatuor a cordes : From far from eve and morning";1970;"EMI";1710638393;1710638513;;;
"Jockstrap";"I love you Jennifer B";"What's it all about";2022;"ROUGH TRADE";1710638509;1710638671;;;
"J Dilla";"Dillatronic";"Dillatronic 21";2015;"GREENSTREETS";1710638666;1710638809;"https://open.spotify.com/track/5DvZac142CRVDgDVnvHOYN";"https://www.deezer.com/track/1915732197";
"The Pharcyde";"Labcabincalifornia";"Moment in time";1995;"GO-BEAT";1710638807;1710638967;"https://open.spotify.com/track/0BVXmJ0LW75WTqu82nxkuM";;
"Chaka Khan";"The essential";"Fate";1981;"MUSIC CLUB";1710638968;1710639160;;;
"Stardust";"Music sounds better with you";"Music sounds better with you (Radio Edit)";1998;"BECAUSE";1710639157;1710639417;;;
"Nathan Melja";"With Dan !";"Stuntin like";2023;"PARODIA RECORDS";1710639412;1710639599;;;
"Helado Negro";"Phasor";"I just want to wake up with you";2024;"4AD";1710639587;1710639813;"https://open.spotify.com/track/2Zh41da2DWv7HnUkM7LLxY";;
"Hiatus Kaiyote";"Choose your weapon";"The lung";2015;"SONY MUSIC";1710639809;1710640103;"https://open.spotify.com/track/45GTuMUP3lNuZcw7MGKfhx";;
"O.R.E.A";"Digital zandoli";"Biguine inferno";1982;"HEAVENLY SWEETNESS";1710640095;1710640382;;;
"Bixiga 70";"Quebra cabeça";"Areia";2018;"GLITTERBEAT";1710640379;1710640598;"https://open.spotify.com/track/3VzLyv9YFsAlw0nDroZGS0";;
"The Sensations";"Treasure isle/Duke Reid's legacy/The true story of ska, rocksteady, dub and reggae";"Baby love";;"JAHSLAMS";1710640611;1710640777;"https://open.spotify.com/track/62ITFPGEU94iuvmLTp7IUb";;
"Julie London";"Feeling good";"Feeling good";1965;"LIBERTY";1710640773;1710640949;"https://open.spotify.com/track/0Ow5nxNp91HHMBOfhCh5J0";;
"Harry Gregson-Williams";"BOF / Metal gear solid 3 : Snake eater (Jeu vidéo)";"Metal gear solid 3 : Snake eater";2004;"KONAMI COMPUTER";1710640941;1710641114;;;
"Weyes Blood";"And In The Darkness, Hearts Aglow";"A given thing";2022;"SUB POP RECORDS";1710641109;1710641344;"https://open.spotify.com/track/2Z5YC9671Ca2qLEKBHktis";;"https://music.apple.com/fr/album/a-given-thing/1643062187?i=1643062199&uo=4"
"Ryuichi Sakamoto";"B.O.F. / Snake eyes";"Snake eyes (short version)";1998;"HOLLYWOOD RECORDS";1710641345;1710641516;"https://open.spotify.com/track/4mUpsKhSW5nnxNSqpgZHon";;"https://music.apple.com/fr/album/snake-eyes-short-version/1666376784?i=1666376803&uo=4"
"Joseph Calleja";"The golden voice";"Les Lombards : La mia letizia infondere vorrei (Acte II) Air d'Oronte";2005;"DECCA";1710641511;1710641642;;;
"Rouc";"l’île flottante";"De la jungle";2023;"AUTOPRODUCTION";1710641632;1710641857;"https://open.spotify.com/track/61dSU8yiulKpSi1teLg5aJ";"https://www.deezer.com/track/2153113687";"https://music.apple.com/fr/album/de-la-jungle/1672305530?i=1672305931&uo=4"
"Pinkpantheress";"Heaven knows";"Bury me (feat. Kelela)";2023;"WARNER RECORDS";1710641844;1710641968;"https://open.spotify.com/track/3tPH2C0umk9pjLBMmz0D9M";;
"Erykah Badu";"Baduizm";"Appletree";1997;"BMG";1710641972;1710642235;"https://open.spotify.com/track/2jAn0rAOyLW6hIEuIDNcoT";;
"Lb Aka Labat";"People of Anoubiz vol 1 tape";"Ancient space";2015;"BFDM";1710642227;1710642300;;;
"Roy Ayers";"Vibrations";"Vibrations";1976;"VERVE";1710642299;1710642478;;"https://www.deezer.com/track/982384";
"Cal Tjader";"Jazz dance classics volume three";"Ran kan kan";1971;"LUV N HAIGHT";1710642472;1710642652;;;
"Tito Puente & Eddie Palmieri";"Masterpiece/ Obra maestra";"Marchando bien";2000;"RMM RECORDS";1710642656;1710642909;;;"https://music.apple.com/fr/album/marchando-bien/1683251618?i=1683252376&uo=4"
"Dizzy Gillespie";"Dizzy Gillespie goes Hollywood";"Days of Wines and Roses";1964;"VERVE";1710642906;1710643044;;;
"Y La Bamba";"Collapse";"Ceniza";2023;"TENDER LOVING EMPIRE";1710643042;1710643296;"https://open.spotify.com/track/3cDEC9eN2wwezJJXe2nqdf";;"https://music.apple.com/fr/album/ceniza/1661175105?i=1661175758&uo=4"
"Munya";"Voyage to mars";"Maracuya";2021;"LUMINELLE RECORDINGS";1710643290;1710643511;"https://open.spotify.com/track/0H4GmsKODPKXz85VH41YGA";;
"Human League";"Dare!";"Don't you want me";1981;"VIRGIN";1710643508;1710643744;;;
"Gigi Flag";"Club Meduse compiled by Charles Bals";"Nymphomaniac (Instrumental)";1984;"SPACETALK";1710643740;1710644095;;;
"Mauskovic Dance Band";"Buckaroo bank";"Zwaar";2022;"BONGO JOE";1710644091;1710644386;;;
"Arp Frique";"Welcome to the colorful world of Arp Frique";"Nos magia";2018;"COLORFUL WORLD";1710644397;1710644608;"https://open.spotify.com/track/004Njy1KdUdY49KC5szeoo";;
"Talking Heads";"Once in a lifetime";"Crosseyed and painless";1980;"EMI";1710644600;1710644885;"https://open.spotify.com/track/0Qmu2DYKupUetYUbxqvtw2";;
"Stanley Clarke";"School days";"School days";1976;"EPIC";1710644876;1710645342;"https://open.spotify.com/track/0fuLT4IyhmLbbrKPqJqE80";;
"Noname";"Sundial";"Toxic";2023;"AWAL RECORDINGS AMERICA";1710645337;1710645530;"https://open.spotify.com/track/63pNoBUYtvcAW0SDkGFbXu";"https://www.deezer.com/track/2395511265";
"Tank And The Bangas";"Smoke.Netflix.Chill.";"Smoke.Netflix.Chill.";2018;"VERVE RECORDS";1710645532;1710645777;"https://open.spotify.com/track/68cuGlhV9v0ihPh4Zt3Tmu";"https://www.deezer.com/track/672223202";
"Natascha Rogers";"Onaida";"The wound";2024;"NO FORMAT";1710645766;1710646006;"https://open.spotify.com/track/1EJl4VXvXHi5PoYzQYvk7h";;
"Baron Retif & Concepcion Perez";"Funk";"Italien chaussettes lin";2023;"MOSTLA / MUSIQUE LARGE";1710646006;1710646280;"https://open.spotify.com/track/24QYVh2QJE8bZTL5kCHU3Y";"https://www.deezer.com/track/2266876867";"https://music.apple.com/fr/album/italien-chaussettes-lin/1685950699?i=1685951267&uo=4"
"Djeuhdjoah & Lieutenant Nicholson";"2+";"Thé à la menthe";2022;"HOT CASA";1710646279;1710646521;;;
"Edna Wright";"The vibe / Ultimate rare grooves series / Vol2";"Oops here I go again";1976;"RCAVICTOR";1710646524;1710646756;"https://open.spotify.com/track/2wakSuX41Y9YAHrLB6H0BX";"https://www.deezer.com/track/7453491";
"Tim Maia";"B.O.F. / La cité de Dieu";"No caminho do bem";1976;"UNIVERSAL";1710646750;1710647113;;;
"Brooklyn Funk Essentials";"Cool and steady and easy";"Big apple boogaloo";1994;"MUSIDISC";1710647110;1710647491;"https://open.spotify.com/track/0bwwGel6yYl2BCBkWOQrAO";;
"Ezra Collective";"You can't steal my joy";"Reason in disguise (feat. Jorja Smith)";2019;"ENTER THE JUNGLE";1710647490;1710647712;;;"https://music.apple.com/fr/album/reason-in-disguise-feat-jorja-smith/1450944210?i=1450944234&uo=4"
"Jacques";"L' importance du vide";"Je ne te vois plus";2022;"RECHERCHE & DEVELOPPEMENT / R&D";1710647703;1710647917;;"https://www.deezer.com/track/2658393312";"https://music.apple.com/fr/album/je-ne-te-vois-plus/1730339540?i=1730340066&uo=4"
