"Artist";"Album";"Song";"start";"end";"itunes";"spotify";"Year";"Label";"deezer";"youtube"
"Hlmnsra";"Amigdala";"Mind at ease";1705542702;1705542826;"https://music.apple.com/fr/album/mind-at-ease/1677616694?i=1677616695&uo=4";"https://open.spotify.com/track/0vGdAtlUP4oWMfRwQgESaO";2023;"AUTOPRODUCTION";;
"Lianne La Havas";"Lost & found (EP)";"Night school";1705542825;1705542981;"https://music.apple.com/fr/album/night-school/469983552?i=469983559&uo=4";;2011;"LABOUR OF LO";"https://www.deezer.com/track/14145500";
"Camille";"Ouï";"Sous le sable";1705542980;1705543204;;"https://open.spotify.com/track/563XwvvIG5q3e6aHy6AwZw";2017;"BECAUSE MUSIC";"https://www.deezer.com/track/445788742";
"Air";"Love 2";"African velvet";1705543203;1705543429;"https://music.apple.com/fr/album/african-velvet/1213789109?i=1213790720&uo=4";"https://open.spotify.com/track/19s3me6x3fJ1teEh6id1mj";2009;"VIRGIN";;
"Boy-Nze Na Maqueens";"Next stop...Soweto : Township sounds from the golden age of mbaqanga / Volume 1";"I'smodeni";1705543423;1705543558;;"https://open.spotify.com/track/6swhr4ZlyMLTT65ZceNzqp";1975;"STRUT";"https://www.deezer.com/track/12316923";
"Paul Simon";"Graceland";"Gumboots";1705543557;1705543720;"https://music.apple.com/fr/album/gumboots/528829777?i=528829781&uo=4";;1986;"WB";;
"Eddie Chacon";"Sundown";"Holy hell";1705543715;1705543905;;"https://open.spotify.com/track/6PIuuyPtky0MGlv3kHEC3T";2023;"STONES THROW RECORDS";;
"Jimi Prasad Orchestra";"Help with your heart";"Garden walk";1705543902;1705544110;"https://music.apple.com/fr/album/garden-walk/1686488424?i=1686489055&uo=4";"https://open.spotify.com/track/1suqix3NCXJWqjXrx7Q2TT";2023;"RAW TAPES";;
"Chet Baker";"The best thing for you (album version)";"How deep is the ocean?";1705544111;1705544450;"https://music.apple.com/fr/album/how-deep-is-the-ocean/1445753615?i=1445753878&uo=4";;1977;"A&M RECORDS";;
"Robin Mansanti";"Nuit américaine";"L'étang";1705544446;1705544608;"https://music.apple.com/fr/album/l%C3%A9tang/1668145502?i=1668145510&uo=4";"https://open.spotify.com/track/1pIrbUqRhM4fDfkaqiR8P5";2023;"LP345";"https://www.deezer.com/track/2125364787";
"William Tyler";"Goes west";"Alpine star";1705544605;1705544926;;"https://open.spotify.com/track/1SM7koUWwATTH13pTyGS7l";2019;"MERGE RECORDS";;
"Tracy Chapman";"Collection";"Talkin' bout a revolution";1705544923;1705545081;"https://music.apple.com/fr/album/talkin-bout-a-revolution/79565550?i=79565502&uo=4";"https://open.spotify.com/track/0YMFcrMtBowDdD5bPz0cgy";1988;"ELEKTRA";"https://www.deezer.com/track/2271562";
"The Teskey Brothers";"The winding way";"Oceans of emotions";1705545077;1705545309;"https://music.apple.com/fr/album/oceans-of-emotions/1669559073?i=1669559516&uo=4";"https://open.spotify.com/track/3bIdWXtBtDqES9h21vls42";2023;"DECCA MUSIC GROUP";"https://www.deezer.com/track/2321084945";
"Otis Redding";"Pain in my heart";"Stand By Me";1705545306;1705545472;;;1965;"ATCO";"https://www.deezer.com/track/16031173";
"Alban Claudin (Compositeur, Piano)";"Room of reflection";"Never ending";1705545474;1705545655;"https://music.apple.com/fr/album/never-ending/1692609891?i=1692610358&uo=4";"https://open.spotify.com/track/2ZooQeBJA2WS6WiHRigeUE";2023;"TAKTIC MUSIC / SONY MASTERWORK";;
"Ibrahim Ferrer";"Buena Vista social club";"Que Bueno Baila usted";1705545652;1705545925;;"https://open.spotify.com/track/3aR6PX29NLHgpipezPfN2H";1999;"WORLDCIRCUIT";"https://www.deezer.com/track/704053092";
"Digable Planets";"Blowout comb";"The may 4th movement starring doodlebug";1705545922;1705546217;;;1994;"PENDULUM";;
"Erobique";"No. 2";"Acquamarina";1705546216;1705546469;"https://music.apple.com/fr/album/acquamarina/1703566295?i=1703566495&uo=4";"https://open.spotify.com/track/75lQC2f3cbUUeS3J0nLY65";2023;"MR. MELLOW’S MUSIC";;
"Scott Walker";"Scott 3";"Butterfly";1705546468;1705546565;;"https://open.spotify.com/track/0BWIgLFjFVUaR51dm1uCdV";1969;"FONTANA";;
"Louis Chedid";"Bravo à Louis chedid";"Hold up";1705546564;1705546817;;;1984;"CBS";;
"Woo";"When the past arrives";"Glip glop";1705546820;1705546983;;;2014;"DRAG CITY";;
"Death And Vanilla";"Flicker";"Transparent things";1705546980;1705547261;"https://music.apple.com/fr/album/transparent-things/1654033304?i=1654034841&uo=4";"https://open.spotify.com/track/0WBJUi72MrOpnLF0KvvMsn";2023;"FIRE RECORDS";;
