"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"The Cromagnon Band";"Mode";"Contrary motion";"2024";"AUTOPRODUCTION";1733997600;1733997871;"https://www.deezer.com/track/2932988761";"https://open.spotify.com/track/6WSleGVM6bjjSSThg7geGH";
"Archie Whitewater";"Archie Whitewater";"Seacoast";"1970";"GEFFEN";1733997870;1733998098;"https://www.deezer.com/track/891214692";"https://open.spotify.com/track/40MbLI71g0FkExovnBJmnW";
"John Fahey";"The dance of death & other plantation favorites";"The last steam engine train";"1965";"FANTASY RECORDS";1733998095;1733998230;;;
"Nancy Sinatra";"BOF / Crazy in Alabama - La tête dans le carton à chapeaux";"These boots are made for walking";"1999";"SILVA SCREEN";1733998229;1733998390;;;
"The Natural Four";"The Curtom story";"Can this be real";"1974";"CHARLY RECORDS";1733998388;1733998591;;;
"Porridge Radio";"Clouds in the sky they will always be there for me";"A hole in the ground";"2024";"SECRETLY CANADIAN";1733998589;1733998775;"https://www.deezer.com/track/2883131292";"https://open.spotify.com/track/59KH9GBQSD4oetqvvE4F2V";
"Jungle By Night";"Synergy";"Coco";"2024";"V2 RECORDS";1733998774;1733999038;;;
"The Innocence Mission";"Midwinter swimmers";"A different day";"2024";"BELLA UNION";1733999037;1733999248;"https://www.deezer.com/track/2938818271";"https://open.spotify.com/track/2C8vpjR15c2k9gm2B2cWkJ";"https://music.apple.com/fr/album/a-different-day/1761823600?i=1761824744&uo=4"
"Tim Hill";"Payador";"Payador";"2019";"CALICO DISCOS";1733999244;1733999420;;"https://open.spotify.com/track/6Vw6FzEMlscaRre5biLxYc";"https://music.apple.com/fr/album/payador/1484716528?i=1484716748&uo=4"
"Mathieu Boogaerts";"Dans une case";"Dans une case";"2024";"TOT OU TARD";1733999419;1733999555;"https://www.deezer.com/track/3046453201";"https://open.spotify.com/track/2es5regwVY2chzE7FpLupp";
"Dirk Maassen";"Inception";"Waterways";"2024";"MUSIC+";1733999555;1733999700;"https://www.deezer.com/track/2703272462";"https://open.spotify.com/track/2cjUgqoliiWCe8pgvJZWrc";"https://music.apple.com/fr/album/waterways/1735904574?i=1735904588&uo=4"
"Frankie Laine";"That's my desire";"On the sunny side of the street";"";"ASV";1733999696;1733999861;;"https://open.spotify.com/track/4O7CmlckRpeRva50hyc5dR";
"Madeleine Peyroux";"Standing on the rooftop";"The kind you can't afford";"2011";"UNIVERSAL MU";1733999860;1734000096;"https://www.deezer.com/track/11918929";"https://open.spotify.com/track/52OLVjOiUumXZ45tD0HLHC";"https://music.apple.com/fr/album/the-kind-you-cant-afford/1443815619?i=1443815753&uo=4"
"Jj Whitefield";"Puzzled";"Comin' at ya";"2023";"BROC RECORDZ";1734000095;1734000318;;;
"The Sorcerers";"The sorcerers";"Arid plain";"2015";"ATA RECORDS";1734000316;1734000520;;"https://open.spotify.com/track/5HjViHaLBEPAqdc7bihOjU";
"BIM (Benin International Musical)";"Positive vodoun";"Aguida";"2024";"AUTOPRODUCTION";1734000521;1734000756;;;
"Ayo";"Down on my knees";"Down on my knees";"2006";"POLYDOR";1734000755;1734000993;"https://www.deezer.com/track/1147955";"https://open.spotify.com/track/4i7V11NvfH5LK8xH9OWbFh";"https://music.apple.com/fr/album/down-on-my-knees/1442382746?i=1442382748&uo=4"
"Aldous Harding";"Designer";"Weight of the planets";"2019";"4AD";1734000992;1734001262;"https://www.deezer.com/track/667051352";"https://open.spotify.com/track/1l5sITewMRl7AVtep3M3XO";
"Mocke";"Mostla V (cd promo)";"Le légume mésopotamien";"2013";"ALMOST";1734001261;1734001436;;;
"Sian Pottok";"Deep waters";"Baby boo";"2024";"BLUE MOON DOGS";1734001434;1734001591;"https://www.deezer.com/track/3048818411";"https://open.spotify.com/track/0HB2QEDMIs20mTmQrimVlS";"https://music.apple.com/fr/album/baby-boo/1774278624?i=1774278627&uo=4"
"Teleman";"Good time / Hard time";"Good time / Hard time";"2023";"MOSHI MOSHI RECORDS";1734001589;1734001813;;;
"Nu Genea";"Marechià (feat. Celia Kameni)";"Marechià (feat. Celia Kameni)";"2021";"NG RECORDS";1734001812;1734002077;;;"https://music.apple.com/fr/album/marechi%C3%A0-feat-celia-kameni/1621918389?i=1621918404&uo=4"
"Izo Fitzroy";"Everybody knows this ain't right";"Everybody knows this ain't right (instrumental)";"2021";"JALAPENO RECORDS";1734002076;1734002321;;;
"Andreane Le May";"Par la fenêtre";"Dicter la fin";"2023";"QUARTIER GENERAL";1734002320;1734002535;"https://www.deezer.com/track/2400746525";"https://open.spotify.com/track/0GjX9ywpRGHixoOGvlD1pJ";"https://music.apple.com/fr/album/dicter-la-fin/1701554334?i=1701554724&uo=4"
"Eddie Floyd";"Atlantic soul classics";"Knock on wood";"1966";"WEA";1734002531;1734002712;"https://www.deezer.com/track/724607";;
"Paper Tapes";"Child";"Overdue";"2023";"GEOGRAPHIE";1734002710;1734002911;;"https://open.spotify.com/track/08GRGg3oI70jg5q68WKHKH";
"Robert Burger";"City of strangers";"Charlotte's thème Part.2";"2009";"TZADIK";1734002909;1734003038;;;
"Guts";"Philantropiques";"Bougé bagay la";"2019";"HEAVENLY SWEETNESS";1734003037;1734003298;"https://www.deezer.com/track/632548872";"https://open.spotify.com/track/6FevLd2irCHAVSB8yGHkJ3";"https://music.apple.com/fr/album/boug%C3%A9-bagay-la/1453003396?i=1453004373&uo=4"
"Gotan Project";"La revancha en cumbia (cd promo)";"Queremos paz";"2011";"BARCLAY";1734003296;1734003606;"https://www.deezer.com/track/825817";;
"Yazmin Lacey";"The feels";"The feels";"2024";"AMF RECORDS";1734003606;1734003781;"https://www.deezer.com/track/3085023971";"https://open.spotify.com/track/70UDDqd7iNr8oEEkIRsPBe";
"Vuolo & E. Grande";"Italo funk experience /1969-180";"Leaving";"1979";"NASCENTE";1734003781;1734004041;;;
"Prokop";"Love letters from across the street";"From a friend to another";"2022";"FOOTSTEPS";1734004038;1734004262;"https://www.deezer.com/track/2031906697";"https://open.spotify.com/track/0otwJkezEGdxMVFD2KNGul";
"La Femme";"Rock machine";"Waiting in the dark";"2024";"DISQUE POINTU";1734004260;1734004439;"https://www.deezer.com/track/2924930751";"https://open.spotify.com/track/49Ml2Qa9TOzkpHL7ePBfOQ";"https://music.apple.com/fr/album/waiting-in-the-dark/1760405803?i=1760406391&uo=4"
"Alfa Mist";"Variables";"Apho (feat. Bongeziwe Mabandla)";"2023";"ANTI RECORDS / PIAS";1734004436;1734004614;;;
"Adam Baldych Quintet & Paolo Fresu";"Poetry";"Wish";"2021";"ACT MUSIC";1734004612;1734004615;;;
"The Rolling Stones";"Hot rocks (disc 1)";"Time is on my side";"1964";"LONDON";1734004621;1734004798;"https://www.deezer.com/track/815051802";;"https://music.apple.com/fr/album/time-is-on-my-side/1440764786?i=1440764797&uo=4"
