"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Lee Harvey Osmond";"A quiet evil";"Cuckoo's nest";"2009";"BAD REP";1730517218;1730517469;"https://open.spotify.com/track/2c9Y8v4mtFMuVDII7eJQeT";;
"La Reveuse";"Le concert des oiseaux";"Friday afternoons op 7 : 3. Cuckoo - arrangement pour ensemble instrumental";"2023";"HARMONIA MUNDI";1730517468;1730517579;;;
"Francois & The Atlas Mountains";"Banane bleue";"Coucou";"2021";"DOMINO RECORDING";1730517582;1730517845;"https://open.spotify.com/track/5kryWJUsy6TYQ7iNq75V4f";;
"Ezra Collective";"Dance, No One’s Watching";"God gave me feet for dancing (featuring Yazmin Lacey)";"2024";"Partisan Records";1730517843;1730518082;;;
"Akira Ishikawa";"Back to rhythm";"I shot the sheriff";"1975";"MR BONGO";1730518081;1730518336;;;
"Merger";"Armageddon time";"Prisoner of your love";"1980";"EMERGENCY RECORDS";1730518332;1730518634;;;
"Les Rita Mitsouko";"La femme trombone";"Evasion";"2002";"VIRGIN";1730518636;1730518823;"https://open.spotify.com/track/5eQeXL3IGWpso8TeGQlU64";;
"Ry Cooder";"Bof : Performance";"Powis square";"1970";"WARNER BROS";1730518819;1730518959;;;
"Oumou Sangare";"Mogoya";"Bena Bena";"2017";"NO FORMAT";1730518959;1730519248;"https://open.spotify.com/track/42inyu6e9EOPzc5taK3H2G";;
"Talking Heads";"Little creatures";"Perfect world";"1985";"EMI";1730519252;1730519515;"https://open.spotify.com/track/1iOvK5A8p9lCRDWUtNUPmb";;"https://music.apple.com/fr/album/perfect-world/302136342?i=302136351&uo=4"
"Rejoicer";"This is reasonable";"Your tissue svp";"2024";"CIRCUS COMPANY";1730519514;1730519676;"https://open.spotify.com/track/6dgbRqtRKjgwvIkE1IDLJv";"https://www.deezer.com/track/2643605522";
"Moses Sumney";"grae : part 1";"Me in twenty years";"2020";"JAGJAGUWAR";1730519672;1730519893;;;
"Coline Rio";"Ce qu'il restera de nous (et plus encore)";"Elle laisse";"2023";"BARONESA";1730519887;1730520150;"https://open.spotify.com/track/6hxZCLsoE7v34NLt08jwhI";"https://www.deezer.com/track/2165174977";"https://music.apple.com/fr/album/elle-laisse/1674168389?i=1674168402&uo=4"
"Underworld";"Second toughest in the infants";"Blueski";"1996";"JUNIOR BOY'S OWN / LOGIC RECORDS / BMG";1730520149;1730520323;;;
"Los Zafiros";"Cuba / Collection las voces del siglo : Los zafiros";"Herido de sombras";"1960";"WORLD CIRC.";1730520331;1730520462;"https://open.spotify.com/track/3bgILILHkeOwsOKQiWSju3";;
"Fiona Apple";"Epic Ten";"Love more (By Fiona Apple)";"2021";"BA DA BING";1730520461;1730520729;;;
"Jimmy Scott";"The source";"Sometimes I feel like a motherless child";"1970";"ATLANTIC";1730520728;1730521018;;;
"Orkiestra Historyczna";"Les quatre saisons";"Les saisons op 37a : 10. Octobre. Chant d'automne - arrangement pour violon et orchestre";"2024";"SONY CLASSICAL";1730521014;1730521264;;;
"Mounir Otai";"EXOPOP 1.1";"Irreel";"2023";"LA SOUTERRAINE";1730521265;1730521435;"https://open.spotify.com/track/0J3SBKcfUD19ZNCIxiFmBE";;
"The Smile";"Don't get me started";"Don't get me started";"2024";"XL RECORDINGS";1730521434;1730521792;"https://open.spotify.com/track/2X5YUJgoTdpIy1r8MrEGbs";;"https://music.apple.com/fr/album/dont-get-me-started/1758065392?i=1758065789&uo=4"
"Boards Of Canada";"Music has the right to children";"Turquoise hexagon sun";"1998";"WARP RECORDS";1730521788;1730522095;"https://open.spotify.com/track/7F3MjS1b1xHeaeXyBTvCE0";;
"Roberta Flack";"The best of Roberta Flack";"Killing me softly with his song";"1973";"ATLANTIC";1730522095;1730522379;"https://open.spotify.com/track/3gsCAGsWr6pUm1Vy7CPPob";;
"Noname";"Telefone";"Diddy Bop (feat. Raury & Cam O'bi)";"2016";"???";1730522385;1730522590;;;
"Yin Yin";"Mount Matsu";"Ascending to Matsu's height";"2024";"GLITTERBEAT";1730522587;1730522738;"https://open.spotify.com/track/3231lZWcie7JHhi8b2YHcO";;
"Cat Stevens";"Matthew and son";"Matthew and son";"1967";"DECCA";1730522733;1730522898;;;
"Belle And Sebastian";"Days of the bagnold summer";"I know where the summer goes";"2019";"MATADOR";1730522893;1730523150;"https://open.spotify.com/track/4kqSSYwgoCNHWX7CG6pTQc";;
"Juicy J";"Ravenite social club";"The provider";"2024";"TRIPPY MUSIC";1730523150;1730523223;"https://open.spotify.com/track/6sir4HTyiafmPsQFaaYdXk";;"https://music.apple.com/fr/album/the-provider/1762629231?i=1762629233&uo=4"
"Alex North";"Bof / Spartacus";"Spartacus : Goodbye my life my love - End title";"1961";"TRAX";1730523221;1730523477;;;
"Terry Callier";"Fip : La playlist qui rythme votre vie / Vol. 1";"Love theme from spartacus (Zero 7 Remix)";"1998";"WAGRAM";1730523476;1730523779;;;
"Saintard";"Calor";"Dérisoire";"2020";"AUTOPRODUCTION";1730523776;1730524043;;"https://www.deezer.com/track/1425646292";
"Roy Gaines";"Feeling the blues";"Happy birthday blues";"1975";"BLACK & BLUE";1730524052;1730524460;;;
"The Beatles";"The Beatles";"Birthday";"1968";"EMI";1730524459;1730524621;;;
"Johnny Hallyday";"Flagrant delit";"Fils de personne";"1971";"MERCURY";1730524620;1730524785;"https://open.spotify.com/track/2IIr96LhAodYJYIpq56vpX";;"https://music.apple.com/fr/album/fils-de-personne/1440859773?i=1440860334&uo=4"
"Hannah Williams And The Affirmations";"Late nights & Heartbreak";"Woman got soul";"2016";"RECORDS KICKS";1730524776;1730525111;;;
"John Scofield";"That's what I say / John Scofield plays the music of Ray Charles";"Busted";"2005";"VERVE";1730525111;1730525496;"https://open.spotify.com/track/76zGLkNimSmTJzMqk62DkO";;
"Wanubale";"Who is she";"Who is she (feat. Evîn)";"2023";"AGOGO RECORDS";1730525492;1730525700;;;
"Primal Scream";"Dirty hits";"Come together";"1992";"COLUMBIA";1730525693;1730525977;;"https://www.deezer.com/track/895658";
"Timmy Thomas";"Blaxploitation";"Why can't we live together";"1972";"POLYDOR";1730525965;1730526224;"https://open.spotify.com/track/722E6CPY8biq4sUnf40u6Y";"https://www.deezer.com/track/682805";
