"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Feist";"Metals";"Bittersweet melodies";"2011";"POLYDOR";1737280603;1737280834;"https://music.apple.com/fr/album/bittersweet-melodies/1440748700?i=1440748915&uo=4";"https://www.deezer.com/track/63269482";"https://open.spotify.com/track/0SchLTklxeotMKYeSPQKjV"
"Vulfmon";"Here we go Jack";"Never can say goodbye (feat. David T. Walker & Solomon Dorsey)";"2022";"VULF RECORDS";1737280832;1737281054;"https://music.apple.com/fr/album/never-can-say-goodbye-feat-david-t-walker-solomon-dorsey/1637071179?i=1637071708&uo=4";;
"Gecko Turner";"Somebody from badajoz";"Am I sad ?";"2023";"LOVEMONK RECORDS";1737281053;1737281312;;;
"Joao Selva";"Onda";"Tambor chamou";"2025";"UNDERDOG";1737281311;1737281563;"https://music.apple.com/fr/album/tambor-chamou/1786413587?i=1786414077&uo=4";"https://www.deezer.com/track/2981168401";"https://open.spotify.com/track/4xeUBocI2goJQqYccANSqr"
"Jazzanova";"Brazilified";"Fedime's flight";"2001";"QUANGO";1737281562;1737281984;;"https://www.deezer.com/track/62850069";
"Bobby Hebb";"Sunny (a collection of various interpretation of)";"Sunny";"1966";"NOCTURNE";1737281983;1737282147;"https://music.apple.com/fr/album/sunny/1440918582?i=1440918584&uo=4";"https://www.deezer.com/track/1175777";"https://open.spotify.com/track/4vju55Ag7apDL2CfotuE7Q"
"Francoise Hardy";"Soleil";"Fleur de lune";"1970";"SONY";1737282146;1737282327;"https://music.apple.com/fr/album/fleur-de-lune/697187074?i=697187898&uo=4";"https://www.deezer.com/track/3463928";"https://open.spotify.com/track/6nPYrJMje6iXmI6Mp1EX3J"
"Gianni Brezzo";"Tutto passa";"Torino";"2022";"JAKARTA";1737282327;1737282550;"https://music.apple.com/fr/album/torino/1687568625?i=1687568937&uo=4";"https://www.deezer.com/track/1785290107";"https://open.spotify.com/track/0Fd6VzCMBYsNWBsJnF7snn"
"Emma-Jean Thackray";"Yellow";"Golden green";"2021";"MOVEMENTT";1737282549;1737282792;"https://music.apple.com/fr/album/golden-green/1556894279?i=1556894652&uo=4";"https://www.deezer.com/track/1438272332";
"Allah-Las";"Worship the sun";"Worship the sun";"2014";"BECAUSE";1737282791;1737282959;"https://music.apple.com/fr/album/worship-the-sun/970472339?i=970473237&uo=4";"https://www.deezer.com/track/95966824";"https://open.spotify.com/track/4BwNB1uoQZuP3Gvz7lGUdN"
"Nino Rota";"BOF / Plein soleil";"Via veneto";"1960";"UNIVERSAL";1737282957;1737283170;;"https://www.deezer.com/track/86862173";
"Claude Fontaine";"La mer";"Laissez-moi l'aimer";"2024";"INNOVATIVE LEISURE";1737283170;1737283335;"https://music.apple.com/fr/album/laissez-moi-laimer/1746125261?i=1746125385&uo=4";"https://www.deezer.com/track/2798637942";"https://open.spotify.com/track/3J94jGnoX1s4q34FyPNrOr"
"Dawn Penn";"No, no, no";"You don't love me(no, no, no) (extended mix)";"1994";"ATLANTIC";1737283330;1737283605;;;
"Leon Lowman";"Liquid diamonds";"Narrow river";"1980";"MUSIC FROM MEMORY";1737283603;1737283786;;;
"Jonathon Hansen";"AOR global sounds / Vol. 5 : 1977-1984";"What its meant to me";"1978";"FAVORITE RECORDINGS";1737283783;1737284036;;"https://www.deezer.com/track/1260623222";
"Red Hot Chili Peppers";"One hot minute";"Falling into grace";"1995";"WB";1737284032;1737284260;"https://music.apple.com/fr/album/falling-into-grace/945571209?i=945571334&uo=4";;"https://open.spotify.com/track/6cPJTBuC9sfeqyyYxwxfca"
"Tommy Guerrero";"Soul food taqueria";"Abierto";"2003";"MO WAX";1737284260;1737284498;;;
"World Brain";"Open source";"Ville fleurie";"2024";"MANSION AND MILLIONS";1737284493;1737284716;"https://music.apple.com/fr/album/ville-fleurie/1743228116?i=1743228965&uo=4";"https://www.deezer.com/track/2764687621";"https://open.spotify.com/track/72TvLWYbFzWmojJBtki5sS"
"Wolfgang Amadeus Mozart";"Musique classique pour les enfants / Vol 2";"Flute enchantée :  pa-pa-pa-pa-papagena (acte II) duo papagena papageno";"2001";"";1737284707;1737284859;;;
"Walter Murphy";"BOF / Saturday night fever """"Fievre du samedi soir""""";"A fifth of beethoven";"1977";"POLYDOR";1737284858;1737285039;;;"https://open.spotify.com/track/1hR3TNe1neCWRQatSVOFfX"
"Skyy";"Skyway";"High";"1980";"SALSOUL RECORDS";1737285038;1737285334;;;"https://open.spotify.com/track/6yLDffyb831xAuyjL0kOTI"
"Rai Thistlethwayte";"California groove / Vol.4";"San Francisco street";"2013";"WARNER MUSIC FRANCE";1737285299;1737285563;;;
"Will & James Ragar";"The Baton Rouge";"Strong love";"2024";"BBE MUSIC";1737285562;1737285732;"https://music.apple.com/fr/album/strong-love/1763873043?i=1763873331&uo=4";"https://www.deezer.com/track/2955542681";"https://open.spotify.com/track/3MAMhMFhSrlS5B7CiaBNbc"
"Anna Butterss";"Mighty vertebrate";"Seeing you";"2024";"INTERNATIONAL ANTHEM";1737285731;1737285948;"https://music.apple.com/fr/album/seeing-you/1751907269?i=1751907515&uo=4";;"https://open.spotify.com/track/2vDUommufFwimcWic1mPrK"
"Joni Mitchell";"Both sides now";"At last";"2000";"REPRISE";1737285938;1737286203;"https://music.apple.com/fr/album/at-last/541488092?i=541488094&uo=4";;"https://open.spotify.com/track/0fJ561ClK3pIJBr0c6dtUX"
"Jeanne Added";"By your side";"Tree song";"2022";"NAIVE";1737286201;1737286496;"https://music.apple.com/fr/album/tree-song/1636713534?i=1636714582&uo=4";"https://www.deezer.com/track/1839640677";"https://open.spotify.com/track/4sLYj6HoRE79HWTie1ljqx"
"Sable Blanc";"New places";"Soft seasons";"2024";"OATH";1737286496;1737286773;"https://music.apple.com/fr/album/soft-seasons/1789386765?i=1789386768&uo=4";;"https://open.spotify.com/track/5k478UDeD0cbDwvX7pNcHY"
"Miami Sound Machine";"Eyes of innocence";"Dr. beat";"1984";"EPIC";1737286771;1737287033;;"https://www.deezer.com/track/15742367";"https://open.spotify.com/track/0qmNhKL1zNSJcE19XXXT5q"
"Joe Bataan";"Call my name";"Chevere que chevere";"2005";"VAMPISOUL";1737287029;1737287285;"https://music.apple.com/fr/album/chevere-que-chevere/321354302?i=321354446&uo=4";;"https://open.spotify.com/track/2KW6BsbLwRhksNljVMvcde"
"Willie Bobo";"Bobo motion";"Black coffee";"1967";"VERVE";1737287284;1737287445;"https://music.apple.com/fr/album/black-coffee/1444044066?i=1444045036&uo=4";"https://www.deezer.com/track/1578368";
