"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Mario Lucio";"Kreol";"Egal ego";"2010";"LUSAFRICA";1757411922;1757412113;"https://music.apple.com/fr/album/egal-ego/424603726?i=424603730&uo=4";"https://www.deezer.com/track/10175638";
"Naim Amor";"Tucson songs";"Creole";"2012";"GROOVE ATTAC";1757412112;1757412336;"https://music.apple.com/fr/album/creole/529840198?i=529840204&uo=4";"https://www.deezer.com/track/1755904797";"https://open.spotify.com/track/6NgG6j3a5I67X4OBmGVcIi"
"Cher";"Country soul sisters / Vol. 2";"Chastity's song";"1969";"SOUL JAZZ RECORDS";1757412332;1757412509;;;
"Arny Margret";"I Miss You, I Do";"I miss you, I do";"2025";"ONE LITTLE INDEPENDENT RECORDS";1757412507;1757412750;;"https://www.deezer.com/track/3017709531";"https://open.spotify.com/track/6ss7uf2lSO95PND0kAshra"
"Keren Ann";"Not going anywhere";"Seventeen";"2003";"CAPITOL";1757412748;1757412890;"https://music.apple.com/fr/album/seventeen/1240300677?i=1240301683&uo=4";"https://www.deezer.com/track/365926761";"https://open.spotify.com/track/2NwAMvzBkDH83f2sjHsndb"
"Savath & Savalas";"The future sound of jazz vol. 9";"Folk song for cello";"2003";"COMPOST RECORDS";1757412888;1757413165;;;
"Roxy Music";"The best of Roxy Music";"Love is the drug";"1975";"VIRGIN";1757413146;1757413392;"https://music.apple.com/fr/album/love-is-the-drug/714766168?i=714766647&uo=4";"https://www.deezer.com/track/3088617";"https://open.spotify.com/track/3wtMkvedoWMQ3XTKv7tqcZ"
"Samm Henshaw";"UNTIDY SOUL";"Still broke";"2022";"DORM SEVEN";1757413389;1757413594;;"https://www.deezer.com/track/1898964317";
"Butterfly Ball And Roger Clover";"Culture pub";"Love is all";"1974";"SONY";1757413590;1757413783;;;
"Aaron Goldberg";"Home";"Isn't she lovely";"2010";"SUNNYSIDE";1757413779;1757414117;;;"https://open.spotify.com/track/45AttjYxcKS67kuOkDsL1V"
"Bossa Rio";"Mojo club / Dancefloor jazz / Vol 6";"Saiupa";"1968";"MOTOR MUSIC";1757414116;1757414244;;;
"Veronique Sanson";"L'integrale et voila ! vol.2";"Clapotis de soleil (version inédite)";"1971";"WARNER MUSIC FRANCE";1757414244;1757414350;;;
"Common";"Let love";"Good morning love (feat. Samora Pinderhughes)";"2019";"LOMA VISTA";1757414349;1757414681;"https://music.apple.com/fr/album/good-morning-love-feat-samora-pinderhughes/1471238513?i=1471239284&uo=4";;
"Marissa Nadler";"New Radiations";"Bad dreams summertime";"2025";"BELLA UNION";1757414677;1757414849;"https://music.apple.com/fr/album/bad-dreams-summertime/1815479402?i=1815479416&uo=4";"https://www.deezer.com/track/3375648781";"https://open.spotify.com/track/3LPxpg933rBvzuAyLv0Rcf"
"Wally Cox & The Natives";"Golden state funk";"Zu Zu";"2007";"ACE RECORDS";1757414846;1757415032;;;
"Yellowman";"Out of many : 50 years of reggae music";"Zungguzungguguzungguzeng";"1983";"VP MUSIC";1757415029;1757415251;;"https://www.deezer.com/track/6709775";"https://open.spotify.com/track/1YpH91YcUZlo2mxKJVhWM8"
"Lowly";"Keep up the good work";"What a day";"2023";"BELLA UNION";1757415247;1757415343;"https://music.apple.com/fr/album/what-a-day/1646426939?i=1646427230&uo=4";"https://www.deezer.com/track/1925857927";"https://open.spotify.com/track/0zrpNvVQOLkAkKJoojTiI4"
"The Doobie Brothers";"The voice of Michael Mcdonald";"It keeps you runnin'";"1976";"WARNER BROS";1757415340;1757415594;"https://music.apple.com/fr/album/it-keeps-you-runnin/1110961242?i=1110962455&uo=4";;"https://open.spotify.com/track/5wFdcY9O6cEn1PL6V3AEmu"
"Koji Kondo";"BOF / The Legend Of Zelda : Ocarina Of Time";"Great fairy fountain";"1998";"NINTENDO";1757415583;1757415616;;;
"Pop Tops";"Mamy blue";"Mamy Blue";"1971";"CARRERE";1757415614;1757415849;;"https://www.deezer.com/track/3540729661";
"Mongo Santamaria";"BOF / Les vacances du petit Nicolas";"Watermelon man";"2014";"IDOL - FIDELITE";1757415839;1757416030;;"https://www.deezer.com/track/100514910";
"Derya Yildirim & Grup Simsek";"2015 - 2025 : Les Disques Bongo Joe - 10 years of sonic explorations";"Nem kaldi";"2025";"LES DISQUES BONGO JOE";1757416026;1757416333;;;"https://open.spotify.com/track/7teJ7ZxKaKAAszUm6y1IQz"
"BadBadNotGood";"Tried";"Tried (instrumental)";"2018";"NINJA TUNE";1757416331;1757416541;;;
"Black Pumas";"Black Pumas";"Stay gold";"2019";"ATO RECORDS";1757416537;1757416809;"https://music.apple.com/fr/album/stay-gold/1457164821?i=1457165287&uo=4";"https://www.deezer.com/track/653352372";"https://open.spotify.com/track/0Z6iWnLQfPAUvzINCcy9cf"
"Sam Cooke";"The man who invented soul";"You gotta move";"1963";"RCA";1757416808;1757416964;"https://music.apple.com/fr/album/you-gotta-move/304822017?i=304822029&uo=4";"https://www.deezer.com/track/71428610";"https://open.spotify.com/track/6nOljPc7BzZmZ8xWASkASl"
"Ulrika Spacek";"Compact trauma";"Accidental momentary blur";"2023";"TOUGH LOVE";1757416964;1757417126;"https://music.apple.com/fr/album/accidental-momentary-blur/1650826501?i=1650826698&uo=4";"https://www.deezer.com/track/1976034377";"https://open.spotify.com/track/5J5oJAE95Es8IZfN5umlqr"
"Brisebard";"Cul et chaises";"Vacances";"2021";"SOURCE PHONIQUE RECORDS";1757417125;1757417255;;"https://www.deezer.com/track/1341051192";"https://open.spotify.com/track/5JOHUgy1bkctX7t9WfaqD8"
"Papooz";"None of this matters now";"Baby girl";"2022";"HALF AWAKE";1757417254;1757417472;;"https://www.deezer.com/track/1620812772";"https://open.spotify.com/track/16CGAsSkPNeHdzc1gwDhrz"
"Valerie June";"Sweet Things Just For You";"Sweet Things Just For You";"2025";"CRAC BOUM RECORDS";1757417470;1757417626;"https://music.apple.com/fr/album/sweet-things-just-for-you/1790347369?i=1790347393&uo=4";"https://www.deezer.com/track/3309845491";"https://open.spotify.com/track/3Njnztq7RcqwQycbOzaI8i"
"Bill Frisell";"The Willies";"Get along";"2002";"NONESUCH";1757417623;1757417825;"https://music.apple.com/fr/album/get-along/1106428628?i=1106428837&uo=4";"https://www.deezer.com/track/123325952";"https://open.spotify.com/track/4i9Kn7as7v3H4popS44rPv"
"Marvin Gaye";"The norman witfield sessions";"The end of our road";"1969";"MOTOWN";1757417815;1757417982;;"https://www.deezer.com/track/588246552";"https://open.spotify.com/track/170jZWtmfjyfJyoDgmxt2s"
"Fat White Family";"Religion for One";"Religion for one";"2023";"DOMINO RECORDS";1757417979;1757418177;;"https://www.deezer.com/track/2543749121";"https://open.spotify.com/track/54Zik7AdvtDDZksQm015Z7"
"Clap";"Le bikini jaune";"Le bikini jaune";"2022";"PRESTIGE MONDIAL";1757418170;1757418336;"https://music.apple.com/fr/album/le-bikini-jaune/1648337076?i=1648337077&uo=4";"https://www.deezer.com/track/1947592787";"https://open.spotify.com/track/1Ou1f29o8RwVYKydq1Cxlx"
"Yamandu Costa";"Saga";"Candombe cambá";"2025";"BAGUAL PRODUCOES E EVENTOS LTDA";1757418335;1757418573;;"https://www.deezer.com/track/3184357891";"https://open.spotify.com/track/7d40yMhve2lglEEHTjREEL"
"Gotan Project";"Santa Maria";"Santa Maria (del buen ayre)";"2002";"YA BASTA";1757418572;1757418782;;"https://www.deezer.com/track/825823";
"Lexa Gates";"Elite Vessel";"Lately, nothing";"2024";"GOODTALK";1757418781;1757418932;;"https://www.deezer.com/track/3024205861";
"Johnny Guitar Watson";"Ain't that a bitch";"Superman lover";"1976";"SEQUEL RECORDS";1757418931;1757419272;;"https://www.deezer.com/track/1090344422";
"Clint Eastwood";"Million dollar baby";"Blue diner";"2004";"VARESE SARA";1757419272;1757419482;;"https://www.deezer.com/track/121594880";"https://open.spotify.com/track/6RvgPqS8u7HTKOCeK9Ao7C"
"Stereophonics";"You gotta go there to come back";"Maybe Tomorrow";"2003";"V2";1757419481;1757419753;"https://music.apple.com/fr/album/maybe-tomorrow/1440953312?i=1440953513&uo=4";"https://www.deezer.com/track/2420463";"https://open.spotify.com/track/6SXy02aTZU3ysoGUixYCz0"
"Joe Yorke";"Hopeless";"Zara";"2023";"RHYTHM STEADY";1757419751;1757419934;;"https://www.deezer.com/track/2471721631";"https://open.spotify.com/track/5STvEVLXDc62Dg772z4sWF"
"Catastrophe";"La proie et l'ombre";"Dictaphones";"2025";"TRICATEL";1757419933;1757420066;;"https://www.deezer.com/track/3802666252";"https://open.spotify.com/track/6RCTKRknkZHCEsGCp2qh2J"
"Pleasurewood";"They live";"Twilight in tooting Broadway";"2023";"FARFALLA RECORDS";1757420065;1757420218;;"https://www.deezer.com/track/2564382922";"https://open.spotify.com/track/2vl5wH1KzTsCXNCNCDcsm0"
"Chi-Lites";"The best of the Chi-Lites";"Are you my woman? (Tell me so)";"1970";"KENT";1757420217;1757420396;;;
"Earth & Stone";"Reggae Anthology : The Channel One Story Chapter Two";"Three wise men";"1977";"VP RECORDS";1757420389;1757420558;;"https://www.deezer.com/track/6615402";
"Nubya Garcia";"Source";"La cumbia me esta llamando (feat. La Perla)";"2020";"Concord Jazz";1757420557;1757420802;;;
"Octotrip";"Atrahasis";"Rite céleste";"2025";"Apicultrip";1757420801;1757420959;;"https://www.deezer.com/track/3257445911";"https://open.spotify.com/track/38s2oGRkne4pDHcdk5U2ql"
