"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Meshell Ndegeocello";"The omnichord real book";"Hole in the bucket (feat. The Hawtplates)";2023;"BLUE NOTE RECORDS";1708595706;1708596034;"https://music.apple.com/fr/album/hole-in-the-bucket-feat-the-hawtplates/1677237163?i=1677237834&uo=4";"https://open.spotify.com/track/1lwByHcqhk5cyLivo86HGb";
"Onra";"Nobody has to know";"Nothing to lose";2018;"ALLCITY MUSIC";1708596032;1708596165;"https://music.apple.com/fr/album/nothing-to-lose/1332741829?i=1332743059&uo=4";"https://open.spotify.com/track/3XeugpimiRpJhjtOOFIBDT";
"Biga Ranx";"Nice thing";"Nice thing";2023;"WAGRAM MUSIC - W LAB";1708596164;1708596307;;;
"Junko Yagami";"Tokyo riddim 1976-1985";"Johannesburg";1985;"TIME CAPSULE";1708596306;1708596626;;;
"Cho Co Pa Co Cho Co Quin Quin";"Tradition";"Boogie woogie";2023;"TIME CAPSULE";1708596614;1708596807;;;
"Freddie King";"This is Charly R&B";"Hide away";1961;"COLLECTABLES";1708596803;1708596958;;;
"Elvis Presley";"The collection / Vol.2";"King creole";1958;"RCA";1708596958;1708597084;;"https://open.spotify.com/track/5PK7WXObjGgZrtGOo5FBTW";"https://www.deezer.com/track/69070773"
"The Nat King Cole Trio";"Cherchez la femme";"Lulubelle";;"CRISTAL RECORDS";1708597083;1708597215;;;
"Gabi Hartmann";"Gabi Hartmann";"People Tell Me / Les gens me disent (Feat. Julian Lage)";2023;"MASTERWORKS / SONY MUSIC ENTERTAINMENT";1708597214;1708597370;;"https://open.spotify.com/track/6VpSE1x8TpJ1uVyUbPDoeJ";
"Ian Partridge";"Ralph Vaughan-Williams : Melodies";"On wenlock edge pour tenor piano et quatuor a cordes : From far from eve and morning";1970;"EMI";1708597366;1708597487;;;
"Jockstrap";"I love you Jennifer B";"What's it all about";2022;"ROUGH TRADE";1708597485;1708597647;;;
"J Dilla";"Dillatronic";"Dillatronic 21";2015;"GREENSTREETS";1708597643;1708597786;;"https://open.spotify.com/track/5DvZac142CRVDgDVnvHOYN";"https://www.deezer.com/track/1915732197"
"The Pharcyde";"Labcabincalifornia";"Moment in time";1995;"GO-BEAT";1708597785;1708597948;;"https://open.spotify.com/track/0BVXmJ0LW75WTqu82nxkuM";
"Chaka Khan";"The essential";"Fate";1981;"MUSIC CLUB";1708597942;1708598134;;;
"Stardust";"Music sounds better with you";"Music sounds better with you (Radio Edit)";1998;"BECAUSE";1708598125;1708598388;;;
"Nathan Melja";"With Dan !";"Stuntin like";2023;"PARODIA RECORDS";1708598380;1708598567;;;
"Helado Negro";"Phasor";"I just want to wake up with you";2024;"4AD";1708598563;1708598787;;"https://open.spotify.com/track/2Zh41da2DWv7HnUkM7LLxY";
"Hiatus Kaiyote";"Choose your weapon";"The lung";2015;"SONY MUSIC";1708598784;1708599078;;"https://open.spotify.com/track/45GTuMUP3lNuZcw7MGKfhx";
"O.R.E.A";"Digital zandoli";"Biguine inferno";1982;"HEAVENLY SWEETNESS";1708599074;1708599362;;;
"Bixiga 70";"Quebra cabeça";"Areia";2018;"GLITTERBEAT";1708599357;1708599576;;"https://open.spotify.com/track/3VzLyv9YFsAlw0nDroZGS0";
"The Sensations";"Treasure isle/Duke Reid's legacy/The true story of ska, rocksteady, dub and reggae";"Baby love";;"JAHSLAMS";1708599573;1708599738;;"https://open.spotify.com/track/62ITFPGEU94iuvmLTp7IUb";
"Julie London";"Feeling good";"Feeling good";1965;"LIBERTY";1708599735;1708599911;;"https://open.spotify.com/track/0Ow5nxNp91HHMBOfhCh5J0";
"Harry Gregson-Williams";"BOF / Metal gear solid 3 : Snake eater (Jeu vidéo)";"Metal gear solid 3 : Snake eater";2004;"KONAMI COMPUTER";1708599908;1708600081;;;
"Weyes Blood";"And In The Darkness, Hearts Aglow";"A given thing";2022;"SUB POP RECORDS";1708600078;1708600318;"https://music.apple.com/fr/album/a-given-thing/1643062187?i=1643062199&uo=4";"https://open.spotify.com/track/2Z5YC9671Ca2qLEKBHktis";
"Ryuichi Sakamoto";"B.O.F. / Snake eyes";"Snake eyes (short version)";1998;"HOLLYWOOD RECORDS";1708600315;1708600490;"https://music.apple.com/fr/album/snake-eyes-short-version/1666376784?i=1666376803&uo=4";"https://open.spotify.com/track/4mUpsKhSW5nnxNSqpgZHon";
"Joseph Calleja";"The golden voice";"Les Lombards : La mia letizia infondere vorrei (Acte II) Air d'Oronte";2005;"DECCA";1708600483;1708600612;;;
"Rouc";"l’île flottante";"De la jungle";2023;"AUTOPRODUCTION";1708600608;1708600947;"https://music.apple.com/fr/album/de-la-jungle/1672305530?i=1672305931&uo=4";"https://open.spotify.com/track/61dSU8yiulKpSi1teLg5aJ";"https://www.deezer.com/track/2153113687"
"Pinkpantheress";"Heaven knows";"Bury me (feat. Kelela)";2023;"WARNER RECORDS";1708600833;1708600956;;"https://open.spotify.com/track/3tPH2C0umk9pjLBMmz0D9M";
"Erykah Badu";"Baduizm";"Appletree";1997;"BMG";1708600957;1708601221;;"https://open.spotify.com/track/2jAn0rAOyLW6hIEuIDNcoT";
"Lb Aka Labat";"People of Anoubiz vol 1 tape";"Ancient space";2015;"BFDM";1708601215;1708601288;;;
