"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"Black Flower";"Magma";"Morning in the jungle (feat. Meskerem Mees)";"2021";"SDBAN ULTRA RECORDS";1720468512;1720468845;;;;
"Gene Washington & The Ironsides";"Compilation : Soul slabs / vol1";"Next to you";"2016";"COLEMINE RECORDS";1720468729;1720468848;"https://music.apple.com/fr/album/next-to-you/1447725544?i=1447725545&uo=4";;;
"Black Flower";"Magma";"Morning in the jungle (feat. Meskerem Mees)";"2021";"SDBAN ULTRA RECORDS";1720468842;1720469181;;;;
"Gotts Street Park";"On the inside";"Got to be good (feat. Pip Millett)";"2023";"BLUE FLOWERS MUSIC";1720469175;1720469332;;;;
"Portishead";"Portishead";"All mine";"1997";"GO BEAT";1720469329;1720469569;"https://music.apple.com/fr/album/all-mine/1626391714?i=1626391993&uo=4";"https://open.spotify.com/track/785Qya5mtMUwBQtuypVqrx";;
"The Tornados";"La musique inspirée de """"the avengers"""" chapeau melon et bottes de cuir";"Telstar";"1962";"EMI";1720469566;1720469761;"https://music.apple.com/fr/album/telstar/622712183?i=622714434&uo=4";;;
"Ganavya";"Like the sky I've been too quiet";"Seal";"2024";"NATIVE REBEL RECORDINGS";1720469748;1720469915;"https://music.apple.com/fr/album/seal/1727651907?i=1727652097&uo=4";"https://open.spotify.com/track/6JCmyo6HQszl9iLttGiG7u";;
"Jeanne Added";"Air";"Air";"2020";"NAIVE";1720469913;1720470128;"https://music.apple.com/fr/album/air/1518593417?i=1518593419&uo=4";"https://open.spotify.com/track/3xqCbkidWiBP97bSTd27pH";;
"Jan Hammer Group";"Too slow to disco / Vol. 1";"Don't you know";"1977";"HOW DO YOU ARE";1720470125;1720470303;"https://music.apple.com/fr/album/dont-you-know/525872012?i=525872239&uo=4";;;
"Frank Woeste";"Pocket rhapsody";"Moving light";"2016";"ACT MUSIC";1720470299;1720470657;;"https://open.spotify.com/track/2yTufHVOeHu8CiMQk3prJd";;
"Dennis Brown";"Just Dennis";"Westbound train";"1975";"SANCTUARY RECORDS";1720470648;1720470828;"https://music.apple.com/fr/album/westbound-train/1490689896?i=1490689900&uo=4";"https://open.spotify.com/track/5d1wJvtvEOKt5lsk69QknD";;
"Adriano Celentano";"Celentanorama";"L'unica chance";"1976";"EURODISC";1720470826;1720471115;;;;
"Revival Season";"Golden age of self snitching";"Propaganda";"2024";"HEAVENLY RECORDINGS";1720471107;1720471300;"https://music.apple.com/fr/album/propaganda/1713908684?i=1713909632&uo=4";"https://open.spotify.com/track/1D16Mw6T1ebGndBaiGj8Qk";;
"Guts";"Eternal";"Rest of My Life (feat. Lorine Chia & Tanya Morgan)";"2016";"HEAVENLY SWEETNESS";1720471293;1720471546;"https://music.apple.com/fr/album/rest-of-my-life-feat-lorine-chia-tanya-morgan/1087461844?i=1087462369&uo=4";;;
"Roy Hargrove";"Earfood";"Strasbourg / St. Denis";"2008";"EMARCY";1720471545;1720471819;;"https://open.spotify.com/track/62VWmsNoDmqT0Mj9oHHFVh";;
"Alessi Brothers";"Pourquoi pas moi ?";"Oh Lori";"1976";"";1720471814;1720472010;"https://music.apple.com/fr/album/oh-lori/1444100554?i=1444100686&uo=4";"https://open.spotify.com/track/2UR6aDTCWhRFv7GS77XN4s";"https://www.deezer.com/track/85274642";
"Flavien Berger";"Contrebande 02 : Le disque de l'été";"Sapon";"2024";"PAN EUROPEAN RECORDING / VIBRANCE";1720472006;1720472199;;"https://open.spotify.com/track/1B8PvyOSEtzXhXuBK4nrso";"https://www.deezer.com/track/2521119241";
"Tom Ze";"Estudando o pagode (na opereta segregamulher e amor)";"Canção de Nora (casa de bonecas)";"2005";"RCA";1720472199;1720472299;"https://music.apple.com/fr/album/can%C3%A7%C3%A3o-de-nora-casa-de-bonecas/510735350?i=510735360&uo=4";"https://open.spotify.com/track/4O9Ko16c3ZLUxsIMOmv4iE";;
"Dungen";"Allas sak";"Sista festen";"2015";"SMALLTOWN SUPERSOUND";1720472298;1720472445;"https://music.apple.com/fr/album/sista-festen/1499113382?i=1499113658&uo=4";"https://open.spotify.com/track/1NWorhOitzNL1IbqzG6hbN";;
"Nu Genea";"Marechia (feat. Celia Kameni) (radio edit)";"Marechia (feat. Celia Kameni) (radio edit)";"2021";"NG RECORDS";1720472457;1720472666;;;;
"Jembaa Groove";"Sweet my ear";"Sweet my ear (instrumental)";"2023";"AGOGO RECORDS";1720472663;1720472937;;;;
"Paul Simon";"Still crazy after all these years";"50 Ways to leave your lover";"1975";"WARNER BROS";1720472934;1720473148;;"https://open.spotify.com/track/6Qb7gtV6Q4MnUjSbkFcopl";"https://www.deezer.com/track/6581143";
"James Blake";"Assume form";"Barefoot in the park (feat. Rosalia)";"2019";"POLYDOR RECORDS";1720473133;1720473341;;"https://open.spotify.com/track/3onYsieuDICdVt5ULZSExF";;
"Coco Bryce";"Point Of No Return";"Cantaloop";"2023";"MYOR";1720473344;1720473472;"https://music.apple.com/fr/album/cantaloop/1670872424?i=1670872705&uo=4";"https://open.spotify.com/track/7cTsa6H05N21IjAYkXf8v7";;
"Jimmy Smith";"Version excursion";"I'm gonna love you just a little bit more babe";"1974";"HARMLESS RECORDINGS";1720473468;1720473732;;;;
"Cousin Kula";"Vitamin D";"Softest touch";"2024";"RHYTHM SECTION ITNL.";1720473728;1720473976;;"https://open.spotify.com/track/0HeLndCKmRUIqoWNmMwDVA";;
"Santpoort";"Maybe not tomorrow";"Life moves fast (feat. Criibaby)";"2024";"FRIENDS OF FRIENDS";1720473975;1720474159;;;;
"Toots Thielemans";"Blues pour flirter";"Talk to me";"1961";"EMARCY RECORDS";1720474164;1720474362;;;;
"Serge Gainsbourg";"N°2";"Le claqueur de doigts";"1959";"PHILIPS";1720474359;1720474543;;"https://open.spotify.com/track/4Sd6LBbPuRJeJHVeUGBXHH";;
"John Barry Seven";"The bee's kneees";"Snap 'n whistle";"1959";"EMI";1720474542;1720474664;;;;
"Peter Bjorn And John";"Writer's block";"Young folks";"2006";"WICHITA";1720474667;1720474942;"https://music.apple.com/fr/album/young-folks/1442990312?i=1442990320&uo=4";"https://open.spotify.com/track/4dyx5SzxPPaD8xQIid5Wjj";"https://www.deezer.com/track/4194903";
"Lossapardo";"If I were to paint it";"Leather Bellini";"2024";"ROCHE MUSIQUE";1720474940;1720475129;;"https://open.spotify.com/track/4HtfUMozrPYMvg9M8T2jma";"https://www.deezer.com/track/2726832171";
"The Simon Park Orchestra";"Television : Tv sound and image (cd promo) / cd 1";"Dawn to Dusk";"";"SOUL JAZZ RECORDS";1720475124;1720475311;"https://music.apple.com/fr/album/dawn-to-dusk/1513940939?i=1513941190&uo=4";"https://open.spotify.com/track/4u0hILJF04wQT4rdQtimET";"https://www.deezer.com/track/1926650387";
