"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Juniore";"Marabout";"A la plage";2015;"LE PHONOGRAPHE";1704362212;1704362428;"https://open.spotify.com/track/4I3oW2kYnxJTkP2nfuGJmR";;
"Vladimir Cosma (Chef d'orchestre)";"BOF / Alexandre le Bienheureux - Clérambard";"Alexandre le Bienheureux : La sieste";1967;"LARGH";1704362424;1704362545;;;
"Herman Dune";"Notes from vinegar hill";"Hawaii morning";2020;"YAYA TOVA";1704362543;1704362755;"https://open.spotify.com/track/3foQUvdWN8wXORT7NbkOJt";"https://music.apple.com/fr/album/hawaii-morning/1530433889?i=1530434635&uo=4";"https://www.deezer.com/track/1069996952"
"Stone Temple Pilots";"Tiny Music...Songs From The Vatican Gift";"And so I know (LP Version)";1996;"ATLANTIC RECORDS";1704362755;1704362991;;;
"Chief Adjuah";"Bark out thunder roar out lightning";"End simulation";2023;"ROPEADOPE RECORDS";1704362985;1704363182;"https://open.spotify.com/track/3pM1z22CP2Nu9hFaX9Bxee";;
"The Stance Brothers";"Duktus";"Attraction";2023;"WE JAZZ RECORDS";1704363170;1704363386;"https://open.spotify.com/track/5T6iI9rFwAq8snhaXAs7Z5";"https://music.apple.com/fr/album/attraction/1705890367?i=1705890889&uo=4";"https://www.deezer.com/track/2440288275"
"Kcidy";"Quelque chose de bien";"Soudain une envie";2024;"VIETNAM";1704363385;1704363575;"https://open.spotify.com/track/6ZP2gVcBEjV4oMpaLZhkjI";;
"The Cure";"Disintegration";"Love song";1989;"P0LYDOR";1704363570;1704363788;;"https://music.apple.com/fr/album/love-song/1442820875?i=1442821032&uo=4";
"Avi Avital";"Avi Avital interprète Antonio Vivaldi à la Mandoline";"Concerto en Ré Maj RV 93 P 209 : Largo - transcription pour mandoline cordes et basse continue";2015;"DGG (DEUTSCHE GRAMMOPHON)";1704363771;1704364011;;;
"Maria Bethania";"Pirata";"Águas  de cachoeira";2006;"DISCMEDI";1704364010;1704364202;;;
"Chet Baker";"Chet Baker chante Billie Holiday";"Easy living";1965;"EMARCY";1704364198;1704364398;;;
"Peter Cat Recording Co";"Portrait of a time: 2010-2016";"Portrait of a time";2017;"PANACHE RECORDS";1704364397;1704364857;;;
"Clifton Chenier";"Clifton Chenier King of zydeco/The rhythm and blues years 1954-1960";"Louisiana stomp";1954;"FREMEAUX HERITAGE";1704364746;1704364915;;;
"Eddy Mitchell";"Toujours un Coin qui me rappelle 1964-1965";"Toujours un coin qui me rappelle";1964;"BARCLAY";1704364914;1704365114;;"https://music.apple.com/fr/album/toujours-un-coin-qui-me-rappelle/1440747848?i=1440748595&uo=4";
"Klassy";"Good seeds";"Redirect";2023;"BEATROCK RECORDS";1704365111;1704365341;"https://open.spotify.com/track/2TedL9jULqf3ah5jjh5SvH";"https://music.apple.com/fr/album/redirect/1683974375?i=1683974377&uo=4";"https://www.deezer.com/track/2250413697"
"Lady Wray";"Piece of me";"Joy & pain";2022;"BIG CROWN RECORDS";1704365342;1704365565;"https://open.spotify.com/track/456nsH3QN5RspaYysK2GKY";"https://music.apple.com/fr/album/joy-pain/1584425037?i=1584425369&uo=4";
"Jamma-Dee";"Perceptions";"Saturday";2023;"NBN RECORDS";1704365559;1704365730;"https://open.spotify.com/track/1OVfBd7l7MwKG3kpxEjtg6";;"https://www.deezer.com/track/2395552695"
"Rhoda Dakar";"Version girl";"Everyday is like sunday";2023;"SUNDAY BEST RECORDINGS";1704365731;1704365940;"https://open.spotify.com/track/2NooE8MsFyVx4uqIltYf9N";;"https://www.deezer.com/track/2034882627"
"Nancy Wilson";"Something wonderful";"Call it stormy monday";1960;"CAPITOL";1704365938;1704366086;;;
"Cat Stevens";"Teaser and the firecat";"Tuesday's dead";1971;"ISLAND RECORDS";1704366084;1704366298;;"https://music.apple.com/fr/album/tuesdays-dead/1586832328?i=1586832568&uo=4";
"La Pompe";"Jazz manouche (cd promo)";"Mercredi";2011;"LA POMPE";1704366297;1704366502;;;
"Dominique A";"Auguri";"Les enfants du Pirée (Remix)";2012;"EMI";1704366502;1704366670;;;
"Buena Vista Social Club";"Lost and found";"Tiene sabor (feat. Omara Portuondo)";2015;"WORLD CIRCUIT LTD.";1704366669;1704366865;"https://open.spotify.com/track/4DFbRXlTdH9JdqCBeX6NOG";;"https://www.deezer.com/track/704079442"
"The Polyphonic Spree";"Salvage Enterprise";"Section 47 (got down to the soul)";2023;"GOOD RECORDS RECORDINGS";1704366865;1704367139;"https://open.spotify.com/track/3p9lm6SutMb34nSSFwhYFW";"https://music.apple.com/fr/album/section-47-got-down-to-the-soul/1705065928?i=1705066435&uo=4";
"Moondog";"Moondog : Musique instrumentale";"Chaconne en Sol Maj - pour quatuor à cordes et percussions";1978;"MHS";1704367132;1704367419;;;
"The Divine Comedy";"Absent friends";"Our mutual friend";2004;"EMI";1704367418;1704367775;"https://open.spotify.com/track/4JY8Dp1BNGq8chzmqcEhOK";"https://music.apple.com/fr/album/our-mutual-friend/697255577?i=697256216&uo=4";
"Marvin Gaye";"The very best";"I want you";1976;"TAMLAMOTOWN";1704367773;1704368007;"https://open.spotify.com/track/2gmWJA9oF4GD2Vw5QoRqu1";"https://music.apple.com/fr/album/i-want-you/1442021816?i=1442022270&uo=4";
"Daniel Ogren";"Fastingen92";"Annalena";2023;"MR BONGO";1704368003;1704368322;;;"https://www.deezer.com/track/921816322"
"Laura Cahen";"Une fille";"Cavale";2021;"LE LABEL";1704368315;1704368537;"https://open.spotify.com/track/35ptxFpZxn7uiCzbxU4Hwf";;"https://www.deezer.com/track/2111514187"
"Cho Co Pa Co Cho Co Quin Quin";"Tradition";"Moon dance";2023;"TIME CAPSULE";1704368530;1704368697;"https://open.spotify.com/track/2mMZ6RsGVCUJwNuJekjlAx";;
"Criolo";"No na orelha";"Fregues da meia noite";2012;"STERNS BRASIL";1704368696;1704368944;;;"https://www.deezer.com/track/2307921685"
