"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Michel Polnareff";"Michel Polnareff";"La mouche";"1972";"AZ";1720554933;1720555208;"https://music.apple.com/fr/album/la-mouche/1444161161?i=1444162061&uo=4";"https://www.deezer.com/track/1117141";;
"Shaolin Temple Defenders";"Chapter II : Gettin' the spirit";"Southern Bug-A-Loo";"2009";"SOUL BEATS RECORDS";1720555200;1720555414;;"https://www.deezer.com/track/1245942152";"https://open.spotify.com/track/5OJb2YyMLJzyhPRfoFnPon";
"Sweet Inspirations";"Sanctified soul";"Sweet inspiration";"1968";"WEA INTERNATIONAL";1720555412;1720555584;;;;
"Watermelon Slim";"Church of the blues";"That ole 1-4-5";"2018";"NORTHERNBLUES MUSIC";1720555582;1720555729;;"https://www.deezer.com/track/574591562";;
"Reverend Peyton";"Poor until payday";"Me and the devil";"2018";"FAMILY OWNED RECORDS / THIRTY TIGERS";1720555723;1720555919;;;;
"Tuatara";"Underworld";"Ghosts of the city";"2014";"SUNYATA RECORDS";1720555917;1720556148;"https://music.apple.com/fr/album/ghosts-of-the-city/879708021?i=879708023&uo=4";;"https://open.spotify.com/track/0lwrlY73M0q8yiJRruupUU";
"Norah Jones";"Thinking about you";"Thinking about you";"2006";"BLUE NOTE";1720556147;1720556343;"https://music.apple.com/fr/album/thinking-about-you/727868499?i=727868511&uo=4";"https://www.deezer.com/track/3320893";;
"Lily Allen";"Alright, Still";"Smile";"2006";"EMI";1720556341;1720556534;"https://music.apple.com/fr/album/smile/709150870?i=709150941&uo=4";;"https://open.spotify.com/track/4aR9bPMAOFySBuQSbVWF3d";
"Ussar";"Étendard";"Palo Alto";"2023";"";1720556532;1720556743;;;"https://open.spotify.com/track/18gqf4BWJc0vyJVG6Apjnd";
"Viken Arman";"Alone together";"You with me";"2023";"DENATURE RECORDS";1720556737;1720556902;"https://music.apple.com/fr/album/you-with-me/1689556490?i=1689556491&uo=4";"https://www.deezer.com/track/2299121125";"https://open.spotify.com/track/4MgyEN8kWjh6ARc67pjcLL";
"Ruby Wood";"Sincerely";"Let Him Go";"2023";"FIRST WORD RECORDS";1720556901;1720557135;;"https://www.deezer.com/track/2419076915";"https://open.spotify.com/track/1Jw6syQeAdjHLCzjkL5uQd";
"Chantal Curtis";"Joey negro & Sean P present : The best of disco spectrum";"Get another love";"2017";"BBE";1720557131;1720557563;;;;
"Selmoco Lee Orchestra";"Easy tempo";"Running fast";"1971";"RIGHT TEMPO";1720557563;1720557829;;;;
"Anne Paceo";"Wide awake (David Walters remix)";"Wide awake (David Walters remix)";"2023";"JUSQU'A LA NUIT";1720557563;1720557737;;"https://www.deezer.com/track/2534726991";;
"Nicky Love";"BOF / Le centre du monde";"Daylight tripping";"2001";"SIX DEGREES";1720557737;1720557968;;;"https://open.spotify.com/track/7GogOKP3aVBFckmj7epvvl";
"Madonna";"Ray of light";"Ray of light";"1998";"WB";1720557828;1720558138;"https://music.apple.com/fr/album/ray-of-light/329519270?i=329519311&uo=4";"https://www.deezer.com/track/778704";"https://open.spotify.com/track/4Fpsa3pYc3gozrxHRRPvR6";
"Labrinth";"Never felt so alone";"Never felt so alone";"2023";"COLUMBIA";1720557968;1720558121;"https://music.apple.com/fr/album/never-felt-so-alone/1680654050?i=1680654413&uo=4";"https://www.deezer.com/track/2223592697";"https://open.spotify.com/track/6unndO70DvZfnXYcYQMyQJ";
"Kraftwerk";"Expo remix";"Expo 2000 (underground resistance thought 3 mix)";"2000";"EMI";1720558118;1720558280;;;;
"Benny Sings";"Beat tape II";"Beat 100 (feat. Cola Boyy, Mocky & Marc Rebillet)";"2021";"STONES THROW";1720558142;1720558294;;;;
"Boogers";"As clean as possible";"I trust you";"2010";"WAGRAM";1720558280;1720558523;;;"https://open.spotify.com/track/6MRl1Gxrq2TYTIA2BHtn3E";
"Lady Wray";"Queen alone";"Guilty";"2016";"BIG CROWN RECORDS";1720558293;1720558504;"https://music.apple.com/fr/album/guilty/1472284590?i=1472284599&uo=4";;"https://open.spotify.com/track/3MLwKelG4PQ7rXkd8Qjz4g";
"The Frightnrs";"Nothing more to say";"Hey brother (do unto others)";"2016";"DAPTONE RECORDS";1720558502;1720558741;"https://music.apple.com/fr/album/hey-brother-do-unto-others/1485041960?i=1485041971&uo=4";;"https://open.spotify.com/track/07rdGJ1AqErux9b45aE7C9";
"La Fugitive";"BOF / Le ciel etoilé au dessus de ma tête";"Le carnaval des animaux";"2018";"LA FUGITIVE";1720558531;1720558669;;;"https://open.spotify.com/track/2k43leOFsvdKgqRmosFVtX";
"Bo/Peter Pan";"BOF / Peter Pan (Hook)";"We don't wanna grow up";"1991";"EPIC";1720558667;1720558775;;;;
"Biche";"Déjà vu";"Déjà Vu";"2024";"CA VA SOUND";1720558734;1720558918;;;;
"Dusty Springfield";"Complete A and B sides 1963-1970";"Am I the same girl";"1979";"ECLIPSE";1720558775;1720558953;;;;
"Keith Mansfield";"Whatiswrongwithgroovin'";"Morning broadway";"1969";"JAZZMAN";1720558921;1720559044;;;"https://open.spotify.com/track/6X0ufegIaeHxuShNKKmIGQ";
"Roge";"Existe uma voz";"Existe uma voz";"2022";"DIAMOND WEST RECORDS";1720558950;1720559172;;;"https://open.spotify.com/track/67FeJNl0O51jh7HqtryxTt";
"Manu Chao";"Je ne t'aime plus / bongo bong";"Je ne t'aime plus / bongo bong";"1999";"VIRGIN";1720559042;1720559291;;;;
"Limousine";"Limousine";"Patinage pour Jason";"2005";"CHIEFINSPECT";1720559175;1720559302;;;"https://open.spotify.com/track/2ELGtof9FO2IkVxqH0BJ10";
"Keyon Harrold";"Foreverland";"Beautiful day (feat. PJ Morton)";"2024";"CONCORD JAZZ";1720559286;1720559490;"https://music.apple.com/fr/album/beautiful-day-feat-pj-morton/1703096626?i=1703096647&uo=4";;;
"Hnny";"Back to mine : Jungle";"Sunday";"2019";"BACK TO MINE";1720559300;1720559481;"https://music.apple.com/fr/album/sunday-mixed/1477563597?i=1477563704&uo=4";;"https://open.spotify.com/track/55Ra8JyYlsscHB4nKdqXOH";
"The Doors";"Morrison hotel";"Blue Sunday";"1970";"ELEKTRA";1720559474;1720559602;;;"https://open.spotify.com/track/2g3JAKjKruTL40VffoGLmg";
"Unessential Oils";"Unessential oils";"Suds";"2024";"SECRET CITY RECORDS";1720559487;1720559645;;;"https://open.spotify.com/track/1fNE3dFqRRUkaG4hh4uXHV";
"Hermanos Gutierrez";"Until we meet again";"Until we meet again";"2024";"EASY EYE SOUND";1720559601;1720559774;;;"https://open.spotify.com/track/7ryZ8T60wHhbyJsZSO7ldI";
"Eels";"Earth To Dora";"Are we alright again";"2020";"PIAS";1720559645;1720559868;;;"https://open.spotify.com/track/2nyrHM2pECyxaMb3x5rRo3";
"The Spinners";"Wonder of Stevie / Melody Man";"It's a shame";"1970";"HLES";1720559774;1720559959;;;"https://open.spotify.com/track/1l1YTy9nJ0trwhsCGcimly";
"Max Graef";"Natural element";"Gost";"2024";"TARTELET RECORDS";1720559900;1720560079;"https://music.apple.com/fr/album/gost/1734807153?i=1734807156&uo=4";;"https://open.spotify.com/track/6qGxfU4a5L276DBbQOfVr8";
"Bob Marley";"Kaya";"Time will tell";"1978";"ISLAND";1720559959;1720560165;;;;
"Finley Quaye";"Maverick a strike";"Your love gets sweeter";"1997";"SONY";1720560078;1720560268;;"https://www.deezer.com/track/1037087";"https://open.spotify.com/track/1SfQCY234gf6C2dlyUUMn9";
"Hnny";"Back to mine : Jungle";"Sunday";"2019";"BACK TO MINE";1720561215;1720561358;"https://music.apple.com/fr/album/sunday-mixed/1477563597?i=1477563704&uo=4";;"https://open.spotify.com/track/55Ra8JyYlsscHB4nKdqXOH";
"The Doors";"Morrison hotel";"Blue Sunday";"1970";"ELEKTRA";1720561351;1720561475;;;"https://open.spotify.com/track/2g3JAKjKruTL40VffoGLmg";
"Unessential Oils";"Unessential oils";"Suds";"2024";"SECRET CITY RECORDS";1720561473;1720561630;;;"https://open.spotify.com/track/1fNE3dFqRRUkaG4hh4uXHV";
"Hermanos Gutierrez";"Until we meet again";"Until we meet again";"2024";"EASY EYE SOUND";1720561627;1720561806;;;"https://open.spotify.com/track/7ryZ8T60wHhbyJsZSO7ldI";
"Eels";"Earth To Dora";"Are we alright again";"2020";"PIAS";1720561801;1720562022;;;"https://open.spotify.com/track/2nyrHM2pECyxaMb3x5rRo3";
"The Spinners";"Wonder of Stevie / Melody Man";"It's a shame";"1970";"HLES";1720562021;1720562210;;;"https://open.spotify.com/track/1l1YTy9nJ0trwhsCGcimly";
"Max Graef";"Natural element";"Gost";"2024";"TARTELET RECORDS";1720562250;1720562424;"https://music.apple.com/fr/album/gost/1734807153?i=1734807156&uo=4";;"https://open.spotify.com/track/6qGxfU4a5L276DBbQOfVr8";
"Bob Marley";"Kaya";"Time will tell";"1978";"ISLAND";1720562424;1720562630;;;;
"Finley Quaye";"Maverick a strike";"Your love gets sweeter";"1997";"SONY";1720562624;1720562813;;"https://www.deezer.com/track/1037087";"https://open.spotify.com/track/1SfQCY234gf6C2dlyUUMn9";
"Joe Bel";"The secret";"The secret";"2024";"LA RUCHE";1720562810;1720562966;"https://music.apple.com/fr/album/the-secret/1717627330?i=1717627336&uo=4";"https://www.deezer.com/track/2748290021";"https://open.spotify.com/track/7i8g6RaH1ekGnG67cPJddY";
"Allen Toussaint";"The bright Mississippi";"St James Infirmary";"2009";"NONESUCH";1720562966;1720563192;;;;
"Syl Johnson";"Complete mythology / Starlight love no chaser / Vol. 3";"Is it because I'm black";"1969";"ACID JAZZ";1720563189;1720563639;;;"https://open.spotify.com/track/7jIUxP1H9SoD6qq8YHjSTV";
"Billie Holiday";"Verve unmixed";"Strange fruit";"1956";"VOGUE";1720563635;1720563816;"https://music.apple.com/fr/album/strange-fruit/931954633?i=931959899&uo=4";;"https://open.spotify.com/track/7CdZrjAwcaULHNsSrnaezW";
"Surprise Chef";"All news is good news";"Have you fed baby Huey today";"2020";"MR BONGO";1720563815;1720564071;;"https://www.deezer.com/track/921021792";"https://open.spotify.com/track/6HamqpndailP6wZUFRABhL";
"Lynn";"3x5";"Contresens";"2023";"LE SOFA / BELIEVE";1720564076;1720564247;;;"https://open.spotify.com/track/7gjRwfkOfM5NyUiN0tZSMO";
"Santpoort";"Maybe not tomorrow";"In my dreams (feat. Jonti)";"2024";"FRIENDS OF FRIENDS";1720564244;1720564396;;;;
"Air";"Premiers symptomes";"Modular mix";"1995";"SOURCE";1720564393;1720564739;;;;
"Christine Perfect";"Christine Perfect";"And that's saying a lot";"1970";"BLUE HORIZON";1720564739;1720564909;;;;
"Nancy Priddy";"You've Come This Way Before";"You've come this way before";"1968";"REV-OLA";1720564907;1720565076;;;"https://open.spotify.com/track/3P5l8t6UiU5pn08whNpZJ5";
"Amy Winehouse";"Lioness: Hidden treasures";"Valerie ('68 version)";"2011";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1720565071;1720565311;;;;
"Glass Beams";"Mahal";"Black sand";"2024";"NINJA TUNE";1720565308;1720565586;;"https://www.deezer.com/track/2670478032";"https://open.spotify.com/track/7rL4ouaj7AqQM9kgQ5aQrY";
"Petite-Vallee";"Petite-Vallée";"Amour mordant";"2024";"NOUVEAU MONDE";1720565580;1720565771;"https://music.apple.com/fr/album/amour-mordant/1741354966?i=1741355796&uo=4";"https://www.deezer.com/track/2781568262";"https://open.spotify.com/track/1X07qBvdeQf7Vs1BfQzLbd";
"Ben Harper";"Fight for your mind";"Please me like you want to";"1995";"VIRGIN";1720565771;1720566062;"https://music.apple.com/fr/album/please-me-like-you-want-to/715793784?i=715794488&uo=4";;"https://open.spotify.com/track/0hNQywQI7OHqU7XMEUN9vL";
"Wes Montgomery";"Tequila";"Bumpin' on sunset";"1966";"VERVE";1720566080;1720566359;;"https://www.deezer.com/track/2537494";"https://open.spotify.com/track/1yxJK6q9oymWO3vjbPCYmp";
"Anita O Day";"Anita sings the most";"I've got the world on a string";"1956";"Verve";1720566354;1720566591;;;;
"Jessica Pratt";"Here in the pitch";"World on a string";"2024";"CITY SLANG";1720566587;1720566775;;;"https://open.spotify.com/track/06uOV6fQr0khY0LzYcy4w0";
"Natalie Dessay";"Léo Delibes : Lakmé (Intégrale)";"Lakmé : Viens Malika / Dôme épais de jasmin (Acte I) Duo Lakmé Mallika";"1998";"EMI";1720566771;1720567122;;;;
"Kyle Dixon";"BOF TV / Stranger things (Vol.1)";"Stranger things";"2016";"LAKESHORE RECORDS";1720567125;1720567186;;;;
"Erasure";"Always - the very best of Erasure";"Chains of love";"1988";"MUTE RECORDS";1720567185;1720567401;"https://music.apple.com/fr/album/chains-of-love-2009-remaster/1439548683?i=1439548690&uo=4";;"https://open.spotify.com/track/1I0qu4PsBjAHfJHy9wy5AA";
