"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"Fela Kuti And Africa 70";"Open & Close / Afrodisiac";"Open & close";"1971";"WRASSE RECOR";1718740216;1718740801;;;;
"Ashley Henry";"Mississippi goddam";"Mississippi goddam";"2024";"NAIVE";1718740800;1718741008;"https://music.apple.com/fr/album/mississippi-goddam/1739770027?i=1739770032&uo=4";"https://open.spotify.com/track/4Wt6CQv405BTx52dHQbxPn";;
"Akua Naru";"The blackest joy";"Made it";"2018";"SPV RECORDINGS";1718741005;1718741233;;"https://open.spotify.com/track/1xUV9MbnDS3oEoZIkhokcv";;
"Aim";"Drum machines & vhs dreams";"Loop dreams";"2000";"ATIC RECORDS";1718741232;1718741558;;;;
"Tony Clarke";"The best Northern Soul all-nighter ever !";"Landslide";"1964";"VIRGIN/ EMI";1718741557;1718741687;;;;
"Les Aiglons";"Mizik la ka dansé";"Musiciens de grande classe";"1977";"ATANGANA RECORDS";1718741685;1718741980;;;;
"Lucius";"Second nature";"Second nature";"2022";"SECOND NATURE RECORDS";1718741981;1718742189;"https://music.apple.com/fr/album/second-nature/1600715025?i=1600715114&uo=4";"https://open.spotify.com/track/7BmDZS7RTEdJGRxYlimvTU";;
"La Luz";"News of the universe";"Close your eyes";"2024";"SUB POP RECORDS";1718742186;1718742415;;"https://open.spotify.com/track/2nqZaua2OQ0vSUq5RYs3Z4";;
"Violent Femmes";"Violent Femmes";"Gone Daddy Gone";"1983";"";1718742413;1718742597;"https://music.apple.com/fr/album/gone-daddy-gone/1576789411?i=1576789712&uo=4";"https://open.spotify.com/track/7mVoBnU3mxV5Q6n4DmOv6K";;
"Messer Chups";"Bermuda 66";"A man in kaiman boots";"2011";"ZEBRALUTION - STORAGE RECORDS";1718742596;1718742799;;"https://open.spotify.com/track/4XyeQ5Qcqw4zegf0kfCDOU";;
"Taggy Matcher & Birdy Nixon";"Space";"Lonely boy";"2013";"FAVORITE RECORDINGS";1718742797;1718743034;;;;
"PM Warson";"Right here, last night";"Right here, last night";"2024";"LEGERE RECORDINGS";1718743033;1718743242;;"https://open.spotify.com/track/05eCwT8pmKu1Axa9DiE18f";;
"Holy Hive";"Float back to you";"Float back to you";"2020";"BIG CROWN RECORDS";1718743240;1718743493;;"https://open.spotify.com/track/53eXqDDn8ADIbukIJWN2Dw";;
"Nemanja Radulovic";"Carnets de voyage";"Csardas - arrangement pour violon piano cimbalom percussions et ensemble instrumental";"2014";"DEUTSCHE GRAMMOPHON";1718743490;1718743773;;;;
"The Turbans";"The Turbans";"Samia";"2018";"SIX DEGREES RECORDS";1718743772;1718744046;;"https://open.spotify.com/track/3T24BaNb7Iv92yTQgIXW03";"https://www.deezer.com/track/465739762";
"Yes";"Roundabout (Single Edit) / Long Distance Runaround";"Long distance runaround";"1972";"ELEKTRA";1718744046;1718744235;;;"https://www.deezer.com/track/2872855262";
"The Magic Ray";"The magic Ray";"Purple and green";"2017";"DISCHI AUTUNNO";1718744235;1718744449;;"https://open.spotify.com/track/7ATTO2SqkK2HHjxm2LNIyH";;
"Roge";"Curyman";"Mistério da raça";"2023";"DIAMOND WEST RECORDS";1718744484;1718744758;;"https://open.spotify.com/track/60ad1P5gJyiYj5KWIOczHK";;
"Kaiser Quartett";"Empire";"Without a trace";"2023";"PIAS";1718744755;1718744840;;"https://open.spotify.com/track/3ywvqFjdQ1gwHEHnzGsZse";;
"Ray Price";"Country & western hit parade : Hillbilly music 1963";"Walk me to the door";"1963";"BEAR FAMILY RECORDS";1718744838;1718745021;;;;
"Ella Fitzgerald";"George and Ira Gershwin songbook / cd 2";"Boy wanted";"1959";"VERVE";1718745019;1718745231;;"https://open.spotify.com/track/5yDV5bCUa6ZCTAdldMMVqt";"https://www.deezer.com/track/61364258";
"Four Tops";"The n° 1 Motown album";"I can't help myself (Sugar pie honey bunch)";"1965";"POLYDOR";1718745230;1718745390;;;;
"The Classics";"Studio One - Rocksteady";"Pack up";"2014";"SOUL JAZZ RECORDS";1718745388;1718745571;;;"https://www.deezer.com/track/83138788";
"Khruangbin";"The universe smiles upon you";"Dern kala";"2015";"NIGHT TIME STORIES";1718745569;1718745788;"https://music.apple.com/fr/album/dern-kala/1098176465?i=1098176711&uo=4";"https://open.spotify.com/track/47FmTHqPWGWEfbgDpLjvCt";;
"Céu";"Novela";"Lustrando estrelas";"2024";"URBAN JUNGLE / ONERPM";1718745787;1718745968;;;;
"Brigitte Fontaine";"Dirty french psychedelics";"Il pleut";"1968";"DISCOGRAPH";1718745966;1718746119;;;;
"Blonde Redhead";"Misery is a butterfly";"Anticipation";"2004";"4AD";1718746114;1718746355;;"https://open.spotify.com/track/7gTX98et0Zfkzjuuwy30ht";;
"En Attendant Ana";"Principia";"To the crush";"2023";"TROUBLE IN MIND";1718746351;1718746545;;"https://open.spotify.com/track/058hsztfn1qLUxXdlGOV8y";"https://www.deezer.com/track/1939230097";
"Mac Demarco";"Five easy hot dogs";"Edmonton";"2023";"MAC RECORDS LABEL";1718746541;1718746683;;"https://open.spotify.com/track/4ZXPTjjDYiseWM0xTQbmPl";"https://www.deezer.com/track/2106872707";
"D Angelo";"Voodoo";"Chicken grease";"1999";"EMI";1718746679;1718746938;;;;
"Marvin Gaye";"You’re the man";"Woman of the world";"1972";"UMG RECORDINGS";1718746939;1718747149;;;;
"Soul Media";"Light mellow travellin'";"I will give you samba";"1980";"NIPPON COLUMBIA";1718747145;1718747398;;;;
"Luiz Morais";"Pra canter samba";"Pra canter samba";"2021";"TRATORE";1718747393;1718747536;;;;
"Oswela";"Moun péyi";"Moun péyi";"2023";"BEAT X CHANGERS";1718747535;1718747795;;"https://open.spotify.com/track/1qU1dEr31XIqOZNWdSuOoT";;
"Wax Machine";"Guardians of Eden";"Guardians of Eden";"2022";"BATOV";1718747795;1718748057;;"https://open.spotify.com/track/6uEWjWvBulgMuo3lSkZ2RM";;
"Martin Denny";"The enchanted sea";"The enchanted sea";"1960";"LONDON";1718748073;1718748190;;;"https://www.deezer.com/track/4011680";
"Nouvelle Vague";"Nouvelle vague";"I melt with you";"2004";"";1718748185;1718748425;;"https://open.spotify.com/track/2uvrwAz8xNOeru9s4SxIi8";;
"Wendy & Bonnie";"Genesis";"I realized you";"1968";"SUNDAZED MUSIC";1718748420;1718748647;;;"https://www.deezer.com/track/416345622";
"Babe Ruth";"Amar caballero";"Lady";"";"PARLOPHONE UK";1718748640;1718748853;"https://music.apple.com/fr/album/lady-remastered/696667255?i=696667855&uo=4";;;
"Sun Atlas";"Return to the spirit";"Wandering around haccika";"2024";"MOCAMBO";1718748849;1718749005;;"https://open.spotify.com/track/0dasKxWcQcsFpboLYh8A7H";;
"Keith Murray";"The most beautifullest hits";"The most beautifullest thing in this world";"1999";"JIVE";1718749003;1718749226;;"https://open.spotify.com/track/4G0AYabT91GhjqVdIdBwWH";;
"Guru/Elam Keith";"Jazzmatazz";"No time to play";"1993";"CHRYSALIS";1718749227;1718749510;;;;
"Derrick Harriott";"This is reggae music : The golden era 1960 - 1975";"The loser";"1975";"TROJAN";1718749509;1718749723;;;;
"Piero Umiliani";"Italo funk experience /1969-180";"Bus stop";"2011";"NASCENTE";1718749722;1718749886;;;"https://www.deezer.com/track/4380143";
"Jean Paillaud";"Amour et cosmos";"La fusée d'occasion";"1963";"POLYDOR";1718749882;1718750016;;;;
"Mario Castro Neves & Samba Sa";"Castro-Neves & Samba S.A";"Keep talking";"1967";"RCA";1718750009;1718750150;;;;
"Elton John";"Goodbye yellow brick road";"Social disease";"1973";"CARRERE";1718750149;1718750369;;;;
"Abdel Rahman El Bacha";"Ravel / El Bacha : Miroirs / Gaspard de la nuit / Le tombeau de Couperin";"Tombeau de Couperin pour piano : 04-rigaudon";"1995";"";1718750366;1718750557;;;;
"Trocadero Jazztet & Sisters & Emmanuel Pi Djob";"Gravity & grace";"Rise & shine";"2024";"AHEAD";1718750560;1718750782;;;;
"Orlando Vallejo";"Orlando Vallejo / Las voces del siglo";"Ya no alumbra tu estrella";"2006";"EGREM";1718750781;1718750961;;;;
"Francoiz Breut";"Vif !";"Lichens";"2024";"62 RECORDS / PIAS";1718750960;1718751168;"https://music.apple.com/fr/album/lichens/1735587224?i=1735588019&uo=4";;"https://www.deezer.com/track/2700878582";
"Pudding Oo";"Lefto presents jazz cats";"Hiza Hiza Hey";"2018";"SDBAN";1718751167;1718751319;;"https://open.spotify.com/track/10HOzIX6FqN3ZiPFVrBYcJ";;
"Odetta";"At the gate of horn";"Gallows tree (gallows pole)";"1957";"TRADITION";1718751319;1718751489;;;;
