"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Francois & The Atlas Mountains";"Tourne autour";"Tourne autour";2021;"DOMINO RECORDS";1704707861;1704708018;"https://music.apple.com/fr/album/tourne-autour/1570804217?i=1570804225&uo=4";"https://open.spotify.com/track/2ALGzJNZIZa7KwQZDZ30pf";
"Pavane";"Children";"La Mer";2023;"AUTOPRODUCTION";1704708016;1704708242;"https://music.apple.com/fr/album/la-mer/1705091394?i=1705091672&uo=4";"https://open.spotify.com/track/1sjfwhmCTKE0l70ESIKuIA";"https://www.deezer.com/track/2432298565"
"Bas Jan";"Back to the swamp";"No more swamp";2023;"FIRE RECORDS";1704708239;1704708455;;"https://open.spotify.com/track/21JG4W1a177TAQ02DNmWRE";
"Jacqueline Taieb";"J'suis pas nette";"Qu'est-ce que je peux faire";1979;"CARRERE";1704708455;1704708626;;;
"Pale Jay";"Bewilderment";"By the lake";2023;"KARMA CHIEF RECORDS";1704708622;1704708831;;"https://open.spotify.com/track/08RxnD1RocmKqiGUiEQWkB";
"Quilapayun";"Change";"De mille murmures - pour violon et piano";2023;"CYPRES";1704708796;1704709023;;;
"Takashi Nishioka";"Even a tree can shed tears : Japanese folk & rock 1969 - 1973";"Man-in no ki";2017;"LIGHT IN THE ATTIC RECORDS";1704709022;1704709270;;;
"Jimi Hendrix";"Axis : Bold as love";"Castles made of sand";1967;"POLYDOR";1704709263;1704709432;;"https://open.spotify.com/track/3qebSLgUwaEqbwCM5sj5Kh";"https://www.deezer.com/track/4952836"
"Blonde Redhead";"Sit down for dinner";"Melody experiment";2023;"SECTION1 / PARTISAN";1704709423;1704709728;"https://music.apple.com/fr/album/melody-experiment/1685236281?i=1685237260&uo=4";"https://open.spotify.com/track/04SwfL1yAlGgn0EftxX3Jy";
"Poly Poly";"Horizon";"Horizon";2022;"GOLDEN RULES";1704709726;1704709968;;"https://open.spotify.com/track/6VaZNZGXp6ynW9jQ2r6ysZ";
"Jose James";"On & on";"Didn't cha know (feat. Ebban Dorsey)";2023;"RAINBOW BLONDE";1704709963;1704710263;;;
"Maggie Rogers";"Alaska";"Alaska";2017;"POLYDOR";1704710258;1704710445;"https://music.apple.com/fr/album/alaska-tycho-remix/1444858575?i=1444858819&uo=4";"https://open.spotify.com/track/4DyfJFTQb27adTDdhFeSgD";
"Keyon Harrold";"Foreverland";"Beautiful day (feat. PJ Morton)";2024;"CONCORD JAZZ";1704710443;1704710647;"https://music.apple.com/fr/album/beautiful-day-feat-pj-morton/1703096626?i=1703096647&uo=4";;
"Pyjæn";"Sunset Milk Tea";"Is that it?";2023;"DEEPMATTER RECORDS";1704710646;1704710815;;"https://open.spotify.com/track/4wZ3ApSErXU7qpf4citPxB";
