"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Calexico";"Selections from road atlas 1998-2011";"Glowing heart of the world";"2011";"CITY SLANG";1722974190;1722974401;"https://open.spotify.com/track/0xEYNnRByzv9kiHIEnIPkB";;
"Weldon Irvine";"Nova 1976";"Music is the key";"1976";"RCA/BMG";1722974333;1722974852;"https://open.spotify.com/track/2CPcIs5c9AzEH1dUyjcsat";"https://www.deezer.com/track/13213146";
"Kifu Mitsuhashi";"Wamono Groove : Shakuhachi & koto jazz funk '76";"Nanbu ushioi-uta";"2022";"180G";1722974849;1722975142;"https://open.spotify.com/track/2GNGkjt2AcGXuOp55dAfOm";;
"Ajate";"Alo";"Sowah";"2020";"180G";1722975141;1722975592;"https://open.spotify.com/track/3e1mpfsv0x8VBfQ8qk3smo";"https://www.deezer.com/track/851205042";
"Perilymph";"Progressions imaginaires";"Les yeux";"2024";"STONE PIXELS RECORDS";1722975591;1722975999;"https://open.spotify.com/track/0alyrCZ2PAOnIxjtN5bIzo";"https://www.deezer.com/track/2636187842";
"King Gizzard & The Lizard Wizard";"Omnium gatherum";"The garden goblin";"2022";"KGLW (KING GIZZARD & THE LIZARD WIZARD)";1722975999;1722976176;"https://open.spotify.com/track/2W3GEjnvWryAeUEqmNYRlR";"https://www.deezer.com/track/1721650787";
"Chaba Malika Meddah";"A moi la liberté - Early electronic rai (Algerie - 1983-1990)";"Sid houari ya mlah";"1980";"BORN BAD RECORDS";1722976177;1722976491;;"https://www.deezer.com/track/2254971987";
"Niagara";"Deutsche Elektronische Musik / Vol. 3 : That's all folks";"Rhythm go";"2018";"SOUL JAZZ RECORDS";1722976485;1722976648;;"https://www.deezer.com/track/69009054";
"Joe Armon Jones";"Starting today";"Starting today (feat. Asheber)";"2018";"BROWNSWOOD RECORDINGS";1722976644;1722977181;;;
"Gin Tonic Orchestra";"Shyance";"La couenne rance";"2023";"FLOORS RECORDS";1722977188;1722977489;"https://open.spotify.com/track/2SKviMTq3Oc4CepjoQkLhP";"https://www.deezer.com/track/2141846887";"https://music.apple.com/fr/album/la-couenne-rance/1670655128?i=1670655503&uo=4"
"Gossip";"Standing in the way of control";"Listen up ! 2007 version";"2007";"BACKYARD";1722977488;1722977736;;;
"Blue Lab Beats";"Blue eclipse";"Sunset in L.A.";"2024";"DECCA";1722977747;1722977923;;;
"Mndsgn";"Rare pleasure";"Rare pleasure II";"2021";"STONES THROW";1722977920;1722978041;"https://open.spotify.com/track/0AJOWXcTBEdRugufhc3RU9";;
"Phoenix";"United";"If I ever feel better";"2000";"SOURCE";1722978028;1722978289;"https://open.spotify.com/track/3AA8xNhDC0MpqwkGX3EP5V";"https://www.deezer.com/track/3135336";
"Sylvia Striplin";"Give me your love";"Give me your love";"1981";"EXPANSION RECORDS";1722978285;1722978662;;;
"Taggy Matcher";"Disco reggae / Vol 1 (cd promo)";"Rapper's delight (Taggy Matcher dub version)";"2013";"";1722978659;1722978872;;;
"De La Soul";"Buhloone Mind State";"Breakadawn";"1993";"TOMMY BOY";1722978867;1722979122;"https://open.spotify.com/track/2WyLyygONxNBVtXCRLMjFY";;
"Clea Vincent";"Tropi-Clea 2";"N'allez pas travailler";"2020";"MIDNIGHT SPECIAL RECORD";1722979121;1722979299;;"https://www.deezer.com/track/892864752";
"K.O.G";"Live for today";"Live for today";"2024";"PURA VIDA SOUNDS";1722979298;1722979530;"https://open.spotify.com/track/4JqlVtci63qTDRgvJ3vsmI";"https://www.deezer.com/track/2876818262";
"The Cannonball Adderley Quintet";"Accent on Africa";"Khutsana";"1968";"Affinity";1722979529;1722979769;"https://open.spotify.com/track/6UwlRTqWAPw5C6IskGjNCU";;
"Mary Wells";"Motown : The complete n° 1's / CD 1 & 2";"Two lovers";"1963";"MOTOWN";1722979760;1722979924;"https://open.spotify.com/track/00CmjeeHvAVKvx3tcIiZTy";;
"The Steve Miller Band";"The best of 1968-1973";"The joker";"1973";"EMI";1722979921;1722980184;;;
"Tracy Chapman";"Tracy chapman";"Across the lines";"1988";"ELEKTRA";1722980177;1722980372;"https://open.spotify.com/track/3XkXJNMHJB0UiKiVz83yD7";;
"Julian Lage";"Speak to me";"Serenade";"2024";"BLUE NOTE";1722980368;1722980685;"https://open.spotify.com/track/5pe3wAB03bdlg6CYT61k9L";;"https://music.apple.com/fr/album/serenade/1724864226?i=1724864233&uo=4"
"Luidji";"Saison 00";"Serenade";"2023";"FOUFOUNE PALACE BONJOUR";1722980679;1722980835;"https://open.spotify.com/track/11gx5jgG7Pm6Y5R2Ba6RDB";"https://www.deezer.com/track/2330156065";
"Dietrich Fischer-Dieskau";"An die Musik";"Serenade D 957 n°4";"2005";"DGG (DEUTSCHE GRAMMOPHON)";1722980834;1722981063;;;
"Omar Sosa & Yilian Canizares";"Aguas";"Oshun";"2018";"MDC";1722981061;1722981285;;;
"Dina Ogon";"Orion";"Tomma lådor";"2024";"PLAYGROUND MUSIC SCANDINAVIA";1722981276;1722981396;"https://open.spotify.com/track/2xeyS25040MYSH9g02BibP";;
"Freddie King";"Just pickin'";"The sad nite owl";"1989";"MODERN BLUES";1722981411;1722981543;;"https://www.deezer.com/track/2642137812";
"Souad Massi";"O houria";"Enta ouzahrek";"2010";"DISQUE AZ";1722981540;1722981710;;;
"Idir";"Identités";"Tizi ouzou";"1999";"SONY";1722981709;1722981976;"https://open.spotify.com/track/3xrYUdfAt5o3sHTI3IDsES";;
"Max Romeo";"We Sing Gregory";"Material man";"2004";"NAIVE RECORDS";1722981975;1722982198;;;
"Groov Bones";"Groov' Bones";"Bones ballad";"2018";"CHRIS MUSIC";1722982196;1722982458;"https://open.spotify.com/track/1hgJRWaxuwgwMaxSKVIVRk";"https://www.deezer.com/track/477860082";
"Tony Bennett";"The Movie Song Album";"Girl talk";"1966";"CBS";1722982455;1722982651;"https://open.spotify.com/track/4g4vV1f9GRCTsHXG0sFHF5";;"https://music.apple.com/fr/album/girl-talk/182781334?i=182781463&uo=4"
"Barbra Streisand";"Classical Barbra";"Beau soir L 84 (6)  - arrangement pour voix et orchestre";"";"";1722982643;1722982800;;;
"Cassandra Jenkins";"My light, my destroyer";"Tape and tissue";"2024";"DEAD OCEANS";1722982798;1722983058;"https://open.spotify.com/track/1P8BivWb7YU7a687uythCm";"https://www.deezer.com/track/2725720071";"https://music.apple.com/fr/album/tape-and-tissue/1738308923?i=1738309758&uo=4"
"Harrison";"Birds, bees, the clouds & The trees";"Music box";"2023";"LAST GANG RECORDS";1722983048;1722983161;"https://open.spotify.com/track/29zpVol3cj8w6iJydFHWaZ";;
"Erykah Badu";"Mama's gun";"Didn't cha know";"2000";"MOTOWN";1722983160;1722983399;;;
"Blossom Dearie";"Give him the ooh-la-la";"Plus je t'embrasse";"1957";"VERVE";1722983397;1722983545;;"https://www.deezer.com/track/7430993";
"Skorpio";"Panama ! 2 / Latin sounds, cumbia tropical & calypso funk on the Isthmus 1967-77";"Te toca tocar la tumba";"2009";"SOWAY";1722983543;1722983816;;;
"Los Mirlos";"The roots of chicha / Psychedelic cumbia from Peru";"El milagro verde";"1970";"BARBES RECOR";1722983815;1722983977;;"https://www.deezer.com/track/660883692";
