"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Diana HP";"Fazer e cantar";"Le jour";"2021";"Z PRODUCTION";1768816626;1768816814;"https://www.deezer.com/track/1557839872";"https://open.spotify.com/track/0G3lywWuJGGscU4UAHnzyb";
"Magic Malik";"69 96";"Voleo";"2001";"LABLEL BLEU";1768816809;1768817109;;;
"Cartola";"Verde que te quero rosa";"Verde que te quero rosa";"1977";"BMG";1768817109;1768817300;"https://www.deezer.com/track/5500742";"https://open.spotify.com/track/5plwAx4oAWnuhSwivS5Yeg";
"Claude Nougaro";"Toulouse";"L'amour sorcier";"1966";"PHILIPS";1768817294;1768817501;"https://www.deezer.com/track/74245830";;
"Cristobal Tapia De Veer";"BOF TV : The white lotus (saison 2)";"The white lotus : Let's fun !";"2022";"WATERTOWER MUSIC";1768817499;1768817657;;;
"Scott Walker";"Scott 4";"The seventh seal";"1969";"FONTANA";1768817655;1768817949;"https://www.deezer.com/track/67814822";"https://open.spotify.com/track/6v0eW4ZAd5t68R3BKMtW8o";"https://music.apple.com/fr/album/the-seventh-seal/1443533039?i=1443533326&uo=4"
"Tessa Rose Jackson";"The Lighthouse";"Wild geese";"2026";"TINY TIGER RECORDS";1768817946;1768818278;;;
"Chilly Gonzales";"Ivory tower";"Knight Moves";"2010";"WAGRAM MUSIC (DISTRIBUTEUR)";1768818273;1768818583;"https://www.deezer.com/track/81343316";"https://open.spotify.com/track/2PeeXU7B0KReH9jFmzZmSe";
"Outkast";"Outkast/Best of + 3 inedits";"So fresh, so clean";"2001";"ARISTA";1768818579;1768818811;"https://www.deezer.com/track/963074";"https://open.spotify.com/track/0UJQpwj5THX0fv0FdB0tDm";
"Erykah Badu & The Alchemist";"Next To You";"Next to you";"2025";"EMPIRE";1768818811;1768819057;;;"https://music.apple.com/fr/album/next-to-you/1821046926?i=1821046927&uo=4"
"Christian Scott Atunde Adjuah";"The emancipation procrastination";"The emancipation procrastination";"2017";"STRETCH MUSIC";1768819056;1768819437;"https://www.deezer.com/track/1972059547";"https://open.spotify.com/track/0GdpNrAXxfPzO8bNVGBbBF";
"Peki Momes";"Peki Momés";"Uzak";"2025";"MOCAMBO RECORDS";1768819432;1768819640;"https://www.deezer.com/track/3454933521";"https://open.spotify.com/track/0K23OMZnqWGGUPRjf37Ftb";"https://music.apple.com/fr/album/uzak/1826046058?i=1826046429&uo=4"
"Marc-Antoine Perrio";"Escapist (heal, till you live forever)";"Mon cœur (feat. Élise Preys)";"2023";"ORFEVRE (ACQUISITION)";1768819634;1768819846;;;"https://music.apple.com/fr/album/mon-c%C5%93ur-feat-%C3%A9lise-preys/1716407501?i=1716407506&uo=4"
"Maria Joao Pires";"Maria João Pires : Intégrale des enregistrements Erato / CD 17";"Scènes d'enfants op 15 : Traümerei";"";"ERATO";1768819839;1768820034;;;
"Roberta Flack";"Quiet fire";"Will you still love me tomorrow";"1971";"ATLANTIC";1768820032;1768820276;"https://www.deezer.com/track/6469903";"https://open.spotify.com/track/6n5647DTsQSR4llhBAqoUr";
"The Flaming Lips";"The soft bulletin";"Waitin' for a superman";"1999";"WARNER";1768820272;1768820528;;;"https://music.apple.com/fr/album/waitin-for-a-superman/1247942375?i=1247943014&uo=4"
"Orchestre Symphonique De Londres";"Superman : le film (film)";"Thème from Superman (thème principal)";"1979";"WARNER BROS";1768820524;1768820789;;;
"David Bowie";"The man who sold the world";"The superman";"1970";"EMI";1768820786;1768821002;;;
"Arthur H";"Amour / Chien fou";"Super héros de l'instant zéro";"2018";"ALLPOINTS";1768821000;1768821141;"https://www.deezer.com/track/562766752";"https://open.spotify.com/track/0XoTlTvuWOmnn2L892Dxqn";"https://music.apple.com/fr/album/super-h%C3%A9ros-de-linstant-z%C3%A9ro/1437913586?i=1437914339&uo=4"
"Dry Cleaning";"Secret love";"I need you";"2026";"4AD";1768821136;1768821408;"https://www.deezer.com/track/3724161772";"https://open.spotify.com/track/2bG2cO1gPLPqohjhFysNot";
"Arooj Aftab";"Vulture prince";"Last night";"2021";"NEW AMSTERDAM";1768821397;1768821753;;"https://open.spotify.com/track/3OBkjktMqs7QJ6dOUPWTji";"https://music.apple.com/fr/album/last-night/1598994270?i=1598994868&uo=4"
"Jon Hendricks";"Salud Joao Gilberto originator of the bossa nova";"Quiet nights (corcovado)";"1961";"WARNER JAZZ";1768821750;1768821875;;;
"Ensemble Vienne-Berlin";"Francis Poulenc / Mus. De chambre";"Sonata for flute and piano";"1989";"DGG";1768821873;1768822145;;;
"Chet Baker";"Baker's Holiday";"Easy living";"1965";"EMARCY";1768822139;1768822339;"https://www.deezer.com/track/540156862";"https://open.spotify.com/track/2wT9fYX03FzlR9VgM1m0f0";"https://music.apple.com/fr/album/easy-living/1469577521?i=1469577528&uo=4"
"Lana Del Rey & Father John Misty";"Buddy's rendez-vous";"Buddy's rendez-vous";"2022";"BELLA UNION";1768822337;1768822635;;;
"Emile Londonien";"Inwards (Extended)";"Silhouettes";"2026";"Naïve";1768822630;1768822840;"https://www.deezer.com/track/3592706312";;
"Thundercat";"I wish I didn't waste your time";"I wish I didn't waste your time";"2025";"BRAINFEEDER";1768822833;1768823000;"https://www.deezer.com/track/3549618561";"https://open.spotify.com/track/0f7sFuSS6GiZEnNA9AHMsJ";
"Bonnie Banane";"Sexy planet";"Flash";"2020";"PECHE MIGNON / GRAND MUSIQUE MANAGEMENT";1768822997;1768823162;"https://www.deezer.com/track/1115597422";"https://open.spotify.com/track/49CenuMsRuyCA2605WLHoz";"https://music.apple.com/fr/album/flash/1536581973?i=1536582410&uo=4"
