"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Sim Fossil";"Course d'amour";"Taboo";"2023";"MISTER T RECORDS";1718999692;1719000094;"https://music.apple.com/fr/album/taboo/1718505305?i=1718505309&uo=4";"https://www.deezer.com/track/2561155002";"https://open.spotify.com/track/3ZN57pxyP30zUx0sdQnOzM";
"John Coltrane";"A love supreme : the complete masters";"Part 1 - Acknowledgement (Stereo)";"1965";"IMPULSE";1719000007;1719000008;;;;
"Orcestra Makassy";"Afrique 50 ans de musique volume 8/Afrique de l'Est 2";"Mambo bado";"2010";"SYLLART PRODUCTIONS";1719000095;1719000418;;;;
"The Ogyatanaa Show Band";"Ghana soundz / Afro-beat funk fusion in 1970's Ghana / Vol.2";"Disco africa";"1976";"SOUND WAY";1719000416;1719000672;;"https://www.deezer.com/track/1666238642";;
"Parquet Courts";"Wide awake !";"Wide awake !";"2018";"ROUGH TRADE RECORDS";1719000664;1719000823;;;;
"Blondie";"Sight and sound (best of)";"Call Me";"1980";"EMI";1719000823;1719001031;"https://music.apple.com/fr/album/call-me/723575014?i=723575058&uo=4";"https://www.deezer.com/track/3104486";;
"Leon Spencer";"Acid Jazz / Vol 1";"Hip shaker";"1972";"ACE RECORDS";1719001028;1719001207;;;;
"Alicia Walter";"I am Alicia";"Suit yourself";"2021";"SOOPER RECORDS";1719001206;1719001454;"https://music.apple.com/fr/album/suit-yourself/1568360025?i=1568360037&uo=4";;"https://open.spotify.com/track/1VtrQYE8EmPQjl1eXVwMob";
"Sault";"5";"Why why why why why";"2019";"FOREVER LIVING ORIGINALS";1719001456;1719001693;"https://music.apple.com/fr/album/why-why-why-why-why/1460826525?i=1460826789&uo=4";;"https://open.spotify.com/track/4zwq3QUKgMNk0NSLl7fpbP";
"Prince Waly";"Bo y z vol. 2";"Risotto";"2023";"BO Y Z";1719001611;1719001743;"https://music.apple.com/fr/album/risotto/1716878017?i=1716878558&uo=4";;"https://open.spotify.com/track/325P4ydSGCrkDv6DIJe1PS";
"Ll Cool J";"Rap side";"Phenomenon";"1998";"BMG";1719001690;1719001934;;"https://www.deezer.com/track/2952396";;
"Vin's Da Cuero";"No more words vol.2";"Gorilla";"2024";"TWENTYONEARTS";1719001931;1719002157;"https://music.apple.com/fr/album/gorilla/1737468143?i=1737468145&uo=4";"https://www.deezer.com/track/2723916982";"https://open.spotify.com/track/4FbqI6otWauVALjwFOrdQd";
