"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Antonin Appaix";"Néoprène";"Samena";"2023";"CRACKI RECORDS";1765360684;1765360810;"https://www.deezer.com/track/2221170427";"https://open.spotify.com/track/0dBVHJRt1kDfO26bYRczdV";
"Csaba Palotai";"The deserter";"Say hello (At least)";"2016";"BUDAPEST MUSIC CENTER RECORDS";1765360808;1765361045;"https://www.deezer.com/track/2431291395";"https://open.spotify.com/track/3eKmKUnHPGPf3aMr4sSG8L";
"Ml Buch";"Suntub";"Flames shards goo";"2023";"15 LOVE";1765361044;1765361272;"https://www.deezer.com/track/2477799331";"https://open.spotify.com/track/03vUSQpYEQryhvhI4VUsqb";"https://music.apple.com/fr/album/flames-shards-goo/1709666518?i=1709666906&uo=4"
"Suzanne Vega";"Retrospective: The best of";"Luka";"1987";"A&M";1765361266;1765361496;"https://www.deezer.com/track/549263612";"https://open.spotify.com/track/5yMXAaSvxo12QkYU75Ixv0";
"Johnny Pate";"BOF / Shaft contre les trafiquants d'hommes";"Shaft contre les trafiquants d'hommes : Aleme's theme";"1973";"GEFFEN RECORDS";1765361492;1765361631;;;
"Bastien Keb";"Ghouls";"The city is beautiful";"2025";"FIRST WORD RECORDS";1765361626;1765361917;"https://www.deezer.com/track/3571290781";"https://open.spotify.com/track/5S6jDoynw2xxJhW49Rrvjs";
"Francoiz Breut";"Flux flou de la foule";"Dérives urbaines dans la ville cannibale";"2021";"62TV RECORDS";1765361916;1765362176;;;
"Caesar Frazier";"Hail Ceasar / '75";"Living for the city";"1975";"WESTBROOK RECORDS";1765362175;1765362553;;;
"Elza Soares";"A bossa negra";"O samba está com tudo";"1960";"EMI RECORDS BRASIL LTDA";1765362549;1765362698;"https://www.deezer.com/track/565449592";"https://open.spotify.com/track/6FvsDsBJXPwXo2Ekvzw4V2";"https://music.apple.com/fr/album/o-samba-est%C3%A1-com-tudo/1438459708?i=1438459717&uo=4"
"Frank Sinatra";"New York New York";"What now my love";"1966";"REPRISE";1765362697;1765362846;"https://www.deezer.com/track/139902519";"https://open.spotify.com/track/59bLeXmmjDpBjIDX6PHWoU";"https://music.apple.com/fr/album/what-now-my-love/1443412906?i=1443413532&uo=4"
"The Sonny Bradshaw Seven";"Trojan Sixties box set";"Love is blue";"1968";"";1765362845;1765363041;;;
"Kristine Leschper";"The opening, or closing of a door";"Blue";"2022";"ROCK INDEPENDANT & ALTERNATIF";1765363037;1765363208;"https://www.deezer.com/track/1513373002";"https://open.spotify.com/track/7HEXvH15XEmQTdCUDrd5Ay";"https://music.apple.com/fr/album/blue/1589308827?i=1589308831&uo=4"
"Cate Le Bon";"Michelangelo Dying";"About time";"2025";"MEXICAN SUMMER";1765363203;1765363411;"https://www.deezer.com/track/3371423761";"https://open.spotify.com/track/6woQykg1YFKSvRw1xwzJJX";"https://music.apple.com/fr/album/about-time/1814969020?i=1814969332&uo=4"
"Flying Lotus";"Spirit Box";"The lost girls (feat. Sid Sriram)";"2024";"WARP RECORDS";1765363410;1765363622;;;
"Martha Argerich";"The Martha Argerich Collection / Vol 3 : Chamber ensembles";"Ma mère l'oye : Laideronette Impératrice des pagodes - arrangement pour 2 pianos et percussions";"1994";"DGG (DEUTSCHE GRAMMOPHON)";1765363621;1765363814;;;
"Tito Puente";"The Rough Guide to Tito Puente/Oye como va? Salsa vibes of a mambo king";"Mas bajo";"1964";"ROUGH GUIDES";1765363812;1765364002;"https://www.deezer.com/track/1067977722";;
"Brigitte Bardot";"Le disque d'or";"Contact";"1967";"PHILIPS";1765364001;1765364139;"https://www.deezer.com/track/1101463";;
"Olivia Dean";"The art of loving";"So easy (to fall in love)";"2025";"";1765364137;1765364304;"https://www.deezer.com/track/3562948071";"https://open.spotify.com/track/6sGIMrtIzQjdzNndVxe397";
"Sully Braq";"Symphonie dans le coin d'une pièce";"Failullaby";"2022";"CHAMBRE MUSIC";1765364303;1765364525;"https://www.deezer.com/track/1743474757";"https://open.spotify.com/track/4VSirivV74mlFyqi6QHKKi";"https://music.apple.com/fr/album/failullaby/1622860901?i=1622860902&uo=4"
"Celestine Ukwu";"Nigeria special : Modern highlife, Afro-sounds & Nigerian blues 1970 -1976";"Okwukwe na nchekwube";"1972";"SOUNDWAY";1765364525;1765364893;"https://www.deezer.com/track/2764105031";;
"Francis Bebey";"L'Afrique enchantée / Entrez dans le bois sacré";"Cousin Assini";"1981";"SONY";1765364884;1765365029;"https://www.deezer.com/track/2683136532";;"https://music.apple.com/fr/album/cousin-assini/1734192696?i=1734192827&uo=4"
"Ryuichi Sakamoto";"Thousand knives";"Grasshoppers";"1978";"NIPPONOPHONE";1765365025;1765365338;"https://www.deezer.com/track/2539779521";"https://open.spotify.com/track/3A7biJ7OQ6VVBcH1egT5X4";"https://music.apple.com/fr/album/grasshoppers/330744443?i=330744497&uo=4"
"Nick Cave";"The boatman's call";"People ain't no good";"1997";"LABELS";1765365337;1765365676;;;
"Meryem Aboulouafa";"Family";"Hated Love";"2025";"Zerhoun";1765365670;1765365886;"https://www.deezer.com/track/3661536962";"https://open.spotify.com/track/6RE0vAoMFlyLVWBtSrj62E";
"Avishai Cohen";"Big Vicious";"Teardrop";"2020";"ECM";1765365877;1765366314;"https://www.deezer.com/track/898857832";"https://open.spotify.com/track/1IFhdXTjyMaZd4kwXbqVF9";
"Paul McCartney";"Ram";"Ram on";"1971";"CAPITOL";1765366304;1765366452;"https://www.deezer.com/track/25006901";"https://open.spotify.com/track/0GlliWgN9PBFFa19cVehSZ";
"Tierra Whack";"Peppers and onions";"Peppers and onions";"2020";"POLYDOR";1765366448;1765366618;"https://www.deezer.com/track/1145659682";"https://open.spotify.com/track/3EXtXbj00nX9aCHDz1yEJF";
"Molly Lewis";"The forgotten edge";"Oceanic feeling";"2021";"JAGJAGUWAR";1765366618;1765366758;"https://www.deezer.com/track/1349652362";"https://open.spotify.com/track/7yWcbyoDwqHuhh3SKxWSdb";
"Duo Melange";"Mélange de tangos fantaisies ...";"Fantaisie brillante sur Carmen de Bizet : Habanera";"";"MUSICAPHON";1765366754;1765367004;;;
"Nina Simone";"Silk & soul";"Cherish";"1967";"RCA/LEGACY";1765367002;1765367201;"https://www.deezer.com/track/577536";"https://open.spotify.com/track/5P73WXkTKt8lDyMkCLA07F";
"Kali Uchis";"Sincerely";"Daggers!";"2025";"POLYDOR";1765367200;1765367388;"https://www.deezer.com/track/3348952901";"https://open.spotify.com/track/5OHwNOD7QVfwbxulaNw0go";"https://music.apple.com/fr/album/daggers/1804747038?i=1804747469&uo=4"
"Park Jiha";"The gleam";"A day in...";"2022";"TAK:TIL / GLITTERBEAT";1765367387;1765367553;"https://www.deezer.com/track/1539651162";"https://open.spotify.com/track/6ONanTh7nUizFsm3B9wcuU";"https://music.apple.com/fr/album/a-day-in/1593189979?i=1593190281&uo=4"
"Joanna Newsom";"The milk-eyed mender";"Peach, plum, pear";"2003";"DRAG CITY";1765367544;1765367753;"https://www.deezer.com/track/477792662";;
"Eels";"Blinking lights";"Blinking lights (for me)";"2005";"VAGRANT RECORDS";1765367739;1765367855;"https://www.deezer.com/track/137283992";"https://open.spotify.com/track/2uNZSqnOg41y055uqNbFkN";"https://music.apple.com/fr/album/blinking-lights-for-me/1549652249?i=1549652254&uo=4"
"Anna Karina";"Chansons de films";"Ne dis rien (Anna)";"1967";"MERCURY";1765367855;1765368007;;;
"Roger Renaud";"French rare groove : Rare funky songs from france";"Turn me on";"2022";"WAGRAM MUSIC";1765368006;1765368242;"https://www.deezer.com/track/1790062667";"https://open.spotify.com/track/1DhOzEiV421ThJMZPOh05s";
"Bastien D";"Take you out";"Just repair";"2025";"CHIEN BLEU";1765368240;1765368440;"https://www.deezer.com/track/3683222162";"https://open.spotify.com/track/3p0FQ4i4qICdsVX17VbfxH";"https://music.apple.com/fr/album/just-repair/1854179607?i=1854179820&uo=4"
"Goran Bregovic";"BOF / Arizona dream";"Arizona dream : Dreams";"1993";"MERCURY";1765368432;1765368643;;;
"Isabelle Aubret";"Il ne faut pas briser un rêve....";"Summertime";"1960";"PHILIPS";1765368640;1765368828;"https://www.deezer.com/track/3562778481";;
"Lucas Dorado";"El sueño";"Balderrama";"2025";"L'HORIZON VIOLET";1765368824;1765369135;"https://www.deezer.com/track/3262675721";"https://open.spotify.com/track/4b7eLHNAISmiRRZcFD7Omp";
"The Robin Jones Seven";"El maja";"Oya";"1972";"APOLLO SOUND";1765369133;1765369317;;;
"Etta James";"Matriarch of the blues";"Don't let my baby ride";"2000";"BMG";1765369312;1765369625;"https://www.deezer.com/track/966201";"https://open.spotify.com/track/5wdeSCiiJJFXMcK9eo8HQR";
"Don Cavalli";"Temperamental";"Say little girl";"2012";"BECAUSE";1765369622;1765369801;;;
"Robin Trower";"20Th Century Blues";"Precious gift";"";"MEDIA 7";1765369796;1765370036;;;"https://music.apple.com/fr/album/precious-gift/448870498?i=448870503&uo=4"
"Rodolphe Burger";"Good";"Happy hour";"2017";"DERNIERE BANDE / PIAS FRANCE";1765370033;1765370269;"https://www.deezer.com/track/142699244";"https://open.spotify.com/track/1J7DhfYPUtL5oBIvGFOAcQ";"https://music.apple.com/fr/album/happy-hour/1186573238?i=1186573459&uo=4"
"Angelo Badalamenti";"B.O.F. / Un long dimanche de fiançailles";"First love touch";"2004";"WEA";1765370265;1765370499;"https://www.deezer.com/track/3909551";"https://open.spotify.com/track/3jw7xrUn2K8qT4chrhvaTs";"https://music.apple.com/fr/album/first-love-touch/35757538?i=35757548&uo=4"
