"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Immy Owusu";"Lo-life !";"Right with no wrong";2023;"HOPESTREET RECORDINGS";1707904475;1707904835;"https://open.spotify.com/track/27U5sTdBWwA2AIl3E6BB7z";;
"Irmin Schmuttberg";"tia mis le kimono ?";"Croisière";2023;"MK LABEL";1707904833;1707904997;"https://open.spotify.com/track/0odplSCHF2igxjQAu9mQAj";;
"Rubin Steiner";"More weird hits two covers & a love";"Love me or leave me";2008;;1707904993;1707905191;"https://open.spotify.com/track/3UzBr1CzQokcKvLGkZGJ49";;
"Passion Theatre";"Strange Desire / Mannequin";"No for answers";1986;"SPACETALK";1707905191;1707905456;;"https://www.deezer.com/track/1259143862";
"Talking Heads";"Once in a lifetime";"Once in a lifetime";1980;"EMI";1707905390;1707905638;"https://open.spotify.com/track/1Tr4K5MU5XYE44umXGDndd";;
"Honey For Petzi";"Observations + Descriptions";"Kawasaki";2022;"TWO GENTLEMEN";1707905636;1707905824;"https://open.spotify.com/track/13qv9Q0jVioRl2N3qDAkzz";;"https://music.apple.com/fr/album/kawasaki/1612240531?i=1612241012&uo=4"
"Shawn Lee's Ping Pong Orchestra";"Jack Arel : Originals & remixes 2";"Jungle soul (Ping Pong Orchestra version)";2007;"KOKA MEDIA";1707905823;1707905985;;;
"Arthur Conley";"Shake, rattle & roll";"Hand and glove";1967;"RHINO ATLANTIC";1707905983;1707906133;"https://open.spotify.com/track/70miqH8UzxktSGhVq2NyuL";"https://www.deezer.com/track/62167431";
"Gregory Isaacs";"All I have is love : Anthology 1968-1995";"Lonely lover";1976;"TROJAN RECORDS";1707906131;1707906319;;;
"The Lijadu Sisters";"Afro - beat soul sisters";"Gbowo mi";1979;"SOUL JAZZ RECORDS";1707906317;1707906596;;;
"Herbie Hancock";"Herbie Hancock / Best of";"Cantaloupe Island";1964;"BLUE NOTE";1707906592;1707906921;;"https://www.deezer.com/track/3363488";
"Stacey Kent";"Let yourself go";"Shall we dance?";1999;"CANDID";1707906916;1707907094;;;
"Indra Thomas";"Brahms beloved";"Am strande - pour soprano et piano";2013;"TELARC";1707907094;1707907261;;;
