"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Money Mark";"Cry";"Cry";1995;"MO WAX";1711533511;1711533650;;;
"Liam Bailey";"Zero grace";"I got no answers";2024;"BIG CROWN RECORDS";1711533650;1711533836;"https://open.spotify.com/track/02E9D8zmNUYgPrBpVpE6i2";;
"The Shadows";"20 golden greats";"Geronimo";1963;"EMI";1711533834;1711533972;;"https://www.deezer.com/track/3093533";
"Adriano Celentano";"Antologia vol. 3 1976-1982";"Svalutation";1976;"CLAN";1711533971;1711534155;"https://open.spotify.com/track/3fTUPDNxgXd7Exh5HZ2qRY";;
"Cotonete & Di Melo";"Atemporal";"Verso e prosa";2019;"FAVORITE RECORDINGS / THE PUSHER";1711534154;1711534520;;;
"Nilda Fernandez";"Los dias aquellos";"Juan eugenio";1995;"POLYDOR";1711534519;1711534788;;;
"Hubert Felix Thiefaine";"Les fils du coupeur de joints";"Loreleï sebasto cha";1982;"SONY";1711534785;1711535025;;;
"Fleet Foxes";"Helplessness blues";"Lorelai";2011;"BELLA UNION";1711535023;1711535286;"https://open.spotify.com/track/5TrrlZ2s8g2vlaYacWtaNI";"https://www.deezer.com/track/143462364";
"Orchestre Philharmonique De La Bbc";"L'intermezzo italien";"Loreley : Danse des ondines";2011;"CHANDOS";1711535285;1711535642;;;
"Maya Hawke";"Moss";"Mermaid bar";2022;"MOM+POP";1711535631;1711535843;"https://open.spotify.com/track/3JKFN3393ZQitMIls4WXoX";"https://www.deezer.com/track/1910035517";
"Tom Poisson";"Se passer des visages";"La chanson (en duo avec Clio)";2020;"AUTO PRODUCTION / KURONEKO";1711535840;1711536010;;;
"Trio Esperanca";"Nosso mundo";"Berimbau";1999;"MERCURY";1711536008;1711536189;;;
"Sam Cooke";"Hem of his garment";"Come let us go back to God";;"REMEMBER";1711536189;1711536357;;;
"Jimmie Lunceford & His Orchestra";"Jazzin' the classics vol. 1";"Sonata by L. van Beethoven (""""Pathétique"""") (1940)";1940;"SAGA";1711536357;1711536551;;;
"Willie Nelson";"Country music";"Freight train boogie";2010;"ROUNDER";1711536550;1711536704;"https://open.spotify.com/track/1NIzfhUqSxSiGun1r3cu3I";"https://www.deezer.com/track/5804572";
"Bobby Womack";"The very best of Bobby womack 1968-1975";"California dreaming";1968;"CHARLY";1711536700;1711536894;;;
"Julien Clerc";"Des jours entiers a t'aimer";"La Californie";1970;"EMI";1711536891;1711537066;"https://open.spotify.com/track/5YAcgRKhq5Czd5Y50VO3My";;
"Arctic Monkeys";"Whatever people say I am, that's what i'm not";"Fake tales of San Francisco";2006;"DOMINO";1711537063;1711537240;"https://open.spotify.com/track/7BuzJmV2h6eBbSDdRaDY7C";"https://www.deezer.com/track/4315311";
"Les Agamemnonz";"Amateurs";"J'avoue";2021;"HI-TIDE RECORDINGS";1711537238;1711537456;"https://open.spotify.com/track/4cXxOMsDFoywoJjm7GpX2V";"https://www.deezer.com/track/1394245232";
"Aziza Brahim";"Mawja";"Metal, madera";2024;"GLITTERBEAT RECORDS";1711537453;1711537689;"https://open.spotify.com/track/1VxWUqYqigOW96hekrteMN";;
"Jamesty";"You cannot";"You cannot";2020;"AUTO PRODUCTION";1711537687;1711537905;"https://open.spotify.com/track/1S5nEfJI7MKXzW9Tl14vYm";"https://www.deezer.com/track/1245957702";
"Maceo Parker";"Soul food cooking with Maceo";"Yes we can can";2020;"THE FUNK GARAGE / MASCOT LABEL GROUP";1711537903;1711538244;"https://open.spotify.com/track/2qlfzP4cXFnd718WGNDCT4";"https://www.deezer.com/track/1587069302";
"J Boogie S Dubtronic Science";"Norman jay presents good times 30 (cd promo)";"Try me (people under the stairs remix)";2011;"STRUT";1711538242;1711538464;;;
"Laurent Garnier";"Tales of a kleptomaniac";"Dealing with the man";2009;"PIAS RECORDINGS";1711538463;1711538813;;;"https://music.apple.com/fr/album/dealing-with-the-man/313089376?i=313089386&uo=4"
"Flavien Berger";"Contrebande 02. le disque de l'été";"Plongereuse";2024;;1711538808;1711539080;"https://open.spotify.com/track/5CxyocTOjwHedHdarG0sLF";"https://www.deezer.com/track/2584771712";
"Astral Bakers";"The whole story";"Easy";2024;"SAGE MUSIC";1711539078;1711539295;"https://open.spotify.com/track/1ANZpHhvsrFaIvIpPTrh7M";;
"Julian Lage";"Arclight";"I'll be seeing you";2016;"MACK AVENUE";1711539290;1711539498;"https://open.spotify.com/track/7yfZhasc2gKIRzF9e4TLQb";"https://www.deezer.com/track/117187750";
"Baton Bleu";"Weird and wonderful tales";"Ring of fire";2018;"DIXIEFROG";1711539495;1711539662;;"https://www.deezer.com/track/568772722";
"Patchworks";"Emile Omar présente Brassens et les copains d'accords";"Dans l'eau de la claire fontaine (feat. Pat Kalla)";2021;"FANON RECORDS";1711539658;1711539902;;;
"Nat King Cole";"Cole Espanol";"Ay cosita Linda";1958;"CAPITOL";1711539899;1711540032;;"https://www.deezer.com/track/6123997";
"Klazz Brothers And Cuba Percussion";"Classic meets Cuba";"Carmen Cubana (Bizet, Habanera)";2004;"SONY";1711540031;1711540240;;;
"Smokey Robinson And The Miracles";"Motown : The complete n° 1's / CD 1 & 2";"You've really got a hold on me";1973;"MOTOWN";1711540238;1711540428;;"https://www.deezer.com/track/1138114102";
"Carlton Jumel Smith";"It's gonna be alright";"It's gonna be alright";2023;"GOLDEN RULES";1711540420;1711540647;"https://open.spotify.com/track/61G0koJvvY7HQIbhHgsOFj";"https://www.deezer.com/track/2237102187";
"Jungle";"Volcano";"Pretty little thing (feat. Bas)";2023;"CAIOLA RECORDS";1711540644;1711540821;;;
"Omar Khorshid";"With Love";"Habibati";1978;"WE WANT SOUNDS";1711540814;1711541059;;;
"Zina Nahid";"Les plus belles chansons franco-orientales";"Danses du sud";1960;"MARIANNE MELODIE";1711541062;1711541196;;;
"Andrew Bird";"Break it yourself";"Danse caribe";2012;"BELLA UNION";1711541188;1711541507;"https://open.spotify.com/track/7tOpJyoub75hwcdpUGU4gP";;
"Monster Rally";"Flower shower (ep)";"Swimming in the lotus garden";2023;"MONSTER RALLY";1711541501;1711541638;"https://open.spotify.com/track/7aXOm60JLznhO8dNW7ljRy";;
"Norah Jones";"Visions";"Staring at the wall";2024;"BLUE NOTE";1711541628;1711541897;"https://open.spotify.com/track/1vaE2g2ECAPiSDve8ApSGm";"https://www.deezer.com/track/2614673382";
"JJ Cale";"Naturally";"Call me the breeze";1972;"MERCURY";1711541895;1711542049;;;
"Merryn Jeann";"Dog beach";"Madame on the rocks";2024;"RESCUE / RETURN RECORDS";1711542046;1711542243;"https://open.spotify.com/track/6T92psJIR2IeOVnGfH7KZD";"https://www.deezer.com/track/2621443992";
"Trio Smetana";"Le trio Smetana interprète Mendelssohn et Schubert";"Trio n°1 en ré min op 49 : Scherzo : Leggiero e vivace - pour violon violoncelle et piano";2010;"SUPRAPHON OU";1711542240;1711542455;;;
"Gabriels";"Angels & queens – Part I";"Remember me";2022;"WEA/ WARNER";1711542452;1711542681;"https://open.spotify.com/track/3xziKgTzhAY1ADhN1WW9yQ";"https://www.deezer.com/track/1902089137";
"Sarah Vaughan";"Sarah Vaughan With Clifford Brown";"Lullaby of birdland";1954;"EmArcy";1711542680;1711542919;"https://open.spotify.com/track/5z161QQZMgQxSILnv3QoJk";;
"Jay-Jay Johanson";"Cockroach";"Orient express";2013;"UNIVERSAL";1711542912;1711543191;"https://open.spotify.com/track/1qZ8yejLjdE2fhvgIDvy0I";"https://www.deezer.com/track/70375473";
"Nirvana";"In utero / 20th Anniversary";"Dumb (instrumental)";1993;"GEFFEN RECORDS";1711543186;1711543342;;;
"Lalalar";"Bi cinnete bakar";"Bi cinnete bakar";2022;"BONGO JOE";1711543337;1711543491;"https://open.spotify.com/track/2oqqHkcZBHOLtmJflp5U0X";;
"Bertrand Belin";"Hypernuit";"Ta peau";2010;"CINQ 7";1711543484;1711543717;;;
"Umebayshi Shigeru";"Bof/ 2046";"2046 :  Polonaise";2004;"EMI";1711543714;1711543869;;;
"Chinese Man";"We've been here before";"Sacre bleu (feat ASM, Stogie T & Youthstar)";2024;"CHINESE MAN RECORDS";1711543865;1711544052;;;
"Yellowman";"Zungguzungguguzungguzeng";"Zungguzungguguzungguzeng";1983;"GREENSLEEVES RECORDS";1711544051;1711544438;"https://open.spotify.com/track/1YpH91YcUZlo2mxKJVhWM8";"https://www.deezer.com/track/6709775";
"Brenton Wood";"Harlem shuffle : Sixties soul classics";"Oogum boogum song";1967;"CHARLY";1711544433;1711544580;"https://open.spotify.com/track/4WiGGTl7Kt5vnjQHqwLJy1";;
"Okvsho";"A place between us";"Con mi perros en la niebla";2024;"CURRENT MOVES";1711544577;1711544782;;;
"The Smile";"Wall of eyes";"Read the room";2024;"SELF HELP TAPES LLP / XL RECORDINGS";1711544781;1711545092;"https://open.spotify.com/track/4WlKWgWG030Cpatn5P6uGE";;"https://music.apple.com/fr/album/read-the-room/1711359135?i=1711359471&uo=4"
"Merle Haggard";"The land of many churches";"I saw the light";1971;"STETSON";1711545091;1711545250;;;
"Laurence-Anne";"Politesse";"Politesse";2023;"BONSOUND";1711545247;1711545433;"https://open.spotify.com/track/1XSU8ULwTkJk38Yu8ySirk";;
"Lisa Leblanc";"Chiac disco";"Tite gêne";2022;"BONSOUND";1711545428;1711545647;"https://open.spotify.com/track/6sEPBG8fVfrqxyN0lrz7x0";;
"Louis Armstrong";"Memories of New Orleans";"Perdido street blues";1940;"SAGA";1711545647;1711545826;;"https://www.deezer.com/track/72173239";
"Josephine Baker";"Woody Allen : From Manhattan to midnight in Paris";"La conga blicoti";;"MILAN";1711545827;1711545970;"https://open.spotify.com/track/7stpeZplK3IUyiIFBE9UIU";"https://www.deezer.com/track/17380912";
"Donna Blue";"Into the realm of love";"In blue";2024;"SNOWSTAR RECORDS";1711545968;1711546184;"https://open.spotify.com/track/3kOTtM7YQfMpx4apjYaA6o";"https://www.deezer.com/track/2633554322";
"Danger Mouse";"Rome";"The rose with a broken neck";2011;"PARLOPHONE";1711546178;1711546381;;;
"Ennio Moricone";"Musique de films, Colonne sonore, Original soundtracks 1964-2015 : Vol. II / CD 04 & 05 : Cinéma français I (1969-79) & Cinéma français II (1978-2015)";"Le ruffian : Sporco ma distinto";2021;"DECCA RECORDS";1711546378;1711546495;;;
"Jay-Z";"The Blueprint 2";"Blueprint 2";2002;"ROC-A-FELLA RECORDS";1711546491;1711546781;"https://open.spotify.com/track/5zkMLiZLve4jFLGyqoKFMt";;
"Umi";"Talking to the wind";"Happy im";2024;"UMI MUSIC INTERNATIONAL";1711546777;1711546949;"https://open.spotify.com/track/4Ula7jq5UfLOWS2GMerzOG";"https://www.deezer.com/track/2376068995";
"The Black Keys";"This is nowhere";"This is nowhere (feat. Beck)";2024;"NONESUCH";1711546946;1711547168;;;
"Nujabes";"Metaphorical music";"Summer gypsy";2011;"HYDEOUT PRODUCTIONS";1711547163;1711547419;;"https://www.deezer.com/track/1176778672";
"Noze";"Come with us";"Saint";2015;"CIRCUS COMPANY";1711547339;1711547620;"https://open.spotify.com/track/3pofW2MeqMvXlo7TzBwYaM";"https://www.deezer.com/track/96445666";
"Julian Cope";"Jon Savage's 1983-1985";"Sunspots";1984;"ACE RECORDS";1711547620;1711547819;"https://open.spotify.com/track/6FgWJ71DAUgPdUunT6YYSS";;
"Michael Jackson";"Ben";"People make the world go 'round";1972;;1711547815;1711548004;"https://open.spotify.com/track/17V6RQvamKW60OKA837Qu5";;
"Pierre Daven-Keller";"Kino music";"Daiquiri";2019;"KWAIDAN";1711548002;1711548177;"https://open.spotify.com/track/1WDMKdB7M7oUbkk8EfVGyw";"https://www.deezer.com/track/999342172";
"Sylvia Tella";"Lovers Rock";"Spell (7"""" mix)";1981;"SANCTUARY RECORDS GROUP";1711548175;1711548419;;;
"Sade";"Stronger than pride";"Nothing can come between us";1988;"EPIC";1711548415;1711548671;"https://open.spotify.com/track/2OtKvk9zsA9hbRJKMiyy3b";"https://www.deezer.com/track/1030652022";
"Faye Webster";"Underdressed at the symphony";"Wanna quit all the time";2024;"SECRETLY CANADIAN";1711548668;1711548940;"https://open.spotify.com/track/3w3seawXfQGat9yH2B8Tge";;
"Taaroa John & Ses Guitares Des Iles";"Guitare hawaiienne";"Honeymoon in Hawaii";1974;"INTER LOISIRS DISQUES";1711548939;1711549078;;;
"Conway Twitty";"Gold";"What Am I Living For (Single Version)";1960;"MCA NASHVILLE";1711549077;1711549234;;"https://www.deezer.com/track/24330801";
"Sammy Davis Jr.";"The Rat Pack : The very best of";"Hey there";1954;"NIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1711549232;1711549399;;"https://www.deezer.com/track/2439373";
"Luciano Pavarotti";"Luciano Pavarotti Le ténor du siècle";"Fiorin fiorello";;"Decca";1711549397;1711549530;"https://open.spotify.com/track/09vtAakv6UDFmAPThtwhlN";"https://www.deezer.com/track/2305647";
"The Lemon Twigs";"Go To School";"Never know";2018;"4AD";1711549527;1711549751;"https://open.spotify.com/track/0oEPmaZlG1lWM2F9tj03TH";"https://www.deezer.com/track/609834592";
"Charles Danet";"Melanchomedy";"French wine";2024;;1711549748;1711549870;"https://open.spotify.com/track/3F0a7tEy5VPe40sBxjnueF";;
"Fleetwood Mac";"Rumours";"Dreams";1977;"WEA";1711549867;1711550122;;"https://www.deezer.com/track/664450";
"Diane Tell";"Chimères";"Souvent longtemps enormement";1981;"TUTA MUSIC";1711550119;1711550373;;;
"D Train";"100% Funk";"Keep On";1982;"COLUMBIA";1711550369;1711550626;;"https://www.deezer.com/track/68171062";
"J Dilla";"Welcome 2 Detroit - The 20th Anniversary Edition Disque 1";"Think twice (Instrumental)";2001;"BBE MUSIC";1711550623;1711550838;;;
"Freestyle Fellowship";"The rebirth of cool. Vol2";"Inner city boundaries";1993;"ISLAND";1711550836;1711551113;"https://open.spotify.com/track/4paRDS0LDHtb5WvwJ1Ahwb";"https://www.deezer.com/track/1761464737";
"Anita O Day";"Time for 2";"I believe in you";1962;"VERVE";1711551111;1711551254;;;
"Jorge Ben";"Samba Esquema Novo";"Quero esquecer você";1963;"PHILIPS (PHPS)";1711551253;1711551393;;;
"Lake";"Circular doorway";"No wonder I";2013;"CATHEDRAL SOUNDS";1711551392;1711551579;"https://open.spotify.com/track/3gY7vwLyXH2vt1zjIyVA2a";;
"Tim Kiefer";"BOF TV / Adventure time presents come along with me (Saison 10)";"Come along with me : Waiting to you";2018;"MONDO TEES";1711551575;1711551661;;;
"Jean-Luc Le Tenia";"Le meilleur chanteur français du monde";"Et les filles";2002;"IGNATUB";1711551660;1711551735;"https://open.spotify.com/track/3okwO09QUme0nIvFLWncVh";;"https://music.apple.com/fr/album/et-les-filles/1511066374?i=1511067757&uo=4"
"R. Stevie Moore";"Lo fi hi fives a kind of best of";"Here comes summer again";1977;"O GENESIS";1711551735;1711552010;"https://open.spotify.com/track/4ztjyCTTkhBxkuVvFh9rQh";;"https://music.apple.com/fr/album/here-comes-summer-again/425690212?i=425690290&uo=4"
"The Heptones";"Rocksteady got soul";"Young generation";1970;"SOUL JAZZ RECORDS";1711552004;1711552214;;;
"Glen Campbell";"Wichita lineman";"(Sittin' on) the dock of the bay";1968;"CAPITOL";1711552213;1711552364;;;"https://music.apple.com/fr/album/sittin-on-the-dock-of-the-bay/1443109329?i=1443109825&uo=4"
"Molly Lewis";"The forgotten edge";"Island spell";2021;"JAGJAGUWAR";1711552361;1711552495;"https://open.spotify.com/track/3ihGhVSDxgSJcLYyYZA4vb";;"https://music.apple.com/fr/album/island-spell/1563991070?i=1563991072&uo=4"
"Dope Lemon";"Kimosabe";"Kimosabe";2023;"BMG";1711552493;1711552768;"https://open.spotify.com/track/6ThLeHskGmgionXRoqGyYS";;"https://music.apple.com/fr/album/kimosab%C3%A8/1669316784?i=1669316785&uo=4"
"Moodymann";"Taken away KDJ-49";"Slow down";2020;"MAHOGANI MUSIC";1711552767;1711553076;;;
"Baroto";"Coast groove";"Coast groove";2023;"RIVAMARE RECORDS";1711553071;1711553215;"https://open.spotify.com/track/1NVr8gO4zW316hUnZJm5Uu";;"https://music.apple.com/fr/album/coast-groove/1671922191?i=1671922192&uo=4"
