"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Paul Osborne";"Time Stands Still / Le temps s'arrête";"Crawler";"2025";"MR BONGO";1764985639;1764985766;;;
"Nelia Masengu";"A deux doigts";"Tous les mêmes";"2025";"FORCEFIELD RECORDS";1764985756;1764985966;"https://www.deezer.com/track/3400399561";"https://open.spotify.com/track/0eTNkEzoS040OydhuAIQ14";
"Sam Cooke";"The man and his music";"Just for you";"1962";"RCA";1764985952;1764986102;"https://www.deezer.com/track/855104092";;
"Rich Charlie";"Charlie Rich";"Big Boss Man";"1964";"RCA / LEGACY";1764986088;1764986253;;;
"Chihiro Yamanaka";"Utopia";"Mambo";"2018";"UNIVERSAL MUSIC";1764986239;1764986528;"https://www.deezer.com/track/513163412";;
"Charles Aznavour";"Entre deux reves";"Si j'avais un piano";"1968";"EMI";1764986515;1764986680;"https://www.deezer.com/track/625721722";"https://open.spotify.com/track/7xfsHjBDiMtL5HfsF42z9N";
"The Beatles";"With the Beatles";"Money";"1963";"EMI";1764986684;1764986856;;;
"Nina Hagen";"Nun sex monk rock";"Born in Xixax";"1982";"CBS";1764986842;1764987029;"https://www.deezer.com/track/46716681";"https://open.spotify.com/track/3Y2uo29gqttQ9hK8RoffEn";
"Session Victim";"Sidequests chapter two";"Behind the glass";"2025";"";1764987017;1764987169;"https://www.deezer.com/track/3465053731";"https://open.spotify.com/track/4KwmsEeHOEfKTCytJSZGhS";
"Phillip Fraser";"Come Ethiopians";"2,000 years";"2023";"PATATE RECORDS";1764987153;1764987342;"https://www.deezer.com/track/2141485247";"https://open.spotify.com/track/3ovq94py7XlQOv0H1sHmWJ";
"Yvette Michele";"My Dream";"Summer love";"1997";"LOUD RECORDS";1764987333;1764987580;"https://www.deezer.com/track/134953664";"https://open.spotify.com/track/1gYQ4zlzb5AE0DzaTz7CDI";
"Crayon";"Home Safe";"Strange people (feat. Rhye)";"2025";"ERASED TAPES";1764987559;1764987753;;;
"Tabac Carton";"Tabac carton";"(Ballon-panier)";"2024";"ARTIFICE";1764987739;1764987873;;;
