"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Dublon";"Raining but it’s OK (feat. Tour-Maubourg & Manon)";"Raining but it’s OK (feat. Tour-Maubourg & Manon)";"2024";"DELICIEUSE RECORDS";1728727079;1728727307;;;
"Nubiyan Twist";"Nubiyan twist";"Hypnotised";"2017";"WORMFOOD RECORDS";1728727306;1728727641;;;
"Redman";"Best of";"Tonight's Da Night";"1992";"DEF JAM RECORDING";1728727639;1728727840;"https://music.apple.com/fr/album/tonights-da-night/1440921502?i=1440922460&uo=4";"https://open.spotify.com/track/67mtN6BlsJR0LVyzvNZnGt";
"Tiki Paradise";"MaAuLa-o-rama vol.5 - Exotic Amuse bouche";"Island fever";"2020";"MAAULA RECORDS";1728727839;1728727979;"https://music.apple.com/fr/album/island-fever/1537573402?i=1537573467&uo=4";"https://open.spotify.com/track/2hvSwOAak9bV0tYL5VmV5N";
"Fania All Stars";"Rhythm machine";"En orbita";"1977";"FANIA";1728727977;1728728271;;"https://open.spotify.com/track/6gg7x7LUCLwNvw7rCqBfbK";
"Nia Archives";"Silence is loud";"Out of options";"2024";"UNIVERSAL ISLAND RECORDS";1728728270;1728728398;"https://music.apple.com/fr/album/out-of-options/1728850551?i=1728850743&uo=4";"https://open.spotify.com/track/1ygHZpILmwL7EaByT1SVAO";"https://www.deezer.com/track/2738165771"
"Muddy Monk";"Bingo paradis";"Chaki queen";"2024";"HALF AWAKE RECORDS";1728728397;1728728601;;"https://open.spotify.com/track/7o0iyFrZ0YxZXs2leWNRel";"https://www.deezer.com/track/2801059052"
"Francois De Roubaix";"BOF / L'homme orchestre";"Les grosses caisses";"1970";"EMARCY RECORDS";1728728599;1728728720;"https://music.apple.com/fr/album/les-grosses-caisses-bof-lhomme-orchestre/1516444462?i=1516445080&uo=4";;
"Liza Minnelli";"New-York New-York (film)";"Theme from new york, new york";"1977";"EMI";1728728719;1728728918;"https://music.apple.com/fr/album/theme-from-new-york-new-york/715513995?i=715515542&uo=4";;
"Mick Harvey";"Intoxicated man";"New York USA";"1995";"VOGUE 74";1728728917;1728729062;;;
