"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Massive Attack";"Mezzanine";"Dissolved girl";"1998";"VIRGIN";1714471153;1714471520;"https://open.spotify.com/track/0oeEqyEAavgPfFxDYvjAP6";;
"Bernard Hermann";"Bof / Taxi driver";"Theme from taxi driver";"1976";"ARISTA";1714471507;1714471756;;;
"Minnie Riperton";"Perfect angel / Adventures in paradise";"Inside my love";"1975";"STATESIDE";1714471751;1714472034;;"https://www.deezer.com/track/3204397";
"Marine Quemere";"Helicoidal";"Helicoidal";"2022";"AUTOPRODUCTION";1714472032;1714472256;"https://open.spotify.com/track/3igJuL1xdx4JFDhOCBKsHk";"https://www.deezer.com/track/1752551317";
"Sebastien Tellier";"Politics";"La ritournelle";"2004";"SOURCE";1714472253;1714472705;"https://open.spotify.com/track/40at1IRgEDeq0Jun0VNsz2";;
"Fela Kuti";"Koola Lobitos / The '69 L.A. Sessions";"Wayo (2nd. version)";"1969";"WRASSE RECORD LIMITED";1714472701;1714472907;;;
"Mary Greer Mudiku & Oneness Of Juju";"Black love alive again";"Our time";"1995";"STRUT RECORDS / K7 MUSIC GMBH";1714472906;1714473083;;;
"James Moody";"Loose & juicy";"You follow me";"1978";"VANGUARD RECORDS";1714473080;1714473449;;;
"James Brown";"I feel good! - The best of";"I got you (I feel good)";"1965";"POLYDOR";1714473447;1714473613;;;
"Lord Apex & Madlib";"The good fight";"The good fight";"2023";"E-M WORLDWIDE";1714473611;1714473847;;;
"Kelpe";"Lp10";"Schlesinger";"2024";"KIT RECORDS";1714473846;1714474056;"https://open.spotify.com/track/0IyxX6ymoMdEqotNlILS0z";;
"Zoe's Shanghai";"Lava love";"Glimpse of a roar";"2021";"AUTOPRODUCTION";1714474054;1714474297;"https://open.spotify.com/track/0VCIkfdRSseLgaRcIwUnbs";;
"Cortex";"Inedit '79";"Emily";"1979";"RUE STENDHAL";1714474292;1714474570;;;
"Dire Straits";"Down on the waterline";"Six Blade Knife";"1978";"PHONO";1714474568;1714474815;"https://open.spotify.com/track/7f8mgCngOGhoRNAmhN6GIo";;"https://music.apple.com/fr/album/six-blade-knife/1440801714?i=1440801730&uo=4"
"Augusto Martelli";"BOF / Nella misura in cui (Dans la mesure où)";"Nella misura in cui : Joining together (instrumental)";"1978";"FOUR FLIES RECORDS";1714474813;1714475014;;;
