"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Nujabes";"Spiritual state";"Prayer";2011;"HYDEOUT PRODUCTIONS";1703930224;1703930433;"https://music.apple.com/fr/album/prayer/1078912616?i=1078912879&uo=4";"https://www.deezer.com/track/1180943212";"https://open.spotify.com/track/6HdAw1lbXOaLNQw18s6yds"
"Mulatu Astatke";"Mulatu of Ethiopia";"Kasalefkut-hulu";1972;"WORTHY RECORDS";1703930432;1703930578;;;
"Marvin Gaye";"What's going on";"Inner city blues (make me wanna holler)";1971;"MOTOWN";1703930576;1703930753;"https://music.apple.com/fr/album/inner-city-blues-make-me-wanna-holler/1538081586?i=1538081861&uo=4";;"https://open.spotify.com/track/5hReWjUHqPqkHi31G7izL4"
"Matumbi";"Empire road - The best of Matumbi";"Guide us jah";1978;"EMI RECORDS";1703930751;1703930994;;;
"Fairport Convention";"Mark Pritchard : Feel the spirit";"Autopsy";1969;"OPTIMUM ,";1703930987;1703931246;"https://music.apple.com/fr/album/autopsy/1442833608?i=1442833615&uo=4";"https://www.deezer.com/track/2543599";"https://open.spotify.com/track/66i8HD6kXenti31HXdXmDG"
"Laura Cahen";"Une fille";"La fièvre noire";2021;"LE LABEL";1703931243;1703931415;"https://music.apple.com/fr/album/la-fi%C3%A8vre-noire/1550581509?i=1550582324&uo=4";;"https://open.spotify.com/track/6tKBweKK6CIAWCqoRMMHkA"
"Julius Katchen";"Brahms / Oeuvre pour piano solo et piano a 4 mains / Katchen";"Danse hongroise nº20 en mi min pour piano a 4 mains";1965;"DECCA";1703931408;1703931529;;;
"Carmen McRae";"After glow";"East of the sun";1957;"MCA";1703931529;1703931662;;;
"Nourished By Time";"Erotic probiotic 2";"Soap party";2023;"SCENIC ROUTE RECORDS";1703931662;1703932006;;;"https://open.spotify.com/track/5e9vkZEakDPQ5h7khB2yRc"
"Brian Lopez";"Tidal";"Black Mountain";2023;"GATES PASS MUSIC";1703932005;1703932213;"https://music.apple.com/fr/album/black-mountain/1678648608?i=1678648626&uo=4";;"https://open.spotify.com/track/3SiWyC1WB9mG93xFcmodf4"
