"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"Leon Phal";"Stress killer";"Something inside (feat. Lorine Chia)";"2023";"HEAVENLY SWEETNESS";1721701282;1721701471;;;;
"The New Mastersounds";"Old school";"Buggin'";"2024";"ONE NOTE RECORDS";1721701471;1721701721;"https://music.apple.com/fr/album/buggin/1729337751?i=1729337759&uo=4";"https://open.spotify.com/track/31nqjTwSxRTVvEN64Az0xd";;
"Serge Gainsbourg";"L'homme à tete de chou";"L'homme à tête de chou";"1976";"MERCURY";1721701719;1721701901;;"https://open.spotify.com/track/3Fc5bdBz79nRyzscAE36Mv";;
"Applause";"Lighthouse";"Lighthouse";"2010";"PROMO";1721701900;1721702101;;;;
"Vampire Weekend";"Father of the bride";"Flower moon (feat. Steve Lacy)";"2019";"COLUMBIA";1721702097;1721702334;"https://music.apple.com/fr/album/flower-moon-feat-steve-lacy/1454428976?i=1454428998&uo=4";"https://open.spotify.com/track/3ujuDsiyBLAXAB6dtNwpGu";;
"Pedro Mizutani";"Aperana remixes EP";"Chuva de verâo (Okvsho remix)";"2024";"NICE GUYS";1721702330;1721702493;"https://music.apple.com/fr/album/chuva-de-ver%C3%A3o-okvsho-remix/1732466798?i=1732468090&uo=4";;;
"Tim Maia";"Racional / Vol. 1";"Imunização racional (que beleza)";"1975";"VITORIA REGIA DISCOS LTDA";1721702493;1721702797;"https://music.apple.com/fr/album/imuniza%C3%A7%C3%A3o-racional-que-beleza/1455936136?i=1455936142&uo=4";"https://open.spotify.com/track/3w5txx0rNgTf3H5ZitlQgL";;
"Bill Withers";"Still Bill";"Kissing My Love";"1972";"COLUMBIA";1721702798;1721703026;"https://music.apple.com/fr/album/kissing-my-love/391725408?i=391725487&uo=4";"https://open.spotify.com/track/262qk9k0LTyMXmjH9YT2xU";;
"Louis Armstrong";"BOF / Un début prometteur";"Kiss of fire";"1952";"GAUMONT";1721703025;1721703207;;;;
"Alan Braufman";"Infinite love infinite tears";"Brooklyn";"2024";"VALLEY OF SEARCH";1721703207;1721703464;;"https://open.spotify.com/track/3zxkLLAMtXzowSgohumUy4";;
"Barbagallo";"La lune";"La lune";"2018";"ARISTA";1721703463;1721703667;;"https://open.spotify.com/track/75XMBasXuFgUi35Hr5gJGN";;
"Max Jury";"Max Jury";"Ella's moonshine";"2016";"MARATHON ARTISTS LIMITED";1721703670;1721703839;;"https://open.spotify.com/track/6sFYkEZDHuItKYQz34Mkei";;
"Marina Allen";"Eight pointed star";"I'm the same";"2024";"FIRE RECORDS";1721703839;1721704083;"https://music.apple.com/fr/album/im-the-same/1733676066?i=1733676597&uo=4";"https://open.spotify.com/track/04PbVCjjPdAOenZoD2rRvB";"https://www.deezer.com/track/2682960912";
"Egg";"Prog Is Not a Four Letter Word";"Fugue in d minor";"1970";"DELAY 68";1721704080;1721704246;;"https://open.spotify.com/track/5Ib4wQ84DGKGyJieNF5FZN";;
"Swingle Singers";"Jazz Sébastien Bach vol 1";"Prélude en fa min BWV 881";"1963";"PHILIPS";1721704246;1721704374;;;;
"Deep Throat Choir";"Be ok";"Daydreaming";"2017";"BELLA UNION";1721704376;1721704626;"https://music.apple.com/fr/album/daydreaming/1179809883?i=1179809986&uo=4";"https://open.spotify.com/track/7tftwW8L74ryYEUFnf3Np0";"https://www.deezer.com/track/142270247";
"Dominique Fils-Aime";"Moi je t'aime";"Moi je taime";"2024";"ENSOUL RECORDS";1721704625;1721704798;;;;
"Johanni Curtet";"BOF / If only I could hibernate";"Slow blues I - The delivery";"2024";"BUDAMUSIQUE";1721704798;1721704986;;"https://open.spotify.com/track/1Yb1au8LRXcRgSQgJTluCo";;
"Chiemi Eri";"Chiemi Eri";"Fukagawa kuzushi";"1960";"AKUPHONE";1721704986;1721705147;;;;
"Jerry Reed";"The essential Jerry Reed";"There's better things in life";"1969";"RLG - LEGACY";1721705147;1721705353;;"https://open.spotify.com/track/4WS7rNkTgnZL1adTYRZNsj";;
"This Kid Named Miles";"Rewind! / Vol. 3";"Ring of fire";"2003";"CBS";1721705362;1721705612;;;"https://www.deezer.com/track/1556540172";
"Chlorine Free";"Free speech";"Rêves perdus";"2017";"DU NOSE";1721705612;1721705796;;"https://open.spotify.com/track/4ereVSEly6mZhXGC0r1Srv";;
"The Waxidermist";"The snow";"The snow";"2017";"SOUND SCULPTURE RECORDS";1721705795;1721706008;;;;
"Amy Winehouse";"Lioness: Hidden treasures";"Will you still love me tomorrow ?";"2011";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1721706008;1721706276;;;;
"The Shirelles";"She's so fine (the rise of the girl groups)";"Dedicated to the one I love";"1961";"FANTASTIC VOYAGE";1721706275;1721706396;;;;
"The Ironsides";"Changing light";"West wind";"2023";"COLEMINE RECORDS";1721706396;1721706640;;;;
"Project Gemini";"Colours & light";"Entre chien et loup";"2024";"MR BONGO";1721706639;1721706898;"https://music.apple.com/fr/album/entre-chien-et-loup/1721546677?i=1721546955&uo=4";"https://open.spotify.com/track/30UB9U9cpehTnsdageFEMP";;
"Peter Henry Phillips";"The origin";"The night";"2015";"COYOTE RECORDS";1721706894;1721707052;;"https://open.spotify.com/track/1wuDp2pXnKGkTZ8GWKAy5v";;
"Harry Nilsson";"The RCA albums collection : Son of Schmilsson / CD 8";"Daybreak (single version)";"1974";"RCA";1721707050;1721707228;;;"https://www.deezer.com/track/717104412";
"Pierre Daven-Keller";"Kino music";"Daiquiri";"2019";"KWAIDAN";1721707236;1721707410;;"https://open.spotify.com/track/1WDMKdB7M7oUbkk8EfVGyw";;
"Robert Plant";"Carry fire";"Carry fire";"2017";"NONESUCH";1721707409;1721707723;;"https://open.spotify.com/track/0SIM0H71wf2gZ3vHzPhGm6";;
"Fruit Bats";"A river running to your heart";"Jesus tap dancing Christ (It's good to be home)";"2023";"MERGE RECORDS";1721707723;1721707858;"https://music.apple.com/fr/album/jesus-tap-dancing-christ-its-good-to-be-home/1659101768?i=1659102803&uo=4";;"https://www.deezer.com/track/2063484607";
"The Motifs";"I'm the one you love";"All about";"2023";"DAISART";1721707854;1721707927;;"https://open.spotify.com/track/1vesNvlHLQ82BWGQ8DaKzN";"https://www.deezer.com/track/2499777771";
