"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer";"youtube"
"Duff Mckagan";"Lighthouse";"Lighthouse";"2023";"THE WORLD IS FLAT";1718913438;1718913613;"https://open.spotify.com/track/5BbkVderEOneqiCZg3POV7";;;
"Kamasi Washington";"Fearless movement";"Dream state (feat. Andre 3000)";"2024";"YOUNG";1718913607;1718914124;;;;
"Thomas De Pourquery";"Let the monster fall";"Start over again";"2024";"BELIEVE";1718914110;1718914432;"https://open.spotify.com/track/21gPnvqHCY5PN1sS9MKTmI";;;
"Low Roar";"0";"Phantoms";"2014";"TONEQUAKE RECORDS";1718914418;1718914778;"https://open.spotify.com/track/3Z71twl5Fz2W1bT4mwnor7";"https://music.apple.com/fr/album/phantoms/905276496?i=905276621&uo=4";;
"Melanie De Biasio";"We never kneel to pray / Now is narrow";"We never kneel to pray";"2023";"PIAS";1718914780;1718915074;"https://open.spotify.com/track/3aRaZqeEj2uh8RaEsQqPTo";"https://music.apple.com/fr/album/we-never-kneel-to-pray/1687163050?i=1687163396&uo=4";;
"Max Graef";"Natural element";"We are the world (test drive)";"2024";"TARTELET RECORDS";1718915053;1718915384;;;;
"Mount Kimbie";"The sunset violent";"Dumb guitar";"2024";"WARP RECORDS";1718915375;1718915681;"https://open.spotify.com/track/59j5CBgJDsGgLIPfMINMQK";"https://music.apple.com/fr/album/dumb-guitar/1724023027?i=1724023029&uo=4";"https://www.deezer.com/track/2606844202";
"Cibelle";"Cibelle";"Deixa";"2004";"CRAMNED";1718915668;1718915985;;;"https://www.deezer.com/track/588538862";
"Bo/Rain Man";"Bof / Rain man";"Leaving wallbrook on the road";"1989";"CAPITOL";1718915987;1718916156;;;;
"Tricky";"Bof / Strange days";"Overcome";"1995";"EPIC";1718916153;1718916421;"https://open.spotify.com/track/0tYEsmdrsv5Fi3UOn58bou";"https://music.apple.com/fr/album/overcome/1440918276?i=1440918617&uo=4";;
"Zap Mama";"Ancestry in progress";"Cache cache";"2004";"V2";1718916420;1718916633;"https://open.spotify.com/track/23Sqck78zjBvus68YrDFix";;;
"Camille";"Music hole";"Kfir";"2008";"VIRGIN";1718916616;1718916837;"https://open.spotify.com/track/0blRYmlglIlL0kuBwVeIp5";;"https://www.deezer.com/track/355614781";
"Bada Bada";"Portraits";"Tallinn (album edit)";"2024";"GUM CLUB";1718916829;1718917106;;;;
"Alabaster DePlume";"Gold";"A gente acaba (Vento em rosa)";"2022";"INTERNATIONAL ANTHEM";1718917102;1718917264;"https://open.spotify.com/track/5NcbdqMeM2ST5jwOu5XAO8";"https://music.apple.com/fr/album/a-gente-acaba-vento-em-rosa/1600778530?i=1600778531&uo=4";;
"Lynn Taitt & The Jets";"Rocksteady greats of the 60s, Vol. 1";"Batman";"1972";"K&K RECORDS";1718917287;1718917421;"https://open.spotify.com/track/6ld6l51PiOqLjLXnMc8LXU";;;
"Les Humphries Singers";"Greatest hits";"Derrick (part 1) (remastered)";"2001";"EAST WEST GERMANY";1718917415;1718917587;;;;
"Myra";"Le fair 2023 session #2";"Pom pom";"2023";"LE FAIR";1718917585;1718917740;"https://open.spotify.com/track/1gkUYqb4s22BNXOW8IyHGI";;;
"Pedro Mizutani";"Aperana remixes EP";"Nublado (Patchworks remix)";"2024";"NICE GUYS";1718917739;1718917973;;"https://music.apple.com/fr/album/nublado-patchworks-remix/1714269566?i=1714269585&uo=4";;
"General Ehi Duncan & The African Army Express";"Africa my no. 1";"Africa (My No. 1)";"1987";"CANOPY RECORDS";1718917980;1718918301;;;;
"Arc De Soleil";"The thief in Marrakesh got caught in Amsterdam trying to escape";"The thief in Marrakesh";"2019";"EPIDEMIC SOUND";1718918297;1718918476;"https://open.spotify.com/track/3PLlvksV9NfmoGiZXEqunJ";"https://music.apple.com/fr/album/the-thief-in-marrakesh/1485279652?i=1485279653&uo=4";;
"Charlotte Day Wilson";"Cyan blue";"Canopy";"2024";"STONE WOMAN MUSIC";1718918474;1718918625;"https://open.spotify.com/track/074nW5eagzARw8dicGjJhP";"https://music.apple.com/fr/album/canopy/1728298601?i=1728299564&uo=4";;
"Frazey Ford";"Indian ocean";"September fields";"2014";"NETTWERK";1718918620;1718918810;"https://open.spotify.com/track/7kuOhBGsXjpwvLRQCDAPAJ";"https://music.apple.com/fr/album/september-fields/898448485?i=898448504&uo=4";;
"Pokey Lafarge";"Sister Andre";"Sister Andre";"2024";"NEW WEST RECORDS";1718918797;1718918979;"https://open.spotify.com/track/1OLhi9KQljgp5OBzizmMh7";;;
"Les Primitifs Du Futur";"World musette";"La Valse Chinoise";"1999";"H MUNDI";1718918983;1718919175;"https://open.spotify.com/track/27vhLvbP33tWbCOsgTs5zx";;;
"Juliette Greco";"Si tu t'imagines/Vol.4/1959";"Sous le ciel de Paris (2eme version)";"1959";"PHILIPS";1718919161;1718919357;;;;
"Nora Fischer";"Hush";"Augellin - arrangement pour voix et guitare électrique";"2018";"DGG (DEUTSCHE GRAMMOPHON)";1718919354;1718919558;;;;
"Jose Feliciano";"Feliciano!";"California dreamin";"1968";"";1718919554;1718919803;;;;
"Herb Ellis";"Ellis in wonderland";"Ellis in wonderland";"1956";"VERVE";1718919798;1718920027;"https://open.spotify.com/track/5rw9rSMNHDETqCmRR92YJx";"https://music.apple.com/fr/album/ellis-in-wonderland/361311593?i=361311600&uo=4";;
"Harry Connick Jr";"True love : A celebration of Cole Porter";"You're sensational";"2019";"VERVE / UNIVERSAL";1718920026;1718920234;;;;
"Jackie Wilson";"The best Northern Soul all-nighter ever !";"(Your love keeps lifting me) higher and higher";"1967";"VIRGIN/ EMI";1718920232;1718920402;;;;
"Blue Mitchell";"This is mainstream";"Blue's blues";"1972";"WE WANT SOUNDS";1718920398;1718920808;;;;
"Thee Sinseers";"Sinseerly yours";"Talking back";"2024";"COLEMINE RECORDS";1718920812;1718920934;"https://open.spotify.com/track/7xHwiI05CbacT9Y6FyKySj";;"https://www.deezer.com/track/2581056342";
"Conchita Velasco";"Conchita Velasco (Singles Collection)";"Calor";"1965";"DIVUSCA";1718920927;1718921043;;"https://music.apple.com/fr/album/calor/160259514?i=160260375&uo=4";;
"The Rendells";"Intoxica / Strange and sleazy instrumental sounds  from the socal suburbs";"Hot licks";"1963";"DOWNEY";1718921062;1718921194;;;"https://www.deezer.com/track/1734043047";
"Field Music";"Making a new world";"Coffee or wine";"2020";"MEMPHIS INDUSTRIES";1718921186;1718921370;"https://open.spotify.com/track/3xBEY6mrSUOJth0av8nGPu";"https://music.apple.com/fr/album/coffee-or-wine/1476733640?i=1476733643&uo=4";;
"Rikki Ililonga";"Sunshine love";"Take it light";"2012";"NOW AGAIN";1718921369;1718921620;;;;
