"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Harvey Scales & The Seven Sounds";"Compilation : Eccentric soul : The Cuca label";"Glamour girl";"1963";"NUMERO GROUP";1756202268;1756202440;;;
"Natalia Lafourcade";"De todas las flores";"Mariala curandera";"2022";"ATO / SONY MUSIC ENTERTAINMENT MEXICO";1756202284;1756202657;;;
"The Fleetwoods";"Mes années 60";"Come softly to me";"1959";"WAGRAM MUSIC (DISTRIBUTEUR)";1756202452;1756202591;"https://music.apple.com/fr/album/come-softly-to-me/1490970526?i=1490970527&uo=4";"https://open.spotify.com/track/7edWFCxQZCAvqgi3qsIPP4";
"Trio Charpin";"Trio Charpin";"Doucement, doucement";"1958";"MERCURY";1756202589;1756202769;;;
"Mary Lou Williams";"Complete jazz series (1945 - 1947)";"Hesitation boogie";"1946";"COMPLETE JAZZ SERIES";1756202653;1756202816;;;"https://www.deezer.com/track/18709361"
"Alex Tassel";"Past & present / A quiet place";"Happy";"2019";"PENINSULA";1756202767;1756202928;"https://music.apple.com/fr/album/happy/1459279358?i=1459280051&uo=4";"https://open.spotify.com/track/2RHUjJxDUuydKOPvt02CKB";"https://www.deezer.com/track/662643362"
"Paolo Conte";"Dancing";"Boogie";"1989";"CDM";1756202814;1756203125;;;"https://www.deezer.com/track/78942253"
"Pedro Fonte";"Luz Na Madrugada/Late Night Light";"Luz na madrugada";"2023";"YB MUSIC";1756202926;1756203111;"https://music.apple.com/fr/album/luz-na-madrugada/1696984143?i=1696984311&uo=4";"https://open.spotify.com/track/7j4qsEWekdOj38EsdBIqmf";"https://www.deezer.com/track/2353740105"
"Blondie";"Plastic Letters";"Once i had a love (aka the disco song) (1975 version)";"1977";"CHRYSALIS";1756203110;1756203346;;;
"Gnarls Barkley";"St. Elsewhere";"The Boogie Monster";"2006";"WEA UK";1756203125;1756203296;;;"https://www.deezer.com/track/2794164"
"Henri Salvador";"Chansons drôles";"Fugues en rire";"1970";"CARRERE";1756203294;1756203456;;;
"Dirty Sound Magnet";"Dreaming in dystopia";"Flowers, Angels and Chaos";"2023";"WILD THING RECORDS (ACQUISITION)";1756203345;1756203615;"https://music.apple.com/fr/album/flowers-angels-and-chaos/1793619738?i=1793619924&uo=4";"https://open.spotify.com/track/4vF2Vhq1k9pc2jxgLFs1kN";"https://www.deezer.com/track/3207552401"
"Vladimir Cosma";"Bof / Le Grand Blond Avec Une Chaussure Noire";"Sirba";"1973";"CARRERE";1756203455;1756203577;;;"https://www.deezer.com/track/93114756"
