"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Michel Legrand";"La musique au pluriel - Vocal / Vol.1";"La partie de tennis";1981;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1754560630;1754560890;;;
"Jeff Russo";"BOF TV / Fargo (Saison 5)";"Drums and tennis";2023;"MASTERWORKS";1754560887;1754561004;"https://music.apple.com/fr/album/drums-and-tennis/1716756652?i=1716758082&uo=4";"https://www.deezer.com/track/2543893871";"https://open.spotify.com/track/0gfbvjR7mr3IlvRNuWs2Qp"
"Reinel Bakole";"Healing Exhaustion";"Silver armour";2024;"1878596 RECORDS DK2";1754561002;1754561220;;"https://www.deezer.com/track/2519372481";"https://open.spotify.com/track/4AEVobdFkGZDWvrKnYEKon"
"Marlena Shaw";"Tender feelin's";"Feel like makin love";1975;"BLUE NOTE";1754561220;1754561707;;;
"Luiza Maura";"Horse meat disco presents disco & boogie from Brazil, vol. 1";"Deixa girar";1981;"MR BONGO";1754561224;1754561411;;"https://www.deezer.com/track/3194410901";
"The Sweet Enoughs";"Marshmallow";"Mysterious river snake";2020;"WONDERCORE ISLAND";1754561699;1754561872;"https://music.apple.com/fr/album/mysterious-river-snake/1672550361?i=1672551022&uo=4";"https://www.deezer.com/track/2154376687";"https://open.spotify.com/track/7m38lSSQsmMDcAhRPKbU2G"
"Piers Faccini & Ballake Sissoko";"Our calling";"Shadows are";2025;"NO FORMAT";1754561867;1754562122;;;
"Nick Drake";"Pink moon";"Pink moon";1972;"ISLAND";1754562119;1754562239;"https://music.apple.com/fr/album/pink-moon/1567147188?i=1567147189&uo=4";"https://www.deezer.com/track/1379123002";"https://open.spotify.com/track/4KROoGIaPaR1pBHPnR3bwC"
"Urban Species";"Listen";"Listen (feat. MC Soolar)";1994;"POLY";1754562238;1754562624;;;
"Oskar Hahn";"Kolorit";"Zephyr";2024;"BEAT JAZZ INTERNATIONAL";1754562622;1754562783;;"https://www.deezer.com/track/3045686861";"https://open.spotify.com/track/5QedMaGtEHFmEXFSCsytVu"
"Adrian Crowley";"Measure of joy";"Tangled";2025;"VALLEY OF EYES RECORDS";1754562779;1754562968;;"https://www.deezer.com/track/3094113311";"https://open.spotify.com/track/2zuaWg7xLtG2Qyk6qhqHTh"
"ELLA FITZGERALD";"";"I got rhythm";1989;"";1754562962;1754563146;;"https://www.deezer.com/track/62772075";
"Denzal Sinclaire";"Denzal Sinclaire";"I Got Rhythm";2003;"UMSM";1754563146;1754563361;;;
"New Visionaries";"Roadmaps";"Spiritual world";2024;"LOVEMONK RECORDS";1754563359;1754563581;;"https://www.deezer.com/track/2637246072";"https://open.spotify.com/track/1vzATSuozDmJf7oyj3qOi2"
"Vaudou Game";"Fintou";"Ça ira";2024;"HOT CASA RECORDS";1754563579;1754563809;;;
"Mano Negra";"Puta's fever";"Guayaquil city";1989;"VIRGIN";1754563807;1754563987;;"https://www.deezer.com/track/370951851";"https://open.spotify.com/track/1UOVvgy8DRhTbffOZZmisu"
"Fatbabs";"48° Nord";"The Rainbow Warrior";2021;"BIG SCOOP RECORDS";1754563987;1754564175;;"https://www.deezer.com/track/1561579702";"https://open.spotify.com/track/2poIHoLIBBBz5XxK7AT7G5"
"Cherise";"Butter";"Hello";2024;"CHERISE ADAMS-BURNETT";1754564175;1754564381;;"https://www.deezer.com/track/2926860241";"https://open.spotify.com/track/1DjnDLJK0ybp82vKKM5e7r"
