"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Nohelani Cypriano";"Aloha got soul";"O'Kailua";1978;"STRUT RECORDS";1705053481;1705053610;"https://open.spotify.com/track/4KGghXKWJH0Kw90CmKxtUf";;
"Rejoicer";"Puzzle vol 5";"Side sidemi";2023;"RAW TAPES";1705053607;1705053855;"https://open.spotify.com/track/5yyGyo0fRbH1erG8Pms7vt";;
"Nina Simone";"Feeling good - The very best of";"See-Line woman";1964;"MERCURY";1705053851;1705054005;"https://open.spotify.com/track/2vyIoVK6ggvXVNEvmIt1vs";"https://music.apple.com/fr/album/see-line-woman/1426021626?i=1426021728&uo=4";"https://www.deezer.com/track/2144435567"
"Hunrosa";"Wah wah remixed 2";"Ransome (Clap! Clap! Remix)";2018;"WAH WAH 45S";1705054004;1705054197;;;
"Vampire Weekend";"Vampire weekend";"Cape cod kwassa kwassa";2008;"XL RECORDS";1705054197;1705054409;"https://open.spotify.com/track/1vTBBxcBB2Nb3ezQFRrGFO";;
"Morricone Youth";"Battleship Potemkin";"Our daily bread";2023;"LIGHT IN THE ATTIC";1705054407;1705054560;"https://open.spotify.com/track/6VKyycx0oezKJIu3oDO4R4";"https://music.apple.com/fr/album/our-daily-bread/1719003453?i=1719003459&uo=4";
"Gatien";"Moi tout seul";"Moi tout seul";2021;"LA SOUTERRAINE";1705054556;1705054773;"https://open.spotify.com/track/05P3Mk5zi4WxTWuThE9Lib";"https://music.apple.com/fr/album/moi-tout-seul/1553224920?i=1553224921&uo=4";
"Brother To Brother";"East coast soul connection";"In the bottle";1974;"CASTLE MUSIC";1705054773;1705054968;;;
"Jimmy Cliff";"Rebirth";"One more";2012;"SUNPOWER PRODUCTIONS NY";1705054963;1705055167;"https://open.spotify.com/track/2SldBUTJSK6xz43i8DZ5r2";"https://music.apple.com/fr/album/one-more/1444162985?i=1444163146&uo=4";
"Blundetto";"Bof Tv / VTC";"La chapelle";2021;"LES RYTHMES RUBAN";1705055165;1705055325;"https://open.spotify.com/track/5ZYxS5vIIX5aWerzleGjjE";"https://music.apple.com/fr/album/la-chapelle/1589238712?i=1589239356&uo=4";
"Ocean Alley";"Confidence";"Confidence";2023;"PROPELLER CREATIVE LTD";1705055325;1705055579;;;
"The Hollies";"French 60´s  EP collection / Vol. 2";"Tell me to my face";1966;"MAGIC RECORDS";1705055574;1705055758;;;"https://www.deezer.com/track/3239855"
"Midnight Sister";"Painting the roses";"Foxes";2021;"JAGJAGUWAR";1705055756;1705055930;"https://open.spotify.com/track/1O0CNdvbG6QuNLCBYQmQwl";"https://music.apple.com/fr/album/foxes/1534074547?i=1534074551&uo=4";
"Mathieu Van Bellen";"Dvorak : Quintettes avec piano et Bagatelles";"5 bagatelles op 47 B 79 : 3. Allegretto scherzando - pour piano et quatuor à cordes";2018;"Alpha Classics";1705055929;1705056095;;;
"Voyou";"Enfin";"Enfin";2023;"A+LSO";1705056087;1705056226;"https://open.spotify.com/track/6jmpD67QFElrlSaMSpe7LQ";"https://music.apple.com/fr/album/enfin/1717670610?i=1717670614&uo=4";"https://www.deezer.com/track/2552839042"
"Theo Lawrence";"I'll never dream again / Keep a light in your window";"I'll never dream again";2021;"TOMIKA RECORDS";1705056225;1705056418;"https://open.spotify.com/track/6Pnn1IbrBuCGJ219TKxE6B";"https://music.apple.com/fr/album/ill-never-dream-again/1570235236?i=1570235237&uo=4";
"Buddy Holly";"The buddy holly collection";"Raining in my heart";1959;"MCA";1705056414;1705056581;"https://open.spotify.com/track/7xWLAEsCWwDIxZuORKpXs3";"https://music.apple.com/fr/album/raining-in-my-heart/1478937688?i=1478937808&uo=4";
"Bill Ryder-Jones";"Lechyd da";"How beautiful I am";2024;"DOMINO";1705056580;1705056920;"https://open.spotify.com/track/29wvuq2uL6sbOSx7OoK9PY";;
"Ralfe Band";"Achilles was a hound dog";"Octobermen";2023;"TALITRES";1705056831;1705056943;"https://open.spotify.com/track/5NqMvdvpIdgJKrkWo24qwd";"https://music.apple.com/fr/album/octobermen/1679794291?i=1679795608&uo=4";
"Billie Holiday";"BD Music presents Billie Holiday";"Don’t Explain";1956;"VERVE";1705056941;1705057142;"https://open.spotify.com/track/6GLMwwNDbiiBe4D9JcSOwP";"https://music.apple.com/fr/album/dont-explain/539489004?i=539489605&uo=4";
"Carwyn Ellis & Rio 18";"Yn Rio";"Ynys aur";2021;"LEGERE RECORDINGS";1705057141;1705057351;"https://open.spotify.com/track/2eGNMEb7JLiWH3P2i9N52b";;
"Robin Leduc";"Hors pistes";"Mais qu'est-ce que ça peut faire";2010;"TOT OU TARD";1705057351;1705057567;"https://open.spotify.com/track/0zr68n3Htv430mVJgBiVnd";;"https://www.deezer.com/track/608709292"
"Bacao Rhythm And Steel Band";"The serpent's mouth";"I love you";2018;"BIG CROWN RECORDS";1705057565;1705057800;;;
"Snoop Dogg";"Doggystyle";"Gz and hustlas";1994;"INTERSCOPE RECORDS";1705057793;1705058025;;;
"Bernard Wright";"Nothin' but a funk thang";"Haboglabotribin'";1981;"V2 MUSIC";1705058024;1705058274;"https://open.spotify.com/track/3XiHctnuCGCKuq2YC1O6ZU";"https://music.apple.com/fr/album/haboglabotribin/1017969857?i=1017970074&uo=4";
"Iogi";"Slow step on quality wood";"Slow step on quality wood";2023;"RAW TAPES";1705058271;1705058486;"https://open.spotify.com/track/0l3jxfK8pp9I5tQuoT1TYU";"https://music.apple.com/fr/album/slow-step-on-quality-wood/1694386416?i=1694386595&uo=4";"https://www.deezer.com/track/2343285065"
"Dub Shepherds";"Night & day";"Water your seeds";2023;"BAT RECORDS";1705058484;1705058662;"https://open.spotify.com/track/0IQy5pGdeuEXvE942B3zAQ";;
"David Lafore";"Cinq têtes";"Babines";2004;"PIAS";1705058659;1705058819;;;
"Nick Cave";"Kicking Against The Pricks";"Sleeping annaleah";2000;"MUTE RECORDS";1705058815;1705059012;;;
"The Doors";"The doors";"Alabama song (whisky bar)";1967;"ELEKTRA";1705059011;1705059208;"https://open.spotify.com/track/0JNZGIavoUrdup1NsgJOQs";"https://music.apple.com/fr/album/alabama-song-whisky-bar/640047463?i=640047579&uo=4";"https://www.deezer.com/track/3614128"
"Tamar Halperin";"Tamar Halperin interprète Satie";"Trois morceaux en forme de poire : En plus - arrangement pour piano clavecin et glockenspiel";2016;"EDEL RECORDS";1705059207;1705059318;;;
"Cleo Sol";"Heaven";"Self";2023;"FOREVER LIVING ORIGINALS";1705059317;1705059517;"https://open.spotify.com/track/0J9uaeOd7GZi9MTybtqAD4";;
"Ly Sander";"Landing";"Under the moonlight (radio version)";2023;"SPECIAL PLACE RECORDINGS";1705059509;1705059710;;;
"Scherazade";"Asile exquis";"Ahwak";2020;"29 MUSIC";1705059710;1705059887;"https://open.spotify.com/track/32pcnmZLs8FbYa59FrXdsW";"https://music.apple.com/fr/album/ahwak/1493981402?i=1493982040&uo=4";
"Al Massrieen";"Modern music";"Mafatshi leh";;"HABIBI FUNK RECORDS";1705059885;1705060053;"https://open.spotify.com/track/6XZx1hYWTccsszDqraXHSX";"https://music.apple.com/fr/album/mafatshi-leh/1636942029?i=1636943051&uo=4";
"DJ Shadow";"Selections from the private press";"Mashin' on the motorway (instrumental)";2002;"ISLAND";1705060047;1705060161;;;
"John Pizzarelli";"Double exposure";"Traffic jam";2011;"TELARC";1705060155;1705060361;;;
"The Jimi Hendrix Experience";"Electric ladyland";"Crosstown traffic";1967;"LEGACY RECORDS";1705060359;1705060506;;;
"Forever Pavot";"L'idiophone";"Dans la voiture";2023;"BORN BAD RECORDS";1705060501;1705060744;"https://open.spotify.com/track/5nQ4w3kaslqwuOFU1hLtqI";"https://music.apple.com/fr/album/dans-la-voiture/1662654098?i=1662654500&uo=4";
"Blanka";"Hypnotic";"Awakening";2017;"NOWADAYS RECORDS";1705060741;1705060918;"https://open.spotify.com/track/4mRd3hr01Gxwetrf57tq8N";"https://music.apple.com/fr/album/awakening/1250004587?i=1250004589&uo=4";"https://www.deezer.com/track/374653021"
"Minnie Riperton";"Perfect angel / Adventures in paradise";"Baby, this love I have";1975;"STATESIDE";1705060916;1705061159;"https://open.spotify.com/track/397fxHew7NyjryGWGr1Imy";"https://music.apple.com/fr/album/baby-this-love-i-have/1443843076?i=1443843083&uo=4";
"Mel & Tim";"Mel & Tim";"Oh how I love you";1973;"BGP RECORDS";1705061157;1705061338;"https://open.spotify.com/track/3wsAadL8iEM0Qb2vgYaFI8";"https://music.apple.com/fr/album/oh-how-i-love-you/1443785650?i=1443786380&uo=4";
"Melodiesinfonie";"Softboi";"Life is easy (feat. Claudi Isaki)";2023;"MELODIESINFONIE";1705061334;1705061472;;"https://music.apple.com/fr/album/life-is-easy-feat-claudi-isaki/1692528715?i=1692528734&uo=4";
"Little Simz";"Grey area";"Sherbet sunset";2019;"AGE 101 MUSIC";1705061469;1705061763;"https://open.spotify.com/track/2KX8nA4N4YKt7FkB7u9KGo";"https://music.apple.com/fr/album/sherbet-sunset/1444318578?i=1444319055&uo=4";
"Glenn Astro";"Medusozoa Vol. III";"Mostly gh0stly";2023;"TARTELET RECORDS";1705061761;1705061952;"https://open.spotify.com/track/7yRfyQ8NoKgfp5s0cQS4Fx";;
"UB40";"The very best of UB40 1980-2000";"Food for thought";1980;"VIRGIN RECORDS";1705061951;1705062198;"https://open.spotify.com/track/5YkkeIiErNf2ckvMxmT5RT";;
"Motel Club";"Motel Club";"Sauterelle";2022;"LA RUCHE LE LABEL";1705062196;1705062415;"https://open.spotify.com/track/5InuCnLkMiSxo1lIZD0Gns";;
"Pierre Daven-Keller";"Kino music";"Dakota Jim";2019;"KWAIDAN";1705062413;1705062650;"https://open.spotify.com/track/0IIlma9xzJhiKDXcXiopX2";"https://music.apple.com/fr/album/dakota-jim/1519756695?i=1519756903&uo=4";
"Altin Gun";"Gece";"Anlatmam derdimi";2019;"GLITTER BEAT";1705062646;1705062896;"https://open.spotify.com/track/7fAYnSNNT1koavh4vcSJ76";"https://music.apple.com/fr/album/anlatmam-derdimi/1455850886?i=1455850912&uo=4";
"Seyhan Karabay";"Istanbul 70 : psych disco folk classics";"Nem kaldi";1974;"NUBLU";1705062894;1705063122;;;"https://www.deezer.com/track/1318308702"
"Juice";"DJ Pogo presents block party breaks 2";"Catch a groove";1976;"STRUT";1705063119;1705063331;;;
"Aretha Franklin";"What it is ! Funky soul and rare grooves";"Rock steady (alternate mix)";1971;"RHINO";1705063330;1705063603;;;"https://www.deezer.com/track/678084162"
"Bertrand Burgalat";"Meets a.S dragon";"Aux Cyclades électronique";2001;"WAGRAM";1705063596;1705063883;"https://open.spotify.com/track/5Fptnr6ziyvvjQ4OcY4Mua";"https://music.apple.com/fr/album/aux-cyclades-%C3%A9lectronique-remastered-in-2022/1654706300?i=1654706609&uo=4";
"Mamama";"Hier sera meilleur";"Message à toi même";2024;"BYEBYE RECORDS";1705063876;1705064165;;;
"Natalie Dessay";"Léo Delibes : Lakmé (Intégrale)";"Lakmé : Viens Malika / Dôme épais de jasmin (Acte I) Duo Lakmé Mallika";1998;"EMI";1705064157;1705064511;;;
"Caroline Polachek";"Desire, I want to turn into you";"Welcome to my island";2023;"PERPETUAL NOVICE";1705064509;1705064741;"https://open.spotify.com/track/4bp2wYweUPvsBrQfntdYcr";"https://music.apple.com/fr/album/welcome-to-my-island-george-daniel-charli-xcx-remix/1665274210?i=1665274487&uo=4";"https://www.deezer.com/track/2142188357"
"Slowaxx";"Shapes interfusion";"Emoyeni";2023;"BROKEN DISTRICT";1705064738;1705065024;;;"https://www.deezer.com/track/2495694901"
"Adrian Younge & Ali Shaheed Muhammad";"The midnight hour";"Feel alive (feat Karolina and Lore)";2018;"LINEAR LABS / INGROOVES";1705065007;1705065183;;;
"Helen Merrill";"Parole e musica";"Night And Day";1960;"BMG";1705065182;1705065364;;"https://music.apple.com/fr/album/night-and-day/393987014?i=393987725&uo=4";
"Elvis Presley";"Today, tomorrow & forever";"Pocketful of rainbows";1996;"EPIC";1705065362;1705065541;;"https://music.apple.com/fr/album/pocketful-of-rainbows/400608784?i=400608791&uo=4";
"Dean Martin";"The singing actors of hollywood";"Rio Bravo";1959;"CAPITOL";1705065539;1705065717;"https://open.spotify.com/track/1fGKJfoLDCaIQ4qc4cVM2f";;
