"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"The Lewis Express";"The lewis express";"Love can turn a man";2018;"ATA RECORDS";1710258660;1710259036;"https://www.deezer.com/track/528420161";"https://open.spotify.com/track/1iH2hsMtmHvHLuZeLfE7jp";"https://music.apple.com/fr/album/love-can-turn-a-man/1411846038?i=1411846053&uo=4"
"Christophe Miossec";"L'étreinte";"La facture d'éléctricité";2006;"PIAS";1710258759;1710258951;;;
"Quantic And His Combo Barbaro";"Tradition in transition";"Mambo los quantic";2009;"TRU THOUGHTS";1710258946;1710259227;;"https://open.spotify.com/track/1hgKYb8suKkZp3GkjMC8Wf";
"Wally Badarou";"Echoes";"Mambo";1985;"ISLAND";1710259224;1710259518;;;
"Righeira";"The singles 83/87";"No tengo dinero";1983;"LA BIONDA MUSIC";1710259515;1710259714;;;"https://music.apple.com/fr/album/no-tengo-dinero/300326628?i=300326632&uo=4"
"Melenas";"Ahora";"1986";2023;"TROUBLE IN MIND RECORDS";1710259710;1710259959;"https://www.deezer.com/track/2206201017";"https://open.spotify.com/track/4VNjx6h3LA8dAYaROwrdZR";"https://music.apple.com/fr/album/1986/1678825656?i=1678826116&uo=4"
"Stereolab";"Margerine eclipse";"Vonal declosion";2004;"ELEKTRA";1710259956;1710260167;"https://www.deezer.com/track/819865572";"https://open.spotify.com/track/5MFGxwCqi67IU13ALiUet3";"https://music.apple.com/fr/album/vonal-declosion/1230564903?i=1230565932&uo=4"
"Midlake";"For the sake of Bethel woods";"Dawning";2022;"BELLA UNION";1710260163;1710260417;;"https://open.spotify.com/track/3LqJ3d6ZrR9aqAezI02pZu";"https://music.apple.com/fr/album/dawning/1590331382?i=1590332436&uo=4"
"Tommy Guerrero";"A little bit of something";"Azucar";2000;"MO WAX";1710260415;1710260536;"https://www.deezer.com/track/436459102";"https://open.spotify.com/track/2a7ZjFUGeBXUGBp3p3u6G7";"https://music.apple.com/fr/album/azucar/1320197773?i=1320201712&uo=4"
"Sweet Inspirations";"Soul gospel";"Every day will be like a holiday";1969;;1710260531;1710260677;;;
"Jerry Harris";"Rare grooves reggae";"Spreading all over";1987;"NOVA RECORDS";1710260674;1710260859;"https://www.deezer.com/track/486256622";;
"Bola Johnson & His Easy Life Top Beats";"Nigeria 70/Sweet times /Afro -funk , highlife & juju from 1970s Lagos";"E ma s'eka";1971;;1710260857;1710261055;;;
"Aziza Brahim";"Mawja";"Metal, madera";2024;"GLITTERBEAT RECORDS";1710261053;1710261289;;"https://open.spotify.com/track/1VxWUqYqigOW96hekrteMN";
"Trunks";"We dust";"What is fantasy";2023;"IL MONSTRO";1710261288;1710261503;;"https://open.spotify.com/track/1KwniPy11KinOglAZ6tdGq";"https://music.apple.com/fr/album/what-is-fantasy/1698744434?i=1698745270&uo=4"
"Radiohead";"OK Computer";"Let down";1997;"PARLOPHONE";1710261496;1710261793;;"https://open.spotify.com/track/2fuYa3Lx06QQJAm0MjztKr";
"Claire days";"Emotional territory";"The ground";2022;"AUTOPRODUCTION";1710261791;1710261993;"https://www.deezer.com/track/1931896337";"https://open.spotify.com/track/7EDy4t65ZtjyJCfNktsfvI";"https://music.apple.com/fr/album/the-ground/1646986517?i=1646986518&uo=4"
"Veronique Sanson";"L'intégrale et voila ! / Vol.1 : Premières chansons 1967 - 1970";"Maria de Tusha - (version inédite)";1967;"WARNER MUSIC FRANCE";1710261991;1710262169;;;
"Jean Pierre Rampal";"Classic Gershwin";"Liza";1987;"CBS";1710262167;1710262310;;;
"Joao Gilberto";"38 titres de bossa nova";"Insensatez";1961;"EMI";1710262309;1710262452;"https://www.deezer.com/track/80196144";;
"Filhos Do Sol";"No som dos tambores";"Menino do pelo";1993;"CID (COMPANHIA INDUSTRIAL DE DISCOS)";1710262451;1710262614;;;
"Vanessa Daou";"Zipless";"Near the black forest";1994;"MCA RECORDS";1710262612;1710262897;;;
"Alabama 3";"Boftv / The sopranos";"Woke up this morning (Chosen one mix)";1999;"COLUMBIA";1710262881;1710263125;;;
"Wax Tailor";"The shadow of their suns (instrumental)";"Everybody (Instrumental Version)";2021;"LAB ORATOIRE";1710263128;1710263338;"https://www.deezer.com/track/1383059242";;
"L’epee";"Diabolique";"Lou";2019;"BECAUSE";1710263337;1710263557;;"https://open.spotify.com/track/3OlD6v9bKOsnoWuTt9wJhd";"https://music.apple.com/fr/album/lou/1469034471?i=1469034717&uo=4"
"Eagles Of Death Metal";"Heart on";"Wannabe in LA";2008;"DOWNTOWN MUSIC";1710263553;1710263688;;;
"True Green";"My lost decade";"Hopeless diamond";2024;"SPACECASE RECORDS";1710263686;1710263890;;"https://open.spotify.com/track/2vBLD38ROOzEdL1vn4TbCA";"https://music.apple.com/fr/album/hopeless-diamond/1728216505?i=1728216510&uo=4"
"Oan Kim & The Dirty Jazz";"Rebirth of Innocence";"The last dinosaur";2024;"ARTWORK RECORDS / PIAS";1710263877;1710264058;;;
"Jah Shaka";"Imperial Dub - Commandments of Dub Chapter 8";"Soloman Dub";1988;"JAH SHAKA MUSIC";1710264056;1710264256;"https://www.deezer.com/track/64559693";"https://open.spotify.com/track/3pveaKAAh1H82WphPxAYCJ";"https://music.apple.com/fr/album/soloman-dub/601650505?i=601651229&uo=4"
"Milton Henry";"Darker than blue : Soul from Jamdown 1973 - 1980";"Gypsy woman";1976;"BLOOD AND FIRE LIMITED";1710264254;1710264435;;;
"Al Green";"Let's stay together";"Let's stay together";1971;"HI RECORDS";1710264432;1710264625;"https://www.deezer.com/track/97095572";;"https://music.apple.com/fr/album/lets-stay-together/1469583186?i=1469583388&uo=4"
"Nightmares On Wax";"Shout out ! To freedom";"Up to us (feat. Haile Supreme)";2021;"WARP";1710264623;1710264910;;;"https://music.apple.com/fr/album/up-to-us-feat-haile-supreme/1577987770?i=1577987785&uo=4"
"Melanie";"Cri d'amour";"La belle histoire";2022;"COMET RECORDS";1710264909;1710265084;;"https://open.spotify.com/track/1gnSD4htfqduB0dHLKF4By";
"Ottavio Dantone (Chef d'orchestre)";"Agitata";"Sinfonia n°12 en la min (La Passione de Gesu Signor Nostro) : 2. Andante - pour orchestre";2017;"ALPHA (ET MBM) @";1710265082;1710265228;;;
"Nick Drake";"Five leaves left";"Day is done";1969;"ISLAND";1710265226;1710265371;;"https://open.spotify.com/track/66790TBuwlIrGxWWTVc6yl";"https://music.apple.com/fr/album/day-is-done/1440656068?i=1440656405&uo=4"
"Fleetwood Mac";"Rumours";"Dreams";1977;"WARNER";1710265370;1710265624;;;"https://music.apple.com/fr/album/dreams/594061854?i=594061856&uo=4"
"Young Gun Silver Fox";"Ticket to Shangri-La";"Call me up";2022;"LEGERE RECORDINGS";1710265623;1710265846;;;
"Swv";"Anything";"Anything (album instrumental)";1994;"RCA";1710265844;1710266178;;;
"Snoop Dogg";"Riders on the storm (Fredwreck remix)";"Riders on the storm (Fredwreck remix)";2004;"GEFFEN";1710266018;1710266400;"https://www.deezer.com/track/1116032962";;
"Daida";"La Traversée";"La paix avant le silence";2024;"NAIVE";1710266465;1710266763;;"https://open.spotify.com/track/3LytaNg5IRUsx5mF4Jf8h9";"https://music.apple.com/fr/album/la-paix-avant-le-silence/1711241674?i=1711243229&uo=4"
"Mark Priore Trio";"Initio";"Roxana";2023;"JAZZ ELEVEN / BACO DISTRIB";1710266760;1710266941;;"https://open.spotify.com/track/3L2UPO2CksSCWfotoDksH3";"https://music.apple.com/fr/album/roxana/1710016021?i=1710016309&uo=4"
"Gabriels";"Angels & queens – Part I";"Remember me";2022;"WEA/ WARNER";1710266940;1710267168;"https://www.deezer.com/track/1902089137";"https://open.spotify.com/track/3xziKgTzhAY1ADhN1WW9yQ";
"Pierrick Pedron & Gonzalo Rubalcaba";"Pédron Rubalcaba";"Si tu vois ma mère";2023;"GAZEBO";1710267167;1710267519;;;
"Naissam Jalal";"Healing rituals";"Rituel du soleil";2023;"LES COULEURS DU SON";1710267512;1710267870;"https://www.deezer.com/track/2125465977";"https://open.spotify.com/track/1A9Hj2pfd6sUV2N5ETQicQ";"https://music.apple.com/fr/album/rituel-du-soleil/1668024724?i=1668024731&uo=4"
"Jeanne Lee";"The newest sound around";"He's got the whole world in his hands";1961;"BMG";1710267869;1710267993;;;
"Helary Sylvaine";"Spring roll / Printemps";"Deux";2014;"AYLER RECORDS";1710267992;1710268237;;;
"Julian Lage";"Speak to me";"Hymnal";2024;"BLUE NOTE";1710268233;1710268372;"https://www.deezer.com/track/2613180612";"https://open.spotify.com/track/5YhHAIAq6sFAeqjBOe40Lc";"https://music.apple.com/fr/album/hymnal/1724864226?i=1724864229&uo=4"
