"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Sarah Williams White";"Unfathomable";"Monsters";2022;"FIRST WORD RECORDS";1706263054;1706263252;"https://open.spotify.com/track/4jJToUPCFG2LaXFdQW7MIt";;
"Coleman Hawkins";"Desafinado";"I remember you";1962;"IMPULSE";1706263250;1706263486;;;
"Francoise Hardy";"Messages personnels";"Tous mes souvenirs me tuent";2000;"EMI";1706263484;1706263729;"https://open.spotify.com/track/3I8yZh8mqmUdDeg3K2ST8c";;
"Stacey Kent";"The boy next door";"The best is yet to come";2003;"CANDID";1706263712;1706263916;"https://open.spotify.com/track/3SOolXGudRj8IbpmEFPAj1";"https://music.apple.com/fr/album/the-best-is-yet-to-come/1048970819?i=1048971104&uo=4";"https://www.deezer.com/track/1584714722"
"Amanda Whiting";"Lost in abstraction remixes";"Where would we be (Chris Cracknell remix)";2023;"ALBERT'S FAVOURITES";1706263913;1706264179;;;
"Kiefer";"Happysad";"Socially awkward";2018;"STONES THROW";1706264177;1706264319;"https://open.spotify.com/track/6Nw4AJgFs3zuWDJZghGaID";"https://music.apple.com/fr/album/socially-awkward/1370208009?i=1370208557&uo=4";
"Llorca";"Waiting (Short Edit)";"Waiting (short edit)";2017;"MEMBRAN ENTERTAINMENT GROUP";1706264319;1706264502;;;
"Jazzanova";"Rain makes the river (feat. Rachel Sermanni)";"Rain makes the river (feat. Rachel Sermanni)";2018;"SONAR KOLLEKTIV";1706264501;1706264720;;;
"Bobbie Gentry";"Country soul sisters / Vol. 2";"Okolona river bottom band";1967;"SOUL JAZZ RECORDS";1706264719;1706264895;;;
"Monster Rally";"Flower shower (ep)";"Swimming in the lotus garden";2023;"MONSTER RALLY";1706264892;1706265029;"https://open.spotify.com/track/7aXOm60JLznhO8dNW7ljRy";;
"Bruno Blum";"Nuage d'Ethiopie";"De Hawaii à Orly";2001;"DE LUXE";1706265027;1706265245;"https://open.spotify.com/track/3fFLpt5kwrCsj9yK5zbjbV";"https://music.apple.com/fr/album/de-hawaii-%C3%A0-orly/1676958346?i=1676958362&uo=4";"https://www.deezer.com/track/2189020597"
"Jerry Reed";"Nashville sound";"Blue moon of Kentucky";1970;"RCA";1706265241;1706265386;;;
"David Byrne";"Uh-oh";"Girls on my mind";1992;"SIRE";1706265382;1706265613;"https://open.spotify.com/track/6qgiYx4deHv657qWpGwlo6";"https://music.apple.com/fr/album/girls-on-my-mind/281620481?i=281620494&uo=4";
"Tito Puente";"Cuban carnival";"Mambo buda";1956;"RCA/BMG";1706265610;1706265781;;;
"Sharon Jones And The Dap Kings";"BOF / Le loup de Wall Street";"Goldfinger";2013;"VIRGIN";1706265778;1706265926;;;
"Desmond Dekker";"Israelites/The best of Desmond Dekker";"007 (Shanty town)";1967;"DECLIC";1706265926;1706266078;"https://open.spotify.com/track/7m92ozaOrAAQuGGNeFQneT";"https://music.apple.com/fr/album/007-shanty-town/1535475638?i=1535475656&uo=4";
"Tony Allen";"Secret agent";"Secret agent";2009;"WORLD CIRCUI";1706266077;1706266393;"https://open.spotify.com/track/3cEmHXnOZ25VECvzWTBjVg";;
"Pasiflorez";"Passion flower";"All in vision";2023;"NICE GUYS";1706266388;1706266619;;;
"Alt-J";"The Dream";"Philadelphia";2022;"BMG";1706266618;1706266826;"https://open.spotify.com/track/13gDxn2tYUGS0sawL4kzWp";"https://music.apple.com/fr/album/philadelphia/1644145448?i=1644145700&uo=4";
"Train Fou";"Laisse-nous enfin nous reposer";"Hiver dans le bois";2023;"AUTOPRODUCTION";1706266823;1706266993;"https://open.spotify.com/track/71t7hzlNjjVg4sDgjbJWPl";;
"Espen Horne";"The anatomy of serene eloquence";"Rory's sunrays";2023;"WAH WAH 45S";1706266991;1706267224;"https://open.spotify.com/track/7ncBZkx66LOXeZ7kZ0mPHZ";;
"A Tribe Called Quest";"The anthology";"Luck of Lucien";1990;"JIVE";1706267222;1706267492;"https://open.spotify.com/track/7EhEPcPa60LlvGuG9R1DOx";;
"Darnell Simpkins And The Family Tree";"The whip";"The whip (part I)";1972;"SCM";1706267490;1706267661;;;
"Bertrand Belin";"FIP sacré français !";"Folle folle folle";2015;"WAGRAM MUSIC";1706267653;1706267839;;;
"Messer Chups";"Crazy Price";"Satan Jeans";2005;"IPECAC";1706267832;1706268047;"https://open.spotify.com/track/2moXHkx1Ye70VnuU0pxqwp";;
"Dick Dale";"King of the surf guitar";"You are my sunshine";1963;"SUNDAZED";1706268040;1706268158;;;
"Holly Golightly And The Brokeoffs";"No help coming";"No help coming";2011;"TRANSDREAMER";1706268156;1706268310;;;
"Yukihiro Takahashi";"A man and a machine / Vol.3";"Taxman";;"LE SON DU MAQUIS";1706268310;1706268527;;;
"Luccini Sweets";"Beat X dancers";"Lounge box";2023;"BEAT X DANCERS";1706268525;1706268737;"https://open.spotify.com/track/4kmzm4kzGBW7zrL3T4fsG7";;
"DOMi & JD Beck";"Not tight";"Bowling (feat. Thundercat)";2022;"APESHIT / BLUE NOTE RECORDS";1706268736;1706268851;"https://open.spotify.com/track/3Sk51FK0sTdiRQN477u5oq";;
"Stevie Wonder";"The secret life of plants";"Power flower";1979;"MOTOWN";1706268850;1706269181;"https://open.spotify.com/track/7lUg8pGTS5p97bB5eB5nPc";"https://music.apple.com/fr/album/power-flower/1440857300?i=1440857445&uo=4";"https://www.deezer.com/track/676012692"
"Aimee Mann";"Magnolia";"One";1999;"REPRISE";1706269180;1706269353;"https://open.spotify.com/track/5e7OZ8PyDJYQdGAiidCPad";"https://music.apple.com/fr/album/one/331242067?i=331242163&uo=4";"https://www.deezer.com/track/4210678"
"Henri Demarquette";"Echoes";"Dans le secret de la nuit paisible op 4 n°3 - arrangement pour violoncelle et piano";2018;"DECCA";1706269350;1706269492;;;
"Sophie Hunger";"Monday's ghost";"Walzer fûr Niemand";2009;"UNIVERSAL";1706269485;1706269629;;;
"Kcidy";"Quelque chose de bien";"Camille";2024;"VIETNAM";1706269624;1706269790;"https://open.spotify.com/track/1Um5GvArYEJnCxKWw7Ms45";;
"Jean-Jacques Perrey";"Moog acid";"Frère Jacques";2007;"LOREC";1706269785;1706270035;"https://open.spotify.com/track/6qoho4Kgkfpr1QlpHJSFjB";;
"Sly & The Family Stone";"Small talk (remastered + expanded)";"Can't strain my brain";1974;"EPIC";1706269976;1706270221;"https://open.spotify.com/track/0T94lawCOoZ99cXGApnp2O";"https://music.apple.com/fr/album/cant-strain-my-brain-single-master/659323404?i=659323777&uo=4";
"Cleo Sol";"Heaven";"Self";2023;"FOREVER LIVING ORIGINALS";1706270215;1706270411;"https://open.spotify.com/track/0J9uaeOd7GZi9MTybtqAD4";;
"Jerry Fielding";"BOF / Les chiens de paille";"The wakely arms, Janice Hedden's death";2010;"INTRADA RECO";1706270404;1706270624;;;
"Caecilie Norby";"My corner of the sky";"Spinning wheel";1996;"BLUE NOTE";1706270598;1706270903;"https://open.spotify.com/track/2iwSb82Cs9xKhvFAlmLJmE";;
"Samara Joy";"Linger awhile";"Can't get out of this mood";2022;"VERVE";1706270900;1706271229;"https://open.spotify.com/track/7ekSJz0V4gXbrPndFAhLye";;
"Amando Risueno";"El canto del viento";"Agua escondida";2020;"NUEVO MUNDO";1706271116;1706271329;"https://open.spotify.com/track/4jeA3EW36f878ryul9ermX";;
"Georges Brassens";"Mourir pour des idées - intégrale édition 91";"À mon frère revenant d'italie";1970;"Philips";1706271321;1706271612;;;
"Meskerem Mees";"Joe";"Joe";2020;"MAYWAY RECORDS";1706271612;1706271915;"https://open.spotify.com/track/7kO4G9gASA6xwUGcqRzoLF";"https://music.apple.com/fr/album/joe/1550322163?i=1550322172&uo=4";"https://www.deezer.com/track/1499761352"
"Nat Myers";"Yellow peril";"Undertaker blues";2023;"EASY EYE SOUND";1706271801;1706272021;"https://open.spotify.com/track/2wpcTENLcrkOl456kR4BA4";"https://music.apple.com/fr/album/undertaker-blues/1671945487?i=1671945891&uo=4";"https://www.deezer.com/track/2330368505"
"Gitkin";"Safe passage";"Chicha nola";2020;"WONDERWHEEL RECORDINGS";1706272019;1706272232;;"https://music.apple.com/fr/album/chicha-nola/1531087679?i=1531087780&uo=4";
"MGMT";"Congratulations";"Congratulations";2010;"COLUMBIA";1706272228;1706272459;"https://open.spotify.com/track/6kblAEj0T0312fv5QWsXzo";"https://music.apple.com/fr/album/congratulations/363353526?i=363356978&uo=4";"https://www.deezer.com/track/5674813"
"Kiledjian";"The otium mixtape";"Silver Cab";2024;"UNDERDOG RECORDS";1706272457;1706272653;"https://open.spotify.com/track/1tGRfj3EEXBHU6LnKp8Jhx";"https://music.apple.com/fr/album/silver-cab/1714815918?i=1714816484&uo=4";"https://www.deezer.com/track/2522495231"
"L Indecis";"Playtime";"Blind";2018;"CHILLHOP RECORDS";1706272653;1706272828;;;
"Masego";"Masego";"Down in the dumps";2023;"EQT RECORDINGS - CAPITOL RECORDS";1706272819;1706272990;"https://open.spotify.com/track/1rLTDj06u2cTO5wfN4SaMZ";;
"Matt Houston";"R&b 2 rue";"Aftershow";2001;"BARCLAY";1706272988;1706273238;;;
"Midnight Colors";"Midnight colors";"Dream";2019;"18HEURES48";1706273236;1706273444;"https://open.spotify.com/track/3EOwOWWkQ5Aq8QmAolEFKL";;
"Miles Davis";"Walkin'";"Walkin'";1954;"PRESTIGE";1706273442;1706274246;;;
"Soothsayers";"Sleepwalking (Black Man's Cry)";"Sleepwalking (black man's cry) (7"""" edit)";2018;"WAH WAH 45S";1706274245;1706274455;;;
"Lynyrd Skynyrd";"Skynyrds Innyrds";"Call me the breeze";1974;"MCA";1706274453;1706274831;"https://open.spotify.com/track/12WiGqEs3t5hrzBJTe1K0P";;
"Nancy Wilson";"Outta sight!";"Mercy, mercy, mercy";1967;"BLUE NOTE";1706274753;1706274958;"https://open.spotify.com/track/5xR1hlYUtRDba3dMPcb3XX";;"https://www.deezer.com/track/417373972"
"Nemanja Radulovic";"Les 5 saisons";"Concerto en sol min op 8 n°2 P 336 RV 315 """"L'été"""" : Allegro";2011;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1706274957;1706275347;;;
"Sarah Vaughan";"Les moulins de son coeur / CD 14 : Sarah Vaughan / Phil Woods / 1972-1975";"Summer me, winter me";1972;"DECCA";1706275237;1706275402;;;
"Aphrodite's Child";"Best of Aphrodite's child";"Spring, summer, winter & fall";;"POL";1706275401;1706275694;;;
"Terry Jacks";"Brel Jacques chante par anglophones/Next Brel";"Seasons in the sun";1974;"BARCLAY";1706275691;1706275898;"https://open.spotify.com/track/7pGMRy91RcQT9oHdPgYz3A";;
"Pierpoljak";"Rub-a-dub soul";"Michelle (feat. ALA.NI)";2023;"VP RECORDS";1706275892;1706276085;"https://open.spotify.com/track/4enpcimEICa6d43mBQLr0c";"https://music.apple.com/fr/album/michelle-feat-ala-ni/1704195713?i=1704195989&uo=4";
"Toots Thielemans";"Musiques de films";"Jean de Florette - Thème principal";1986;"MILAN";1706276084;1706276251;;;
"Serena Fisseau & Vincent Peirani";"So quiet";"Malandrinha";2019;"ACT MUSIC";1706276250;1706276487;;;
"Trio Esperanca";"Nosso mundo";"Uma bela historia";1999;"MERCURY";1706276483;1706276708;;;
"Me And My Friend";"Beneath a level Head";"Penseur";2012;;1706276708;1706277196;;;
"et.nu";"et.nu";"And then it happened";2023;"PROLOG RECORDS";1706277193;1706277441;"https://open.spotify.com/track/2pKIejofERa92XzydBcGni";;"https://www.deezer.com/track/2043904367"
"Divers";"BOF / Sierra torride / Les moissons du ciel";"Sierra torride : Main title";;"LEGEND RECORDSO";1706277439;1706277670;;;
"Jimmy McGriff";"Pullin' out the stops / The best of Jimmy McGriff";"All About My Girl";1967;"EMI";1706277668;1706277902;;;
"Ray Charles";"The definitive Ray Charles";"Mess around";1953;"ATLANTIC";1706277901;1706278060;;"https://music.apple.com/fr/album/mess-around/52231652?i=52231655&uo=4";
"Soulnaturals";"I found love in a discotheque (feat. CeCi Munette)";"I found love in a discotheque (feat. CeCi Munette) (Hotmood remix)";2023;"BRITISH SOUL STANDARD";1706278059;1706278354;;;
"Yin Yin";"Mount Matsu";"Tokyo disko";2024;"GLITTERBEAT";1706278349;1706278635;"https://open.spotify.com/track/3PiurAtwnG8bo4ovZmKTG6";"https://music.apple.com/fr/album/tokyo-disko/1715299439?i=1715300153&uo=4";"https://www.deezer.com/track/2531107761"
"Saigon Soul Revival";"Nao ta cung hat";"Nao ta cung hat (Patchworks ashby mix)";2020;"SAIGON SUPERSOUND";1706278622;1706278873;;;
"Nino Ferrer";"Les années 60";"Mao et Moa";1967;"BARCLAY";1706278871;1706279071;;;
"Chloe Charles";"Break the balance";"Business";2012;"BEE POP RECORDS";1706279068;1706279274;;;
"Ensemble Berolina";"Carl Amand Mangold : Musique de chambre";"Quatuor en ré min : 3. Scherzando";2023;"MDG";1706279274;1706279489;;;
"Angela Aux";"Take it somewhere";"Take it somewhere";2023;"INSELGRUPPE";1706279486;1706279637;"https://open.spotify.com/track/2hJayUh1vUpFmQwk4wBeta";;"https://www.deezer.com/track/2577783092"
"Them";"Bof/Une vie volee";"It's all over now baby blue";1966;"MILAN";1706279635;1706279861;;;
"Groove Armada";"BOF / Collateral";"Hands of time";2004;"HIP-O RECORDS";1706279860;1706280230;;;"https://www.deezer.com/track/539152"
"Photonz";"Daylight saving 2 : Ruled by Venus";"Ace of cups";2023;"ONE EYED JACKS";1706280094;1706280362;"https://open.spotify.com/track/2zhnGvEjNKnUk1wZwbgKS1";;
"Sarah Mikovski";"Pôle nord";"La pente douce";2019;"BUDDE MUSIC";1706280356;1706280521;"https://open.spotify.com/track/6PjH67My0a9XYeRhQHI5Xf";"https://music.apple.com/fr/album/la-pente-douce/1483684390?i=1483684616&uo=4";
"Thievery Corporation";"Saudade";"Depth of my soul (Featuring Shana Halligan)";2014;"ESL MUSIC";1706280514;1706280713;;;
"The Ink Spots";"More Memories From We Four";"I'll get by";1944;"Jasmine Records";1706280706;1706280879;;;"https://www.deezer.com/track/12373999"
"Talib Kweli";"Quality";"Get by";2002;"RAWKUS ENTERTAINMENT";1706280878;1706281106;"https://open.spotify.com/track/1LM6EReMkAxuDXDF26ekl2";;
"Jo Boyer";"Joey negro & Sean P present : The best of disco spectrum";"Isabelle & the rain";1978;"BBE";1706281104;1706281432;;;
"Eddington Again";"Naomi9";"BN";2023;"K7 RECORDS";1706281430;1706281626;"https://open.spotify.com/track/3QPG2F1wCGKr3NHx0ziF8b";;
