"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Roupa Nova";"Too slow to disco Brasil compiled by Ed Motta";"Clarear";"1982";"AUTOPRODUCTION/TOOSLOWTODISCO.COM";1714334207;1714334405;"https://www.deezer.com/track/140344335";;
"Norman Blake";"B.O.F. / O brother, where Art thou";"You are my sunshine";"2000";"MERCURY";1714334403;1714334670;"https://www.deezer.com/track/529928501";"https://music.apple.com/fr/album/you-are-my-sunshine/1469575447?i=1469575463&uo=4";"https://open.spotify.com/track/18L7Wu5zpWR5SH95apWaGk"
"Melys";"Aguà";"Little moon";"2024";"AUTOPRODUCTION";1714334657;1714334874;"https://www.deezer.com/track/1683318747";;
"Minnie Riperton";"Perfect angel / Adventures in paradise";"It's so nice (to see old friends)";"1974";"STATESIDE";1714334871;1714335156;"https://www.deezer.com/track/3332284";"https://music.apple.com/fr/album/its-so-nice-to-see-old-friends-exended-version/1443261372?i=1443262122&uo=4";"https://open.spotify.com/track/1SWg9g9grkQ3BXr6ehabnS"
"Love Joys";"Lovers rock reggae style";"All I can say";"1982";"BASIC CHANNEL";1714335152;1714335663;;;
"Pierre Vassiliu";"Amour amitié";"On imagine le soleil";"1970";"BARCLAY";1714335662;1714335957;"https://www.deezer.com/track/447658422";;
"Stacey Kent";"Summer Me, Winter Me";"Summer me, winter me";"2023";"Naïve";1714335956;1714336258;"https://www.deezer.com/track/2424853165";"https://music.apple.com/fr/album/summer-me-winter-me/1704628827?i=1704628833&uo=4";"https://open.spotify.com/track/4Kx1kfAPsEM6Mw2cow70ez"
"Duke Ellington";"Duke Ellington & John Coltrane";"In A Sentimental Mood";"1962";"IMPULSE";1714336252;1714336506;;;
"Slowe";"Where the mind wanders";"Superego";"2023";"TRU THOUGHTS";1714336502;1714336726;"https://www.deezer.com/track/2057930847";"https://music.apple.com/fr/album/superego/1676977977?i=1676977985&uo=4";"https://open.spotify.com/track/1NF1RLJbEYunYn5TuYBUez"
"Erykah Badu";"Mama's gun";"Time's a wastin";"2000";"MOTOWN";1714336725;1714337123;;;"https://open.spotify.com/track/6q8fYYujrQxXckq1tTtqqi"
"3 Chairs";"3 Chairs collection (1997-2013)";"3 chairs theme (feat. Norma Jean Bell)";"2004";"MAHOGANI MUSIC";1714337123;1714337388;;;
"Marvin Gaye";"The very best of Marvin Gaye";"Got to give it up (part I)";"1977";"MOTOWN";1714337384;1714337629;;;
"Casino Music";"Jungle love redux";"Amour sauvage";"1979";"ZE RECORDS";1714337626;1714337833;"https://www.deezer.com/track/75105895";"https://music.apple.com/fr/album/amour-sauvage/1281623914?i=1281624748&uo=4";
