"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Dijon";"Baby";"Higher!";"2025";"WARNER RECORDS";1769766965;1769767203;"https://www.deezer.com/track/3500137521";"https://open.spotify.com/track/0XnD9GJRD01wvXFLWJXiYx";
"Ike Quebec";"From Hackensack to Englewood Cliffs";"Blue friday";"1959";"BLUE NOTE";1769767200;1769767500;;;
"Kate";"Mr Norris changes brains";"Shout it";"1969";"ESKIMO RECORDINGS";1769767500;1769767658;"https://www.deezer.com/track/3328970481";;
"Lenny Kravitz";"Let love rule";"Let love rule";"1989";"VIRGIN";1769767656;1769767999;"https://www.deezer.com/track/3129601";"https://open.spotify.com/track/2pmN85k5m9nO1rWaCDdrNE";"https://music.apple.com/fr/album/let-love-rule/725208349?i=725208352&uo=4"
"The Frightnrs";"Always";"Profilin (version)";"2022";"DAPTONE RECORDS";1769767998;1769768206;"https://www.deezer.com/track/1694256257";;
"Domenique Dumont";"Deux paradis";"La vie va";"2025";"ANTINOTE";1769768202;1769768391;"https://www.deezer.com/track/3399393601";"https://open.spotify.com/track/0TucvrBpyEB5m9APtu1N4W";
"Brainstory";"Sounds good";"Nobody but you";"2024";"BIG CROWN RECORDS";1769768392;1769768526;"https://www.deezer.com/track/2612751012";"https://open.spotify.com/track/5Mya4ekcEmKOluFYd8qX8Y";
"Dry Cleaning";"Secret love";"My soul half pint";"2026";"4AD";1769768525;1769768762;;;
"Steve Hiett";"Girls in the grass";"Are these my memories?";"2019";"BE WITH RECORDS";1769768761;1769768935;"https://www.deezer.com/track/721020732";"https://open.spotify.com/track/1NPf5FCRtTxNlm5XGhkKhw";
"Sonzeira";"Brasil bam bam bam";"Southern freeez";"2014";"TALKIN LOUD";1769768934;1769769219;"https://www.deezer.com/track/78304791";"https://open.spotify.com/track/0YNq46kc2VBScrgVLqSxau";
"Fka Twigs";"Eusexua afterglow";"Wild and alone (feat.Pinkpantheress)";"2025";"ATLANTIC";1769769217;1769769462;;;
"Henry Mancini";"Film / Mr. Lucky & mr. Lucky goes latin";"Lujon";"1960";"RCA VICTOR";1769769458;1769769616;"https://www.deezer.com/track/66738710";;
"The Monkees";"Head";"As we go along";"1968";"RHINO";1769769612;1769769842;"https://www.deezer.com/track/13549209";"https://open.spotify.com/track/4bFJIFinGfGxsG0VFpEfbC";
"Francoise Hardy";"La question";"Viens";"1971";"VOGUE";1769769841;1769769973;"https://www.deezer.com/track/835454202";"https://open.spotify.com/track/6CsngKTlU8PPu1ftfSVNmZ";
"Emma Donovan & The Putbacks";"Crossover";"Crossover";"2020";"HOPESTREET RECORDINGS";1769769973;1769770313;;;
"Waan";"We want Waan";"Talking trees";"2026";"SONAR KOLLEKTIV";1769770312;1769770581;"https://www.deezer.com/track/3485863921";;
"Melanie De Biasio";"FIP Trip-hop";"Your freedom is the end of me";"2024";"WAGRAM MUSIC (DISTRIBUTEUR)";1769770577;1769770805;"https://www.deezer.com/track/414045912";;
"Natalie Dessay";"Airs d'operas italiens";"Les capulets et les montaigus : Oh quante volte";"2007";"VIRGIN";1769770804;1769771043;;;
"The Supremes";"A bit of Liverpool";"House of the rising sun";"1964";"MOTOWN";1769771029;1769771224;"https://www.deezer.com/track/95230746";"https://open.spotify.com/track/64IkGiSzkGiwoRyHuCkSzO";
"John Barry- Moore";"Mr Bongo Record Club Volume 5";"Abertura de 'Os Inocentes'";"1974";"MR BONGO";1769771218;1769771322;;;
"Luxjury";"Snacks (I could love you)";"Snacks (I could love you)";"2026";"BELLA UNION";1769771321;1769771600;"https://www.deezer.com/track/3680180932";"https://open.spotify.com/track/33ruyJ6RnTbH13JAtpvK2X";
"The Beatnuts";"Classic Nuts Vol. 1";"Off the books";"1997";"EPIC";1769771600;1769771814;;;
"Pugilist";"Serenity - Banoffee Pies Beats 04";"Serenity";"2024";"BANOFFEE PIERS RECORDS";1769771814;1769771968;"https://www.deezer.com/track/2591975022";"https://open.spotify.com/track/18d042ZndAfzzKo2O3oB2h";
"Thomas Dutronc & Les Esprits Manouches";"Live is love";"Viens dans mon île";"2018";"BLUE NOTE";1769771963;1769772172;;;
"Lhasa";"La llorona";"Por eso me quedo";"1997";"WARNER";1769772171;1769772398;;;
"La Chooma";"Local Spirits";"Veggie berber boy";"2025";"BATOV RECORDS";1769772397;1769772678;"https://www.deezer.com/track/3397665931";"https://open.spotify.com/track/4JE1mVvhmyBCyZmCCTZQGV";
"War";"Anthology 1970-1994";"Why can't we be friends ?";"1975";"UNITED ARTISTES RECORDS";1769772679;1769772903;;;
"Tessa Rose Jackson";"The Lighthouse";"Fear bangs the drum";"2026";"TINY TIGER RECORDS";1769772900;1769773189;"https://www.deezer.com/track/3548036161";"https://open.spotify.com/track/6FU0ENgljNIL8mMRbkKiH4";
"C418";"Minecraft (jeu vidéo) / Volume Alpha";"Chris";"2015";"GHOSTLY INTERNATIONAL";1769773188;1769773276;;;
"Dave Porter";"BOF TV / Pluribus : volume 1";"Pluribus theme (main title theme)";"2025";"MILAN";1769773269;1769773434;;;
"Crayon";"Home Safe";"Cristaux liquides (feat. Swing)";"2025";"ERASED TAPES";1769773433;1769773583;;;
"Kenny Dorham";"Quiet Kenny";"Lotus blossom";"1959";"PRESTIGE";1769773583;1769773753;"https://www.deezer.com/track/1163683";;
"Jimmy Williams";"After Sun (what the stars of the legendary Sun Record label did next)";"I belong to you";"1958";"FANTASTIC VOYAGE";1769773751;1769773886;"https://www.deezer.com/track/72472570";;
"Eddie Cochran";"12 of his biggest hits/Never to be forgotten";"C'mon everybody";"1959";"EMI";1769773886;1769774000;"https://www.deezer.com/track/3089535";;
"Thee Sacred Souls";"Got a story to tell";"Losing side of love";"2024";"DAPTONE RECORDS";1769774000;1769774149;"https://www.deezer.com/track/2824391372";"https://open.spotify.com/track/1POsZ6d53hOE5tvm5OqidA";
"Jus Jam";"90's anxiety";"Higher sense";"2021";"BROKEN DISTRICT";1769774148;1769774401;"https://www.deezer.com/track/1186991372";"https://open.spotify.com/track/5E20AUW53tksa3a2xpiosD";
"Kendrick Lamar";"King Kunta";"King Kunta (Version Originale)";"2015";"POLYDOR";1769774400;1769774631;;;
"Automatic";"Is it now ?";"Playboi";"2025";"STONES THROW RECORDS";1769774630;1769774877;"https://www.deezer.com/track/3403084621";"https://open.spotify.com/track/2wZBI19P0Dx03P4KBjYg3X";
"Altin Gun";"Gece";"Süpürgesi yoncadan";"2019";"GLITTER BEAT";1769774873;1769775199;"https://www.deezer.com/track/646843112";"https://open.spotify.com/track/1seGm3saXyST058oeZLZWF";
"Aldorande";"Trois";"Back To Mother Earth";"2025";"FAVORITE RECORDINGS";1769775197;1769775445;"https://www.deezer.com/track/3282677581";"https://open.spotify.com/track/4Yv6X0MdwwAlTQOVwYHfJf";
"Chlorine Free";"New basics #1";"Elevation (feat. Raashan Ahmad)";"2025";"SEVENTY THREE";1769775438;1769775724;;;
"Jamiroquai";"The return of the space cowboy";"Space cowboy";"1994";"SONY";1769775720;1769776102;"https://www.deezer.com/track/64607951";"https://open.spotify.com/track/6K53GM9W6Vle5KBwGFVnZM";
"Quincy Jones";"Body heat";"One track mind";"1974";"A&M RECORDS";1769776097;1769776470;"https://www.deezer.com/track/130414078";"https://open.spotify.com/track/5SjnRkbBCttz4w00xoxeBY";
"Bobbie Gentry";"Country funk 1969-1975";"He made a woman out of me";"1970";"LIGHT IN THE ATTIC RECORDS";1769776463;1769776613;"https://www.deezer.com/track/3401588";"https://open.spotify.com/track/2gMxsK1P5PF65J6q4rsCYl";
"Shuggie Otis";"Here comes Shuggie Otis";"Funky thithee";"1970";"EPIC";1769776611;1769776807;"https://www.deezer.com/track/550975";"https://open.spotify.com/track/7xuET2MbGSP3aLpgU2BGbV";"https://music.apple.com/fr/album/funky-thithee/250978206?i=250978304&uo=4"
"Veronique Sanson";"Hollywood";"Bernard's song";"1977";"WEA";1769776800;1769777176;;;
"Fairouz";"Fairuz chillout classics";"Al bostah";"1979";"EMI MUSIC ARABIA";1769777168;1769777701;;;
"Shay Hazan";"Wusul";"Riff raff";"2024";"BATOV RECORDS";1769777699;1769777889;"https://www.deezer.com/track/2535983141";"https://open.spotify.com/track/2QTBrAJg4g9VPTxlySuXcg";
"Maribou State";"Hallucinating love";"Eko's";"2025";"NINJA TUNE";1769777886;1769778120;"https://www.deezer.com/track/3026827091";"https://open.spotify.com/track/57dziK1lhVPSRhfSQdEYy5";
"Matthis Pascaud";"Loup(s)";"You better not (part 2)";"2026";"SHAKE PRODUCTION";1769778119;1769778310;"https://www.deezer.com/track/3669915142";"https://open.spotify.com/track/6oFIyFjIIlxsc0eBG4QAhx";
"King Gizzard & The Lizard Wizard";"Changes";"Astroturf";"2022";"KGLW (KING GIZZARD & THE LIZARD WIZARD)";1769778307;1769778761;"https://www.deezer.com/track/1976775257";;
"Geese";"Getting killed";"Bow down";"2025";"PARTISAN RECORDS";1769778760;1769778967;"https://www.deezer.com/track/3399059281";"https://open.spotify.com/track/5jR6zOQf3HtU2mifXWg6hE";
"Dar Disku";"Dar Disku";"Ya Nas";"2024";"SOUNDWAY RECORDS";1769778966;1769779267;"https://www.deezer.com/track/2835658442";"https://open.spotify.com/track/3XCYQV3sO1JG5Ke21PI6IR";
"Arp Frique";"Welcome to the colorful world of Arp Frique";"Nos magia";"2018";"COLORFUL WORLD";1769779266;1769779469;"https://www.deezer.com/track/441050752";"https://open.spotify.com/track/004Njy1KdUdY49KC5szeoo";
"Talking Heads";"Once in a lifetime";"Once in a lifetime";"1980";"EMI";1769779468;1769779723;"https://www.deezer.com/track/2559851392";"https://open.spotify.com/track/1Tr4K5MU5XYE44umXGDndd";
"Jaco Pastorius";"Punk jazz / The Jaco Pastorius anthology";"Soul intro / The chicken (live 1982)";"1982";"WARNER BROS";1769779717;1769780110;;;
"Claude Nougaro";"Embarquement immédiat/ Integrale vol 14";"Anna";"2000";"MERCURY";1769780109;1769780351;"https://www.deezer.com/track/3420275";"https://open.spotify.com/track/4Wcg9FltyhBCOUUBpZ3o75";
"Ray Charles";"Bof / The Blues Brothers";"Shake your tailfeather";"1980";"ATLANTIC";1769780348;1769780520;;;
"Cookin On 3 Burners";"Real Life Baby";"Enter sandman";"2017";"SOUL MESSIN' RECORDS";1769780509;1769780706;;;
"The Bamboos";"The rawville";"Bring it home";"2007";"TRU THOUGHTS";1769780704;1769780917;"https://www.deezer.com/track/3687424802";"https://open.spotify.com/track/6PrFC3D6zd9ejRWLF4LmT5";
"Seu Jorge";"Cru";"Tive Razao";"2004";"NAIVE";1769780915;1769781186;;;
"Vinicius De Moraes";"Vinicius de Moraes en La Fusa (Mar del Plata)";"Testamento";"1970";"TROVA";1769781184;1769781322;;;"https://music.apple.com/fr/album/testamento/179151935?i=179152135&uo=4"
"Kings Of Convenience";"Peace or Love";"Catholic country (Feat. Feist)";"2021";"EMI";1769781317;1769781494;;;
"Birds On A Wire";"Nuées ardentes";"Myla et l'arbre bateau";"2025";"PIAS RECORDINGS FRANCE";1769781493;1769781604;"https://www.deezer.com/track/3388330841";"https://open.spotify.com/track/4yVvAHk9CdklvZp2Ye1nNk";
"JB Dunckel";"Paranormal music chamber";"Désintegration (version for flute and string quintet)";"2026";"WARNER CLASSICS";1769781603;1769781882;;;
"Little Tempo";"Musique & cinéma du monde /Asie (Japon-Corée)";"The taste of tea";"2004";"MK2";1769781880;1769782053;;;
"Paola";"Je suis le disque";"Yokohama";"1962";"PHILIPS";1769782049;1769782240;"https://www.deezer.com/track/351327541";;
"Cocorosie";"La maison de mon rêve";"Good friday";"2004";"";1769782234;1769782494;"https://www.deezer.com/track/125964821";"https://open.spotify.com/track/2m2tVMv5MH75183mITz2pq";
"Nina Simone";"My baby just cares for me";"He needs me";"1986";"CHARLY RECORDS";1769782492;1769782638;"https://www.deezer.com/track/858067962";;
"Tony Hymas";"De Delphes...";"Si tu vois ma mère";"2021";"NATO";1769782637;1769782886;;;
"Van Morrison";"Moondance";"Into the mystic";"1970";"WARNER";1769782886;1769783094;"https://www.deezer.com/track/3635713402";;
"The James Hunter Six";"Off the fence";"Trouble comes calling";"2026";"EASY EYE SOUND";1769783093;1769783322;"https://www.deezer.com/track/3763980282";"https://open.spotify.com/track/1RptzsBVmH43skbsSMwNbD";
"Jones";"In the moment";"Moonlight";"2025";"UNITY";1769783321;1769783566;"https://www.deezer.com/track/3418755611";"https://open.spotify.com/track/26m3a6jjutoB86efXGO2dP";
"Jungle Brothers";"Done by the forces of nature";"Doin' our own dang";"1989";"WARNER BROS";1769783563;1769783818;"https://www.deezer.com/track/5619076";"https://open.spotify.com/track/4fuLWKNpY01OLMT9tARnB4";
"Le Commandant Couche-Tot Et Son Magnifique Orchestre De Claviers";"Le Commandant couche-tôt et son magnifique orchestre de claviers";"La vénus de 1000 hommes";"2020";"BMM RECORDS";1769783816;1769784016;;;
"Tokyo Tea Room";"No rush";"I would";"2025";"NICE GUYS";1769784002;1769784224;"https://www.deezer.com/track/3030058601";"https://open.spotify.com/track/7jfAJrVOhojsiWsr2fxpQ0";
"Mackenzie Leighton";"Fleuriste";"Miyazaki";"2022";"GROVVER OBSESSIONS";1769784222;1769784444;"https://www.deezer.com/track/1734730307";;
"Joe Hisaishi";"BOF / Mon voisin Totoro";"Mon voisin Totoro : Moonlight flight";"1999";"REPRISE RECORDS";1769784444;1769784567;;;
"Emma Stone";"BOF / La la land";"La la land :  A lovely night";"2016";"INTERSCOPE";1769784566;1769784802;;;
"Sergio Mendes";"The very best";"Pais tropical";"1971";"AM";1769784800;1769784963;"https://www.deezer.com/track/6123671";;
"Dario Moreno";"Brigitte Bardot";"Brigitte Bardot";"1961";"UNIVERSAL";1769784959;1769785123;"https://www.deezer.com/track/929583";;
"Georges Delerue";"BOF / Viva Maria / King of hearts";"Viva Maria : Viva Maria";"1965";"MGM (METRO GOLDWYN MAYER)";1769785120;1769785262;;;
"Dafne Kritharas";"Djoyas De Mar";"Katinaki Mou Gia Sena";"2018";"LIOR EDITIONS";1769785257;1769785418;"https://www.deezer.com/track/2966686471";"https://open.spotify.com/track/2yjyutCrnebXvwHA7Pr6hv";
"Diana Krall";"When I look in your eyes";"Devil may care";"1998";"VERVE";1769785416;1769785612;"https://www.deezer.com/track/981986";;
"Jon Batiste";"Big money";"Lonely avenue (feat. Randy Newman)";"2025";"DECCA";1769785607;1769785826;;"https://open.spotify.com/track/1PynLU5Ki2eCwmGIM7cGcU";
"Alfred Brendel";"Haydn / Sonates  pour piano / Brendel";"Sonate nº59 en Mi bémol Maj HOB XVI  : 49 pour piano : Finale (tempo di minuetto)";"1979";"PHILIPS";1769785820;1769786056;;;
"Barbara";"Madame";"Elle vendait des p'tits gateaux";"1968";"PHILIPS";1769786054;1769786170;"https://www.deezer.com/track/61794402";;
