"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Tropic Hotel";"Tum tum bossa";"Je ne suis plus toi et moi";"2024";"VELVETICA MUSIC";1749549591;1749549752;"https://www.deezer.com/track/2817304432";"https://open.spotify.com/track/7jaNJHX2eiSrngNdX00u2g";
"Chico Buarque";"Favourites 60 years on";"A banda";"1966";"UNIVERSAL";1749549750;1749549880;"https://www.deezer.com/track/11059194";"https://open.spotify.com/track/6wUp7y502iyWLuLuurlOyw";
"Alfred Brendel";"Alfred Brendel : enregistrements publics et radiophoniques de la BBC inédits de 1968 a 2001";"33 variations pour piano en Ut Maj sur une valse de Diabelli op 120 : Thème : Vivace / Variation n°1";"2007";"PHILIPS (PHPS)";1749549880;1749550033;;;
"Minnie Pearl";"Rounding up the gals : Great female country";"Man (uh-huh)";"1954";"JASMINE RECORDS";1749550031;1749550183;"https://www.deezer.com/track/112970108";;
"Richard Berry";"Have """"Louie"""" will travel";"Have love will travel";"1959";"ACE RECORDS";1749550183;1749550357;"https://www.deezer.com/track/4998291";;"https://music.apple.com/fr/album/have-love-will-travel/157704362?i=157704485&uo=4"
"Immy Owusu";"Lo-life !";"The world is here for you";"2023";"HOPESTREET RECORDINGS";1749550355;1749550683;"https://www.deezer.com/track/2193605737";"https://open.spotify.com/track/6bp1SbR8PJVbgrib80PDOd";
"Mulatu Astatke & Hoodna Orchestra";"Tension";"Major";"2024";"BATOV RECORDS";1749550681;1749550911;;;
"John Boutte";"Jambalaya";"Treme song";"2008";"BOUTTEWORKS";1749550909;1749551169;"https://www.deezer.com/track/66781396";"https://open.spotify.com/track/3SQ5xQgBSC13MvSQulomua";
"Jon Batiste";"Jazz is now";"Sunny side of the street";"2013";"AUTOPRODUCTION";1749551169;1749551462;;"https://open.spotify.com/track/0xXfuvUPGsmsQ9yJm6AD93";
"Dire Straits";"Dire Straits";"Southbound Again";"1978";"VERTIGO";1749551459;1749551634;"https://www.deezer.com/track/2263032";"https://open.spotify.com/track/1lzaRptS63unC0qgT6hm7T";"https://music.apple.com/fr/album/southbound-again/1440801714?i=1440801914&uo=4"
"Chet Atkins";"Sneakin' around";"The Claw";"1992";"COLUBIA";1749551631;1749551789;"https://www.deezer.com/track/654337682";"https://open.spotify.com/track/5ULNU0RxpwG11uL45J9O4Q";
"Sly & The Family Stone";"The essential";"Hot fun in the summertime";"1969";"EPIC";1749551783;1749551940;"https://www.deezer.com/track/534598";;"https://music.apple.com/fr/album/hot-fun-in-the-summertime/659323404?i=659323757&uo=4"
"Eddy Mitchell";"Je n'aime que toi 1967-1968";"Sunny";"1968";"BARCLAY";1749551939;1749552119;"https://www.deezer.com/track/1569842";"https://open.spotify.com/track/4u4duXqOm7p0fTs6mkrC3C";
"Liniker E Os Caramelows";"Remonta";"Zéro";"2016";"POMM ELO";1749552116;1749552405;"https://www.deezer.com/track/3247476511";"https://open.spotify.com/track/2arxf0qwSpidhAVwJ7v9gV";"https://music.apple.com/fr/album/zero/1152298979?i=1152299418&uo=4"
"Foxwarren";"2";"Listen2me";"2025";"ANTI";1749552405;1749552569;"https://www.deezer.com/track/3250970301";"https://open.spotify.com/track/29WWHCuzU0OCWTfiBKbOm1";"https://music.apple.com/fr/album/listen2me/1799146209?i=1799146519&uo=4"
"Andrew Bird";"Hark!";"Glad";"2020";"LOMA VISTA RECORDING";1749552569;1749552807;"https://www.deezer.com/track/1118011082";"https://open.spotify.com/track/0ohHaPi729V1R0aCSUUxnP";"https://music.apple.com/fr/album/glad/1531193063?i=1531193074&uo=4"
"Academy Of Saint-Martin-In-The-Fields";"L'art de Christiane Eda-Pierre / Airs d'opéras comiques";"La fausse magie : Comme un éclair (Air de Lucette)";"1979";"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";1749552805;1749553135;;;
"Les Kili Cats";"Le chat dans tous ses états, anthologie de la chanson féline (1911-1962)";"Beau cha cha";"1961";"FREMEAUX & ASSOCIES";1749553134;1749553289;;;
"Rafael Hernandez";"BOF / Aprile";"Campanitas de cristal";"1998";"VIRGIN";1749553288;1749553451;"https://www.deezer.com/track/495335742";;
"Marcel Zanini";"Peu de choses";"Spaghettis à St-Germain";"2002";"FREMEAUX ET ASSOCIES";1749553451;1749553642;;;
"Paolo Conte";"Dancing";"Via con me";"1981";"CDM";1749553641;1749553805;"https://www.deezer.com/track/1687086767";"https://open.spotify.com/track/2P2rhs7AtvqUzerhAZDbNu";
"Stella";"Adagio";"Can I say";"2025";"SUB POP RECORDS";1749553804;1749553947;;"https://open.spotify.com/track/5NEL4BIjJBwHUpgVP6thpS";
"James Mason";"Soul of a nation";"Sweet power your embrace";"1977";"SOUL JAZZ RECORDS";1749553945;1749554264;;;
"Daft Punk";"Random access memories";"Give life back to music";"2013";"SONY";1749554263;1749554533;;"https://open.spotify.com/track/0dEIca2nhcxDUV8C5QkPYb";
"Parcels";"Leave your love";"Leave your love (radio edit)";"2024";"BECAUSE";1749554530;1749554720;;;
"Cole Pulice";"Land's end eternal";"In a hidden nook between worlds I";"2025";"LEAVING RECORDS";1749554720;1749555020;"https://www.deezer.com/track/3175301111";"https://open.spotify.com/track/6F3HhO5MUqXjVMrS0ma5Py";"https://music.apple.com/fr/album/in-a-hidden-nook-between-worlds-i/1789228850?i=1789228853&uo=4"
"Radiohead";"OK Computer";"Let down";"1997";"PARLOPHO";1749555020;1749555317;"https://www.deezer.com/track/138539979";"https://open.spotify.com/track/2fuYa3Lx06QQJAm0MjztKr";"https://music.apple.com/fr/album/let-down/1097861387?i=1097861834&uo=4"
"Daniela Pes";"Spira";"Carme";"2023";"TANCA";1749555315;1749555628;"https://www.deezer.com/track/2179266017";"https://open.spotify.com/track/7MHXBGx57HGguI8xcMzuB7";"https://music.apple.com/fr/album/carme/1675869496?i=1675869508&uo=4"
"Moondog";"In Europe";"Chaconne C";"1978";"KOPF";1749555625;1749555800;"https://www.deezer.com/track/135740652";;
"Mouloudji";"Chansons d'auteurs";"La complainte de la butte";"1956";"POLYGRAM";1749555799;1749555958;"https://www.deezer.com/track/91036977";;"https://music.apple.com/fr/album/la-complainte-de-la-butte/1749572607?i=1749573929&uo=4"
"Kyrie Kristmanson";"Origin of stars";"Oh,Montmartre";"2010";"NO FORMAT";1749555958;1749556111;;;
"Tim Buckley";"Starsailor";"Moulin rouge";"1970";"RHINO RECORD";1749556109;1749556225;"https://www.deezer.com/track/747679";"https://open.spotify.com/track/3OoiGbQTQXqyBvyqiqW6hi";"https://music.apple.com/fr/album/moulin-rouge/110692372?i=110692188&uo=4"
"The French Touch Connection";"Microsillon";"French cancan";"2013";"";1749556223;1749556420;;;
"Portishead";"Dummy";"Roads";"1994";"GO-BEAT";1749556416;1749556718;"https://www.deezer.com/track/982668";"https://open.spotify.com/track/2sW8fmnISifQTRgnRrQTYW";
"Bad Bunny";"Debi tirar mas fotos";"Dtmf";"2025";"RIMAS";1749556717;1749556954;"https://www.deezer.com/track/3171003131";"https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya";
"Nujabes";"Modal soul";"Music is mine";"2005";"HYDEOUT PRODUCTIONS";1749556954;1749557211;"https://www.deezer.com/track/2791873072";"https://open.spotify.com/track/45ejirK0hfPnsjgzj3s7gP";
"Gael Rakotondrabe";"Shadow";"The way you look tonight";"2023";"CARAMBA";1749557208;1749557448;"https://www.deezer.com/track/2536735601";;
"Minnie Riperton";"Perfect angel / Adventures in paradise";"The edge of a dream";"1974";"STATESIDE";1749557442;1749557700;"https://www.deezer.com/track/3332287";"https://open.spotify.com/track/057QnNuGXszkuZtMKRZaGH";
"Leon Russell";"The best of Leon Russell";"Of thee i sing";"1971";"DCC COMPACT CLASSIC";1749557692;1749557955;"https://www.deezer.com/track/3532262";"https://open.spotify.com/track/1QZJYclQl5RKn00hZYS5Cm";"https://music.apple.com/fr/album/of-thee-i-sing/1637981608?i=1637982650&uo=4"
"Ensemble Harmonie De New York";"George Gershwin : Un Américain à Paris et Concerto en Fa";"Of thee I sing (com mus) : Ouverture";"2016";"HARMONIA MUNDI";1749557954;1749558148;;;
