"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Francoiz Breut";"Flux flou de la foule";"Mon dedans vs mon dehors";2021;"62TV RECORDS";1708854994;1708855286;"https://music.apple.com/fr/album/mon-dedans-vs-mon-dehors/1562001449?i=1562002562&uo=4";"https://www.deezer.com/track/1327866902";"https://open.spotify.com/track/1ImBdOsgYt0u351FcTm0y3"
"Sven Wunder";"Late again";"Take a break";2023;"PIANO PIANO";1708855285;1708855460;"https://music.apple.com/fr/album/take-a-break/1695571905?i=1695572261&uo=4";"https://www.deezer.com/track/2435667685";"https://open.spotify.com/track/0a3OncBmvyH15J54mxPgpz"
"Nancy Wilson";"Outta sight!";"Spinning wheel";1969;"BLUE NOTE";1708855455;1708855612;;;"https://open.spotify.com/track/3i9xKYbacwBVLMMjie9gsl"
"Benny More Y Su Orq. Gigante";"The original latin beats";"Babarabatiri";;"MR BONGO";1708855611;1708855762;;;
"Unlisted Fanatic";"Ubuntu time / Black man";"Ubuntu time";2023;"DUBQUAKE RECORDS";1708855761;1708855979;;;"https://open.spotify.com/track/46WW1MgYGbJrhOu2Kt01l3"
"Eugene McGuinness";"Chroma";"I drink your milkshake";2014;"DOMINO RECORDING CO LTD";1708855977;1708856120;;;"https://open.spotify.com/track/5SH71Rr0OQv3BgT45Vu1Vr"
"Nicolas Godin";"BOF TV / Au service de la France";"Marie Jo";2018;"BECAUSE";1708856120;1708856217;;;"https://open.spotify.com/track/0hj6LlttTZizCt3hbMC2cB"
"Kacimi";"Couronnes d'éphémères";"Chaine";2023;"LE POP CLUB";1708856216;1708856380;;;"https://open.spotify.com/track/3qQYQ83OM1Uo4pGYd4PQ0t"
"The Kinks";"Face to face";"She's got everything";1966;"SANCTUARY RECORDS";1708856377;1708856565;;;
"Jerry Reed";"Country & Western hit parade - 1970";"Amos moses";1970;"BEAR FAMILY RECORDS";1708856563;1708856700;;;"https://open.spotify.com/track/7zVZF0OgDJkFJohnlKwEpa"
"Anderson .Paak";"Malibu";"Put me thru";2016;"STEEL WOOL";1708856699;1708856860;;;"https://open.spotify.com/track/70SjyVMzhmMeJQD8hOmIBp"
"Thes One";"Farewell, my friend.";"The bell tolls for people under the stairs";2023;"PIECELOCK 70";1708856859;1708857053;"https://music.apple.com/fr/album/the-bell-tolls-for-people-under-the-stairs/1660926670?i=1660927296&uo=4";;"https://open.spotify.com/track/142xvYH7HmzSvnyqdmNyOo"
"Isaac Delusion";"Lost and found";"50 50";2024;"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";1708857051;1708857250;"https://music.apple.com/fr/album/50-50/1716058914?i=1716059432&uo=4";"https://www.deezer.com/track/2537598511";"https://open.spotify.com/track/4Pca3D30BC6r7a8GwrZdb9"
"Tteo";"Lovexpress77";"A Bronx tale";2023;"SONAR KOLLEKTIV";1708857248;1708857375;;;"https://open.spotify.com/track/7uqcOB95LVS7A102piqQ9T"
"Ronnie Moipolai";"I'm not here to hunt rabbits";"Ditakaneng";2018;"PIRANHA / THE VITAL RECORD";1708857373;1708857567;;;
"Vampire Weekend";"Vampire weekend";"Cape cod kwassa kwassa";2008;"XL RECORDS";1708857566;1708857778;;;"https://open.spotify.com/track/1vTBBxcBB2Nb3ezQFRrGFO"
"Wynder K Frogg";"Out of the frying pan";"Harpsichord shuffle";1968;"UNITED ARTISTS";1708857775;1708858010;;;
"Vince Taylor";"Sex : Too fast to live too young to die";"Brand new cadillac";1959;"ONLY LOVERS LEFT ALIVE";1708858009;1708858163;;;
"The Vrooming Crew";"BOF / Laisse-moi respirer";"Laisse moi respirer";2022;"3JT FILMS";1708858162;1708858285;;;
"Sinkane";"Everything is everything (feat. Tru Osborne)";"Everything is everything (feat. Tru Osborne)";2023;"CITY SLANG";1708858283;1708858624;"https://music.apple.com/fr/album/everything-is-everything-feat-tru-osborne/1721050815?i=1721051070&uo=4";;
"Lucienne Renaudin-Vary";"Piazzolla stories";"Chau Paris - arrangement pour trompette et quatuor à cordes";2021;"WARNER CLASSICS";1708858621;1708858787;;;
"Louis Armstrong";"BOF / Un début prometteur";"Kiss of fire";1952;"GAUMONT";1708858786;1708858970;"https://music.apple.com/fr/album/kiss-of-fire/395617811?i=395618564&uo=4";;
"Johnny Cash";"The legend of Johnny Cash";"Ring of fire";1963;"LOST HIGHWAY";1708858969;1708859124;;;"https://open.spotify.com/track/6YffUZJ2R06kyxyK6onezL"
"Jr. Thomas And The Volcanos";"Beware";"Burning Fire";2015;"TRUTH & SOUL RECORDS";1708859122;1708859404;;;
"Satellite Jockey";"Plays music !";"Mouvement II";2024;"ANOTHER RECORD";1708859403;1708859630;"https://music.apple.com/fr/album/mouvement-ii/1723859973?i=1723861113&uo=4";"https://www.deezer.com/track/2605530892";"https://open.spotify.com/track/3eI3Fb3QvrTjAG5YJuOH6t"
"Flavien Berger";"Dans cent ans";"Nouveau nous";2023;"PAN EUROPEAN RECORDING";1708859504;1708859750;;"https://www.deezer.com/track/2127521367";"https://open.spotify.com/track/7FBdOOE7SnAgxf3SApYqNS"
"Gil Scott Heron";"The best of";"Winter in America";1975;"ARISTA";1708859738;1708860110;;;
"Zelia Barbosa";"Bossa Nova and the rise of brazilian music in the 1960's";"Carcara";1969;"SOUL JAZZ RECORDS";1708860103;1708860218;;;
"Pierre Daven-Keller";"Kino music";"Melancholia";2019;"KWAIDAN";1708860211;1708860353;;;"https://open.spotify.com/track/0nETqfZitSEcGMAL3giIPV"
"Bnqt";"Volume 1";"Hey banana";2017;"BELLA UNION";1708860351;1708860579;;;"https://open.spotify.com/track/5yQT05APTSs77J21U3hrYD"
"Donna Blue";"Into the realm of love";"Aphrodite";2024;"SNOWSTAR RECORDS";1708860577;1708860771;"https://music.apple.com/fr/album/aphrodite/1716580886?i=1716580887&uo=4";"https://www.deezer.com/track/2633554222";"https://open.spotify.com/track/0P5nTITAjeIffCJIg2Ld5Y"
