"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Bnny";"One million love songs";"Crazy, baby";2024;"FIRE TALK";1711015094;1711015231;"https://open.spotify.com/track/2MTsoMiLXxJQz9qfVjw32G";;
"Lucille Mapp";"Tropical britxotica";"On treasure island";1957;"TRUNK";1711015230;1711015385;;;
"Alain Romans";"Jacques tati / Sonorama";"Quel temps fait-il à Paris ?";1953;"NAIVE RECORDS";1711015379;1711015515;;"https://www.deezer.com/track/86185091";
"Oxmo Puccino";"Opéra puccino";"Alias jon smoke";1998;"DELABEL";1711015514;1711015709;;;
"DJ Harrison";"Shades of yesterday";"Lil birdie";2024;"STONES THROW RECORDS";1711015708;1711015902;"https://open.spotify.com/track/3ZlM3jTgrfTYp7AlASBJm4";"https://www.deezer.com/track/2411231885";
"Drugdealer";"Hiding in plain sight";"Madison";2022;"MEXICAN SUMMER";1711015899;1711016119;"https://open.spotify.com/track/10WDCU0ey0CJXE43aaJVcm";"https://www.deezer.com/track/1743531897";
"Laena Myers";"LUV (Songs of yesterday)";"Strong";2024;"TAXI GAUCHE RECORDS";1711016118;1711016271;"https://open.spotify.com/track/1Yzzi08kQaHRWCpw1cptM3";;"https://music.apple.com/fr/album/strong/1727659188?i=1727659195&uo=4"
"The Mighty Terror";"Anthony Joseph's Trinidad music sampler";"Steelband Jamboree";2014;"HEAVENLY SWEEETNESS";1711016267;1711016482;;;
"Bacao Rhythm & Steel Band";"BRSB";"Stranger things theme";2024;"BIG CROWN RECORDS";1711016481;1711016682;"https://open.spotify.com/track/3JWsFDrB4xgmIsPkgPKPE7";;
"Kate Bush";"The whole story";"Running up that hill";1985;"EMI";1711016678;1711016968;;;
"Geoffrey Landers";"1 by 1";"Camella";1987;"MUSIC FROM MEMORY";1711016964;1711017221;;;"https://music.apple.com/fr/album/camella/1486344028?i=1486344035&uo=4"
"Adi Oasis";"Lotus glow";"Get it got it";2023;"UNITY GROUP";1711017219;1711017463;"https://open.spotify.com/track/1PJZoofwSD9VJ4HmIFIJZy";"https://www.deezer.com/track/2071647197";"https://music.apple.com/fr/album/get-it-got-it-mixed/1693901733?i=1693901741&uo=4"
"Hemai";"Strange beauty";"Gone surfing";2021;"TRU THOUGHTS";1711017460;1711017651;"https://open.spotify.com/track/1KFFyrdaqdcF27NaTNfoCM";"https://www.deezer.com/track/1245191152";
"Beck";"Odelay";"Where it's at";1996;"GEFFEN";1711017650;1711017973;"https://open.spotify.com/track/0myfUjrUP8kMrk48nOXAY0";"https://www.deezer.com/track/971422902";
"Jaseur";"Tour de kapla";"Billet (feat. Leya)";2024;"LA SOUTERRAINE";1711017966;1711018129;;;
"Erasmo Carlos";"Carlos Erasmo e Os Tremendões";"Sentado a beira do caminho";1970;"LIGHT IN THE ATTIC";1711018128;1711018400;"https://open.spotify.com/track/3638NFIeIELdUVRH2r4IF5";;
"Wilson Simonal";"Samba soul 70 !";"Não vem que não tem";1968;"PLYGRAM";1711018390;1711018541;;;
"Okvsho";"A place between us";"""""Okusho""""";2024;"CURRENT MOVES";1711018540;1711018751;;;
"Allysha Joy";"Arcadie raw";"Fnfl";2018;"GONDWANA";1711018751;1711019032;"https://open.spotify.com/track/69xguOaJXhrBVclXHRNTT9";;
"Mud";"Mud";"Funky swine";1995;"EPIC";1711019027;1711019373;"https://open.spotify.com/track/6OYqb4Zqtfj3V1LBPnEteX";;
"Jeanne Moreau";"Le tourbillon";"Tout ce que je veux";1966;"POLYGRAM";1711019369;1711019470;;;
"Up Bustle And Out";"Light  em up, blow em out";"Emerald Alley";1997;"NINJA TUNE";1711019468;1711019822;;;
"The Rolling Stones";"Big hits vol 2/Through the past, darkly";"Paint it black";1966;"LONDON";1711019820;1711020021;;;
"Donna Blue";"Into the realm of love";"Aphrodite";2024;"SNOWSTAR RECORDS";1711020016;1711020211;"https://open.spotify.com/track/0P5nTITAjeIffCJIg2Ld5Y";"https://www.deezer.com/track/2633554222";"https://music.apple.com/fr/album/aphrodite/1716580886?i=1716580887&uo=4"
"Bobby Oroza";"Get on the otherside";"I got love";2022;"BIG CROWN RECORDS";1711020209;1711020441;"https://open.spotify.com/track/00vfnhLSWHOtbfV2gaCNcQ";;
"Cotonete";"Victoire de la musique";"Satori";2024;"Heavenly Sweetness";1711020438;1711020810;"https://open.spotify.com/track/1UenMsY8e0zIUh0l9izvLw";;
"Schoolboy Q";"Blue lips";"Blueslides";2024;"TOP DAWG ENTERTAINMENT";1711020800;1711021028;"https://open.spotify.com/track/7u1P36qRqrSNrXAp98cyp1";;
"Chris Rea";"On the beach";"On the beach";1986;"MAGNET";1711021021;1711021323;"https://open.spotify.com/track/0fJMNr4wzaVWNM2nb9hdqx";"https://www.deezer.com/track/425956582";
"Goya";"Psychemagik presents magik cyrkles";"House at the sea (Psychemagik edit)";2012;"LENG RECORDS";1711021309;1711021721;;;
"Jean Vernheres";"Héritage mélodies";"Haumea city";2024;"Black Stamp Music";1711021713;1711022040;"https://open.spotify.com/track/6TilC2M07imsSwxwuwWEWL";;
"Terrain Vague";"Béguin";"Sinusoïdal";2022;"LISBON LUX RECORDS";1711022038;1711022212;"https://open.spotify.com/track/0jUd0WCKDml7h5EDrJX9Rk";"https://www.deezer.com/track/2226503797";
"Cz Wang & Neo Image";"Just off wave (feat. Separated at Birth) / Open mic beat";"Just off wave (feat. Separated at Birth)";2019;"MOOD HUT";1711022212;1711022424;;;
"Exploding Pig";"Jazz futura";"Britney is locked up now";2024;"PLANET ARTS";1711022422;1711022609;;"https://www.deezer.com/track/1286128522";
"Brittany Davis";"Image issues";"Goons";2024;"LOOSEGROOVE RECORDS";1711022607;1711022727;"https://open.spotify.com/track/62U2IWdhEdNyyKWRZyF614";"https://www.deezer.com/track/2537983701";
"Veda Brown";"Compil./ Roof & trocadero present/Fever";"Fever";1968;"TROCADERO RECORDS";1711022727;1711022913;;;
"Symarip";"The story of Trojan records : 25 big ones - UK hits / CD1";"Skinhead moonstomp";1970;"TROJAN RECORDS";1711022911;1711023089;;"https://www.deezer.com/track/131291700";
"Bazbaz";"Le boss (captain cumbia reboot)";"Le boss (captain cumbia reboot)";2023;"MENILMONTANT PRODUCTIONS";1711023087;1711023226;;;
"Switch Groov Exp.";"La musique en vérité";"Dirty boogaloo (Suonho be afraid rejam)";2011;"BAB MUSIQUE";1711023225;1711023415;;;
"Will Butler";"Policy";"Anna";2015;"MERGE RECORDS";1711023412;1711023643;"https://open.spotify.com/track/3kLoIn11v4lQJHVXhjp8ZO";;
"Robert Palmer";"Addictions - vol.1";"Johnny and Mary";1980;"ISLAND, ISLD";1711023640;1711023877;"https://open.spotify.com/track/0ldTcpmFsxEASGiBBIfVLW";"https://www.deezer.com/track/610867942";
"April March";"Paris In April";"While we're young";1995;;1711023874;1711024021;;"https://www.deezer.com/track/2147710057";
"Charles Danet";"Melanchomedy";"I wish I'll become a cowboy";2024;;1711024019;1711024177;"https://open.spotify.com/track/77zp7fwUP4mm0HHjnsEfKS";"https://www.deezer.com/track/2621449582";
"Shyguy";"Wait, what. Now ?";"Heard this before";2024;"TRU THOUGHTS";1711024170;1711024361;"https://open.spotify.com/track/2J5CgGcCLdaS21vEpmkYSx";"https://www.deezer.com/track/2524619631";"https://music.apple.com/fr/album/heard-this-before-instrumental/1715031729?i=1715032172&uo=4"
"Mayer Hawthorne";"The Walk";"The walk";2011;"UNIVERSAL";1711024357;1711024576;"https://open.spotify.com/track/7tBZa65xUKMMan9tIMPqbi";"https://www.deezer.com/track/13832477";
"Marinero";"Hella love";"Through the fog";2021;"HARDLY ART / MODULOR";1711024572;1711024770;"https://open.spotify.com/track/1KD1vwFKLVq0ruKQKNC8xS";"https://www.deezer.com/track/1231063982";
"Trio SR9";"Alors on danse";"Le Prince Igor : Danses polovtsiennes (Acte II) : 3. Allegro - arrangement pour trio de marimbas";2018;"NAIVE CLASSIQUE";1711024765;1711024891;;;
"Jacques Higelin";"Champagne pour tout le monde";"Cayenne c'est fini";1985;"EMI";1711024891;1711025177;;"https://www.deezer.com/track/365928901";
"Sam Cooke";"The man who invented soul";"Chain Gang";1960;"RCA";1711025170;1711025329;;"https://www.deezer.com/track/1100573672";
"Meiko Kaji";"Hajiki uta";"Betuni doutte koto demo naishi";1973;"WEWANTSOUNDS";1711025328;1711025490;;;
"Tadaaki Misago";"Wamono A to Z / Vol. 1";"Jongara reggae";;"180G";1711025485;1711025702;;;
"Sons Of Zoku";"Endless";"Kuhnoo";2024;"AUTO PRODUTION";1711025700;1711025932;"https://open.spotify.com/track/6swYsMhP2DQ630ELM2vfTQ";"https://www.deezer.com/track/2636010762";"https://music.apple.com/fr/album/kuhnoo/1727907650?i=1727907654&uo=4"
"Andrew Gabbard";"Colemine Records Presents : Brighter Days Ahead";"Cloud of smoke";2021;"COLEMINE RECORDS";1711025927;1711026120;"https://open.spotify.com/track/3ZfGFTk2Kv08PuDT9Qfl66";;"https://music.apple.com/fr/album/cloud-of-smoke/1579944607?i=1579944608&uo=4"
"Feist";"The reminder";"The Limit To Your Love";2007;"POLYDOR";1711026118;1711026377;"https://open.spotify.com/track/5ApxZEQ1u6BhPrqeolLi6K";"https://www.deezer.com/track/1176220";
"Sven Wunder";"Sun-Kissed";"Sun-kissed";2022;"PIANO PIANO RECORDS";1711026375;1711026627;;;
"Thievery Corporation";"Lebanese Blonde";"Lebanese blonde (french)";1998;"4AD";1711026625;1711026909;;;
"Janko Nilovic";"Underdog records collection / Vol.1";"Pop impressions";1972;"UNDERDOG RECORDS";1711026901;1711027091;;;
"The Who";"My generation";"Anyway anyhow anywhere (alternate)";1965;"MCA RECORDS";1711027090;1711027251;;;
"Blundetto";"Bof Tv / VTC";"L'espace";2021;"LES RYTHMES RUBAN";1711027250;1711027415;"https://open.spotify.com/track/0u9MfJhJ7IT4ugSYKqlRgx";"https://www.deezer.com/track/1515855602";
"Aziza Brahim";"Mawja";"Ljaima likbira";2024;"GLITTERBEAT RECORDS";1711027407;1711027612;"https://open.spotify.com/track/2m5mmqF5KeWmvKGGWLQ6WJ";"https://www.deezer.com/track/2547834982";"https://music.apple.com/fr/album/ljaima-likbira/1717174112?i=1717175500&uo=4"
"Bill Wyman";"Groovin'";"Daydream";2000;"RIPPLE RECORDS";1711027609;1711027856;;;
"Louis Armstrong";"C'est si bon";"Dream a little dream of me";1950;"MCD";1711027853;1711028036;;;
"Orchestre Philharmonique De Stuttgart";"Move : the trumpet as movie star";"La nuit américaine : Grand choral";2022;"HARMONIA MUNDI";1711028036;1711028165;;;
"The Reed Conservation Society";"La société de préservation du roseau";"Pylônes";2024;"VIOLETTE RECORDS";1711028164;1711028400;"https://open.spotify.com/track/3vokpR7RUZDz8IFhMdot62";"https://www.deezer.com/track/2641380532";
"Kloyd";"Eye of it all (feat. t l k)";"Eye of it all (feat. t l k)";2024;"CROOS COUNTRY";1711028396;1711028657;;;
