"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Gladys Knight And The Pips";"I'm a good woman";"Who is she (and what is she to you)";1973;"HARMLESS";1710323769;1710324017;;;
"Whatitdo Archive Group";"The cashmere chamber";"The cashmere chamber";2023;"RECORD KICKS";1710324012;1710324219;"https://open.spotify.com/track/7jZipacsw4mnuqBy9O4dWG";;
"Wings";"Wings at the speed of sound";"Let 'em in";1973;"PARLOPHONE";1710324216;1710324524;;;
"Tea Eater";"Obsession";"Obsession";2023;"A DIAMOND HEART PRODUCTION / AMETHYST TRAX / LA FAM RECORDINGS";1710324521;1710324716;"https://open.spotify.com/track/5m3ChkCU9zew2fb64d2JFX";;
"Digable Planets";"Reachin' (a new refutation of time and space)";"La femme fétal";1993;"PENDULUM REC";1710324714;1710324990;"https://open.spotify.com/track/12oF4FqYEr9dLX0DxqwyXN";"https://www.deezer.com/track/3440377";
"Jason Mac Guiness & Matthew Little";"Passages";"Rider";2020;"COMMON GOOD RECORDS";1710324988;1710325196;;;
"Shyguy";"Wait, what. Now ?";"Long time";2024;"TRU THOUGHTS";1710325194;1710325379;"https://open.spotify.com/track/7sLTMYLe1CjV3nG3z5QpH3";;
"Massive Attack";"Blue lines";"Be thankful for what you've got";1990;"CIRCA RECORDS";1710325374;1710325617;;;
"The Poets Of Rhythm";"Anthologie 1992-2003";"Smilin' (White you're crying)";2013;"DAPTONE";1710325615;1710325851;;;
"Bobby Timmons";"This here is Bobby Timmons";"This here";1960;"RIVERSIDE";1710325847;1710326058;"https://open.spotify.com/track/0f8SuVenkSwghjIu5E0aDb";;
"The Motifs";"I'm the one you love";"Take mine";2023;"DAISART";1710326056;1710326194;"https://open.spotify.com/track/0T1E0zOQVOUasWZmwsO6wY";;
"Edith Piaf";"Integrale 1946-1963 vol.7";"Non, je ne regrette rien";1956;"EMI";1710326195;1710326337;;"https://www.deezer.com/track/3156614";
"Cousin Kula";"Vitamin D";"Poisoned";2024;"RHYTHM SECTION ITNL.";1710326335;1710326576;"https://open.spotify.com/track/7bGLXkn45QhUOPGj8m3oDO";"https://www.deezer.com/track/2555455362";
"Henry Mancini";"The music from Peter Gunn";"Peter Gunn";2010;"AMERICAN JAZZ CLASSICS";1710326573;1710326699;"https://open.spotify.com/track/4RxFlIA7YTyy7l1FHTZtyZ";;
"Asaf Avidan";"Gold shadow";"A part of this";2015;"UNIVERSAL MUSIC GMBH";1710326699;1710326917;"https://open.spotify.com/track/0VG8wQIlxcIQgGIzNKYcxB";;
"Charles Gounod (Compositeur)";"French Touch";"Roméo et Juliette : Je veux vivre dans ce rêve (Acte I) Air de Juliette ( Valse de Juliette )";2003;"Decca";1710326917;1710327130;;;
"Fairuz";"Wala kalif";"Sabah wu masa";2002;"VIRGIN";1710327122;1710327399;;;
"Stan Getz";"Jazz samba encore!";"So Danco Samba (I Only Dance Samba)";1963;"VERVE";1710327398;1710327613;;;
"Brittany Howard";"Jaime";"Baby";2019;"COLUMBIA";1710327610;1710327757;"https://open.spotify.com/track/4GEp9r7rY5BG7vn1pUnjyH";"https://www.deezer.com/track/2482421181";
"Hannah Jadagu";"Aperture";"Six months";2023;"SUB POP RECORDS";1710327754;1710327935;"https://open.spotify.com/track/0z3c0DJw9vqwO1joIUcNh7";;"https://music.apple.com/fr/album/six-months/1668208116?i=1668208119&uo=4"
"Lee Perry";"King Perry";"The person I am";2024;"FALSE IDOLS";1710327933;1710328169;;;
"Majoie Hajary";"Fusion global sounds (1970-1983) selected by Charles Maurice";"Prologue";2022;"FAVORITE RECORDINGS";1710328168;1710328405;;;
"Of Montreal";"Cherry peel";"When you'r loved like you are";1997;"BAR NONE RECORDS";1710328404;1710328556;;;
"Jackie Shane";"Any other way";"Comin' down";1963;"NUMERO GROUP";1710328553;1710328708;"https://open.spotify.com/track/6IKVrI3dGHr9sTifS9jf8m";;
"Kcidy";"Quelque chose de bien";"Soudain une envie";2024;"VIETNAM";1710328705;1710328892;"https://open.spotify.com/track/6ZP2gVcBEjV4oMpaLZhkjI";;
"Thea";"Leave a scar";"Leave a scar (instrumental)";2024;"AUTOPRODUCTION";1710328887;1710329140;"https://open.spotify.com/track/7ljKplGlRsWJIStlgCHRGK";;
"D Angelo";"Voodoo";"Chicken grease";1999;"EMI";1710329135;1710329412;;;
"Bloom Bat";"Honeist weirdo";"Drifting away";2024;"AUTOPRODUCTION";1710329408;1710329637;"https://open.spotify.com/track/3hspLYrhYyM6F1Y4j1bDEg";;
"Erika De Casier";"Still";"Home alone";2024;"4AD";1710329631;1710329839;"https://open.spotify.com/track/3L4xlzfNLq2F3NaGasKc9i";"https://www.deezer.com/track/2641220272";"https://music.apple.com/fr/album/home-alone/1712085894?i=1712085898&uo=4"
"Piero Piccioni";"La musica di Piero Piccioni (vol.1)";"Easy lovers";1998;"BACCI BROS RECORDS";1710329833;1710330055;"https://open.spotify.com/track/4u307txePIagFC4K67AdBA";;
"Dinah Washington";"Complete  Dinah Washington vol 10 1953-1954";"One arabian night";1954;"OFFICIAL";1710330054;1710330201;;;
"Ruppert Pupkin";"Je liquide";"Toutes les nuits";2023;"MARTINGALE MUSIC";1710330201;1710330397;;;
