"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Finom";"Not god";"Haircut";"2024";"JOYFUL NOISE RECORDINGS";1717185395;1717185651;"https://open.spotify.com/track/6A4v5h1BB6tUYGD20AmL4e";;
"The Clash";"The Clash";"Complete control";"1977";"EPIC";1717185645;1717185837;;"https://music.apple.com/fr/album/complete-control/688793621?i=688798390&uo=4";
"The B-52's";"Play loud";"52 Girls";"1979";"WARNER";1717185836;1717186053;"https://open.spotify.com/track/0hV8cbzJubHKLSFIsBnYUo";"https://music.apple.com/fr/album/52-girls/1440816774?i=1440816787&uo=4";
"Yvana";"Trans Europe Express vol. 1";"Allez viens";"1982";"MONOLITH RECORDS";1717186046;1717186228;;;"https://www.deezer.com/track/778890792"
"John Davis & The Monster Orchestra";"Sam Records : The sound of New York City 1975 - 1983";"I can't stop";"1976";"EDSEL";1717186222;1717186640;;"https://music.apple.com/fr/album/i-cant-stop/383386216?i=383389072&uo=4";
"Corraleros De Majagual";"The afrosound of Colombia volume 1";"Los sabanales";"1966";"Vampi Soul";1717186639;1717186802;;;
"Diogo Strausz";"Flexivel";"Flexivel";"2023";"CRACKI RECORDS";1717186798;1717187010;"https://open.spotify.com/track/0vqylBHXB7Mz3LCdhA9cAS";"https://music.apple.com/fr/album/flex%C3%ADvel-extended/1733031708?i=1733031711&uo=4";
"Chaka Demus And Pliers";"Tease Me";"Murder she wrote";"1992";"MANGO";1717187009;1717187257;;;
"Pigbag";"Compil/12 """"/80s/Vol.2";"Papa's got a brand new pigbag (12"""" mix)";"1981";"FAMILY RECORDS";1717187251;1717187609;;;
"Kuna Maze";"I Told U";"I Told U (feat Steve Spacek) (XL Regular remix)";"2024";"TRU THOUGHTS";1717187603;1717187881;;;
"L'Imperatrice";"Pulsar";"Amour ex machina";"2024";"MICROQLIMA";1717187880;1717188126;"https://open.spotify.com/track/4ltd62ynuUWoZza9cSSljg";"https://music.apple.com/fr/album/amour-ex-machina/1736766809?i=1736767076&uo=4";
"Ac Soul Symphony";"Metamorphosis";"I want to see you dance";"2023";"Z RECORDS";1717188116;1717188669;"https://open.spotify.com/track/1COHgBjC5NB4bd7jCt4m53";"https://music.apple.com/fr/album/i-want-to-see-you-dance/1708292089?i=1708292091&uo=4";"https://www.deezer.com/track/2422117325"
"Heavy D";"Radio rap";"This is your night";"1994";"VIRGIN";1717188666;1717188871;;;"https://www.deezer.com/track/1730434447"
