"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"SHARON JONES";"I learned the hard way";"GIVE IT BACK";"2010";"DIFFERANT";1729331922;1729332124;;;
"Delvon Lamarr Organ Trio";"I told you so";"Aces";"2021";"COLEMINE RECORDS";1729332113;1729332394;"https://open.spotify.com/track/3mGjvlKYK7BSsKICRtUaBz";;
"Fela Kuti";"Anthology 1";"Water no get enemy";"1975";"UNIVERSAL";1729332394;1729333052;"https://open.spotify.com/track/4fGbjbqR2psf6zgwwBPecd";"https://music.apple.com/fr/album/water-no-get-enemy/662873879?i=662873883&uo=4";"https://www.deezer.com/track/64321063"
"Cathy Hayes";"It's all right with me";"The angels sing";"1959";"FRESH/SO";1729333051;1729333247;;;
"Erik Truffaz";"Rollin'";"Quel temps fait-il à Paris ?";"2023";"BLUE NOTE";1729333243;1729333424;"https://open.spotify.com/track/6cDXL3OgPQ6kAVtg4oI6Wm";;
"Christiane Karg";"Verwandlung / Lieder eines Jahres";"3 Lieder op 12 : Er ist gekommen in Sturm und Regen op 12 n°2";"2010";"BERLIN CLASSICS";1729333420;1729333582;;;
"Jarvis Cocker";"The jarvis cocker record";"Heavy weather";"2006";"BECAUSE";1729333581;1729333810;"https://open.spotify.com/track/0YyjfFJiPp2TgrIniZZQDY";;
"Sara-Danielle";"ReRUN";"Rerun";"2024";"SIMONE RECORDS";1729333800;1729333999;"https://open.spotify.com/track/6CmIhDAVlqIqWCCWLXbqoA";;
"Cesar Precio";"La suite logique des choses";"Solitude mon amour";"2024";"OBJET DISQUE - LABEL SERVICE";1729333996;1729334285;"https://open.spotify.com/track/3qi4DH7FPlXMjp6cFdFcLc";;
"Cesar Precio";"La suite logique des choses";"Moitié lune, moitié soleil (ouverture)";"2024";"OBJET DISQUE - LABEL SERVICE";1729334283;1729334448;"https://open.spotify.com/track/21Y7H0fBm6kXFBAbVdJ8gv";"https://music.apple.com/fr/album/moiti%C3%A9-lune-moiti%C3%A9-soleil-ouverture/1764985595?i=1764985607&uo=4";"https://www.deezer.com/track/2964593781"
"Ramp";"Sweet 70's soul groove";"Everybody loves the sunshine";"1976";"POLYDOR";1729334445;1729334664;;;
"Mel & Tim";"Mel & Tim";"Keep the faith";"1973";"BGP RECORDS";1729334656;1729334892;"https://open.spotify.com/track/3eMj1DOJaA5kJAZdIfaSKp";"https://music.apple.com/fr/album/keep-the-faith/1443785650?i=1443786144&uo=4";
"T.T. Ross";"The lovers rock story (the best of the early years)";"Jealousy";"1976";"KICKIN MUSIC";1729334883;1729335066;;;
"Compro Oro";"Suburban exotica";"Baobab";"2019";"SDBAN";1729335064;1729335204;"https://open.spotify.com/track/5vgiKpjDKkcwSfBf1x3w8X";;
"Marmaduke";"ceux qui savent s’observer eux même";"Substance";"2024";"6.52REC";1729335203;1729335454;"https://open.spotify.com/track/6fjYDdKnlohfmdXofvctob";;
"Percheye";"Demi-mesure";"Goodbye";"2023";"B&D PRODUCTION";1729335446;1729335590;"https://open.spotify.com/track/6CftiEG1EE8TR4ccKjITmv";;
"Public Image Limited";"The public image is rotten / Vol. 1 : Singles 1978-2015";"This is not a love song";"1983";"VIRGIN";1729335589;1729335799;;;
"Yan Tregger";"Ducks & drakes";"Friend island";"1978";"BBE";1729335795;1729335999;;;"https://www.deezer.com/track/625895462"
