"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Paco And Flaco And Coco";"Soul jazz records presents / A further fine selection of independent disco modern soul and Boogie 1976-80";"He's here";1980;"SOUL JAZZ RECORDS";1707472478;1707472850;;;
"Gros Coeur";"Gros disque";"Ventre volcan";2023;"JAUNEORANGE / P.I.A.S";1707472848;1707473292;"https://open.spotify.com/track/4eg23ozk5bEyAucqHrhaai";;
"Ponta Preta";"Liquor liquor";"Liquor liquor";2023;"BE RECORDS / ALLO FLORIDE";1707473290;1707473514;"https://open.spotify.com/track/4xHZ6hH2dbPP1lKn5ZLHYQ";;
"Tony Allen";"Jazz is dead / Vol. 18";"Steady tremble";2023;"JAZZ IS DEAD";1707473510;1707473694;"https://open.spotify.com/track/7c1DbzvvFYL0qpUHVmWA6r";;
"Femi Kuti";"Fight to win";"One day someday";2001;"BARCLAY";1707473690;1707474059;;;
"Black Masters Band";"Essiebons special 1973-1984 / Ghana music power house";"Wonnim a bisa";1978;"ANALOG AFRICA";1707474058;1707474389;;;
"Dr. John";"Desitively bonnaroo";"R u 4 real";1974;"ARCOPHON (V.";1707474387;1707474638;"https://open.spotify.com/track/7vOPFzEk0B0FUvYLEWgBiA";"https://music.apple.com/fr/album/r-u-4-real/120999785?i=120999493&uo=4";
"Betty Harris";"The lost queen of new orleans soul";"There's a break in the road";1969;"SOUL JAZZ RECORDS";1707474637;1707474805;"https://open.spotify.com/track/0CokZkflJLq2mE4ZBwpWFw";;
"Medeski Martin And Wood";"Combustication";"Hey-hee-hi-ho";1998;"BLUE NOTE";1707474800;1707474993;;;
"Baron Retif & Concepcion Perez";"Funk";"On fait comment";2023;"MOSTLA / MUSIQUE LARGE";1707474992;1707475232;"https://open.spotify.com/track/0csQIZy0hZjzvcBddxxAiv";"https://music.apple.com/fr/album/on-fait-comment/1685950699?i=1685951217&uo=4";"https://www.deezer.com/track/2266876857"
"Cousin Kula";"Hanging on your lips";"Hanging on your lips";2023;"RHYTHM SECTION INTERNATIONAL";1707475227;1707475393;;;
"King Gizzard & The Lizard Wizard";"The silver cord";"Chang'e";2023;"KGLW";1707475392;1707475619;"https://open.spotify.com/track/3yyagteXLaWUhXcyLWQNGY";;
"Klaus Weiss";"Deutsche Elektronische Musik / Vol. 3 : That's all folks";"Wide open space motion";2018;"SOUL JAZZ RECORDS";1707475618;1707475758;;;
"Kabeaushe";"The coming of gaze";"Intolerance";2022;"HAKUNA KULALA";1707475757;1707475968;;;
"Bonnie Banane";"Franchement";"Franchement";2023;"PECHE MIGNON - GRAND MUSIQUE MANAGEMENT";1707475967;1707476117;;;"https://www.deezer.com/track/2596471692"
"Ada Oda";"Un amore debole";"Niente da offrire";2022;"62TV RECORDS";1707476116;1707476267;"https://open.spotify.com/track/6xgEkKgBOnicDq6tUlrewv";;
"Dick Dale";"This is cult fiction";"Misirlou";1962;"VIRGIN RECOR";1707476266;1707476399;;;"https://www.deezer.com/track/70680870"
"The Cramps";"A date with Elvis";"Aloha from hell";1985;"NEW ROSE";1707476396;1707476548;;;
"Toquinho";"Brazilian beats 2";"Zana";1970;"MR BONGO";1707476542;1707476732;;"https://music.apple.com/fr/album/zana/1085752588?i=1085752816&uo=4";
"Serge Gainsbourg";"Gainsbourg percussions";"Tatoue Jérémie";1964;"MERCURY";1707476729;1707476831;;;
"Daniel Villarreal";"Lados B";"Traveling with";2023;"INTERNATIONAL ANTHEM";1707476830;1707477060;"https://open.spotify.com/track/40fnyTYe620IYxbMllS2xU";;"https://www.deezer.com/track/2357336225"
"Kokoroko";"Could we be more";"We give thanks";2022;"BROWNSWOOD RECORDINGS";1707477059;1707477280;"https://open.spotify.com/track/1whO1RzuS19yG358T4d8G6";"https://music.apple.com/fr/album/we-give-thanks/1614649802?i=1614650358&uo=4";"https://www.deezer.com/track/1822656787"
"Vampire Weekend";"Vampire weekend";"One (blake's got a new face)";2008;"XL RECORDS";1707477275;1707477465;"https://open.spotify.com/track/6iMBQot4ZWbc1judI3x1eG";"https://music.apple.com/fr/album/one-blakes-got-a-new-face/271489741?i=271489766&uo=4";
"Francois And The Atlas Mountains";"L’homme tranquille";"Ayan file";2015;"DOMINO RECORDING CO";1707477465;1707477735;;;
"Tribeqa";"Tribeqa";"Qartel";2007;"UNDERDOG";1707477733;1707478019;"https://open.spotify.com/track/5Bdr0wBcVwS6ISfswEvBXQ";;
"Joe Yorke";"Hopeless";"Man";2023;"RHYTHM STEADY";1707478018;1707478219;"https://open.spotify.com/track/5Wrg6EKleHjSrmjih5AjeF";;
"Hazy Malaze";"Blackout love";"Need somebody";2005;"FARGO";1707478210;1707478481;;;
"Janelle Monae";"The age of pleasure";"Champagne shit";2023;"BAD BOY RECORDS";1707478475;1707478618;"https://open.spotify.com/track/5OhG7shUD0xgQMirbRAipe";"https://music.apple.com/fr/album/champagne-shit/1686979040?i=1686979048&uo=4";
"Surprise Chef";"Friendship";"Talent Stick";2023;"BIG CROWN";1707478617;1707478855;"https://open.spotify.com/track/0vZ1sR0gTUJwx5ugsgSG4Z";"https://music.apple.com/fr/album/talent-stick/1674255460?i=1674255728&uo=4";"https://www.deezer.com/track/2165866807"
"Molly Lewis";"On the lips";"Slinky";2024;"JAGJAGUWAR";1707478851;1707479024;"https://open.spotify.com/track/7C6gEEEwdvez5wXriP7cTV";;
"Cowboy Junkies";"The Trinity session";"Blue moon revisited (song for Elvis)";1988;"BMG";1707479022;1707479290;"https://open.spotify.com/track/1RszdaPPEyHMoTyy0pRBrv";;"https://www.deezer.com/track/2900100"
"Elvis Presley";"Elvis is back";"Reconsider baby";1960;"RCA";1707479285;1707479504;"https://open.spotify.com/track/34K50Idx5EKBEVWkmHZ2IZ";;
"Otis Spann";"Cryin' time";"Cryin' time";1974;"VANGUARD";1707479501;1707479686;;;
"Fishbone";"The psychotic friends nuttwerx";"Shakey ground";2000;"HOLLYWOOD RECORDS";1707479686;1707479907;"https://open.spotify.com/track/7426iYRovqN7S11kQdzVvd";;"https://www.deezer.com/track/477362222"
"Brittany Davis";"Sepricon";"Sepricon";2023;"LOOSEGROOVE RECORDS";1707479903;1707480098;"https://open.spotify.com/track/2FG43kVwZ84Q4o8mbJ2DhC";;
"Los Orioles";"Erotico enthousiaste";"Atmos";2021;"CREAKED RECORDS";1707480098;1707480231;"https://open.spotify.com/track/1AyghC0lQ51yl5VP31EHwI";"https://music.apple.com/fr/album/atmos/1550916659?i=1550917571&uo=4";
"Astral Bakers";"Beautiful everything";"Beautiful everything";2024;"SAGE MUSIC";1707480228;1707480483;"https://open.spotify.com/track/7y2FybBAX1q90Z5QYpfqy1";"https://music.apple.com/fr/album/beautiful-everything/1726190618?i=1726190623&uo=4";
"The Association";"Golden Heebies-Jeebies";"On a quiet night";1967;"EDSEL";1707480479;1707480676;;;
"Gregory Isaacs";"All I have is love : Anthology 1968-1995";"Lonely man";1980;"TROJAN RECORDS";1707480673;1707480848;;;
"Otis Redding";"Sings soul ballads";"Your one and only man";1964;"WEA";1707480845;1707481037;;"https://music.apple.com/fr/album/your-one-and-only-man/995811404?i=995811408&uo=4";
"Stefano Torossi";"BOF TV / Unusual sounds";"Feeling tense";1974;"ANTHOLOGY RECORDINGS / MEXICAN SUMMER";1707481030;1707481281;"https://open.spotify.com/track/6yJ64ERRCMNzHqNlVzpEpC";;
"Julien Daian Quintet";"FIP sacré français !";"Trop c'est trop";2023;"WAGRAM MUSIC";1707481274;1707481437;;;
"Herbie Hancock";"River / The joni letters";"River";2007;"VERVE";1707481435;1707481759;"https://open.spotify.com/track/7M0Od3nNXEdZ58O5FYNVvG";;"https://www.deezer.com/track/1100913"
"Carolyn Sampson";"Carolyn Sampson : Fleurs";"Die Blumensprache op posth 173 n°5 D 519";2015;"BIS";1707481753;1707481886;;;
"Joe Hisaishi";"Bof / Hana-bi";"Hana-bi : Angel";1998;"Polydor";1707481882;1707482042;;;
"Harry Gregson-Williams";"BOF / Metal gear solid 3 : Snake eater (Jeu vidéo)";"Metal gear solid 3 : Snake eater";2004;"KONAMI COMPUTER";1707482040;1707482213;;;
