"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Daniel Caesar";"Do you like me";"Do you like me";2023;"ISLAND DEF JAM";1704794182;1704794408;;;
"War";"Blaxploitation Harlem hustle";"Flying machine";1978;"GLOBAL TELEVISION";1704794407;1704794857;;;
"Chocolate Milk";"Action speaks louder than words";"Action speaks louder than words";1975;"RCA/BMG";1704794853;1704795061;"https://open.spotify.com/track/2vMMyG4iw5OppGOh23kXIe";;
"Ferdi";"Romance";"Beach wear";2023;"DABEULL RECORDS";1704795058;1704795217;"https://open.spotify.com/track/0RFkTMEhiqcekL5JNFPdad";;
"Shirley Hurt";"Shirley Hurt";"Problem child";2023;"MELODIC RECORDS";1704795213;1704795435;;;
"Beastie Boys";"Hello nasty";"Song for junior";1998;"CAPITOL";1704795431;1704795659;;"https://music.apple.com/fr/album/song-for-junior/778831487?i=778831650&uo=4";
"Elli Medeiros";"Toi mon toit ... Etc";"Toi mon toit";1986;"BARCLAY";1704795655;1704795872;;;"https://www.deezer.com/track/1224711682"
"Gfh";"No rush";"Mamayeo";2023;"PLANET TRIP RECORDS";1704795870;1704796201;"https://open.spotify.com/track/4208YqIktYI3z1PrETuFQ0";;
"Kiledjian";"The otium mixtape";"Dlo (feat. Celia Wa)";2024;"UNDERDOG RECORDS";1704796200;1704796417;;"https://music.apple.com/fr/album/dlo-feat-c%C3%A9lia-wa/1714815918?i=1714816546&uo=4";
"Coco Bryce";"Point Of No Return";"Cantaloop";2023;"MYOR";1704796417;1704796545;"https://open.spotify.com/track/7cTsa6H05N21IjAYkXf8v7";;
"Cold Blood";"What it is ! Funky soul and rare grooves";"Kissing My Love";1973;"RHINO";1704796542;1704796906;"https://open.spotify.com/track/1uYFjXYe431Stwmapureka";;
"The Meters";"New orleans funk";"Just kissed my baby";1974;"SOUL JAZZ RE";1704796905;1704797186;"https://open.spotify.com/track/1TB0dZqFRQsnf4fLLLRKQV";"https://music.apple.com/fr/album/just-kissed-my-baby/59401178?i=59401146&uo=4";"https://www.deezer.com/track/735688"
"Maple Glider";"Don't kiss me";"Don't kiss me";2023;"PARTISAN";1704797179;1704797422;"https://open.spotify.com/track/1McHcvwDYzg4VYyP7jdfvg";;
"The Durutti Column";"The best of the Durutti Column";"Lips that would kiss";2004;"WARNER";1704797415;1704797640;;;
"Kate Bollinger";"J’aime les filles";"J'aime les filles";2023;"GHOSTLY INTERNATIONAL";1704797640;1704797832;"https://open.spotify.com/track/6GiwLIxSRc3bEBaLj2RPjK";;
"Eden Ahbez";"Eden's island";"Full moon";1959;"COLLECTORS C";1704797831;1704798004;;;"https://www.deezer.com/track/3659521"
"Marie Fabi";"Dvorak Poulenc Grieg : Sonates pour vibraphone et piano";"Sonatine en Sol Maj op 100 B 183 : Larghetto - arrangement pour vibraphone et piano";2009;"DISQUES XXI-21 RECORDS";1704798004;1704798243;;;
"Creedence Clearwater Revival";"Bayou country";"Born on the bayou";1969;"FANTASY";1704798243;1704798658;"https://open.spotify.com/track/587bVBCHYW5Q2VNRLig4AS";"https://music.apple.com/fr/album/born-on-the-bayou/1440925821?i=1440926253&uo=4";
"John Mayall";"Bluesbreakers with Eric Clapton";"All your love";1966;"DERAM";1704798552;1704798765;;;
