"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Angelo Badalamenti";"B.O.F. / Mulholland drive";"Pretty 50s";"2001";"BLUE NOTE";1742362895;1742363077;;;
"Sam Cooke";"The man who invented soul";"Get yourself another fool";"1963";"RCA";1742363071;1742363313;"https://music.apple.com/fr/album/get-yourself-another-fool/304822017?i=304822024&uo=4";"https://www.deezer.com/track/104152860";"https://open.spotify.com/track/6X4cYTbSlb1xSS4WEMbDGm"
"George Benson";"The very best of";"Nature boy";"1977";"WB";1742363316;1742363568;"https://music.apple.com/fr/album/nature-boy/265609052?i=265609058&uo=4";"https://www.deezer.com/track/3822141";"https://open.spotify.com/track/2TeYqtSnWGOeo6hbhybmng"
"Loy Ehrlich";"Les îles du désert";"Bonne route";"1993";"TANGRAM";1742363560;1742363835;;"https://www.deezer.com/track/2857346882";
"Sting";"Songs from the labyrinth";"Clear or cloudy";"2006";"DEUTSCHE GRAMMOPHON";1742363827;1742363994;;"https://www.deezer.com/track/1575956";"https://open.spotify.com/track/4qEyE5IdEO8E9QZe1Ypgu5"
"Pascal Comelade";"Best-off 2005-1992...";"Sense el resso del dring";"2006";"BECAUSE";1742363993;1742364140;;"https://www.deezer.com/track/13424225";"https://open.spotify.com/track/641qnGuI5rUaQX3G0YgXwB"
"Tiao Neto";"Outro Tempo II";"Carrousel";"1992";"MUSIC FROM MEMORY";1742364136;1742364366;;;
"Claude Nougaro";"Africa Brasil / Integrale  vol. 4";"Pommier de paradis";"1973";"MERCURY";1742364365;1742364592;"https://music.apple.com/fr/album/pommier-de-paradis/1443183602?i=1443183609&uo=4";"https://www.deezer.com/track/75298302";"https://open.spotify.com/track/2PtT2hduO4kGLYNDG0DS5W"
"Leon Russel";"A song for you";"Pisces apple lady";"1969";"SHELTER";1742364591;1742364760;;;
"Peggy Lee";"Moon flowers / The collection 1952-54 All the singles & two complete albums";"Apples, peaches and cherries";"1953";"REV-OLA";1742364756;1742364960;;"https://www.deezer.com/track/980837502";
"Nelson Freire";"Nelson Freire interprète Bach";"Suite anglaise n°3 en sol min BWV 808 : Gavottes I et II";"2016";"DECCA";1742364960;1742365161;;;
"Elliott Smith";"Xo";"Baby britain";"1998";"DREAMWORKS RECORDS";1742365161;1742365352;"https://music.apple.com/fr/album/baby-britain/1474991926?i=1474992068&uo=4";"https://www.deezer.com/track/2532674";"https://open.spotify.com/track/3pwj90XGAD6I0jO3q6fkCx"
"VV Brown";"Am I British yet ?";"No fear";"2023";"YOY RECORDS / VIRGIN RECORDS";1742365351;1742365611;;;
"Art Longo";"Echowah island";"Echowah island";"2025";"CRACKI RECORDS";1742365610;1742365835;;;
"Vumbi Dekula";"Congo guitar";"Zuku";"2023";"HIVE MIND RECORDS";1742365834;1742366160;"https://music.apple.com/fr/album/zuku/1731842875?i=1731843470&uo=4";"https://www.deezer.com/track/2668830242";"https://open.spotify.com/track/0wtmrrx9gY2rYPhLbdGCDZ"
"Vampire Weekend";"Vampire weekend";"One (blake's got a new face)";"2008";"XL RECORDS";1742366155;1742366345;"https://music.apple.com/fr/album/one-blakes-got-a-new-face/271489741?i=271489766&uo=4";"https://www.deezer.com/track/937346";"https://open.spotify.com/track/1SqxV8oT8lKD583CW9JiOL"
"Talking Heads";"77";"Happy day";"1977";"SIRE";1742366345;1742366580;"https://music.apple.com/fr/album/happy-day/124925532?i=124924128&uo=4";;"https://open.spotify.com/track/5uG9swITtOM3d84wl59WJH"
"Bastien Keb";"Songs for Lost Travellers";"It would speak";"2025";"NATIVE REBEL RECORDINGS";1742366577;1742366807;;;"https://open.spotify.com/track/1BigNZqBjel1edHEj8rUns"
"Mancini Henry & His Orchestra";"Film / Mr. Lucky & mr. Lucky goes latin";"Siesta";"1960";"RCA VICTOR";1742366760;1742366930;;;
"Johnny Cash And June Carter Cash";"16 Biggest hits";"Oh, what a good thing we had";"1967";"COLUMBIA";1742366928;1742367090;;;
"Cleo Sol";"Rose in the dark";"Why don't you";"2020";"FOREVER LIVING ORIGINALS";1742367088;1742367316;;"https://www.deezer.com/track/913469992";"https://open.spotify.com/track/6RQ0i7rApnnWSI8uEiGVVF"
"Kassav";"Kassav/Saga";"Avè'w doudou";"1985";"ZOUK";1742367312;1742367591;;;
"Mac Demarco";"One Wayne G";"20190723";"2023";"MAC DEMARCO, LLC";1742367583;1742367720;"https://music.apple.com/fr/album/20190723/1681871263?i=1681873759&uo=4";"https://www.deezer.com/track/2238193567";"https://open.spotify.com/track/2ql2ZhziOm1dW2uGI8DLq7"
"MJ Lenderman";"Manning Fireworks";"You don't know the shape I'm in";"2024";"ANTI";1742367716;1742367929;"https://music.apple.com/fr/album/you-dont-know-the-shape-im-in/1749088991?i=1749089210&uo=4";"https://www.deezer.com/track/2823026312";"https://open.spotify.com/track/1ZBQPkEYHOv3LfgU6v0h0S"
"Eels";"Hombre lobo";"That look you give that Guy";"2009";"VAGRANT";1742367928;1742368181;"https://music.apple.com/fr/album/that-look-you-give-that-guy/671937861?i=671938192&uo=4";"https://www.deezer.com/track/69000284";"https://open.spotify.com/track/5LaE3oXGo5J6ORlGmTlnIb"
"Ella Fitzgerald & Joe Pass";"Easy living";"I want a little girl";"1983";"CONCORD MUSIC GROUP";1742368178;1742368345;;;
"Noname";"Room 25";"With you";"2018";"NONAME";1742368344;1742368493;"https://music.apple.com/fr/album/with-you/1639156399?i=1639157635&uo=4";"https://www.deezer.com/track/2006864657";"https://open.spotify.com/track/0kilwMEtrwd58885j8JhCa"
"Four Tet";"There is love in you";"She just likes to fight";"2010";"DOMINO RECOR";1742368491;1742368757;"https://music.apple.com/fr/album/she-just-likes-to-fight/1455255444?i=1455255586&uo=4";"https://www.deezer.com/track/1123287132";"https://open.spotify.com/track/2dxtGo6FGs3Hxyv73tDsx7"
"Etienne Daho";"Eden";"Les bords de seine (feat. Astrud Gilberto)";"1996";"VIRGIN";1742368747;1742368955;;;
"Bebel Gilberto";"All in one";"Sun is shining";"2009";"VERVE";1742368953;1742369188;"https://music.apple.com/fr/album/sun-is-shining/1443728329?i=1443728548&uo=4";"https://www.deezer.com/track/4274624";"https://open.spotify.com/track/79chc31XE9V73Fa5x073nO"
"Hope Tala";"Hope handwriten";"Jumping the gun";"2025";"PMR RECORDS";1742369183;1742369374;;"https://www.deezer.com/track/3025538851";"https://open.spotify.com/track/4MyQDbGMdZN8QgxBngAsW8"
"Dorothy Ashby";"Afro-harping";"Come live with me";"1968";"CADET";1742369371;1742369527;"https://music.apple.com/fr/album/come-live-with-me/1443481982?i=1443482193&uo=4";"https://www.deezer.com/track/2153818";"https://open.spotify.com/track/3YT2vdLbvfcjfCiNR4DsKT"
"Gerald Place";"Music for Shakespeare's theatre";"Seals of love : come live with me";"2008";"NAXOS";1742369526;1742369655;;;
"Neil Young";"Harvest";"Heart of gold";"1972";"REPRISE";1742369653;1742369837;"https://music.apple.com/fr/album/heart-of-gold/1015739190?i=1015739546&uo=4";"https://www.deezer.com/track/594676302";"https://open.spotify.com/track/26QKxvjlCo2fSd3T4c8Zpb"
"Al Brown";"Darker than blue : Soul from Jamdown 1973 - 1980";"Ain't no love in the heart of the city";"1975";"BLOOD AND FIRE LIMITED";1742369835;1742370041;;;
