"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Joseph Malik";"Diverse part 3";"Claro final";"2021";"RAMROCK RECORDS";1736675836;1736676028;;;
"Scott Gilmore";"Volume 1";"Lights on a grid";"2024";"CRAMMED DISCS";1736676025;1736676272;"https://www.deezer.com/track/3047467731";;
"Joseph Malik";"Diverse part 3";"Claro final";"2021";"RAMROCK RECORDS";1736676025;1736676217;;;
"Billie Eilish";"Hit me hard and soft";"The diner";"2024";"DARKROOM";1736676148;1736676320;"https://www.deezer.com/track/2801558092";"https://music.apple.com/fr/album/the-diner/1739659134?i=1739659150&uo=4";"https://open.spotify.com/track/1LLUoftvmTjVNBHZoQyveF"
"Digable Planets";"Blowout comb";"Blowing down";"1994";"PENDULUM";1736676317;1736676534;"https://www.deezer.com/track/3440393";"https://music.apple.com/fr/album/blowing-down/724050563?i=724050778&uo=4";"https://open.spotify.com/track/0QmceP4sn0nYVZHXBlj3eV"
"Roy Ayers";"Evolution: The Polydor anthology";"Searching";"1976";"POLYDOR";1736676532;1736677002;"https://www.deezer.com/track/982382";"https://music.apple.com/fr/album/searching/1589123064?i=1589123068&uo=4";
"Paul Desmond";"Bossa antigua";"O gato";"1964";"BMG";1736676767;1736677038;;;
"Clea Vincent";"FIP sacré français !";"Panama Paname";"2023";"WAGRAM MUSIC";1736677036;1736677456;"https://www.deezer.com/track/1611159572";"https://music.apple.com/fr/album/panama-paname/1699831736?i=1699832569&uo=4";
"St. Vincent";"Daddy's home";"Somebody like me";"2021";"LOMA VISTA RECORDINGS";1736677245;1736677476;;;"https://open.spotify.com/track/4AL1LM9QhlfRE7vwVsRbta"
"Baxter Dury";"I thought I was better than you";"Shadow";"2023";"HEAVENLY RECORDINGS";1736677472;1736677718;;;"https://open.spotify.com/track/4zvM0cUqu5pgRK1o6VDt4z"
"Katherine Nikitine";"Islamey";"Fileuse - pour piano";"2022";"EDITIONS HORTUS";1736677594;1736677826;;;
"Nick Cave (Chant, Piano)";"BOF TV / The new look (saison 1)";"The new look : La vie en rose";"2024";"SHADOW OF THE CITY";1736677825;1736678283;"https://www.deezer.com/track/2632296632";;"https://open.spotify.com/track/5aYUBGkNlFZkbP8u61Zcco"
"Katherine Nikitine";"Islamey";"Fileuse - pour piano";"2022";"EDITIONS HORTUS";1736677825;1736678057;;;
