"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Metronomy";"Love letters";"I'm Aquarius";"2014";"BECAUSE";1736678051;1736678486;"https://www.deezer.com/track/75311309";;"https://open.spotify.com/track/3xEJ59GyjCjcJ69RQc2ej6"
"Malik Djoudi";"Vivant";"Mes ami(e)s";"2024";"CINQ 7";1736678288;1736678484;;;"https://open.spotify.com/track/2Tw1aK8tlD9WEuRUZfwFfy"
"David McCallum";"Music : A part of me";"Sugar cane";"1966";"CAPITOL CATALOG MKT";1736678484;1736678763;;;"https://open.spotify.com/track/0Vr4MkdHYkU6bpHMh5vt5i"
"Rita Pavone";"Non e' facile avere 18 anni";"Datemi un martello (si j'avais un marteau)";"1964";"RCA";1736678623;1736678948;;;
"Bosco Delrey";"The green tiger's alibi";"Egyptian holed up";"2014";"BELLEVILLE MUSIC";1736678784;1736678976;"https://www.deezer.com/track/2443138435";"https://music.apple.com/fr/album/egyptian-holed-up/1706252157?i=1706252159&uo=4";"https://open.spotify.com/track/02Gt6TPLv7KyvspzZWOuYF"
"Cornell Campbell";"Fight against corruption";"Fight against corruption";"1983";"KINGSTON SOUNDS";1736678974;1736679318;;;"https://open.spotify.com/track/56FixCFSw9JFYbpBd1LJFj"
"Andre Hossein";"Bandes originales des films de Robert hossein";"L'homme qui trahit la mafia : Champs-Elysees";"1967";"UNIVERSAL MUSIC";1736679199;1736679318;;;
"Julien Daian";"Suppose it is Butter";"The real McBuck";"2024";"French Paradox";1736679316;1736679734;;;
"Gil Scott Heron";"Pieces of a man";"I think I'il call it a morning";"1971";"BMG/RCA";1736679524;1736679733;;;
"Panda Bear";"Defense";"Défense";"2024";"DOMINO RECORDING CO";1736679733;1736679999;"https://www.deezer.com/track/3001195001";;"https://open.spotify.com/track/7MarkM3buE9DyaEZ59b7vy"
"Gil Scott Heron";"Pieces of a man";"I think I'il call it a morning";"1971";"BMG/RCA";1736679733;1736679942;;;
"La Meute";"Des cadences";"Falaise";"2024";"LA SOUTERRAINE";1736679995;1736680264;"https://www.deezer.com/track/3111194521";;"https://open.spotify.com/track/4DgsxcC5dLXHzklIPlWNFx"
"Blanka";"Hypnotic";"Awakening";"2017";"NOWADAYS RECORDS";1736680259;1736680604;"https://www.deezer.com/track/374653021";"https://music.apple.com/fr/album/awakening/1250004587?i=1250004589&uo=4";"https://open.spotify.com/track/4mRd3hr01Gxwetrf57tq8N"
"Andrea Laszlo De Simone";"Un momento migliore";"Un momento migliore";"2025";"EKLEROSHOCK RECORDS";1736680427;1736680778;"https://www.deezer.com/track/3158065891";"https://music.apple.com/fr/album/un-momento-migliore/1784596497?i=1784596499&uo=4";"https://open.spotify.com/track/6XTkbUDkWg1aXk1bh9vaIR"
"David Bowie";"Low";"Sound and vision";"1977";"EMI";1736680770;1736681131;"https://www.deezer.com/track/71068394";"https://music.apple.com/fr/album/sound-and-vision/1347895593?i=1347895843&uo=4";
"Delvon Lamarr Organ Trio";"Cold as weiss";"Uncertainty";"2022";"COLEMINE RECORDS";1736680949;1736681163;"https://www.deezer.com/track/1570945552";;"https://open.spotify.com/track/1cnhL4a47eu56vifTbLJOT"
"Lola Young";"This wasn't meant for you anyway";"Conceited";"2024";"UNIVERSAL ISLAND RECORDS";1736681161;1736681397;"https://www.deezer.com/track/2467110005";;"https://open.spotify.com/track/5ZdqVCiXrvMGpY8cux5g8t"
"Mike Snow";"BOF / Crazy stupid love";"Animal (Mark Ronson remix)";"2011";"WATERTOWER MUSIC";1736681396;1736681685;;;
"Choses Sauvages";"En joue";"En joue";"2024";"AUDIOGRAM";1736681663;1736681858;"https://www.deezer.com/track/3048824501";;"https://open.spotify.com/track/1VaVDSQ9il8WQe9npBUWm0"
"Peggy Gou";"Han jan";"Han jan";"2018";"NINJA TUNE";1736681858;1736682100;"https://www.deezer.com/track/450882102";"https://music.apple.com/fr/album/han-jan/1350842586?i=1350843179&uo=4";"https://open.spotify.com/track/7Fx0ke7tQFhCd7CFDJKKE2"
"Pino D'Angio";"Balla !";"Ma quale idea";"1981";"PEER SOUTHERN PRODUCTIONS";1736682095;1736682357;"https://www.deezer.com/track/518970902";"https://music.apple.com/fr/album/ma-quale-idea/1415038751?i=1415039211&uo=4";
"Armando Trovajoli";"BOF / La terrazza / Telefoni bianchi";"La terrazza : Tema principale (versione con piano)";"1980";"QUARTET RECORDS";1736682356;1736682732;;;
"Cream";"The very best of Cream";"Anyone for tennis (the savage seven theme)";"1983";"POLYDOR";1736682578;1736682734;;;
"Prince & The New Power Generation";"Diamonds and Pearls (Super Deluxe Edition)";"Cream (take 2)";"1991";"WARNER RECORDS";1736682732;1736683020;;;
"Joan As Police Woman";"Back again";"Long for ruin";"2024";"PIAS";1736683018;1736683248;;;"https://open.spotify.com/track/6EOzMtv8jbgN85FSRmAd5q"
"Khruangbin";"The universe smiles upon you";"Zionsville";"2015";"NIGHT TIME STORIES";1736683235;1736683450;;;"https://open.spotify.com/track/0b83Lnss5ffRDHgox47cF8"
"Kate Bollinger";"J’aime les filles";"J'aime les filles";"2023";"GHOSTLY INTERNATIONAL";1736683446;1736683639;"https://www.deezer.com/track/2068502297";"https://music.apple.com/fr/album/jaime-les-filles/1659658955?i=1659659128&uo=4";"https://open.spotify.com/track/6GiwLIxSRc3bEBaLj2RPjK"
"Julee Cruise";"Floating into the night";"I remember";"1989";"WARNER BROS";1736683636;1736683884;;;"https://open.spotify.com/track/3YB6eJ05SwjpL8G3zDeCpa"
"Nookie";"Improvisions";"Smoke screen";"2023";"METALHEADZ";1736683881;1736684219;;;"https://open.spotify.com/track/3OWSpbHxGGuekplF23e3Tn"
"Supergrass";"I should coco";"Alright";"1995";"PARLOPHONE";1736684217;1736684397;"https://www.deezer.com/track/3152010";"https://music.apple.com/fr/album/alright/1437461696?i=1437461702&uo=4";"https://open.spotify.com/track/5CQvKyzkWI7TnUu2oB9QZ0"
"Television";"Marquee moon";"Elevation";"1977";"ELEKTRA";1736684394;1736684698;;;"https://open.spotify.com/track/1pimWzwUERYZbAFr5tL0Xl"
"Gary Burton";"Take another look / Vol. 2 : Atlantic recordings";"Las vegas tango";"1970";"MACK AVENUE";1736684696;1736685084;"https://www.deezer.com/track/756088";;
"The Sextones";"Love can't be borrowed";"Daydreaming";"2023";"RECORD KICKS";1736685083;1736685326;"https://www.deezer.com/track/2259400567";;"https://open.spotify.com/track/2BrziGkZ4ipPDmMkW7XOkZ"
"Joao Selva";"Onda";"Onda";"2025";"UNDERDOG RECORDS";1736685324;1736685570;;;"https://open.spotify.com/track/4nVVmLIN9NGVBZDo4Z7sRD"
"Tom Manzarek";"Realize";"La flûte enchantée";"2022";"";1736685569;1736685803;"https://www.deezer.com/track/1737698707";"https://music.apple.com/fr/album/la-fl%C3%BBte-enchant%C3%A9e/1621993088?i=1621993100&uo=4";"https://open.spotify.com/track/0hbtWOQ0FKca9arbfJeHiJ"
"Etienne Daho";"La notte, la notte";"Le grand sommeil";"1984";"VIRGIN";1736685802;1736686043;;;
"Shyguy";"Wait, what. Now ?";"Heard this before";"2024";"TRU THOUGHTS";1736686042;1736686233;"https://www.deezer.com/track/2524619631";;"https://open.spotify.com/track/0w7prfkzL4wgHu9kjO3E1w"
"Turner Cody and The Soldiers Of Love";"Friends in high places";"Lonely days in Hollywood";"2021";"CAPITANE RECORDS";1736686230;1736686473;;;
"Duo Perlamusica";"Fantaisie";"4 piezas par dos : 2. Lento - pour guitare et piano";"2017";"CLAVES";1736686472;1736686554;;;
"21 Savage";"I am / i was / (Deluxe)";"Out for the night";"2018";"SLAUGHTER GANG, LLC - EPIC RECORDS";1736686553;1736686689;"https://www.deezer.com/track/607697992";"https://music.apple.com/fr/album/out-for-the-night/1446918493?i=1446918500&uo=4";"https://open.spotify.com/track/0ZKKJTv21zJpNrKiL0LYyV"
"Norah Jane & Mor.Lov";"Godspeed";"No regrets";"2024";"TLKBX RCRDS";1736686685;1736686853;;;
"Bill Withers";"Still Bill";"Lean on me";"1972";"COLUMBIA";1736686854;1736687110;"https://www.deezer.com/track/863911";"https://music.apple.com/fr/album/lean-on-me/391725408?i=391725484&uo=4";"https://open.spotify.com/track/3M8FzayQWtkvOhqMn2V4T2"
"Chucho Valdes";"The latin jazz sides";"Mambo influenciado";"2002";"YEMAYA";1736687108;1736687301;;;
"World Brain";"Open source";"Minute papillon";"2024";"MANSION AND MILLIONS";1736687300;1736687526;;;"https://open.spotify.com/track/6f4D29IfC5stfUtJLEnfAR"
"Damaged Bug";"Cold hot plumbs";"Very";"2015";"CASTLE FACE";1736687522;1736687729;;;"https://open.spotify.com/track/04IIqXECxHiqZyLPqmW3pI"
"Vidderna";"Sao Paulo";"Utanför";"2015";"NOSORDO";1736687721;1736687974;"https://www.deezer.com/track/593784262";;
"Concernedape";"BOF / Stardew Valley (Jeu vidéo)";"Stardew valley overture";"2016";"CONCERNEDAPE (ACQUISITION)";1736687972;1736688117;"https://www.deezer.com/track/132826014";;"https://open.spotify.com/track/2q2Z2A0Mt8AsWyQEdB6wuu"
"Perry Como";"20 greatest hits";"Catch a falling star";"1957";"RCA";1736688114;1736688262;"https://www.deezer.com/track/92979220";;
"Norman Connors";"This is your life";"Butterfly";"1977";"SOUL BROTHER RECORDS";1736688261;1736688559;;;
"Jamiroquai";"Synkronized";"Butterfly";"1999";"SONY";1736688557;1736688822;"https://www.deezer.com/track/1481975762";;"https://open.spotify.com/track/4vevrGPaGIdakuoWhzSnwl"
"Blowfly";"Florida funk : Funk 45s from the alligator state";"Butterfly theme";"1973";"JAZZMAN RECORDS";1736688816;1736688953;"https://www.deezer.com/track/5641245";;
"Cesar Precio";"La suite logique des choses";"D'autres îles en soi";"2024";"OBJET DISQUE - LABEL SERVICE";1736688950;1736689332;"https://www.deezer.com/track/2964593791";"https://music.apple.com/fr/album/dautres-%C3%AEles-en-soi/1764985595?i=1764985796&uo=4";"https://open.spotify.com/track/0tt7ziJ3vxsmebJRrzOpAK"
"Kikagaku Moyo";"Masana temples";"Majupose";"2018";"GURU GURU BRAIN";1736689329;1736689568;"https://www.deezer.com/track/537787082";"https://music.apple.com/fr/album/majupose/1422830212?i=1422830841&uo=4";"https://open.spotify.com/track/0D3dpw1HOmKovxdmoYA1b4"
"Milan93";"Shelford treehouse";"Teddy 's dream";"2024";"APPAREL MUSIC";1736689564;1736689792;;;
"10 CC";"The original soundtrack";"I'm not in love";"1975";"MERCURY";1736689712;1736690075;"https://www.deezer.com/track/759916492";;
"Teedra Moses";"Complex simplicity: 15th anniversary edition";"Rescue me";"2004";"THE ORCHARD";1736690066;1736690310;"https://www.deezer.com/track/754978962";"https://music.apple.com/fr/album/rescue-me/1480258047?i=1480258427&uo=4";"https://open.spotify.com/track/6sOjHvHW3bMdjD1rkalzjX"
"Madvillain";"Madvillainy";"Great day";"2004";"STONES THROW RECORDS";1736690309;1736690452;"https://www.deezer.com/track/446028432";"https://music.apple.com/fr/album/great-day/887699504?i=887699537&uo=4";"https://open.spotify.com/track/2teH8BAM9q2oSmBre5hiQM"
"Abstract Orchestra";"Madvillain, Vol. 1";"Great day";"2018";"ATA RECORDS";1736690447;1736690707;;;"https://open.spotify.com/track/3I5aSJyCE2nCcKUdqokfwt"
"Setenta";"Apollo Solar Drive";"Tambu";"2025";"LATIN BIG NOTE";1736690706;1736690955;"https://www.deezer.com/track/2991495261";"https://music.apple.com/fr/album/tambu/1768040617?i=1768041038&uo=4";"https://open.spotify.com/track/3QyVdvhtMnJV1Q2iYrDv7O"
"Bruno Berle";"No reino dos afetos";"Até meu violão";"2022";"FAR OUT RECORDINGS";1736690948;1736691118;"https://www.deezer.com/track/1718807347";;"https://open.spotify.com/track/47T54qbp9SreG2h7RBaMEG"
"Laura Cahen";"Les Astres";"Les astres";"2024";"PIAS";1736691118;1736691360;"https://www.deezer.com/track/3036012701";"https://music.apple.com/fr/album/les-astres/1772893232?i=1772893240&uo=4";"https://open.spotify.com/track/0hohLgH1EscBU1JDi60o8G"
"Andrew Bird";"Noble beast";"Anonanimal";"2009";"BELLA UNION";1736691353;1736691638;"https://www.deezer.com/track/69018297";"https://music.apple.com/fr/album/anonanimal/671946528?i=671946884&uo=4";"https://open.spotify.com/track/24DmG7Qke0k3T67ADmtOyt"
"Tindersticks";"See my girls";"A street walker's Carol";"2020";"CITY SLANG";1736691637;1736691896;;;"https://open.spotify.com/track/15OXkp3K1dmb7TxLATgyLc"
"Alice Coltrane";"Transcendence";"Bhaja govindam";"1976";"WARNER BROS";1736691889;1736692162;"https://www.deezer.com/track/740064";;
"Afet Serenay";"Turkish freakout 2 (Psych-Folk 1970-1978)";"Maden dagi";"1978";"BOUZOUK";1736692161;1736692450;;;
"Crosby Stills And Nash";"Crosby, Stills & Nash";"Pre-road downs";"1969";"ATLANTIC";1736692444;1736692618;;;
"Al Kooper";"Block rockin' breaks";"Stop";"1968";"OBSESSIVE RE";1736692617;1736692872;;;"https://open.spotify.com/track/4aWZIBCBMQEgMna9JpgW90"
"Charles Bradley";"Changes";"Things we do for love";"2016";"DUNHAM / DAPTONE RECORDS";1736692865;1736693073;;;"https://open.spotify.com/track/6f3hzGasIjbHOjvwmylCze"
"Enchantee Julia";"45 tours (feat. Prince Waly)";"45 tours (feat. Prince Waly)";"2018";"MICROQLIMA";1736693072;1736693275;;"https://music.apple.com/fr/album/45-tours-feat-prince-waly/1470208874?i=1470208878&uo=4";
"Arooj Aftab";"Night reign";"Whiskey";"2024";"VERVE";1736693274;1736693579;;"https://music.apple.com/fr/album/whiskey/1739687886?i=1739688287&uo=4";"https://open.spotify.com/track/2ZeVYOdBt4wqY5u7T54yWT"
"Dezron Douglas & Brandee Younger";"Force majeure";"This woman's work";"2020";"INTERNATIONAL ANTHEM";1736693572;1736693836;;"https://music.apple.com/fr/album/this-womans-work/1536056185?i=1536056414&uo=4";
"Ali Toure Farka";"In the heart of the moon";"Ai ga bani";"2005";"WORLD CIRCUI";1736693829;1736694104;;;
"Karen Lano";"L’âge d’or";"Femme nature";"2024";"LE CHANT DES MUSES";1736694097;1736694332;"https://www.deezer.com/track/2995151231";"https://music.apple.com/fr/album/femme-nature/1767564190?i=1767564439&uo=4";"https://open.spotify.com/track/03k7lCzPWKSXuHQhNs2mG4"
"Kings Of Convenience";"Peace or Love";"Comb my hair";"2021";"EMI";1736694325;1736694514;"https://www.deezer.com/track/2100073637";"https://music.apple.com/fr/album/comb-my-hair/1663662193?i=1663662471&uo=4";"https://open.spotify.com/track/4DAPguGrzhM138CXn5d6f0"
"Alabaster DePlume";"Come with fierce grace";"The best thing in the world";"2023";"INTERNATIONAL ANTHEM";1736694507;1736694784;"https://www.deezer.com/track/2308816025";"https://music.apple.com/fr/album/the-best-thing-in-the-world/1690574544?i=1690574880&uo=4";"https://open.spotify.com/track/2PuvR8UnYUVrfVEVOz7mOT"
"Tom Waits";"Small change";"The one that got away";"1976";"ASYLUM";1736694783;1736695028;;"https://music.apple.com/fr/album/the-one-that-got-away/1485074801?i=1485074811&uo=4";"https://open.spotify.com/track/4isuUQhckX6ophYvVEEbYr"
"Lou Reed";"NYC man";"Walk on the wild side";"1972";"BMG";1736695021;1736695277;"https://www.deezer.com/track/97081744";"https://music.apple.com/fr/album/walk-on-the-wild-side/254632197?i=254632304&uo=4";"https://open.spotify.com/track/5p3JunprHCxClJjOmcLV8G"
"A Tribe Called Quest";"Peoples instinctive travels and the path of rhythm";"Can I kick it ?";"1990";"JIVE/LEGACY";1736695268;1736695520;;;
"Haim";"Summer girl";"Summer girl";"2019";"POLYDOR RECORDS";1736695518;1736695727;;"https://music.apple.com/fr/album/summer-girl/1587786227?i=1587787867&uo=4";
"Barth";"Like cavemen do";"Baby carry on";"2025";"CAVEMEN SONGS";1736695721;1736695931;"https://www.deezer.com/track/3103966351";;"https://open.spotify.com/track/6uHlodJ6b6gtPq04zC3X7h"
"Jimi Tenor";"Is there love in outer space";"Orbiting telesto";"2024";"TIMMION RECORDS";1736695923;1736696213;;;"https://open.spotify.com/track/3M8BR25lsmXJlhMgHxM6Rl"
"Amy Winehouse";"Back to black";"You Know I'M No Good";"2007";"ISLAND";1736696212;1736696466;"https://www.deezer.com/track/2176853";;
"Alma Luma";"Straight from the decks";"Princesa Isabel";"2019";"PURA VIDA";1736696464;1736696680;"https://www.deezer.com/track/691592042";"https://music.apple.com/fr/album/princesa-isabel/1467040546?i=1467043274&uo=4";"https://open.spotify.com/track/6jr7nI3tvDalb4C0niiFGp"
"Fishbone";"The psychotic friends nuttwerx";"The suffering";"2000";"EDEL";1736696678;1736696993;"https://www.deezer.com/track/477362232";"https://music.apple.com/fr/album/the-suffering/1361720674?i=1361721357&uo=4";"https://open.spotify.com/track/4rnTOyDz8tgeVwtwEeg3oX"
"Jack Dejohnette";"Hudson";"Lay lady lay";"2017";"MOTEMA MUSIC";1736696986;1736697062;"https://www.deezer.com/track/370961391";;"https://open.spotify.com/track/2kA4762NYJgdjPfwb72ZTS"
"Philippe Katerine";"Zouzou";"Comme disait ma petite soeur";"2024";"CINQ 7";1736697061;1736697275;"https://www.deezer.com/track/2940879311";"https://music.apple.com/fr/album/comme-disait-ma-petite-s%C5%93ur/1760191579?i=1760192385&uo=4";"https://open.spotify.com/track/3zCn0eR839vtfW8pxHhYWX"
"St. Vincent";"The melting of the sun";"The melting of the sun";"2021";"VIRGIN RECORDS";1736697268;1736697524;;"https://music.apple.com/fr/album/the-melting-of-the-sun/1552955481?i=1552955784&uo=4";"https://open.spotify.com/track/3WD3w5uSzAGJWrNFnHhi1a"
"Fantastic Negrito";"Please don't be dead";"Never give up";"2018";"COOKING VINYL";1736697523;1736697590;"https://www.deezer.com/track/467108532";"https://music.apple.com/fr/album/never-give-up/1353395224?i=1353396393&uo=4";"https://open.spotify.com/track/1LwyCWyGUsiZCBCaSNRfn1"
"Ben Harper";"Wide open light";"Heart and crown";"2023";"CHRYSALIS RECORDS";1736697583;1736697712;"https://www.deezer.com/track/2168962917";"https://music.apple.com/fr/album/heart-and-crown/1674667939?i=1674667946&uo=4";"https://open.spotify.com/track/48QVRRuVWeOew0YeZUDOWk"
"Stupeflip";"Sons2ouf !! Inédits & remixs 94-2024 / Vol.1";"Empires of the sun";"2024";"DRAGON ACCEL";1736697705;1736697886;"https://www.deezer.com/track/3001547541";"https://music.apple.com/fr/album/empires-of-the-sun/1768779159?i=1768779276&uo=4";"https://open.spotify.com/track/1u14BCoiWFKDLQMlaSjjPq"
"Aoife Nessa Frances";"Protector";"Way to say goodbye";"2022";"PARTISAN RECORDS / PIAS";1736697879;1736698163;"https://www.deezer.com/track/1795030897";"https://music.apple.com/fr/album/way-to-say-goodbye/1636689763?i=1636690117&uo=4";"https://open.spotify.com/track/0IpKq7RBlosgWlyNkEr7Rf"
"Munya";"Munya";"Trop tard";"2019";"LUMINELLE";1736698156;1736698339;"https://www.deezer.com/track/901593872";;
"Robohands";"Violet";"Wildflower";"2022";"KINGUNDERGROUND";1736698332;1736698508;"https://www.deezer.com/track/1692384067";"https://music.apple.com/fr/album/wildflower/1607140485?i=1607140486&uo=4";"https://open.spotify.com/track/7a6A38L3ugZpdWoaBlqAvJ"
"Weather Report";"Weather Report : The Columbia albums 1971-75 / Cd 1";"Tears";"1972";"SONY MUSIC";1736698508;1736698716;;;
"Ray Charles";"Sings for America";"Hey mister";"1972";"RHINO";1736698709;1736698943;"https://www.deezer.com/track/1703478917";"https://music.apple.com/fr/album/hey-mister/1616895543?i=1616895740&uo=4";"https://open.spotify.com/track/0uIKJ4FSQKKHuApqhoL9ta"
"Lee Fields";"Problems";"The right thing";"2000";"TRUTH & SOUL";1736698938;1736699150;"https://www.deezer.com/track/784626782";;
"Greyhound";"This is Trojan reggae";"Moon river";"1971";"TROJAN RECORDS";1736699143;1736699348;"https://www.deezer.com/track/2649861782";;
"Vaudou Game";"Fintou";"Donne un peu";"2025";"HOT CASA RECORDS";1736699341;1736699590;"https://www.deezer.com/track/3190833341";"https://music.apple.com/fr/album/donne-un-peu/1784789555?i=1784790234&uo=4";"https://open.spotify.com/track/6o7Ka3CEAq8QY2X67YDrKU"
"Vaudou Game";"Fintou";"Donne un peu";"2025";"HOT CASA RECORDS";1736699461;1736699597;"https://www.deezer.com/track/3190833341";"https://music.apple.com/fr/album/donne-un-peu/1784789555?i=1784790234&uo=4";"https://open.spotify.com/track/6o7Ka3CEAq8QY2X67YDrKU"
"Jovens Do Prenda";"Angola soundtrack/The unique sound of Luanda 1968-1976";"Ilha virgem";"1974";"ANALOG AFRICA";1736699589;1736699816;;;
"Elmore James";"Shake Your Moneymaker";"Something inside me";"1960";"CHARLY RECORDS";1736699809;1736700097;"https://www.deezer.com/track/1537473";;
"Louis Prima";"The best of / Just a gigolo";"Fever";"1958";"EMI";1736700096;1736700283;"https://www.deezer.com/track/12830268";;
"Sarah Vaughan";"Swingin easy";"Pennies from heaven";"1957";"MERCURY";1736700277;1736700468;"https://www.deezer.com/track/540219752";;"https://open.spotify.com/track/3AbSaWWEeql2O17LbBLWzF"
"Felicity Lott";"Sweet power of song";"Les trois oiseaux - pour soprano mezzo soprano et piano";"2000";"";1736700461;1736700609;;;
"Blain Morris";"BOF TV / Trailer park boys main theme";"Trailer park boys main theme";"2001";"GEEK MUSIC";1736700611;1736700722;;;
"Sade Adu";"Transa: Selects";"Young lion";"2024";"Red Hot Organization";1736700712;1736700965;;"https://music.apple.com/fr/album/young-lion/1761189584?i=1761189928&uo=4";
"Bjork";"Post";"Isobel";"1995";"POLYGRAM";1736700958;1736701304;"https://www.deezer.com/track/2629694222";"https://music.apple.com/fr/album/isobel/1726661078?i=1726661420&uo=4";"https://open.spotify.com/track/05meZdvKNj4FBxNbdMgpT6"
"Pureblast";"FIP Trip-hop";"World of content";"2024";"WAGRAM MUSIC (DISTRIBUTEUR)";1736701303;1736701522;"https://www.deezer.com/track/2924891831";;"https://open.spotify.com/track/4QIMxFxJXLDh94V7CP0o55"
"Orgone";"Killion vaults";"Interloper";"2010";"UBIQUITY";1736701519;1736701666;"https://www.deezer.com/track/982583252";"https://music.apple.com/fr/album/interloper/1516957447?i=1516957605&uo=4";"https://open.spotify.com/track/18WHbWy9E3r7OFwCwNnoiQ"
"Delinquent Habits";"Delinquent habits";"Lower eastside";"1996";"BMG (DISTR)";1736701659;1736701885;"https://www.deezer.com/track/14925483";"https://music.apple.com/fr/album/lower-eastside/450649264?i=450649267&uo=4";"https://open.spotify.com/track/7s11BeCL1EErhRddYgNhPX"
"The Chambers Brothers";"The time has come : The best of";"Uptown";"1967";"TRACK RECORDS";1736701878;1736702049;;;
"Dennis The Fox";"Country funk 1969-1975";"Piledriver";"1975";"LIGHT IN THE ATTIC RECORDS";1736702036;1736702350;"https://www.deezer.com/track/67659353";;
"Elvis Presley";"The essential";"A little less conversation";"1968";"COLUMBIA";1736702339;1736702476;"https://www.deezer.com/track/404045132";"https://music.apple.com/fr/album/a-little-less-conversation/217633715?i=217635979&uo=4";
"The Shadows";"F.B.I.";"Big """"B""""";"1964";"HARLEQUIN";1736702465;1736702696;;;
"Ponta Preta";"Way out West";"Shakedown";"2023";"LE SURF RECORDS";1736702679;1736702886;"https://www.deezer.com/track/2429409235";"https://music.apple.com/fr/album/shakedown/1704688855?i=1704689479&uo=4";"https://open.spotify.com/track/1Xu8s7bOcJRYNo1INmWXxJ"
"Skinny Dyck";"Easygoing";"And then one day";"2024";"VICTORY POOL RECORDS";1736702879;1736703116;"https://www.deezer.com/track/3027027281";;"https://open.spotify.com/track/0Ed3VdY4hJaos8SIef8ySL"
"Mathieu Boogaerts";"Grand Piano";"Ma jeunesse";"2025";"TOT OU TARD";1736703109;1736703292;"https://www.deezer.com/track/3046453221";"https://music.apple.com/fr/album/ma-jeunesse/1773945691?i=1773946001&uo=4";"https://open.spotify.com/track/7G72QxTEmv2GB9QtJWm1jX"
"Tommy Guerrero";"Perpetual";"Time burns bright";"2015";"GRAND PALAIS";1736703286;1736703510;"https://www.deezer.com/track/107656782";;"https://open.spotify.com/track/65XY2lPjbg3EJApLNZFZzl"
"Alfredo Gutierrez";"Colombia : Legendarios/Baila mi cumbia";"Cumbia sampuesan";"1976";"BAILA MI RITMO NETWORK";1736703503;1736703720;;;
"Orquesta Akokan";"Caracoles";"La fiera";"2024";"DAPTONE RECORDS";1736703713;1736703949;"https://www.deezer.com/track/2756926371";"https://music.apple.com/fr/album/la-fiera/1742036098?i=1742036304&uo=4";"https://open.spotify.com/track/1FvwU8PqFxR9QWtuwYhpOl"
"Y La Bamba";"Court the storm";"Bendito";"2012";"";1736703943;1736704195;"https://www.deezer.com/track/63420227";"https://music.apple.com/fr/album/bendito/560172870?i=560172977&uo=4";"https://open.spotify.com/track/0SyQCOB1ci3sowgA2MDOpm"
"Kutiman";"Open";"A day off";"2022";"SIYAL MUSIC";1736704188;1736704409;"https://www.deezer.com/track/1932167137";"https://music.apple.com/fr/album/a-day-off/1630949822?i=1630950309&uo=4";"https://open.spotify.com/track/6kC6Syc1p6pgdBoEWmiBw3"
"Jolly Joseph";"tales of a wild world";"Keep on runnin (edit)";"2020";"BAT RECORDS";1736704402;1736704663;;;
"Camille Bazbaz";"Manu militari";"Y'a plus de saisons";"2019";"22D MUSIC GROUP";1736704656;1736704803;;;
