"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Bigyuki";"Neon chapter";"Neon chapter (feat. Arto Lindsay)";2021;"UNIVERSAL MUSIC";1704448629;1704448978;;;
"Leon Phal";"Stress killer";"Idylla (feat. K.O.G)";2023;"HEAVENLY SWEETNESS";1704448979;1704449202;;;
"Herbie Hancock";"Dis Is Da Drum";"Butterfly";1994;"MERCURY";1704449200;1704449567;"https://open.spotify.com/track/46V1AVbGSzW6CAPWKKpby5";;
"Herbie Mann";"Flute Fraternity";"Baubles, bangles and beads";1957;"REVOLA";1704449544;1704449799;;"https://music.apple.com/fr/album/baubles-bangles-and-beads/638618711?i=638619185&uo=4";"https://www.deezer.com/track/12367726"
"Patti Page";"You go to my head and Manhattan tower";"You go to my head (";1953;"SEPIA RECORDS";1704449798;1704449951;;;
"Shades";"Blue skies";"It's all right with me";2018;"LES P'TITS CAILLOUX DU CHEMIN";1704449945;1704450153;;;
"Selmer #607";"Anniversary songs / Vol. 3";"Mademoiselle";2017;"CRISTAL RECORDS";1704450152;1704450359;;;
"Mathias Levy";"Les démons familiers";"Origines (feat. Laurent Derache)";2022;"PEEWEE";1704450352;1704450711;;;
"Sienna Dahlen & Bill Coon";"Balladextrous";"Too late now";2023;"Cellar Live";1704450711;1704451006;;;
"Gerry Mulligan Sextet";"Night lights";"Night lights";1963;"MERCURY";1704451002;1704451292;"https://open.spotify.com/track/5eVERkVvJKBgV2FziCoLDE";"https://music.apple.com/fr/album/night-lights/1446912991?i=1446912998&uo=4";
"Yussef Dayes";"Black classical music";"Marching band (feat. Masego)";2023;"BROWNSWOOD / CASHMERE THOUGHTS / NONESUCH";1704451287;1704451569;"https://open.spotify.com/track/2yLzNUOCplDDi1yG6jkSix";"https://music.apple.com/fr/album/marching-band-feat-masego/1683587217?i=1683587535&uo=4";
"Myele Manzanza";"Crisis & Opportunity / Vol. 2 : Peaks";"Peaks & Ferns";2021;"Deepmatter";1704451567;1704451784;"https://open.spotify.com/track/0vINbddFhMxPasIYiiTcLu";;
"Mongo Santamaria";"Mongo introduces la Lupe";"Montuneando";1963;"MILESTONE";1704451783;1704452021;;"https://music.apple.com/fr/album/montuneando/1080212572?i=1080212580&uo=4";
"Ali Jackson";"Amalgamations";"Done tol' you fo' five times";2015;"SUNNYSIDE";1704452017;1704452347;;;
"FRED MC DOWELL";;"Jesus gonna make up my dying bed";;;1704452345;1704452398;;;
"Michael Leonhart Orchestra";"The Normyn Suites";"Kenny Dorham (feat. Donny McCaslin)";2022;"Sunnyside";1704452399;1704452755;;"https://music.apple.com/fr/album/kenny-dorham-feat-donny-mccaslin/1608254685?i=1608254701&uo=4";
"Clark Terry";"Duke with a difference";"In A Mellow Tone";1957;"RIVERSIDE";1704452753;1704453059;"https://open.spotify.com/track/10e30Ann7kSnBldJkK1gDm";"https://music.apple.com/fr/album/in-a-mellow-tone/282129891?i=282129928&uo=4";"https://www.deezer.com/track/2367697255"
"Mario Biondi";"Handful of soul";"A handful of soul";2006;"BONSAI";1704453058;1704453317;"https://open.spotify.com/track/7HtXlHIerIgivsnO7lF6c0";"https://music.apple.com/fr/album/a-handful-of-soul/199255789?i=199259679&uo=4";
"Pharoah Sanders";"Thembi";"Astral traveling";1971;"IMPULSE";1704453314;1704453660;"https://open.spotify.com/track/55X66sKArUevBeGD7buroR";"https://music.apple.com/fr/album/astral-traveling/1443825067?i=1443825348&uo=4";
"Rhoda Scott & Lady Quartet";"We Free Queens";"We free queens";2017;"Sunset";1704453657;1704453998;;;
"Eartha Kitt";"BD Music presents Eartha Kitt";"I want to be evil";1953;"BDMUSIC";1704453997;1704454205;;"https://music.apple.com/fr/album/i-want-to-be-evil/281332028?i=281332078&uo=4";
"Guillaume Vierset Harvest Group";"Lightmares";"I wish";2022;"IGLOO RECORDS";1704454206;1704454419;;;
"John Mclaughlin";"Qué alegría";"1 nite stand";1991;"VERVE";1704454416;1704454740;;;
"Karrin Allyson";"In blue";"My bluebird";2002;"CONCORD";1704454739;1704455006;"https://open.spotify.com/track/5Lna8qPGb4Y3WixC7AQu5e";"https://music.apple.com/fr/album/my-bluebird/1443271504?i=1443271639&uo=4";
"Charlie Parker";"Bird and Diz";"Relaxin' with lee [alternate take]";1950;"VERVE";1704455003;1704455237;;;
"Back To C";"Deeper";"Le roi Arthur";2022;"LABEL 314";1704455236;1704455674;"https://open.spotify.com/track/6eXzkXwuR4a98OewaiBZDd";"https://music.apple.com/fr/album/le-roi-arthur/1613403263?i=1613403267&uo=4";
"Eddie Jefferson";"Still on the planet";"Zap carnivorous";1976;"MUSE RECORDS";1704455669;1704456047;;;
"Jack DeJohnette & Foday Musa Suso";"Music from the hearts of the master";"Ocean wave";2007;"GOLDEN BEAMS";1704456047;1704456427;;;
"Illinois Jacquet";"Desert winds";"Desert winds";1964;"Verve";1704456424;1704456680;"https://open.spotify.com/track/6kpym975htOsYboZo100bf";"https://music.apple.com/fr/album/desert-winds/1444116268?i=1444116643&uo=4";"https://www.deezer.com/track/2251224"
"Cecile Mc Lorin Salvant";"For one to love";"Underling";2015;"MACK AVENUE";1704456676;1704456884;;;
