"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Robert Schumann (Compositeur)";"Essais / Vol. 3";"Sonate opus 105";2019;"Aléa";1711350088;1711350405;;;
"Blue Mitchell";"Down With It";"Hi-heel sneakers";1965;"Blue Note";1711350401;1711350902;;"https://music.apple.com/fr/album/hi-heel-sneakers/724021718?i=724021982&uo=4";
"Terence Blanchard";"Breathless";"Talk to me";2015;;1711350900;1711351140;"https://open.spotify.com/track/71aJiwf0lslWinnV1gmprV";;"https://www.deezer.com/track/100068668"
"Nat Adderley";"Don't Look Back";"Funny funny";1976;"SteepleChase";1711351135;1711351503;;"https://music.apple.com/fr/album/funny-funny/159110679?i=159110719&uo=4";"https://www.deezer.com/track/138524809"
"Shai Maestro Trio";"Untold stories";"Maya's Song";2015;"Sound Surveyor";1711351501;1711351840;;;
"Johnny Ace";"The chronological Johnny Ace : 1951-1954";"I'm crazy baby";1954;"CLASSICS REC";1711351841;1711351986;;;
"Roberto Fonseca";"Yo";"Gnawa stop";2012;"JAZZ VILLAGE";1711351983;1711352298;"https://open.spotify.com/track/15pdr2PmiektfJc26FsPhy";"https://music.apple.com/fr/album/gnawa-stop/503853482?i=503853631&uo=4";"https://www.deezer.com/track/59496541"
"Dave Samuels";"Del sol";"Sea breeze";1993;"GRP";1711352294;1711352628;"https://open.spotify.com/track/1lmkjAWrL1zEyESyuRxVvp";;
"Melody Gardot";"The passion of Charlie Parker";"The king of 52nd street (Chan's declaration) (vocal version of Scrapple from the apple)";2017;"IMPULSE";1711352622;1711352841;;;
"Eric Dolphy";"Out there";"Sketch of melba";1960;"PRESTIGE/WEA";1711352839;1711353116;"https://open.spotify.com/track/4QB3FsLjEqeHixmVupqrsG";"https://music.apple.com/fr/album/sketch-of-melba/441191720?i=441191863&uo=4";
"Enrico Pieranunzi";"Doorways";"Suspension points";2004;"CAM JAZZ";1711353114;1711353454;"https://open.spotify.com/track/3dWJbfHWE1VzjLQ9sXPj6p";;
