"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Xavier Roumagnac Eklectik Band";"78 tours";"Walking man";2019;"JAZZ FAMILY";1712311197;1712311414;"https://music.apple.com/fr/album/walking-man/1488640289?i=1488640650&uo=4";"https://open.spotify.com/track/1XddlRgxvDSvJvrs5Hs8iY";
"Lee Ritenour";"Diggin' deeper / The roots of Acid jazz / Volume 2";"Wild rice";1976;"SONY MUSIC";1712311409;1712311735;;;
"Susi Hyldgaard";"Magic words";"In the wee small hours";2007;"ENJA";1712311731;1712312000;"https://music.apple.com/fr/album/in-the-wee-small-hours/286485062?i=286485892&uo=4";"https://open.spotify.com/track/1hLkUgYdiMW7KVd7BCwiFD";"https://www.deezer.com/track/61568321"
"Ben Webster";"King of the  tenors";"Bounce blues";1953;"VERVE";1712311998;1712312271;;;"https://www.deezer.com/track/2296041"
"Black Flower";"Abyssinia Afterlife";"The legacy of Prester John";2015;"ZEPHYRUS";1712312268;1712312489;;;"https://www.deezer.com/track/75986620"
"Howard Johnson";"Right now";"It's getting harder to survive";1997;"VERVE";1712312486;1712312702;;;
"Joachim Kuhn";"Chalaba";"Asmaa";2011;"ACT";1712312700;1712313119;;"https://open.spotify.com/track/2uCf1G3ZWTiw0Q8beDGS5o";"https://www.deezer.com/track/17311667"
"Bob Brookmeyer";"Bob Brookmeyer & Friends";"Who cares";1964;"Columbia";1712313119;1712313540;;;"https://www.deezer.com/track/583326"
"Stephane Tsapis Trio & Friends";"Le Tsapis volant";"Le Tsapis volant";2019;"Cristal";1712313538;1712313806;;;
"Jim Hall";"Jim Hall Live !";"Scrapple from the apple";1975;"Verve";1712313803;1712314256;"https://music.apple.com/fr/album/scrapple-from-the-apple/1443273247?i=1443273794&uo=4";;
"Renaud Garcia Fons";"Entremundo";"Rosario";2004;"ENJA";1712314255;1712314563;;;
"Ella Fitzgerald & Louis Armstrong";"Ella & Louis again";"They all laughed";1957;"VERVE";1712314559;1712314785;"https://music.apple.com/fr/album/they-all-laughed/1442955474?i=1442955807&uo=4";;
