"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Monika Kabasele";"Grécofuturisme";"Lost somewhere";2023;"ART DISTRICT";1706090396;1706090735;"https://music.apple.com/fr/album/lost-somewhere/1690269035?i=1690269045&uo=4";"https://www.deezer.com/track/2304592645";"https://open.spotify.com/track/1Nblf9JgS22Sy2wH0XG0cT"
"Nicolas Dary";"Le tourment de l'ogre";"Dialogue avec un cormoran";2023;"AUTOPRODUCTION";1706090735;1706090842;"https://music.apple.com/fr/album/dialogue-avec-un-cormoran/1690293040?i=1690293260&uo=4";"https://www.deezer.com/track/2305271525";"https://open.spotify.com/track/5CsIMty3uC0fjjjfGUJ5CK"
"Archie Shepp";"Left alone revisited";"Lady sings the blues";2002;"ENJA";1706090841;1706091044;;;"https://open.spotify.com/track/4HDO8eHx6qYdPudF4WBWUT"
"Guillaume De Chassy";"Songs from the last century";"I'll walk alone (version vocale)";2009;"BEE JAZZ";1706091041;1706091165;;;
"Billy Taylor";"Taylor made jazz";"Cu-blu";1959;"FRESH SOUND";1706091162;1706091422;"https://music.apple.com/fr/album/cu-blu/909449929?i=909449977&uo=4";"https://www.deezer.com/track/102417716";
"Evan Arntzen";"Countermelody";"Put 'em down blues";2021;"DOT TIME RECORDS";1706091421;1706091748;"https://music.apple.com/fr/album/put-em-down-blues/1554555541?i=1554555759&uo=4";;"https://open.spotify.com/track/04tGtoI8f4wPGu5rJmnCeB"
"Cait Jones & Mathieu Najean";"Outta The Blue With You";"Along the river";2023;"ZOOT";1706091751;1706092034;;;
"Ella Fitzgerald";"Verve : the sound of America";"Stars fell on Alabama";1956;"VERVE";1706092033;1706092244;;;"https://open.spotify.com/track/1ZWb3KgGTyoSdM6Qm85OXH"
"JaRon Marshall";"Earth sounds";"Dungeons";2023;"THE VAULT";1706092243;1706092528;"https://music.apple.com/fr/album/dungeons/1670438377?i=1670438981&uo=4";"https://www.deezer.com/track/2140262897";"https://open.spotify.com/track/3XDnyP8KjB2Xhimj3YOZ6J"
"Jimi Prasad Orchestra";"Help with your heart";"Laugh up";2023;"RAW TAPES";1706092528;1706092705;"https://music.apple.com/fr/album/laugh-up/1686488424?i=1686488444&uo=4";;"https://open.spotify.com/track/0hTty8X57SYsLYsOTcrBsD"
