"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Yazz Ahmed (Compositeur, Trompette, Bugle, Traitement électronique, Percussions)";"Solo 7""""s - Volume I";"She stands on the shore";2021;"AUTOPRODUCTION";1704535122;1704535481;;;
"Grant Green";"Idle moments";"Jean de fleur";1964;"BLUE NOTE";1704535478;1704535885;;;
"Chrystel Wautier";"Before a song";"Hard time killin' floor blues";2015;"BONSAI MUSIC";1704535882;1704536185;;;
"Mark Whitfield";"True blue";"Save your love for me";1994;"VERVE";1704536182;1704536471;"https://open.spotify.com/track/3sBTE3AftPutvoC7CPR8wE";;
"Wynton Marsalis";"He and she";"First time";2009;"BLUE NOTE";1704536468;1704536752;;"https://music.apple.com/fr/album/first-time/1700345920?i=1700347386&uo=4";
"Billie Holiday";"Le blues de Billie Holiday 1946 - 1959";"Come rain or come shine";1955;"VERVE";1704536752;1704537009;"https://open.spotify.com/track/20lPX0g0lacr7c72M8A0OR";"https://music.apple.com/fr/album/come-rain-or-come-shine/1469577795?i=1469578191&uo=4";
"Phil Woods";"American songbook 2";"Suddenly it's spring";2007;"KIND OB BLUE";1704537010;1704537480;"https://open.spotify.com/track/7DQHxftBYa5TJxg0lZ2SbA";"https://music.apple.com/fr/album/suddenly-its-spring/809986516?i=809986551&uo=4";
"Buena Vista Social Club";"Buena Vista social club";"Buena vista social club";1997;"N DAY";1704537478;1704537768;"https://open.spotify.com/track/6hNk3VFfcGFUqJYUus7H5V";"https://music.apple.com/fr/album/buena-vista-social-club/1716598034?i=1716598862&uo=4";
"Madeleine Peyroux";"Secular hymns";"If The Sea Was Whiskey";2016;"IMPULSE / UNIVERSAL";1704537767;1704537952;"https://open.spotify.com/track/3rDGqnRdUss7UhZJy87qnk";"https://music.apple.com/fr/album/if-the-sea-was-whiskey/1440870200?i=1440870595&uo=4";
"Duke Ellington";"Ko-ko";"Never no lament";1940;"DREYFUSJAZZ";1704537948;1704538144;"https://open.spotify.com/track/36FPWhcK2FgNxNmYp3W3se";;
"Brad Mehldau Trio";"Ode";"Twiggy";2012;"NONESUCH";1704538144;1704538476;"https://open.spotify.com/track/2igwkW7rZpOj6T0CLM0kWu";"https://music.apple.com/fr/album/twiggy/507857187?i=507857210&uo=4";"https://www.deezer.com/track/16935742"
"Mark Murphy";"Beauty and the beast";"The lady who sang the blues";1987;"Muse Records";1704538473;1704538800;;;
"Thomas Mayeras Trio";"Don't mention it";"Don't mention it";2019;"CRISTAL RECORDS";1704538800;1704539182;;;
"Chute Libre";"Chute libre";"Penelope au balcon";1976;"PATHE MARCON";1704539180;1704539526;;;
"Sergio Cammariere";"Dalla pace del mare lontano";"Sorella mia";2002;"EMI";1704539524;1704539788;"https://open.spotify.com/track/48JcXxMN9RJ1CGz9FTPzNx";;
"Curtis Fuller";"Soul Trombone";"The Clan";2013;"Impulse !";1704539786;1704540162;;;
"Yves Rousseau";"Wanderer Septet";"Wanderer I :  Part III (oeuvre sans paroles)";2015;"Abalone Productions";1704540161;1704540536;;;
"Norma Winstone";"Manhattan In The Rain";"People will say we're in love";1998;"SUNNYSIDE COMMUNICATIONS";1704540536;1704540904;;"https://music.apple.com/fr/album/people-will-say-were-in-love/1285873459?i=1285874358&uo=4";
"Kari Ikonen & Karikko";"Jazz from Finland 2011";"Kolme meduusaa";2008;"FIMIC";1704540900;1704541201;"https://open.spotify.com/track/2042zhNwpL4UscrTQtXZ0k";"https://music.apple.com/fr/album/kolme-meduusaa/1124928507?i=1124928833&uo=4";
"Charles Lloyd (Saxophone)";"Forest flower";"Forest flower: sunrise";1994;"Atlantic";1704541199;1704541636;;;
"Michele Hendricks";"Another side";"Cannonball blues (Cannon blues)";2019;"CRISTAL";1704541635;1704541896;;"https://music.apple.com/fr/album/cannonball-blues-cannon-blues/1478600351?i=1478600353&uo=4";"https://www.deezer.com/track/744246582"
"Mal Waldron";"Blues for lady day";"Blues for lady day";1973;"BLACK LION RECORD";1704541893;1704542116;;;
"Till Bronner";"As time goes by";"Diamonds are a girl's best friend";2004;"EMI";1704542108;1704542362;;;
"Marilyn Monroe";"Women in love/ Vol.1";"Do it again";1953;"WAGRAM";1704542361;1704542551;;;
"Daniel Zimmermann";"Dichotomie’s";"Toad Buffalo courtship dance";2019;"Label Bleu";1704542551;1704542962;"https://open.spotify.com/track/4XuzQZ6SQapQQG9fYizRyn";"https://music.apple.com/fr/album/toad-buffalo-courtship-dance/1482427760?i=1482427912&uo=4";"https://www.deezer.com/track/769345962"
"Michel Camilo";"Thru my eyes";"Watermelon man";1997;"DAM";1704542961;1704543225;"https://open.spotify.com/track/6Oldi1IhidW38nd8NvySRs";"https://music.apple.com/fr/album/watermelon-man/1442274876?i=1442275221&uo=4";
"Irina R";"Sailing home";"Sailor";2014;"SEBASTIEN DANI CALANDRA";1704543224;1704543418;;;
"Yusef Lateef";"Eastern sounds";"Love theme from Spartacus";1961;"PRESTIGE";1704543417;1704543663;;"https://music.apple.com/fr/album/love-theme-from-spartacus/885942371?i=885942378&uo=4";
"Walter Schumann (Compositeur)";"BOF / La nuit du chasseur";"Lullaby";2009;"POINT D EXCL";1704543660;1704544015;;;
"Gil Scott Heron";"Pieces of a man";"Home is where the hatred is";1971;"BMG/RCA";1704544011;1704544209;;;"https://www.deezer.com/track/2229400717"
"Edmar Castaneda";"Cuarto de Colores";"Madrugada azul";2005;;1704544209;1704544514;;;
"Sonny Rollins";"The Bridge";"Where are you";1962;"RCA";1704544510;1704544816;;"https://music.apple.com/fr/album/where-are-you-remastered-2003/164154166?i=164155278&uo=4";
"Lea Castro Quintet";"Roads";"Here comes the sun";2016;"NEUKLANG";1704544813;1704545105;;;
"Peter Erskine Trio";"Juni";"Windfall";1999;"ECM";1704545100;1704545470;;;
"Samuel Strouk";"Silent walk";"Lands";2017;"CRESCENDO BY FO FEO";1704545466;1704545767;"https://open.spotify.com/track/240J7dx3hlJyIA6gAdvtDU";"https://music.apple.com/fr/album/lands/1696141916?i=1696141925&uo=4";"https://www.deezer.com/track/412539802"
"Julie London";"Julie London";"Black coffee";1960;"CAPITOL";1704545765;1704545944;"https://open.spotify.com/track/287zpLsudFQMlehnH2JnWI";;
"Nitai Hershkovits";"Lemon the moon";"Far Picture of Bresi";2019;"YELLOWBIRD";1704545945;1704546264;"https://open.spotify.com/track/6dwDSEOzw4bWu1A7Rnc8F2";;
"Les McCann";"Layers";"Sometimes I cry";1973;"RHINO ATLANTIC";1704546254;1704546569;"https://open.spotify.com/track/6gA0ps6IzjBj7azFvWjWME";;
"Joni Mitchell";"Travelogue";"Be cool";2002;"NONESUCH";1704546566;1704546875;;;
"Ed Thigpen";"Out Of The Storm";"Heritage";1966;"VERVE";1704546871;1704547190;"https://open.spotify.com/track/5SkzJpXb7A5mjNgxCzfagM";;
"Andy Milne";"Dreams & false alarms";"Don't let it bring you down";2007;"SONGLINES RECORDINGS";1704547186;1704547445;"https://open.spotify.com/track/3fW3FP5qeyb99euLvgoyuR";"https://music.apple.com/fr/album/dont-let-it-bring-you-down/1164744714?i=1164744817&uo=4";"https://www.deezer.com/track/133983980"
"The Style Council";"Confessions of a pop group";"The story of someones shoe";1988;"POLYDOR";1704547437;1704547655;;;
"Christian Mcbride Trio";"Out Here";"East of the sun (and west of the moon)";2013;"Mack Avenue";1704547655;1704548112;"https://open.spotify.com/track/7dNORA3zEIgPBelCsFFMTH";"https://music.apple.com/fr/album/east-of-the-sun-and-west-of-the-moon/667572188?i=667574944&uo=4";
"Ted Heath (Chef d'orchestre)";"Big band blues";"St James Infirmary";1959;"VOCALION";1704548107;1704548299;;;
"Abraham Inc.";"Together we stand";"The song I never got to sing";2019;"LABEL BLEU";1704548298;1704548490;"https://open.spotify.com/track/2x4yLUA5yJ9YHGZskxBUpZ";;
"Pekka Pohjola";"Harakka Bialoipokku";"Ensimmäinen aamu - The first morning";1974;"Love";1704548489;1704548820;;;
"Verneri Pohjola";"Pekka";"The dragon of Kätkävaara";2017;"EDITION RECORDS";1704548819;1704549301;"https://open.spotify.com/track/6CGBf2k3fJl795M9MPLhpF";"https://music.apple.com/fr/album/the-dragon-of-k%C3%A4tk%C3%A4vaara/1218454245?i=1218454248&uo=4";
"Harry Belafonte (Voix)";"Jazz vocal - les chanteurs / Harry Belafonte : Belafonte sings the blues / CD5";"God Bless the Child";2013;"Sony";1704549298;1704549600;;;"https://www.deezer.com/track/68690936"
"Eyolf Dale";"Being";"Northern brewer";2021;"EDITION RECORDS";1704549599;1704549890;"https://open.spotify.com/track/6bjAE7nEyuiRGBRge5p44Z";"https://music.apple.com/fr/album/northern-brewer/1538141443?i=1538141511&uo=4";
"Duke Pearson";"Scotch & Sofa";"The Phantom";1968;;1704549889;1704550498;"https://open.spotify.com/track/43gn9AXGDIIrUr1MbaYPWJ";"https://music.apple.com/fr/album/the-phantom/1445883152?i=1445883157&uo=4";
"Terri Lyne Carrington";"The mosaic project";"Transformation";2010;"GROOVE JAZZ";1704550489;1704550816;;;
"Tuatara";"Breaking the ethers";"Dark State of mind";1997;"EPIC";1704550816;1704551054;"https://open.spotify.com/track/6U9NQZ3NqxscFM6TMRXSo6";;
"Florent Nisse";"Aux mages";"Intrépide";2014;"NOME";1704551050;1704551367;"https://open.spotify.com/track/5F8YdMUmynmRky6FImtfSe";;"https://www.deezer.com/track/88648363"
"Bill Henderson";"With the Oscar Peterson trio";"You are my sunshine";1963;"VERVE";1704551363;1704551637;"https://open.spotify.com/track/60TXCSgLEGAZWqPCydXbeK";;"https://www.deezer.com/track/531538251"
"Sonny Amati Schmitt";"Sonny day";"Sonny day";2012;"CHANT DU MONDE";1704551637;1704551849;"https://open.spotify.com/track/3jmaMoewZrdi6QlIu310Bm";"https://music.apple.com/fr/album/sonny-day/505979608?i=505979753&uo=4";
