"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Dakota Staton";"Five classic albums";"Let me off uptown";1958;"AVID JAZZ";1710583099;1710583245;"https://music.apple.com/fr/album/let-me-off-uptown/870639861?i=870645014&uo=4";;
"Ezra Collective";"You can't steal my joy";"Chris and Jane";2019;"ENTER THE JUNGLE";1710583245;1710583483;"https://music.apple.com/fr/album/chris-and-jane/1450944210?i=1450944517&uo=4";"https://open.spotify.com/track/7onbeUUrlezPATh6XEfOAW";
"Bobby Matos";"Chango's dance";"So what / Impressions";1995;"CUBO";1710583483;1710583803;"https://music.apple.com/fr/album/so-what-impressions/1520309766?i=1520309784&uo=4";"https://open.spotify.com/track/71lKyvhRpyhSbKwkHiu2y7";"https://www.deezer.com/track/1003060282"
"Branford Marsalis Quartet & Kurt Elling";"Upward Spiral";"Blue gardenia";2016;"OKEY / SONY MUSIC";1710583800;1710584073;"https://music.apple.com/fr/album/blue-gardenia/1102783682?i=1102783922&uo=4";;
"John Coltrane";"Blue world";"Blue world";1964;"IMPULSE";1710584071;1710584430;;;
"Nils Petter Molvaer";"Recoloured - the remix album";"Vilderness (Cinematic Orchestra mix)";2001;"UNIVERSAL";1710584428;1710584804;;;"https://www.deezer.com/track/76037215"
"Bobbi Humphrey";"Black and blues";"Blacks and blues";1974;"BLUE NOTE";1710584801;1710585072;;;
"Quintetto X";"Novo esquema da bossa";"Ceu azul";2005;"SHEMA RECORDS";1710585072;1710585275;;;
"Jack Wilson";"Easterly Winds";"Do it";1967;"Blue Note";1710585274;1710585650;"https://music.apple.com/fr/album/do-it/724752432?i=724752664&uo=4";;
"Supersonic";"Sons of love";"Simple Forces";2017;"LABEL BLEU";1710585646;1710585958;;"https://open.spotify.com/track/68me9bj02hAPvb3ILABECC";
"Jimmy Slyde (Claquettes)";"Special tap dance";"Just in time";1988;"BLACK AND BLUE";1710585954;1710586138;;;
"Frank Woeste";"Pocket rhapsody";"Pocket rhapsody";2016;"ACT MUSIC";1710586136;1710586626;;"https://open.spotify.com/track/50UznoEFlkt4m7vLXJoMeh";
"Fats Waller";"BD Music Presents Fats Waller";"Abdullah";1939;"BDMusic";1710586622;1710586798;;;"https://www.deezer.com/track/1159786912"
"Alan Braufman";"The fire still burns";"Morning bazaar";2020;"VALLEY OF SEARCH";1710586798;1710587111;"https://music.apple.com/fr/album/morning-bazaar/1601876764?i=1601877186&uo=4";"https://open.spotify.com/track/2Ma2gyo1qXQu7DcKdN6Hg9";
"Benny Golson";"Free";"Sock cha";1962;"CHESS@";1710587109;1710587529;;;
"Laurent De Wilde";"Time 4 change";"The present";2000;"WARNER";1710587528;1710587838;"https://music.apple.com/fr/album/the-present/41000130?i=41000166&uo=4";"https://open.spotify.com/track/6mt5COFXt3syYJytAhI0A2";
"Roy Buchanan";"Sweet dreams: The anthology";"Wayfaring pilgrim";1974;"POLYDOR";1710587838;1710588137;"https://music.apple.com/fr/album/wayfaring-pilgrim/1443903281?i=1443903414&uo=4";"https://open.spotify.com/track/6yJ6VtC0IQ4BC47Aj6MkZ3";"https://www.deezer.com/track/549318552"
"Shabaka And The Ancestors";"Wisdom of elders";"Joyous";2016;"BROWNSWOOD RECORDINGS";1710588135;1710588531;"https://music.apple.com/fr/album/joyous/1561230990?i=1561231252&uo=4";"https://open.spotify.com/track/1dznd0YJ26B9NIUJcQZOKh";"https://www.deezer.com/track/1302577112"
"The Andrews Sisters";"100 refrains pour la libération";"Rhum and Coca Cola";1944;"PUZZLE";1710588530;1710588716;;;
"Rusconi Trio";"Stop and go";"Old man tellin' a story";2007;"UNIT RECORDS";1710588717;1710588973;;;
