"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Jon Lucien";"Love everlasting";"Lady love";1973;"BMG";1707472633;1707472925;"https://music.apple.com/fr/album/lady-love/324172425?i=324172505&uo=4";"https://www.deezer.com/track/13203051";"https://open.spotify.com/track/7ihfmODYQtDTeTI84QK7zF"
"Anis Benhallak";"The clown theory";"Pearl box";2020;"MIZ ART PRODUCTION";1707472925;1707473172;;;
"Wayne Shorter";"Speak no evil";"Speak no evil";1964;"BLUENOTE";1707473167;1707473667;;"https://www.deezer.com/track/3217564";
"Anne Paceo";"Triphase";"Menthe à l'eau";2008;"Laborie Jazz";1707473660;1707473821;"https://music.apple.com/fr/album/menthe-%C3%A0-leau/960412890?i=960413146&uo=4";"https://www.deezer.com/track/93954524";"https://open.spotify.com/track/7n13M90dC8FtINdWOSMXVd"
"Tete Montoliu";"Boleros";"Ponciana";1975;"ENSAYO";1707473805;1707474074;"https://music.apple.com/fr/album/ponciana/646479427?i=646479870&uo=4";"https://www.deezer.com/track/123256138";
"Renaud Garcia Fons";"La vie devant soi";"Les rues vagabondes";2017;"E-MOTIVE RECORDS";1707474072;1707474326;;;
"Nana Mouskouri";"Nana Mouskouri in New York";"Hold me, thrill me, kiss me";1962;"MERCURY";1707474323;1707474498;;"https://www.deezer.com/track/98221398";
"MLB Trio";"Birka";"Sleipnir";2021;"Ilona Records";1707474496;1707474656;;;
"Jacky Terrasson";"Smile";"Parisian thoroughfare";2002;"BLUE NOTE";1707474658;1707474964;"https://music.apple.com/fr/album/parisian-thoroughfare/724931027?i=724931457&uo=4";;"https://open.spotify.com/track/2pfGvf1O1NNhJbBhBNvJss"
"Stan Getz";"BOF / Mort d'un pourri / Est-ce bien raisonnable";"Mort d'un pourri";1977;"EmArcy";1707474962;1707475292;"https://music.apple.com/fr/album/mort-dun-pourri/448293637?i=448293654&uo=4";;"https://open.spotify.com/track/4HW3ejtUGdWl5uClwtpKEr"
"Esperanza Spalding";"Radio Music Society";"Hold on me";2012;"HEADS UP";1707475288;1707475501;"https://music.apple.com/fr/album/hold-on-me/1440952016?i=1440952429&uo=4";"https://www.deezer.com/track/16894407";"https://open.spotify.com/track/1AGlSACMnwZhMgIK2nrAX3"
"Hank Mobley";"No room for squares";"Me 'n you";1963;"BLUE NOTE";1707475499;1707475936;"https://music.apple.com/fr/album/me-n-you/633502283?i=633503454&uo=4";"https://www.deezer.com/track/66404858";
"Ray Lema Et Laurent De Wilde";"Riddles";"Fantani";2016;"GAEZBO / ONE DROP";1707475934;1707476200;;;
"Melody Gardot";"Worrisome heart";"Sweet memory";2008;"UNIVERSAL";1707476197;1707476398;;;
"Xavier Roumagnac Eklectik Band";"78 tours";"Walking man";2019;"JAZZ FAMILY";1707476399;1707476616;"https://music.apple.com/fr/album/walking-man/1488640289?i=1488640650&uo=4";;"https://open.spotify.com/track/1XddlRgxvDSvJvrs5Hs8iY"
"Lee Ritenour";"Diggin' deeper / The roots of Acid jazz / Volume 2";"Wild rice";1976;"SONY MUSIC";1707476611;1707476936;;;
"Susi Hyldgaard";"Magic words";"In the wee small hours";2007;"ENJA";1707476933;1707477202;"https://music.apple.com/fr/album/in-the-wee-small-hours/286485062?i=286485892&uo=4";"https://www.deezer.com/track/61568321";"https://open.spotify.com/track/1hLkUgYdiMW7KVd7BCwiFD"
"Ben Webster";"King of the  tenors";"Bounce blues";1953;"VERVE";1707477200;1707477473;;"https://www.deezer.com/track/2296041";
"Black Flower";"Abyssinia Afterlife";"The legacy of Prester John";2015;"ZEPHYRUS";1707477470;1707477690;;"https://www.deezer.com/track/75986620";
"Howard Johnson";"Right now";"It's getting harder to survive";1997;"VERVE";1707477688;1707477903;;;
"Joachim Kuhn";"Chalaba";"Asmaa";2011;"ACT";1707477901;1707478321;;"https://www.deezer.com/track/17311667";"https://open.spotify.com/track/2uCf1G3ZWTiw0Q8beDGS5o"
"Bob Brookmeyer";"Bob Brookmeyer & Friends";"Who cares";1964;"Columbia";1707478321;1707478742;;"https://www.deezer.com/track/583326";
"Stephane Tsapis Trio & Friends";"Le Tsapis volant";"Le Tsapis volant";2019;"Cristal";1707478740;1707479008;;;
"Jim Hall";"Jim Hall Live !";"Scrapple from the apple";1975;"Verve";1707479005;1707479457;"https://music.apple.com/fr/album/scrapple-from-the-apple/1443273247?i=1443273794&uo=4";;
