"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Melba Liston";"And her bones";"You don't say";1958;"FRESHSOUNDRECORDS";1705538856;1705539091;;;"https://www.deezer.com/track/13737725"
"Bobo Stenson Trio";"Contra la indecisión";"Elégie";2017;"ECM RECORDS";1705539089;1705539456;;;
"Joy Bryan";"Make the man love me & Joy Bryan sings";"Old Devil Moon";1961;"FRESH SOUND RECORDS";1705539450;1705539694;;;"https://www.deezer.com/track/39907541"
"Misha Panfilov Sound Combo";"Days as echoes";"Moonscape waltz";2020;"FUNK NIGHT RECORDS";1705539694;1705540084;"https://music.apple.com/fr/album/moonscape-waltz/1529360285?i=1529360410&uo=4";;
"Lee Morgan";"Search for the new land";"The joker";1964;"BLUE/NOT";1705540081;1705540387;"https://music.apple.com/fr/album/the-joker/715959707?i=715960720&uo=4";;"https://www.deezer.com/track/2647113582"
"Youn Sun Nah (Chant)";"Immersion";"Mercy mercy me (The ecology)";2019;"Warner Music";1705540384;1705540578;;"https://open.spotify.com/track/6hwRVT629GBYuWWsvtIveU";"https://www.deezer.com/track/762084002"
"Randy Weston";"Move to groove /  The best of 1970's jazz - funk";"In memory of";1973;"VERVE";1705540574;1705540930;;;
"Arshid Azarine Trio";"7 Djan";"Esterna";2015;"OHRWURM";1705540925;1705541232;"https://music.apple.com/fr/album/esterna/1524676757?i=1524677120&uo=4";"https://open.spotify.com/track/6M8qNR9fLjclRuIBXHwQwL";
"Louis Prima";"Beatles beginnings / Vol. 8";"When you're smiling";1957;"RHYTHM AND BLUES RECORDS";1705541224;1705541462;;;"https://www.deezer.com/track/869897622"
"Switch Trio";"In town";"Out of the past";2020;"JAZZ FAMILY";1705541462;1705541721;"https://music.apple.com/fr/album/out-of-the-past/1537656322?i=1537656347&uo=4";"https://open.spotify.com/track/2XwxNQa9gPsYJBgJruij1I";"https://www.deezer.com/track/1122098362"
"Bheki Mseleku";"Star seeding";"The sun race arise";1995;"VERVE";1705541719;1705542115;"https://music.apple.com/fr/album/the-sun-race-arise/1442822757?i=1442822962&uo=4";"https://open.spotify.com/track/3pJWqYUbd8wVXGImCvofb7";"https://www.deezer.com/track/2487603"
"Laurent Bardainne & Tigre D’eau Douce";"Love is everywhere";"Star 5 (feat. Anthony Joseph)";2020;"HEAVELY SWEETNESS";1705542109;1705542434;"https://music.apple.com/fr/album/star-5-feat-anthony-joseph/1502658632?i=1502658992&uo=4";;
"The Oscar Pettiford Orchestra";"Complete studio big band recordings";"Speculation";1957;"LONEHILL JAZ";1705542432;1705542678;;;
"Flavio Boltro Bbb Trio";"Spinning";"Natale a Mosca";2018;"Anteprima";1705542676;1705543046;"https://music.apple.com/fr/album/natale-a-mosca/1438098470?i=1438098472&uo=4";;
"Betty Hutton";"Somebody Loves Me";"Orange colored sky";1950;"SEPIA RECORDS";1705543042;1705543201;;;"https://www.deezer.com/track/2174036597"
"Booker Little";"Booker Little 4 & Max Roach";"Jewel's tempo";1958;"BLUE NOTE";1705543200;1705543594;"https://music.apple.com/fr/album/jewels-tempo/724890065?i=724891497&uo=4";;
"Terence Blanchard";"B.O.F./ Eve's bayou - The collection";"A child with the blues";1997;"MCA RECORDS";1705543593;1705543905;;;
"Erykah Badu";"Tempted";"Tempted (Instrumental)";2019;"YEP ROC RECORDS";1705543903;1705544137;;;
"Jose James";"On & on";"Bag lady (feat. Diana Dzhabbar)";2023;"RAINBOW BLONDE";1705544128;1705544412;"https://music.apple.com/fr/album/bag-lady-feat-diana-dzhabbar/1647567694?i=1647567769&uo=4";;
"Greg Joseph";"Drop the Rock";"Mozam-BBQ";2023;"Sunnyside";1705544411;1705544720;"https://music.apple.com/fr/album/mozam-bbq/1693145261?i=1693145262&uo=4";"https://open.spotify.com/track/652IY7Om5dZUbPk0O9fF4R";
"Grant Green";"The Latin Bit";"Grenada";1962;"Blue Note";1705544717;1705545099;"https://music.apple.com/fr/album/grenada/716598141?i=716598538&uo=4";;
"Stephane Spira";"Round about Jobim (cd promo)";"Luiza";2012;"JAZZMAX";1705545090;1705545251;;;
"Antonio Carlos Jobim";"Passarim";"Bebel";1987;"VERVE";1705545250;1705545440;"https://music.apple.com/fr/album/bebel/1443121142?i=1443121352&uo=4";"https://open.spotify.com/track/4qOErQ8aFM9CrYpFFgXMSR";
"Bebel Gilberto";"Joao";"O pato";2023;"PIAS";1705545437;1705545591;;"https://open.spotify.com/track/27HeTH6zwsGYDpTbvOqEgF";
"Ray Vega & Thomas Marriott";"Coast To Coast";"Broadway";2023;"Origin";1705545591;1705545902;;;
"Joe Williams";"Droppin science : Greatest samples from the blue note lab";"Get out of my life, woman";1966;"BLUE NOTE";1705545900;1705546098;;;
"Maya Dunietz";"Thank you tree";"Ahoooah";2023;"RAW TAPES";1705546095;1705546341;"https://music.apple.com/fr/album/ahoooah-alternate-take/1701187461?i=1701187964&uo=4";;
"Itamar Borochov";"Arba";"Who Shall Grant Me Flight";2023;"GREENLEAF MUSIC";1705546339;1705546462;;"https://open.spotify.com/track/2Ax9BlPqiRvI5jSF4deSid";
"Brad Mehldau";"The art of the trio : Songs / Vol. 3";"River man";1998;"NONESUCH";1705546458;1705546727;;"https://open.spotify.com/track/5FiSo7E1IvpBeowZxMk9UI";
"Misja Fitzgerald Michel";"Time of no reply";"Pink moon";2011;"NO FORMAT";1705546721;1705546929;;;
"David Helbock";"Austrian syndicate";"Nuyorican";2023;"ACT MUSIC";1705546918;1705547147;;"https://open.spotify.com/track/6U1PD93abDgmFXVQ2xs2h5";
"Weather Report";"Jazz magazine - Jazz man";"Cannon ball";;"Wagram";1705547146;1705547410;"https://music.apple.com/fr/album/cannon-ball/208170262?i=208170515&uo=4";"https://open.spotify.com/track/6uL1U3tg3OhHYnuwqnQRn4";
"Cannonball Adderley & Ernie Andrews";"Live session !";"Cannonball adderley introduction (2004 digital remaster)";1964;"BLUE NOTE RECORDS";1705547387;1705547414;;;
"Cannonball Adderley & Ernie Andrews";"Live session !";"Green door (live) (2003 digital remaster)";1964;"BLUE NOTE RECORDS";1705547410;1705547705;;;
"Jeri Southern";"Jeri Southern meets Cole Porter";"Don't look at me that way";1959;"ANCIEN PRODIGE";1705547690;1705547865;"https://music.apple.com/fr/album/dont-look-at-me-that-way/332744301?i=332744499&uo=4";"https://open.spotify.com/track/7b2q8bdtVI0AaVBhhpMP2y";
"The Amazing Keystone Big Band";"Django extended";"Djangology (feat. Stochelo Rosenberg)";2017;"NOME";1705547865;1705548241;;;
"Generation Django";"Génération Django";"Nuages";2023;"ARTWORK RECORDS";1705548241;1705548546;;"https://open.spotify.com/track/0JrmogYlc9xckAY8rqogNi";
"Madeleine Peyroux";"Half the perfect world";"Everybody's talkin'";2006;"ROUNDER";1705548538;1705548841;"https://music.apple.com/fr/album/everybodys-talkin/1489231052?i=1489231538&uo=4";"https://open.spotify.com/track/0sIzgvwRYgOwAJIKIQ35mo";"https://www.deezer.com/track/1183560"
"Benny Benack III";"Third times the charm";"It's not unusual";2023;"LA RESERVE RECORDS";1705548836;1705549103;"https://music.apple.com/fr/album/its-not-unusual/1647745841?i=1647746677&uo=4";"https://open.spotify.com/track/3l30P6I5HoyfcMNbWOgi9E";
"Andre Villeger";"Connection";"Eternal triangle";1991;"JAZZ AUX REMPARTS";1705549100;1705549409;;;
"Dizzy Gillespie, Sonny Rollins & Sonny Stitt";"Sonny side up";"On the sunny side of the street";1957;"VERVE";1705549410;1705549750;;;
