"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Laurent Bardainne & Tigre D’eau Douce";"Oiseau (feat. Bertrand Belin) (radio edit)";"Oiseau (feat. Bertrand Belin) (radio edit)";2022;"HEAVENLY SWEETNESS";1707904678;1707904883;;;
"Taylor Eigsti";"Daylight at midnight";"Little bird (feat. Becca Stevens)";2010;"CONCORD MUSIC GROUP";1707904883;1707905136;;;
"Stefano Bollani";"Arrivano gli alieni";"Aquarela do Brasil";2015;"Universal Music";1707905133;1707905319;"https://music.apple.com/fr/album/aquarela-do-brasil/1443363689?i=1443364082&uo=4";"https://www.deezer.com/track/106322216";"https://open.spotify.com/track/4WWdBNDlU2KJd7DUZsAGgl"
"Astrud Gilberto";"A certain smile, a certain sadness";"It's a lovely day today";1966;"VERVE";1707905318;1707905476;;"https://www.deezer.com/track/1940869557";
"Matthieu Bore";"Frizzante";"It's a good day";2009;"BONSAI";1707905476;1707905668;"https://music.apple.com/fr/album/its-a-good-day/786770067?i=786770676&uo=4";"https://www.deezer.com/track/4280646";"https://open.spotify.com/track/2lqSGWzgZMwTNZ5OCpB94e"
"Emmet Cohen";"Future stride";"Future stride";2021;"MACK AVENUE";1707905666;1707906014;"https://music.apple.com/fr/album/future-stride/1527505749?i=1527505872&uo=4";;"https://open.spotify.com/track/3SQ2MIxoNb1J4gxiw73zbf"
"Fats Waller";"Alligator crawl";"Honeysuckle rose (1941)";1941;;1707906008;1707906219;;;
"Jason Moran";"All rise: A joyful elegy for Fats Waller";"Honeysuckle rose";2014;"BLUE NOTE RECORDS";1707906215;1707906441;"https://music.apple.com/fr/album/honeysuckle-rose/1442957825?i=1442958000&uo=4";;"https://open.spotify.com/track/2HirOAECYE8dBrd50eBy0L"
"Ezra Collective";"May the funk be with you";"May the funk be with you";2022;"ENTER THE JUNGLE";1707906430;1707906696;"https://music.apple.com/fr/album/may-the-funk-be-with-you/1609710347?i=1609710489&uo=4";"https://www.deezer.com/track/1653649182";"https://open.spotify.com/track/6GkeuiAXhBvPp4WsBgDvmV"
"James Brown";"Gettin' down to it";"Cold sweat";1969;"VERVE";1707906696;1707907001;"https://music.apple.com/fr/album/cold-sweat/834564909?i=834564943&uo=4";;"https://open.spotify.com/track/7AqQintYQY3GukK4KBI8Xt"
