"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Count Basie";"The complete """"Atomic Basie""""";"The kid from red bank";1994;"VOGUE";1709114312;1709114472;;;
"Veronique Hermann Sambin Sextet";"Basalte";"Pwomes - The Sidewinder";2015;"JAZZ FAMILY";1709114470;1709114677;;;
"Frank Wess";"Tryin' to make my blues turn green";"Tryin' to make my blues turn green";1994;"CONCORD JAZZ";1709114676;1709115076;;;
"Ramachandra Borcar";"Steel and glass";"A fiend in the gallery";2005;"LE SON DU MA";1709115074;1709115426;"https://music.apple.com/fr/album/a-fiend-in-the-gallery/276370983?i=276371025&uo=4";"https://open.spotify.com/track/5NM0t9YC1GCHZ74wCsmTKa";
"Slim Gaillard";"Slim gaillard rides again";"Oh, lady be good";1958;"UNIVERSAL";1709115422;1709115562;"https://music.apple.com/fr/album/oh-lady-be-good/1444139577?i=1444139831&uo=4";;
"Frank Woeste";"Double you";"Zone amazone";2011;"World Village";1709115561;1709115907;;"https://open.spotify.com/track/06MLsOkS9ZFX1FkbMamm6y";
"Maynard Ferguson";"M.F Horn 3";"Mother fingers";1973;"0664140240322";1709115905;1709116101;"https://music.apple.com/fr/album/mother-fingers/337165491?i=337165620&uo=4";"https://open.spotify.com/track/31HotDEGVKJW4oMpKMF58O";
"Meshell Ndegeocello";"Comet, come to me";"Good day bad";2014;"NAIVE";1709116098;1709116358;;"https://open.spotify.com/track/0by51DIyN1YiX9ASoUWjHB";"https://www.deezer.com/track/507979152"
"Kenny Burrell";"Blue bash!";"Soft winds";1963;"VERVE";1709116348;1709116692;"https://music.apple.com/fr/album/soft-winds-alternative-take/1442224992?i=1442225181&uo=4";;
"Teemu Mattsson";"Teemu mattsson";"Northern tribe";2006;"FREE AGENT";1709116688;1709117086;"https://music.apple.com/fr/album/northern-tribe/1300722954?i=1300723588&uo=4";"https://open.spotify.com/track/3DDyvfDGDkue8OwmFPKRmU";
"Sinead O Connor";"Am I not your girl ?";"Why don't you do right ?";1992;"ENSIGN RECORDS";1709117071;1709117221;;;
"Ben Allison";"Think free";"Green al";2009;"PALMETTO RECORDS";1709117218;1709117524;;;
"Johnny Griffin";"Introducing";"Chicago calling";1956;"BLUE NOTE";1709117520;1709117857;"https://music.apple.com/fr/album/chicago-calling/715978478?i=715978968&uo=4";;
"Anita O Day";"Time for 2";"An occasional man";1955;"VERVE";1709117855;1709118004;;;
"Mammal Hands";"Becoming";"Refuge";2018;"GONDWANA RECORDS";1709118000;1709118218;"https://music.apple.com/fr/album/refuge/1578454700?i=1578454704&uo=4";"https://open.spotify.com/track/72X5bmQUJ9bCDDFqFszNy2";
"Hubert Laws";"The San Francisco concert";"Feel like making love";1977;"EPIC";1709118215;1709118585;;;
"Diego El Cigala";"Dos lagrimas";"Si te contara";2008;"CIGALA MUSIC";1709118582;1709118775;"https://music.apple.com/fr/album/si-te-contara/431830569?i=431830570&uo=4";"https://open.spotify.com/track/0Fx5t7iiOWB2LgVzdoUByg";
