"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Nina Simone (Voix, Piano)";"After Hours";"Lilac Wine";1995;"Verve";1704880648;1704880898;"https://www.deezer.com/track/2144435507";"https://open.spotify.com/track/6Y5LA4sn0Z2lxvrYqNgF60";
"Edouard Ferlet";"Sun dog";"Sun dog";2021;"MELISSE";1704880898;1704881113;"https://www.deezer.com/track/2526937761";"https://open.spotify.com/track/4n4EALhlcYv1tsc45asW3M";"https://music.apple.com/fr/album/sun-dog/1598482618?i=1598482870&uo=4"
"Dave Brubeck";"The essential";"In your own sweet way";1956;"CBS";1704881109;1704881406;"https://www.deezer.com/track/115902062";"https://open.spotify.com/track/5BlwZNqCnJDhHuftFJSSzZ";"https://music.apple.com/fr/album/in-your-own-sweet-way/268558063?i=268558104&uo=4"
"Stacey Kent";"In love again";"Thou swell";2002;"CANDID";1704881400;1704881688;;;"https://music.apple.com/fr/album/thou-swell/1599388520?i=1599388829&uo=4"
"Tommy Flanagan";"Jazz poet";"Raincheck";1989;"Timeless";1704881684;1704881979;"https://www.deezer.com/track/1163363302";"https://open.spotify.com/track/6xKrilmBUKENVFpbXN3W1z";"https://music.apple.com/fr/album/raincheck/288123209?i=288123369&uo=4"
"Dylan Ryan";"Sand / Sky bleached";"Translucent spheres";2013;"CUNEIFORM RECORDS";1704881975;1704882276;;;
"Annie Ross";"Sings a song with Mulligan";"Give me the simple life";1957;"EMI";1704882272;1704882484;;;
"Magnus Ostrom";"Searching For Jupiter";"Mary Jane doesn't live here anymore";2013;"ACT";1704882484;1704882738;;"https://open.spotify.com/track/3SaWkXfRIrGgFw2ro7yWDz";"https://music.apple.com/fr/album/mary-jane-doesnt-live-here-anymore/690047415?i=690048211&uo=4"
"Grant Green";"Iron city";"Iron city";1972;"CONCORD";1704882734;1704883034;"https://www.deezer.com/track/7669347";;
"Diana Krall";"From this moment on";"Come dance with me";2006;"VERVE";1704883030;1704883291;"https://www.deezer.com/track/2309850";"https://open.spotify.com/track/0gzBvwhlq94seWBjW6aGAE";"https://music.apple.com/fr/album/come-dance-with-me/1443177535?i=1443177821&uo=4"
"Tadd Dameron Sextet";"BD Music presents Fats Navarro";"Lady Bird";1948;"BDMusic";1704883288;1704883458;;;
"Terence Blanchard";"Flow";"Child's play";2005;"BLUENOTE";1704883457;1704883818;"https://www.deezer.com/track/3255299";"https://open.spotify.com/track/634UCmerMOTR5VSoYnq1HR";"https://music.apple.com/fr/album/childs-play/1443133403?i=1443134261&uo=4"
"Herb Geller";"An American in Hamburg";"The Power of a Smile";2013;"Tramp";1704883812;1704884397;;;
"Yaron Herman";"Songs of the degrees";"Just Being";2019;"BLUE NOTE";1704884397;1704884641;;;
"Melvin Rhyne Quartet";"Kojo";"Blue gold";1997;"CRISS CROSS JAZZ";1704884638;1704884905;;;
"Kokoroko";"Uman";"Uman";2018;"BROWNSWOOD RECORDINGS";1704884903;1704885214;;;
"Buddy Collette Quintet";"Soft touch";"The cute monster";1958;"FRESH SOUND";1704885213;1704885500;;;
"Skalpel";"Konfusion";"Shivers";2005;"NINJATUNE";1704885499;1704885746;"https://www.deezer.com/track/487309032";"https://open.spotify.com/track/1onMX9NylL6y2pOeV8pxqw";"https://music.apple.com/fr/album/shivers/1372717394?i=1372717395&uo=4"
"E.W. Wainwright";"Spiritual Jazz vol. 6 / Vocals";"Imani";1977;"Jazzman Records";1704885745;1704886157;;;
"Mulatu Astatke & The Heliocentrics";"Inspiration information";"Phantom of the panther";2009;"STRUT";1704886153;1704886290;;;"https://music.apple.com/fr/album/phantom-of-the-panther/307556145?i=307556273&uo=4"
"David Axelrod";"Blue break beats";"Holy thursday";1968;"BLUE NOTE";1704886290;1704886617;;"https://open.spotify.com/track/0VF21fEzB6OszZcJlKzyg5";
"Yann Clery";"Motozot";"Grajé";2017;"WHY COMPAGNIE / JAZZ FAMILY";1704886614;1704886874;"https://www.deezer.com/track/1406034832";"https://open.spotify.com/track/2glp8PzPKQLk0Etl1U5gss";"https://music.apple.com/fr/album/graj%C3%A9/1572483396?i=1572483846&uo=4"
"Fred Karlin";"Jazz goes to Hollywood";"A second chance";1995;"Varese Sarabande";1704886870;1704887255;;;
"John Scofield";"Combo 66";"Combo theme";2018;"VERVE";1704887253;1704887690;;"https://open.spotify.com/track/1IHoZRfNM5gxizTeHdQCet";"https://music.apple.com/fr/album/combo-theme/1425971618?i=1425973169&uo=4"
"Abbey Lincoln";"That's him";"Strong man";1957;"RIVERSIDE";1704887686;1704887986;"https://www.deezer.com/track/123045216";"https://open.spotify.com/track/5mzIMuhc3fTCvOuhGweeF0";"https://music.apple.com/fr/album/strong-man/304463565?i=304463614&uo=4"
"Resavoir";"Resavoir";"Woah";2019;"INTERNATIONAL ANTHEM";1704887986;1704888232;"https://www.deezer.com/track/679830732";"https://open.spotify.com/track/0maIb4eA5He1n7LTmyfyIL";"https://music.apple.com/fr/album/woah/1463614952?i=1463615343&uo=4"
"The Drive";"Next stop Soweto vol. 4: Zulu rock, afro-disco and mbaqanga 1975- 1985";"Ain't sittin' down doin' nothing";1975;"STRUT";1704888230;1704888592;;;
"The Cinematic Orchestra";"Every day";"Evolution";2002;"NINJA TUNE";1704888589;1704888982;"https://www.deezer.com/track/10238809";"https://open.spotify.com/track/3X6rQmbpJ3qg2Okh2iAugT";
"Barney Kessel";"Barney Kessel's swingin' party at contemporary (extrait)";"Miss Memphis";1960;"CONTEMPORARY";1704888980;1704889353;"https://www.deezer.com/track/72030951";;"https://music.apple.com/fr/album/miss-memphis/732479416?i=732479582&uo=4"
