"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Kurt Elling";"Passion world";"Where the streets have no name";2015;"CONCORD JAZZ";1708423045;1708423334;"https://music.apple.com/fr/album/where-the-streets-have-no-name/1443167446?i=1443168024&uo=4";"https://open.spotify.com/track/70Sl32FS5i3SzJbMZMX3qv";
"Joshua Redman, Brad Mehldau, Christian Mcbride & B";"RoundAgain";"Silly little love song";2020;"NONESUCH";1708423332;1708423751;;;
"Lambert, Hendricks & Ross";"The hottest new group in jazz";"Moanin'";1956;"COLUMBIA";1708423748;1708423899;;;
"Andy Bey";"Andy bey & the bey sisters";"Hallelujah, I love her so";1965;"PRESTIGE";1708423896;1708424041;;;
"Judith Owen";"Come on & get it";"Big long slidin' thing";2022;"TWANKY RECORDS";1708424035;1708424215;"https://music.apple.com/fr/album/big-long-slidin-thing/1688882754?i=1688882762&uo=4";"https://open.spotify.com/track/3uiWcsK1zvldIMALfvLoYQ";
"Daniel Zimmermann";"L'homme à tête de chou in Uruguay";"Ballade de Melody Nelson (feat. Erik Truffaz)";2022;"LABEL BLEU";1708424214;1708424561;"https://music.apple.com/fr/album/ballade-de-melody-nelson-feat-erik-truffaz/1647748088?i=1647748847&uo=4";;
"Tropical Jazz Trio";"Tropical jazz trio";"Couleur Café";2019;"FRENCH PARADOX";1708424559;1708424712;"https://music.apple.com/fr/album/couleur-caf%C3%A9/1464232001?i=1464233210&uo=4";"https://open.spotify.com/track/3GdKslGMBCMDzZ8i7Tkw8h";"https://www.deezer.com/track/681554732"
"Michel Petrucciani";"Both worlds";"Guadeloupe";1997;"DISQUES DREYFUS";1708424710;1708425070;;"https://open.spotify.com/track/1Tlojm1wktqaaTVm0WQLdj";"https://www.deezer.com/track/141160845"
"Clelya Abraham";"La source";"Padjanbel";2021;"LE VIOLON D'INGRES";1708425070;1708425312;;;
"David Prez & Vincent Bourgeyx";"Two For the Road";"Kafka's nightmare";2022;"PJU RECORDS";1708425307;1708425633;"https://music.apple.com/fr/album/kafkas-nightmare/1626124237?i=1626124258&uo=4";;
"Thierry Eliez";"Emerson Enigma";"Knife Edge";2022;"DOOD";1708425623;1708425954;;"https://open.spotify.com/track/5DIVutefMLSSAC3P6br95J";
"Clifford Brown";"Clifford Brown with strings";"Willow weep for me";1955;"EMARCY";1708425952;1708426146;"https://music.apple.com/fr/album/willow-weep-for-me/417917501?i=417917875&uo=4";;
"Jean Loup Longnon Quartet";"Paris scat";"Bluesgnon";1995;"NOCTURNE";1708426143;1708426584;;;
"Bjorn Ingelstam";"The Start of Something Big";"I won't grow up";2020;"BJORN INGELSTAM";1708426582;1708426797;"https://music.apple.com/fr/album/i-wont-grow-up/1534030591?i=1534030928&uo=4";"https://open.spotify.com/track/3D83i4uQ5EGP0hhEg6zKun";
"Patrick Zimmerli (Compositeur)";"Sun on Sand";"Dark white";2019;"Nonesuch";1708426800;1708426991;;;
"Steve Kuhn (Piano)";"Trance";"Something everywhere";1975;"ECM";1708426987;1708427454;;;
"Tok Tok Tok";"50 ways to leave your lover";"The jack";2005;"EINSTEIN";1708427450;1708427705;"https://music.apple.com/fr/album/the-jack/101929300?i=101928822&uo=4";"https://open.spotify.com/track/6tf8m82VKRWjBwvtRA8WTD";"https://www.deezer.com/track/61600925"
"Buddy De Franco (Clarinette)";"Mr. Clarinet";"Ferdinando";2002;"Verve";1708427702;1708428006;;;
"Dave Douglas & Frank Woeste";"Dada people";"Mains libres";2016;"GREEN LEAF MUSIC";1708428005;1708428377;;;
"Kurt Elling";"This time it's love";"Too young to go steady";1998;"Blue Note";1708428374;1708428672;"https://music.apple.com/fr/album/too-young-to-go-steady/738333159?i=738334012&uo=4";"https://open.spotify.com/track/6t3pbF6xOdcO9wfyoa1l22";
"John Zorn";"Dreamers Christmas";"Santa's workshop";2011;"TZADIK";1708428671;1708428987;"https://music.apple.com/fr/album/santas-workshop/1194279403?i=1194279415&uo=4";"https://open.spotify.com/track/7Jm1Bnt38AoguyRgy92iGg";"https://www.deezer.com/track/2472639001"
"Louis Smith";"Here comes";"Tribute to Brownie";1958;"BLUE NOTE";1708428984;1708429379;;;"https://www.deezer.com/track/69916989"
"Rickie Lee Jones";"It's like this";"On the street where you live";2000;"SONY";1708429377;1708429580;"https://music.apple.com/fr/album/on-the-street-where-you-live/6577365?i=6577353&uo=4";;
"Harold Mcnair";"Flute & Nut";"Indecision";1970;"VOCALION";1708429577;1708429917;;;
"Marquis Hill";"Meditation tape";"Coming out of the Universe";2017;"BLACK ON PURPOSE";1708429915;1708430209;"https://music.apple.com/fr/album/coming-out-of-the-universe/1320094352?i=1320094974&uo=4";"https://open.spotify.com/track/7oE1rDG32Bv51zTWsfJAn4";"https://www.deezer.com/track/436827972"
"Jimmy Rushing";"BD Music presents Christmas songs";"Good morning blues";1962;"NOCTURNE";1708430207;1708430397;;;"https://www.deezer.com/track/3506349"
"Frederic Borey Butterflies Trio";"Butterflies Trio";"The single petal of a rose";2019;"FRESH SOUND";1708430397;1708430693;;;
"James Carter";"Conversin' With the Elders";"Centerpiece";1996;"Atlantic";1708430691;1708431081;"https://music.apple.com/fr/album/centerpiece/357869751?i=357870029&uo=4";"https://open.spotify.com/track/7v76dhMNnTgDxjGT4RZDs2";"https://www.deezer.com/track/5614959"
"Jacques Schwarz Bart";"Jazz racine Haiti";"Bade Zile (feat. Rosna Zila)";2014;"MOTEMA";1708431077;1708431342;;;
"Count Basie";"Complete Clef - Verve fifties studio recordings / volume 3 & 4";"Down for the count";1954;"Verve";1708431339;1708431699;;;"https://www.deezer.com/track/100017810"
"Christian Prommer";"Drum lesson vol1";"Trans europa express";2007;"SONAR";1708431698;1708432008;;;
"Eugene McDaniels";"Headless heroes of the apocalypse";"Headless heroes";1971;"WATER";1708432005;1708432211;"https://music.apple.com/fr/album/headless-heroes/1340916168?i=1340922611&uo=4";"https://open.spotify.com/track/5nGhBObWsNzTucrr6lPbSS";
"Charlier / Sourisse";"Eleven blues";"La seconde danse";2004;"O+MUSIC";1708432211;1708432568;;;
"Lou Donaldson";"Midnight Soul";"Man with a hom";1961;"Chess";1708432565;1708432868;;;
"Ben Sidran";"Don't cry for no hipster";"Dying anyway";2012;"BONSAI MUSIC";1708432865;1708433113;"https://music.apple.com/fr/album/dying-anyway/574449888?i=574450071&uo=4";"https://open.spotify.com/track/3L7MTZuqUjv5NSHh3xm4Hp";
"Rodney Kendrick";"Dance world dance";"A little sweeter";1994;"VERVE";1708433108;1708433444;;"https://open.spotify.com/track/5yPzVpPiRUGFKQVfZpyBSL";"https://www.deezer.com/track/1123602"
"Tony Allen";"The Source";"Push and pull";2017;"Blue Note";1708433441;1708433786;"https://music.apple.com/fr/album/push-and-pull/1442214381?i=1442214509&uo=4";"https://open.spotify.com/track/2mFrLFLCaonzA0FbRmYK8n";
"Anita O Day";"Anita sings the most";"We'll be together again";1956;"VERVE";1708433783;1708433998;;;
"Sebastien Surel";"Camara pop";"Aroma bom";2019;"ZAMORA";1708433998;1708434289;;"https://open.spotify.com/track/4zvdOrHuCMTLupXcRNIYRG";
"Herbie Mann";"Gagaku & beyond";"Gagaku and beyond";1976;"FINNADAR";1708434284;1708434724;"https://music.apple.com/fr/album/gagaku-and-beyond/76149403?i=76149390&uo=4";;
"Ian Shaw";"Drawn to all things";"Night in the city";2006;"LINN";1708434720;1708434966;"https://music.apple.com/fr/album/night-in-the-city/1534013342?i=1534013345&uo=4";"https://open.spotify.com/track/1mYPpGQUEFWCqXmhjsBwxi";"https://www.deezer.com/track/1092181522"
"Bud Freeman";"Chicago / Austin high school jazz in hi-fi";"Chicago";1957;"MOSAIC RECORDS";1708434965;1708435320;;;
"Bireli Lagrene";"Summertime";"Someday my prince will come";2009;"Dreyfus Jazz";1708435318;1708435602;;"https://open.spotify.com/track/4x5QoVpnSdFk3rY05OrEC3";
"Johnny Hartman (Chant)";"The complete Bee Hive sessions discs IV, V & VI";"For All We Know";;"Mosaic Records";1708435597;1708435898;"https://music.apple.com/fr/album/for-all-we-know/79612227?i=79612181&uo=4";"https://open.spotify.com/track/7I1h2g9r3JqECtOf3faGna";"https://www.deezer.com/track/110488294"
